cod_calle;nombre_calle;cod_tipovia;nombre_tipo_via;
520;SALCES ANSELMA DE;CL;CALLE
550;VIANA PRINCIPE DE;CL;CALLE
580;ARAGON;CL;CALLE
600;ARANE;CL;CALLE
610;ARANEKO;CL;CALLE
320;GAZTAÑETA ANTONIO ALMIRANTE;CL;CALLE
430;ALZOLA PABLO DE;CL;CALLE
440;ANBOTO;CL;CALLE
460;AMISTAD;CL;CALLE
480;AMPARO;CL;CALLE
490;ANDALUCIA;CL;CALLE
630;ARBIETO;CL;CALLE
640;ARBOLAGANA;CL;CALLE
650;ARBOLANTXA;CL;CALLE
730;ARECHAGA;CL;CALLE
740;ARECHAVALETA;CL;CALLE
750;ARENAL;CL;CALLE
625;ARBIDEA;CL;CALLE
775;ARGINAO;CL;CALLE
350;KANPAZAR ALTO;CL;CALLE
330;OQUENDO ALMIRANTES;CL;CALLE
390;ALTUBE;CL;CALLE
12;ABAITUA EULALIA;CL;CALLE
180;ALBACETE;CL;CALLE
270;XALBADOR;CL;CALLE
280;ARREGUI RICARDO;CL;CALLE
290;ALICANTE;CL;CALLE
300;ALLENDE PARTICULAR;CL;CALLE
70;ATXURI;CL;CALLE
73;AGARRE;CL;CALLE
170;ARABA;CL;CALLE
30;ABASOLO;CL;CALLE
33;ABUSU;CL;CALLE
80;AGUERO MARTIN;CL;CALLE
140;AGUIRRE-AGUIRRE MARIA;CL;CALLE
150;AGUIRRE MAXIMO;CL;CALLE
1150;BADAJOZ;CL;CALLE
1160;BAILEN;CL;CALLE
1167;BAKIO;CL;CALLE
1170;BALEARS ILLES;CL;CALLE
1175;BALLETS OLAETA;CL;CALLE
1180;BANCO BILBAO;CL;CALLE
1190;BANCO ESPAÑA;CL;CALLE
1200;ARANZADI TELESFORO;CL;CALLE
1210;BARINAGA;CL;CALLE
1220;BARRAINCUA;CL;CALLE
1230;BARRENKALE;CL;CALLE
1240;BARRENKALEBARRENA;CL;CALLE
1250;BARROETA ALDAMAR;CL;CALLE
1285;BASURTUBEKOA;CL;CALLE
790;ARNOTEGI;CL;CALLE
805;ARTAZURIÑA;CL;CALLE
880;ARTALANDIO;CL;CALLE
890;ARTATZAMINA;CL;CALLE
920;ARTEKALE;CL;CALLE
960;ASKAO;CL;CALLE
1370;BEGOÑAZPI;CL;CALLE
1400;BELOSTIKALE;CL;CALLE
1410;BENIDORM;CL;CALLE
1420;ALBERDI BENITO;CL;CALLE
1425;BENTAZARRA;CL;CALLE
1445;BERNAOLA CARMELO;CL;CALLE
1490;BIDEBARRIETA;CL;CALLE
1470;BERTENDONA;CL;CALLE
1520;BILBAO IZAURIETA;CL;CALLE
1540;BILBAO LA VIEJA;CL;CALLE
1550;BIZKARGI;CL;CALLE
1010;ASTURIAS;CL;CALLE
1320;PADURA BATALLA DE;CL;CALLE
1330;LEPANTO BATALLA DE;CL;CALLE
1335;RONCESVALLES BATALLA DE;CL;CALLE
1340;BERRIOTXOA SAN VALENTIN DE;CL;CALLE
970;ASTARLOA;CL;CALLE
1000;ASTILLERO;CL;CALLE
1060;VALLE AURELIANO;CL;CALLE
1065;AUNTZETXETA;CL;CALLE
1070;AURREKOETXEA;CL;CALLE
1100;AVILA;CL;CALLE
1110;AYALA CANCILLER;CL;CALLE
1113;AZNAR SANTIAGO;CL;CALLE
9170;TRAUKO;CL;CALLE
9175;ZUMAIA;CL;CALLE
9087;AZPEITIA SANCHO DE;CL;CALLE
9146;TOLOSA;CL;CALLE
9095;ANTXETA JUAN DE;CL;CALLE
9100;CONSTANTINO TENOR;CL;CALLE
9105;GUIARD TEOFILO;CL;CALLE
9115;ARRIETA EMILIO;CL;CALLE
9120;ISASI ANDRES;CL;CALLE
9125;MONTSERRAT NUESTRA SEÑORA DE;CL;CALLE
9130;GARAY JUAN DE;CL;CALLE
9135;TIBOLI;CL;CALLE
8990;UNZUE SEVERO;CL;CALLE
9010;BOLIVAR SIMON;CL;CALLE
9025;SOLOKOETXE;CL;CALLE
9035;SOLLUBE;CL;CALLE
9040;SOMBRERERIA;CL;CALLE
9045;SOMERA;CL;CALLE
9069;STEER GEORGE;CL;CALLE
