CODIGO DISTRITO;NOMBRE DISTRITO;SECCIÓN;SEXO;TOTAL
4;BEGOÑA                   ;33;MUJERES;735
4;BEGOÑA                   ;35;HOMBRES;450
4;BEGOÑA                   ;35;MUJERES;451
4;BEGOÑA                   ;36;HOMBRES;636
4;BEGOÑA                   ;36;MUJERES;682
4;BEGOÑA                   ;37;HOMBRES;703
4;BEGOÑA                   ;37;MUJERES;775
4;BEGOÑA                   ;38;HOMBRES;437
4;BEGOÑA                   ;38;MUJERES;457
4;BEGOÑA                   ;39;HOMBRES;1119
4;BEGOÑA                   ;39;MUJERES;1124
5;IBAIONDO                 ;01;HOMBRES;913
5;IBAIONDO                 ;01;MUJERES;1037
5;IBAIONDO                 ;02;HOMBRES;364
5;IBAIONDO                 ;02;MUJERES;446
5;IBAIONDO                 ;03;HOMBRES;842
5;IBAIONDO                 ;03;MUJERES;938
5;IBAIONDO                 ;04;HOMBRES;969
5;IBAIONDO                 ;04;MUJERES;1019
5;IBAIONDO                 ;05;HOMBRES;571
5;IBAIONDO                 ;05;MUJERES;706
5;IBAIONDO                 ;06;HOMBRES;584
5;IBAIONDO                 ;06;MUJERES;636
5;IBAIONDO                 ;07;HOMBRES;502
5;IBAIONDO                 ;07;MUJERES;514
5;IBAIONDO                 ;08;HOMBRES;735
5;IBAIONDO                 ;08;MUJERES;857
5;IBAIONDO                 ;09;HOMBRES;995
5;IBAIONDO                 ;09;MUJERES;1074
5;IBAIONDO                 ;10;HOMBRES;511
5;IBAIONDO                 ;10;MUJERES;559
5;IBAIONDO                 ;11;HOMBRES;502
5;IBAIONDO                 ;11;MUJERES;576
5;IBAIONDO                 ;12;HOMBRES;700
5;IBAIONDO                 ;12;MUJERES;783
5;IBAIONDO                 ;13;HOMBRES;315
5;IBAIONDO                 ;13;MUJERES;361
5;IBAIONDO                 ;14;HOMBRES;425
5;IBAIONDO                 ;14;MUJERES;409
5;IBAIONDO                 ;15;HOMBRES;765
5;IBAIONDO                 ;15;MUJERES;921
5;IBAIONDO                 ;16;HOMBRES;609
5;IBAIONDO                 ;16;MUJERES;704
5;IBAIONDO                 ;17;HOMBRES;603
5;IBAIONDO                 ;17;MUJERES;617
5;IBAIONDO                 ;18;HOMBRES;669
5;IBAIONDO                 ;18;MUJERES;631
5;IBAIONDO                 ;19;HOMBRES;642
5;IBAIONDO                 ;19;MUJERES;541
5;IBAIONDO                 ;20;HOMBRES;406
