Codigo parada;Parada;Zona;Correspondencias
5509;Larraskitubidea / (Estrada Beiti);;A8
5510;Larraskitubidea 81;Cº Larraskitu-Iberdrola;A8
5511;Ollargan;Ollargan;50
5512;San Adrián (48) / Irustabidea;;A8
5513;Urazurrutia;Muelle Urazurrutia-Escaleras;56
5514;Zamacola (84);;56
5515;Zamacola / Eskola;Zamacola-Escuelas;40,56
5516;Zamacola 116;Zamacola-Campa Ibaizabal;40,50,56
5517;Zamacola 150 / Eliza;Zamacola-Iglesia;40,50,56
5519;Zamacola 26;;56
5520;Zamacola 4;;56
5521;Zamacola 45;;56
5522;Zamacola 70;;56
5523;Zamacola 188;Bolueta-Santa Ana;40
5601;Olano (4);;11,22,56,58,72,75,77,85
5602;Urazurrutia 1 / Sala Cuna;;56
5603;Urazurrutia 14;;56
5604;Urazurrutia 40;;56
5605;Urazurrutia 29;Urazurrutia;56
5701;Cortes (2);Pl. Corazon de Maria;11,22,56,58,72,75,77,85
5702;Cortes 13;Pl. Corazon de Maria;58
5703;Cortes 23;Bailen;58
5704;Muelle de la Merced 3;Conde Mirasol con Marzana;11,22,56,72,75,77,85
5801;Dr. Fleming 1;Zabala;30
5802;Juan de Garay 11;Juan de Garay-Gobierno Militar;30,71,75,76
5803;Juan de Garay 33;Juan de Garay-Iberdrola;71,76
5804;Rotonda Juan de Garay;Av. San Adrian-Juan Garay;57,71,75,76
5805;Xenpelar / Zabala;Zabala;30,57
5806;Zabala 22;Zabala;30
5901;Gernika 1;Miribilla;30,57
5902;Gernika 10;Miribilla;30,57
5903;Gernika 11;Miribilla;30,57
5904;Gernika 23;Miribilla;30,E2,E3,57,71
5905;Gernika 24;Miribilla;30,E2,E3,57
5906;Goiko Torre 12;Bº San Adrian-Goiko Torre;57,71,75
5907;Julián Zugazagoitia 13;Miribilla;57,71
5908;La Floresta;Bº San Adrian-Goiko Torre;57,71,75
5909;Martín Barua (24);Miribilla;57,71,75
5910;Martín Barua 17 / Institutoa;Bº San Adrian-Instituto;57,71,75
5911;San Adrián (33);San Adrian;76
5912;San Adrián 17;Av. San Adrian-Iglesia;76
5913;San Adrián 2;Av. San Adrian-Juan Garay;57,71,75,76
5914;San Adrián 36;Av. San Adrian-Iglesia;57,71,75,76
5915;San Adrián 33;San Adrian;76
5916;Xenpelar / Trav.Zabala;Zabala;30
