Aplicació pressupost;Descripció;Pressupost Inicial;Modificacions;Pressupost final;Obligacions reconegudes;Pagaments;Pendent pagaments;Estat execució
257/3400A/12006;Triennis;12.607,28;0,00;12.607,28;10.400,59;10.400,59;0,00;2.206,69
257/3400A/12100;Complement de destí;36.362,93;0,00;36.362,93;34.215,73;34.215,73;0,00;2.147,20
257/3400A/12101;Complement  específic;72.354,72;0,00;72.354,72;68.579,34;68.579,34;0,00;3.775,38
257/3400A/12103;Altres complements;29.175,84;0,00;29.175,84;42.225,56;42.225,56;0,00;-13.049,72
257/3400A/15000;Productivitat;40,08;0,00;40,08;39,63;39,63;0,00;0,45
257/3400A/16000;Seguretat social;73.663,71;0,00;73.663,71;63.861,27;63.861,27;0,00;9.802,44
257/3400A/20200;Lloguers d’edificis i altres construccions;19.385,04;0,00;19.385,04;19.385,04;17.421,14;1.963,90;0,00
257/3400A/22001;Premsa, revistes, llibres i altres publicacions;486,00;0,00;486,00;540,21;540,21;0,00;-54,21
257/3400A/22100;Energia elèctrica;7.612,21;0,00;7.612,21;0,00;0,00;0,00;7.612,21
257/3400A/22201;Comunicacions postals;300,00;0,00;300,00;207,39;189,60;17,79;92,61
257/3400A/22601;Atencions protocol·làries i representatives;900,00;0,00;900,00;127,05;127,05;0,00;772,95
257/3400A/2260200;Difusió d'activitats;6.500,00;-5.091,56;1.408,44;1.408,44;1.408,44;0,00;0,00
257/3400A/22620;El Sud Suma + Nou Pla de Barris;10,00;1.709,46;1.719,46;0,00;0,00;0,00;1.719,46
257/3400A/22699;Despeses especials de funcionament;10,00;0,00;10,00;0,00;0,00;0,00;10,00
257/3400A/2270001;Contractes de neteja;8.677,23;0,00;8.677,23;2.228,82;2.228,82;0,00;6.448,41
257/3400A/23020;Dietes personal no directiu;750,00;0,00;750,00;663,71;296,70;367,01;86,29
257/3400A/48200;Transf. corrents institucions sense ànim de lucre;10,00;0,00;10,00;0,00;0,00;0,00;10,00
257/3410A/22199;Compra d'altres materials;1.000,00;0,00;1.000,00;85,00;0,00;85,00;915,00
257/3410A/22699;Despeses especials de funcionament;1.000,00;0,00;1.000,00;0,00;0,00;0,00;1.000,00
257/3410A/22799;Treballs realitzats per altres empreses i prof.;10,00;0,00;10,00;0,00;0,00;0,00;10,00
257/3410A/48200;Transf. corrents institucions sense ànim de lucre;166.440,00;0,00;166.440,00;161.982,47;132.687,93;29.294,54;4.457,53
