PRESSUPOST 2016 - DESPESA;;;;;

Aplicació pressupost;Aplicació pressupost;Aplicació pressupost;Aplicació pressupost;Descripció;Pressupost Inicial
170;9311A;22001;170/9311A/22001;Premsa, revistes, llibres i altres publicacions;1.000,00
170;9311A;22699;170/9311A/22699;Altres despeses diverses;5.000,00
170;9311A;22706;170/9311A/22706;Estudis i treballs tècnics;15.000,00
170;9311B;12000;170/9311B/12000;Salaris del Grup A1;29.648,44
170;9311B;12001;170/9311B/12001;Salaris del Grup A2;13.035,60
170;9311B;12003;170/9311B/12003;Salaris del Grup C1;19.967,64
170;9311B;12006;170/9311B/12006;Triennis;16.716,66
170;9311B;12100;170/9311B/12100;Complement de destí;32.715,62
170;9311B;12101;170/9311B/12101;Complement  específic;58.610,72
170;9311B;12103;170/9311B/12103;Altres complements;1.717,56
170;9311B;15200;170/9311B/15200;Altres incentius;5.000,00
170;9311B;16000;170/9311B/16000;Seguretat social;44.056,59
170;9311B;22699;170/9311B/22699;Altres despeses diverses;2.500,00
170;9311B;22706;170/9311B/22706;Estudis i treballs tècnics;15.000,00
170;9311C;12000;170/9311C/12000;Salaris del Grup A1;22.236,33
170;9311C;12001;170/9311C/12001;Salaris del Grup A2;32.589,00
170;9311C;12003;170/9311C/12003;Salaris del Grup C1;24.959,55
170;9311C;12004;170/9311C/12004;Salaris del Grup C2;8.462,46
170;9311C;12006;170/9311C/12006;Triennis;15.042,26
170;9311C;12100;170/9311C/12100;Complement de destí;43.994,65
170;9311C;12101;170/9311C/12101;Complement  específic;83.295,38
170;9311C;12103;170/9311C/12103;Altres complements;32,04
170;9311C;15000;170/9311C/15000;Productivitat;1.571,64
170;9311C;15200;170/9311C/15200;Altres incentius;5.000,00
170;9311C;16000;170/9311C/16000;Seguretat social;60.584,51
170;9311C;22699;170/9311C/22699;Altres despeses diverses;2.500,00
170;9311C;22706;170/9311C/22706;Estudis i treballs tècnics;50.000,00
200;9200A;12000;200/9200A/12000;Salaris del Grup A1;28.528,29
200;9200A;12004;200/9200A/12004;Salaris del Grup C2;16.924,92
200;9200A;12006;200/9200A/12006;Triennis;7.905,48
200;9200A;12100;200/9200A/12100;Complement de destí;29.335,44
200;9200A;12101;200/9200A/12101;Complement  específic;67.075,82
200;9200A;12103;200/9200A/12103;Altres complements;19.394,26
200;9200A;15200;200/9200A/15200;Altres incentius;3.000,00
200;9200A;16000;200/9200A/16000;Seguretat social;34.627,57
200;9200A;22001;200/9200A/22001;Premsa, revistes, llibres i altres publicacions;272,01
200;9200A;22201;200/9200A/22201;Comunicacions postals;6.000,00
200;9200A;22601;200/9200A/22601;Atencions protocol·làries i representatives;1.000,00
200;9200A;2260200;200/9200A/2260200;Difusió d'activitats;1.000,00
200;9200A;2260202;200/9200A/2260202;Publicacions;1.500,00
200;9200A;2270001;200/9200A/2270001;Contractes de neteja;69.376,84
200;9200A;22706;200/9200A/22706;Estudis i treballs tècnics;27.916,62
200;9200A;23001;200/9200A/23001;Dietes membres corporació;751,00
200;9200A;23010;200/9200A/23010;Dietes del personal directiu;510,00
200;9200A;23020;200/9200A/23020;Dietes personal no directiu;4.010,00
200;9200A;23100;200/9200A/23100;Locomoció dels membres dels òrgans de govern;751,50
200;9200A;23110;200/9200A/23110;Del personal directiu;510,00
200;9200A;23120;200/9200A/23120;Del personal no directiu;4.010,00
200;9200E;11000;200/9200E/11000;Retribucions bàsiques;45.253,60
200;9200E;16000;200/9200E/16000;Seguretat social;13.417,13
201;9230A;12000;201/9230A/12000;Salaris del Grup A1;14.824,22
201;9230A;12003;201/9230A/12003;Salaris del Grup C1;14.975,73
201;9230A;12006;201/9230A/12006;Triennis;7.733,12
201;9230A;12100;201/9230A/12100;Complement de destí;18.516,40
201;9230A;12101;201/9230A/12101;Complement  específic;36.232,28
201;9230A;12103;201/9230A/12103;Altres complements;8.083,42
201;9230A;15200;201/9230A/15200;Altres incentius;2.000,00
201;9230A;16000;201/9230A/16000;Seguretat social;21.566,18
201;9230A;22699;201/9230A/22699;Altres despeses diverses;484,25
201;9231A;12003;201/9231A/12003;Salaris del Grup C1;9.983,82
201;9231A;12004;201/9231A/12004;Salaris del Grup C2;40.498,86
201;9231A;12006;201/9231A/12006;Triennis;10.180,10
201;9231A;12100;201/9231A/12100;Complement de destí;28.733,18
201;9231A;12101;201/9231A/12101;Complement  específic;58.523,08
201;9231A;12103;201/9231A/12103;Altres complements;5.947,70
201;9231A;15200;201/9231A/15200;Altres incentius;5.785,70
201;9231A;16000;201/9231A/16000;Seguretat social;42.585,46
