linia_id;expedicio_id;periode_id;trajecte_id;direccio_id;sortida_hora;sortida_parada_punt_id;arribada_parada_punt_id;dia_atribut_id;
"1792";"456210";"1";"2";"2";"59640";"657";"1";"1";
"1792";"456211";"1";"2";"2";"70560";"657";"1";"1";
"1792";"456212";"1";"2";"2";"75960";"657";"1";"1";
"1792";"456213";"1";"2";"2";"43560";"657";"1";"1";
"1792";"456214";"1";"2";"2";"48960";"657";"1";"1";
"1792";"456215";"1";"2";"2";"54420";"657";"1";"1";
"1792";"456216";"1";"2";"2";"65400";"657";"1";"1";
"1792";"456217";"1";"2";"2";"23100";"657";"1";"1";
"1792";"456218";"1";"2";"2";"27300";"657";"1";"1";
"1792";"456219";"1";"2";"2";"32700";"657";"1";"1";
"1792";"456220";"1";"2";"2";"38460";"657";"1";"1";
"1792";"456221";"1";"2";"2";"66420";"657";"1";"1";
"1792";"456222";"1";"2";"2";"28200";"657";"1";"1";
"1792";"456223";"1";"2";"2";"33600";"657";"1";"1";
"1792";"456224";"1";"2";"2";"44460";"657";"1";"1";
"1792";"456225";"1";"2";"2";"49860";"657";"1";"1";
"1792";"456226";"1";"2";"2";"55320";"657";"1";"1";
"1792";"456227";"1";"2";"2";"60600";"657";"1";"1";
"1792";"456228";"1";"2";"2";"71640";"657";"1";"1";
"1792";"456229";"1";"2";"2";"77040";"657";"1";"1";
"1792";"456230";"1";"2";"2";"39540";"657";"1";"1";
"1792";"456231";"1";"2";"2";"45360";"657";"1";"1";
"1792";"456232";"1";"2";"2";"50760";"657";"1";"1";
"1792";"456233";"1";"2";"2";"61500";"657";"1";"1";
"1792";"456234";"1";"2";"2";"24600";"657";"1";"1";
"1792";"456235";"1";"2";"2";"29100";"657";"1";"1";
"1792";"456236";"1";"2";"2";"34500";"657";"1";"1";
"1792";"456237";"1";"2";"2";"56400";"657";"1";"1";
"1792";"456238";"1";"2";"2";"67380";"657";"1";"1";
"1792";"456239";"1";"2";"2";"72720";"657";"1";"1";
"1792";"456240";"1";"2";"2";"78120";"657";"1";"1";
"1792";"456241";"1";"6";"2";"83700";"657";"1";"1";
"1792";"456242";"1";"6";"2";"21300";"657";"1";"1";
"1792";"456243";"1";"6";"2";"80400";"657";"1";"1";
"1792";"456244";"1";"6";"2";"15900";"657";"1";"1";
"1792";"456245";"1";"6";"2";"19500";"657";"1";"1";
"1792";"456246";"1";"6";"2";"81600";"657";"1";"1";
"1793";"456247";"1";"1";"1";"23040";"1";"99";"1";
"1793";"456248";"1";"1";"1";"27180";"1";"99";"1";
"1793";"456249";"1";"1";"1";"32100";"1";"99";"1";
"1793";"456250";"1";"1";"1";"43260";"1";"99";"1";
"1793";"456251";"1";"1";"1";"48660";"1";"99";"1";
"1793";"456252";"1";"1";"1";"59400";"1";"99";"1";
"1793";"456253";"1";"1";"1";"54420";"1";"99";"1";
"1793";"456254";"1";"1";"1";"65400";"1";"99";"1";
"1793";"456255";"1";"1";"1";"70740";"1";"99";"1";
"1793";"456256";"1";"1";"1";"76200";"1";"99";"1";
"1793";"456257";"1";"1";"1";"60360";"1";"99";"1";
"1793";"456258";"1";"1";"1";"38580";"1";"99";"1";
"1793";"456259";"1";"1";"1";"44160";"1";"99";"1";
"1793";"456260";"1";"1";"1";"49560";"1";"99";"1";
"1793";"456261";"1";"1";"1";"28080";"1";"99";"1";
"1793";"456262";"1";"1";"1";"33180";"1";"99";"1";
"1793";"456263";"1";"1";"1";"55500";"1";"99";"1";
"1793";"456264";"1";"1";"1";"66480";"1";"99";"1";
"1793";"456265";"1";"1";"1";"71820";"1";"99";"1";
"1793";"456266";"1";"1";"1";"39660";"1";"99";"1";
"1793";"456267";"1";"1";"1";"45060";"1";"99";"1";
"1793";"456268";"1";"1";"1";"50460";"1";"99";"1";
"1793";"456269";"1";"1";"1";"61320";"1";"99";"1";
"1793";"456270";"1";"1";"1";"77400";"1";"99";"1";
"1793";"456271";"1";"1";"1";"24180";"1";"99";"1";
"1793";"456272";"1";"1";"1";"28980";"1";"99";"1";
"1793";"456273";"1";"1";"1";"34260";"1";"99";"1";
"1793";"456274";"1";"1";"1";"56580";"1";"99";"1";
"1793";"456275";"1";"1";"1";"67560";"1";"99";"1";
"1793";"456276";"1";"1";"1";"72900";"1";"99";"1";
"1793";"456277";"1";"1";"1";"40560";"1";"99";"1";
"1793";"456278";"1";"1";"1";"45960";"1";"99";"1";
"1793";"456279";"1";"1";"1";"51360";"1";"99";"1";
"1793";"456280";"1";"1";"1";"62280";"1";"99";"1";
"1793";"456281";"1";"1";"1";"29700";"1";"99";"1";
"1793";"456282";"1";"1";"1";"35340";"1";"99";"1";
"1793";"456283";"1";"1";"1";"57600";"1";"99";"1";
"1793";"456284";"1";"1";"1";"68640";"1";"99";"1";
"1793";"456285";"1";"1";"1";"73980";"1";"99";"1";
"1793";"456286";"1";"1";"1";"41460";"1";"99";"1";
"1793";"456287";"1";"1";"1";"46860";"1";"99";"1";
"1793";"456288";"1";"1";"1";"52260";"1";"99";"1";
"1793";"456289";"1";"1";"1";"25260";"1";"99";"1";
"1793";"456290";"1";"1";"1";"30300";"1";"99";"1";
"1793";"456291";"1";"1";"1";"42360";"1";"99";"1";
"1793";"456292";"1";"1";"1";"47760";"1";"99";"1";
"1793";"456293";"1";"1";"1";"36420";"1";"99";"1";
"1793";"456294";"1";"1";"1";"63300";"1";"99";"1";
"1793";"456295";"1";"1";"1";"58500";"1";"99";"1";
"1793";"456296";"1";"1";"1";"26340";"1";"99";"1";
"1793";"456297";"1";"1";"1";"31200";"1";"99";"1";
"1793";"456298";"1";"1";"1";"53340";"1";"99";"1";
"1793";"456299";"1";"1";"1";"64380";"1";"99";"1";
"1793";"456300";"1";"1";"1";"69720";"1";"99";"1";
"1793";"456301";"1";"1";"1";"75060";"1";"99";"1";
"1793";"456302";"1";"1";"1";"37500";"1";"99";"1";
"1793";"456303";"1";"2";"2";"25020";"99";"1";"1";
"1793";"456304";"1";"2";"2";"29700";"99";"1";"1";
"1793";"456305";"1";"2";"2";"35100";"99";"1";"1";
"1793";"456306";"1";"2";"2";"45960";"99";"1";"1";
"1793";"456307";"1";"2";"2";"51360";"99";"1";"1";
"1793";"456308";"1";"2";"2";"62100";"99";"1";"1";
"1793";"456309";"1";"2";"2";"57120";"99";"1";"1";
"1793";"456310";"1";"2";"2";"68040";"99";"1";"1";
"1793";"456311";"1";"2";"2";"73440";"99";"1";"1";
"1793";"456312";"1";"2";"2";"78840";"99";"1";"1";
"1793";"456313";"1";"2";"2";"63060";"99";"1";"1";
"1793";"456314";"1";"2";"2";"41280";"99";"1";"1";
"1793";"456315";"1";"2";"2";"46860";"99";"1";"1";
"1793";"456316";"1";"2";"2";"52260";"99";"1";"1";
"1793";"456317";"1";"2";"2";"30600";"99";"1";"1";
"1793";"456318";"1";"2";"2";"36000";"99";"1";"1";
"1793";"456319";"1";"2";"2";"58200";"99";"1";"1";
"1793";"456320";"1";"2";"2";"69120";"99";"1";"1";
"1793";"456321";"1";"2";"2";"74520";"99";"1";"1";
"1793";"456322";"1";"2";"2";"42360";"99";"1";"1";
"1793";"456323";"1";"2";"2";"47760";"99";"1";"1";
"1793";"456324";"1";"2";"2";"53160";"99";"1";"1";
"1793";"456325";"1";"2";"2";"64020";"99";"1";"1";
"1793";"456326";"1";"2";"2";"22140";"99";"1";"1";
"1793";"456327";"1";"2";"2";"26220";"99";"1";"1";
"1793";"456328";"1";"2";"2";"31500";"99";"1";"1";
