"Año","Cod_Municipio","Nom_Municipio","Desc_Concepto","Orden","Fecha_Alta_OT","Desc_OT","Direccion_OT","Provincia","Descripcion_Tarifa_Sub_1","Unidad_Medida_Sub_1","Descripcion_Tarifa_Sub_2","Ref_Catastral_Fin"
2017,46244,"TORRENT","VADOS","1169",27/11/1990,"CL HERNANDEZ MALILLOS 29 00","CL HERNANDEZ MALILLOS 29  00","VALENCIA","CATEGORIA A, B Y C","METRO LINEAL",,
2017,46244,"TORRENT","VADOS","1170",26/04/1989,"CL GERMANIES 49 00 DC","CL GERMANIES 49  00 DC","VALENCIA","CATEGORIA A, B Y C","METRO LINEAL","COLECTIVO PRIVADO Y D1 INDUSTRIAL (BLOQUES)",
2017,46244,"TORRENT","VADOS","1172",18/01/1991,"CL FRAY LUIS AMIGO 12 00","CL FRAY LUIS AMIGO 12  00","VALENCIA","CATEGORIA A, B Y C","METRO LINEAL",,
2017,46244,"TORRENT","VADOS","1173",27/11/1990,"PZ MAESTRO GINER 21 00","PZ MAESTRO GINER 21  00","VALENCIA","CATEGORIA E MINUSVALIDO","METRO LINEAL",,
2017,46244,"TORRENT","VADOS","1176",18/01/1991,"PZ VIRGEN DEL SOCORRO 9 00","PZ VIRGEN DEL SOCORRO 9  00","VALENCIA","CATEGORÍA D1 Y D2 INDUSTRIAL","METRO LINEAL",,
2017,46244,"TORRENT","VADOS","1177",18/01/1991,"CL PINTOR RENAU 19 IZ","CL PINTOR RENAU 19   IZ","VALENCIA","CATEGORIA A, B Y C","METRO LINEAL","COLECTIVO PRIVADO Y D1 INDUSTRIAL (BLOQUES)",
2017,46244,"TORRENT","VADOS","1181",05/02/1991,"CL PINTOR RENAU 40 ES","CL PINTOR RENAU 40   ES","VALENCIA","CATEGORIA A, B Y C","METRO LINEAL","COLECTIVO PRIVADO Y D1 INDUSTRIAL (BLOQUES)",
2017,46244,"TORRENT","VADOS","1182",05/02/1991,"CL SALVADOR EL 22 00","CL SALVADOR EL 22  00","VALENCIA","CATEGORÍA D1 Y D2 INDUSTRIAL","METRO LINEAL",,
2017,46244,"TORRENT","VADOS","1183",17/04/1989,"CL DOCTOR FRANCISCO ROSELLO 18 00 DC","CL DOCTOR FRANCISCO ROSELLO 18  00 DC","VALENCIA","CATEGORIA A, B Y C","METRO LINEAL",,
2017,46244,"TORRENT","VADOS","1185",14/04/1989,"CL D'ALBOCASSER 10 00 IZ","CL ALBOCASSER 10  00 IZ","VALENCIA","CATEGORIA A, B Y C","METRO LINEAL",,
2017,46244,"TORRENT","VADOS","1191",21/02/1991,"CL SAN JUAN BAUTISTA 9 00 IZ","CL SAN JUAN BAUTISTA 9  00 IZ","VALENCIA","CATEGORIA A, B Y C","METRO LINEAL","COLECTIVO PRIVADO Y D1 INDUSTRIAL (BLOQUES)",
2017,46244,"TORRENT","VADOS","1194",05/02/1991,"CL SAN URBANO 10 00","CL SAN URBANO 10  00","VALENCIA","CATEGORIA A, B Y C","METRO LINEAL",,
