CAST,VAL,VIA_V,VIA_C,VAL_L
C/ SANTA TERESA,C/ SANTA TERESA,C/,C/,C/ SANTA TERESA
C/ SANTA TERESITA,C/ SANTA TERESETA,C/,C/,C/ SANTA TERESETA
C/ SANTANDER,C/ SANTANDER,C/,C/,C/ SANTANDER
C/ SANTIAGO DE COMPOSTELA,C/ SANTIAGO DE COMPOSTEL·LA,C/,C/,C/ SANTIAGO DE COMPOSTEL·LA
C/ SANTISIMA TRINIDAD,C/ SANTISSIMA TRINITAT,C/,C/,C/ SANTÍSSIMA TRINITAT
C/ SANTISIMO CRISTO,C/ SANTISSIM CRIST,C/,C/,C/ SANTÍSSIM CRIST
C/ SANTO DOMINGO,C/ SANT DOMENEC,C/,C/,C/ SANT DOMÉNEC
C/ SANTO TOMAS,C/ SANT TOMAS,C/,C/,C/ SANT TOMÀS
C/ SANTOS PATRONOS,C/ SANTS PATRONS,C/,C/,C/ SANTS PATRONS
C/ SAUCE, EL,C/ SALZE,C/,C/,C/ SALZE
C/ SEDAVI,C/ SEDAVI,C/,C/,C/ SEDAVÍ
C/ SEGORBE,C/ SOGORB,C/,C/,C/ SOGORB
C/ SEGOVIA,C/ SEGOVIA,C/,C/,C/ SEGÒVIA
C/ SERRANS, DELS,C/ SERRANS,C/,C/,C/ SERRANS
C/ SEUL'88,C/ SEÜL-88,C/,C/,C/ SEÜL-88
C/ SIDNEY'00,C/ SIDNEY-00,C/,C/,C/ SIDNEY-00
C/ SILLA,C/ SILLA,C/,C/,C/ SILLA
C/ SIMANCAS,C/ SIMANCAS,C/,C/,C/ SIMANCAS
C/ SOL, DEL,C/ SOL,C/,C/,C/ SOL
C/ SOLLANA,C/ SOLLANA,C/,C/,C/ SOLLANA
C/ SOMBRERERS, DELS,C/ CAPELLERS,C/,C/,C/ CAPELLERS
C/ SONIA CARRERAS,C/ SONIA CARRERAS,C/,C/,C/ SONIA CARRERAS
C/ SORIA,C/ SORIA,C/,C/,C/ SÒRIA
C/ SOROLLA,C/ SOROLLA,C/,C/,C/ SOROLLA
C/ SUECA,C/ SUECA,C/,C/,C/ SUECA
C/ TARONGINA, DE LA,C/ TARONGINA,C/,C/,C/ TARONGINA
C/ TEIXIDORS, DELS,C/ TEIXIDORS,C/,C/,C/ TEIXIDORS
C/ TENERIFE,C/ TENERIFE,C/,C/,C/ TENERIFE
C/ TEODORO LLORENT,C/ TEODOR LLORENTE,C/,C/,C/ TEODOR LLORENTE
C/ TERUEL,C/ TEROL,C/,C/,C/ TEROL
C/ TILO, EL,C/ TIL·LER,C/,C/,C/ TIL·LER
C/ TIMO, DEL,C/ TIMO,C/,C/,C/ TIMÓ
C/ TINTORERS, DELS,C/ TINTORERS,C/,C/,C/ TINTORERS
C/ TIRANT LO BLANC,C/ TIRANT LO BLANC,C/,C/,C/ TIRANT LO BLANC
C/ TIRSO DE MOLINA,C/ TIRSO DE MOLINA,C/,C/,C/ TIRSO DE MOLINA
C/ TOKIO'64,C/ TOQUIO-64,C/,C/,C/ TÒQUIO-64
C/ TOLEDO,C/ TOLEDO,C/,C/,C/ TOLEDO
C/ TOLL-L'ALBERCA CALLE B,C/ TOLL-L'ALBERCA CARRER B,C/,C/,C/ TOLL-L'ALBERCA CARRER B
C/ TOLL-L'ALBERCA CALLE C,C/ TOLL-L'ALBERCA CARRER C,C/,C/,C/ TOLL-L'ALBERCA CARRER C
C/ TOLL-L'ALBERCA CALLE D,C/ TOLL-L'ALBERCA CARRER D,C/,C/,C/ TOLL-L'ALBERCA CARRER D
C/ TOLL-L'ALBERCA CALLE E,C/ TOLL-L'ALBERCA CARRER E,C/,C/,C/ TOLL-L'ALBERCA CARRER E
C/ TOLL-L'ALBERCA CALLE F,C/ TOLL-L'ALBERCA CARRER  F,C/,C/,C/ TOLL-L'ALBERCA CARRER  F
C/ TOLL-L'ALBERCA CALLE G,C/ TOLL-L'ALBERCA CARRER G,C/,C/,C/ TOLL-L'ALBERCA CARRER G
C/ TOLL-L'ALBERCA CALLE H,C/ TOLL-L'ALBERCA CARRER H,C/,C/,C/ TOLL-L'ALBERCA CARRER H
C/ TOLL-L'ALBERCA CALLE I,C/ TOLL-L'ALBERCA CARRER I,C/,C/,C/ TOLL-L'ALBERCA CARRER I
C/ TOLL-L'ALBERCA CALLE J,C/ TOLL-L'ALBERCA CARRER J,C/,C/,C/ TOLL-L'ALBERCA CARRER J
C/ TOLL-L'ALBERCA CALLE K,C/ TOLL-L'ALBERCA CARRER K,C/,C/,C/ TOLL-L'ALBERCA CARRER K
C/ TOLL-L'ALBERCA CALLE L,C/ TOLL-L'ALBERCA CARRER L,C/,C/,C/ TOLL-L'ALBERCA CARRER L
C/ TOMAS MIQUEL,C/ TOMAS MIQUEL,C/,C/,C/ TOMÀS MIQUEL
C/ TONELLET,C/ TONELLET,C/,C/,C/ TONELLET
C/ TORNS,C/ TORNS,C/,C/,C/ TORNS
C/ TRAFALGAR,C/ TRAFALGAR,C/,C/,C/ TRAFALGAR
C/ TRAGINERS, DELS,C/ TRAGINERS,C/,C/,C/ TRAGINERS
C/ TRAVESIA LA LUNA,C/ TRAVESSIA LA LLUNA,C/,C/,C/ TRAVESSIA LA LLUNA
C/ TREBALLADORS,C/ TREBALLADORS,C/,C/,C/ TREBALLADORS
C/ TURIS,C/ TORIS,C/,C/,C/ TORÍS
C/ URB. MAS DE LA MONTAÑETA,C/ URBANITZACIO MAS DE LA MUNTANYETA,C/,C/,C/ URBANITZACIÓ MAS DE LA MUNTANYETA
C/ UTIEL,C/ UTIEL,C/,C/,C/ UTIEL
C/ V CENTENARIO,C/ CINQUE CENTENARI,C/,C/,C/ CINQUÉ CENTENARI
C/ VALENCIA,C/ VALENCIA,C/,C/,C/ VALÈNCIA
C/ VALENTIN PLANELLS,C/ VALENTI PLANELLS,C/,C/,C/ VALENTÍ PLANELLS
C/ VALLE-INCLAN,C/ VALLE-INCLAN,C/,C/,C/ VALLE-INCLÁN
C/ VASCO DE GAMA,C/ VASCO DE GAMA,C/,C/,C/ VASCO DE GAMA
C/ VEDAT ZONA 1,C/ VEDAT ZONA 1,C/,C/,C/ VEDAT ZONA 1
C/ VELAZQUEZ,C/ VELAZQUEZ,C/,C/,C/ VELÁZQUEZ
C/ VELLUTERS, DELS,C/ VELLUTERS,C/,C/,C/ VELLUTERS
C/ VENECIA,C/ VENECIA,C/,C/,C/ VENÈCIA
C/ VICENT ANDRES ESTELLES,C/ VICENT ANDRES ESTELLES,C/,C/,C/ VICENT ANDRÉS ESTELLÉS
C/ VICENT GALBIS,C/ VICENT GALBIS,C/,C/,C/ VICENT GALBIS
C/ VICENT GONZALEZ LIZONDO,C/ VICENT GONZALEZ LIZONDO,C/,C/,C/ VICENT GONZÁLEZ LIZONDO
C/ VICENT MARIN I FERRER,C/ VICENT MARIN I FERRER,C/,C/,C/ VICENT MARIN I FERRER
C/ VICENT VENTURA,C/ VICENT VENTURA,C/,C/,C/ VICENT VENTURA
C/ VICENTE ALEIXANDRE,C/ VICENT ALEIXANDRE,C/,C/,C/ VICENT ALEIXANDRE
C/ VICENTE BLASCO IBAÑEZ,C/ VICENT BLASCO IBAÑEZ,C/,C/,C/ VICENT BLASCO IBÁÑEZ
C/ VICENTE PALLARDO,C/ VICENT PALLARDO,C/,C/,C/ VICENT PALLARDÓ
C/ VILA JOIOSA,C/ VILA JOIOSA,C/,C/,C/ VILA JOIOSA
C/ VILLANUEVA DE LA REINA,C/ VILLANUEVA DE LA REINA,C/,C/,C/ VILLANUEVA DE LA REINA
C/ VILLAR DEL ARZOBISPO,C/ EL VILLAR,C/,C/,C/ EL VILLAR
C/ VIRGEN DE BEGOÑA,C/ MARE DE DEU DE BEGONYA,C/,C/,C/ MARE DE DÉU DE BEGONYA
C/ VIRGEN DE FATIMA,C/ MARE DE DEU DE FATIMA,C/,C/,C/ MARE DE DÉU DE FÀTIMA
C/ VIRGEN DE GUADALUPE,C/ MARE DE DEU DE GUADALUPE,C/,C/,C/ MARE DE DÉU DE GUADALUPE
C/ VIRGEN DE LA ASUNCION,C/ MARE DE DEU DE L'ASSUMPCIO,C/,C/,C/ MARE DE DÉU DE L'ASSUMPCIÓ
C/ VIRGEN DE LA ESPERANZA,C/ MARE DE DEU DE L'ESPERANÇA,C/,C/,C/ MARE DE DÉU DE L'ESPERANÇA
C/ VIRGEN DE LA MACARENA,C/ MARE DE DEU DE LA MACARENA,C/,C/,C/ MARE DE DÉU DE LA MACARENA
C/ VIRGEN DE LA PAZ,C/ MARE DE DEU DE LA PAU,C/,C/,C/ MARE DE DÉU DE LA PAU
C/ VIRGEN DE LA PURIFICACION,C/ MARE DE DEU DE LA PURIFICACIO,C/,C/,C/ MARE DE DÉU DE LA PURIFICACIÓ
C/ VIRGEN DE LA SOLEDAD,C/ MARE DE DEU DE LA SOLEDAT,C/,C/,C/ MARE DE DÉU DE LA SOLEDAT
C/ VIRGEN DE LAS ANGUSTIAS,C/ MARE DE DEU DE LES ANGOIXES,C/,C/,C/ MARE DE DÉU DE LES ANGOIXES
C/ VIRGEN DE LORETO,C/ MARE DE DEU DE LORETO,C/,C/,C/ MARE DE DÉU DE LORETO
C/ VIRGEN DE LOS DESAMPARADOS,C/ MARE DE DEU DELS DESEMPARATS,C/,C/,C/ MARE DE DÉU DELS DESEMPARATS
C/ VIRGEN DE LOS DOLORES,C/ MARE DE DEU DELS DOLORS,C/,C/,C/ MARE DE DÉU DELS DOLORS
C/ VIRGEN DEL CARMEN,C/ MARE DE DEU DEL CARME,C/,C/,C/ MARE DE DÉU DEL CARME
C/ VIRGEN DEL OLIVAR,C/ MARE DE DEU DE L'OLIVAR,C/,C/,C/ MARE DE DÉU DE L'OLIVAR
C/ VIRGEN DEL PILAR,C/ MARE DE DEU DEL PILAR,C/,C/,C/ MARE DE DÉU DEL PILAR
C/ VIRGEN DEL PUIG,C/ MARE DE DEU DEL PUIG,C/,C/,C/ MARE DE DÉU DEL PUIG
C/ VIRGEN DEL ROSARIO,C/ MARE DE DEU DEL ROSARI,C/,C/,C/ MARE DE DÉU DEL ROSARI
C/ WENCESLAO FDEZ FLORES,C/ WENCESLAO FERNANDEZ FLORES,C/,C/,C/ WENCESLAO FERNÁNDEZ FLORES
C/ XIPRER, DEL,C/ XIPRER,C/,C/,C/ XIPRER
C/ XIRIVELLA,C/ XIRIVELLA,C/,C/,C/ XIRIVELLA
C/ XOCOLATERS,C/ XOCOLATERS,C/,C/,C/ XOCOLATERS
C/ YECLA,C/ IECLA,C/,C/,C/ IECLA
C/ YUSTE,C/ YUSTE,C/,C/,C/ YUSTE
C/ ZARAGOZA,C/ SARAGOSSA,C/,C/,C/ SARAGOSSA
C/ ZURBARAN,C/ ZURBARAN,C/,C/,C/ ZURBARÁN
CAMINO ALCACER,CAMI ALCASSER,CAMÍ,CAMINO,CAMÍ ALCÀSSER
CAMINO ARQUETS, DELS,CAMI ARQUETS,CAMÍ,CAMINO,CAMÍ ARQUETS
CAMINO BANDERILLA, DE LA,CAMI BANDERILLA,CAMÍ,CAMINO,CAMÍ BANDERILLA
CAMINO BARBETA, DE,CAMI BARBETA,CAMÍ,CAMINO,CAMÍ BARBETA
CAMINO BARBETA, DE,CAMI BARBETA,CAMÍ,CAMINO,CAMÍ FAJARDET
CAMINO BARRANC, DEL,CAMI BARRANC,CAMÍ,CAMINO,CAMÍ BARRANC
CAMINO BARRET, DE,CAMI BARRET,CAMÍ,CAMINO,CAMÍ BARRET
CAMINO BENETUSSER, DE,CAMI BENETUSSER,CAMÍ,CAMINO,CAMÍ BENETÚSSER
CAMINO BUNYOLER, DEL,CAMI BUNYOLER,CAMÍ,CAMINO,CAMÍ BUNYOLER
CAMINO CANARIERA, DE LA,CAMI CANARIERA,CAMÍ,CAMINO,CAMÍ CANARIERA
CAMINO CANTAROS,CAMI CANTERS,CAMÍ,CAMINO,CAMÍ CÀNTERS
CAMINO CANYADA DE BARCOS, DE LA,CAMI CANYADA DE BARCOS,CAMÍ,CAMINO,CAMÍ CANYADA DE BARCOS
CAMINO CANYADA DE BIRLET, DE LA,CAMI CANYADA DE BIRLET,CAMÍ,CAMINO,CAMÍ CANYADA DE BIRLET
CAMINO CANYADA DE GODELLETA,CAMI CANYADA DE GODELLETA,CAMÍ,CAMINO,CAMÍ CANYADA DE GODELLETA
CAMINO CANYADA DE L'ALBARDER, DE LA,CAMI CANYADA DE L'ALBARDER,CAMÍ,CAMINO,CAMÍ CANYADA DE L'ALBARDER
CAMINO CANYADA DE RAFELOT, DE LA,CAMI CANYADA DE RAFELOT,CAMÍ,CAMINO,CAMÍ CANYADA DE RAFELOT
CAMINO CANYADA DEL CORRAL,CAMI CANYADA DEL CORRAL,CAMÍ,CAMINO,CAMÍ CANYADA DEL CORRAL
CAMINO CANYADES, DE LES,CAMI CANYADES,CAMÍ,CAMINO,CAMÍ CANYADES
CAMINO CARBONERS, DELS,CAMI CARBONERS,CAMÍ,CAMINO,CAMÍ CARBONERS
CAMINO CASETA BLANCA, DE LA,CAMI CASETA BLANCA,CAMÍ,CAMINO,CAMÍ CASETA BLANCA
CAMINO CASETA DE COCOTA, DE LA,CAMI CASETA DE COCOTA,CAMÍ,CAMINO,CAMÍ CASETA DE COCOTA
CAMINO CASETA DE GRILL, DE LA,CAMI CASETA DE GRILL,CAMÍ,CAMINO,CAMÍ CASETA DE GRILL
CAMINO CASETA DEL LLUSTRE, DE LA,CAMI CASETA DEL LLUSTRE,CAMÍ,CAMINO,CAMÍ CASETA DEL LLUSTRE
CAMINO CATARROJA, DE,CAMI CATARROJA,CAMÍ,CAMINO,CAMÍ CATARROJA
CAMINO CONTIENDA, DE LA,CAMI CONTIENDA,CAMÍ,CAMINO,CAMÍ CONTIENDA
CAMINO CORRAL BLANC, DEL,CAMI CORRAL BLANC,CAMÍ,CAMINO,CAMÍ CORRAL BLANC
CAMINO CORRAL DE MANYES, DEL,CAMI CORRAL DE MANYES,CAMÍ,CAMINO,CAMÍ CORRAL DE MANYES
CAMINO CORRAL DE VOLANTE, DEL,CAMI CORRAL DE VOLANTE,CAMÍ,CAMINO,CAMÍ CORRAL DE VOLANTE
CAMINO COVATELLES, DE LES,CAMI COVATELLES,CAMÍ,CAMINO,CAMÍ COVATELLES
CAMINO DE GUARDALONGA,CAMI GUARDALONGA,CAMÍ,CAMINO,CAMÍ GUARDALONGA
CAMINO ENTRADA DELS FRANXOS, DE,CAMI ENTRADA DELS FRANXOS,CAMÍ,CAMINO,CAMÍ ENTRADA DELS FRANXOS
CAMINO FACHARDET,CAMI FAJARDET,CAMÍ,CAMINO,CAMÍ FAJARDET
CAMINO FALCO,CAMI FALCO,CAMÍ,CAMINO,CAMÍ FALCÓ
CAMINO FELIPETS,CAMI FELIPETS,CAMÍ,CAMINO,CAMÍ FELIPETS
CAMINO FONT DE MANYES, DE LA,CAMÍ FONT DE MANYES,CAMÍ,CAMINO,CAMÍ FONT DE MANYES
CAMINO FONT DE SANT LLUIS, DE LA,CAMI FONT DE SANT LLUIS,CAMÍ,CAMINO,CAMÍ FONT DE SANT LLUÍS
CAMINO GILS, DELS,CAMI GILS,CAMÍ,CAMINO,CAMÍ GILS
CAMINO GUARDALONGA,CAMI GUARDALONGA,CAMÍ,CAMINO,CAMÍ GUARDALONGA
CAMINO HORNILLOS, DELS,CAMI HORNILLOS,CAMÍ,CAMINO,CAMÍ HORNILLOS
CAMINO L'ALTER (PLA), DEL,CAMI L'ALTER (PLA),CAMÍ,CAMINO,CAMÍ L'ALTER (PLA)
CAMINO L'HORT DEL POLLASTRE, DE,CAMI L'HORT DEL POLLASTRE,CAMÍ,CAMINO,CAMÍ L'HORT DEL POLLASTRE
CAMINO LLOMA DE L'ESPART, DE LA,CAMI LLOMA DE L'ESPART,CAMÍ,CAMINO,CAMÍ LLOMA DE L'ESPART
CAMINO MADRONYAL, DEL,CAMI MADRONYAL,CAMÍ,CAMINO,CAMÍ MADRONYAL
CAMINO MALA MATA, DE,CAMI MALA MATA,CAMÍ,CAMINO,CAMÍ MALA MATA
CAMINO MALA MATA, DE LA,CAMI MALA MATA,CAMÍ,CAMINO,CAMÍ MALA MATA
CAMINO MALA PUJADA, DE LA,CAMI MALA PUJADA,CAMÍ,CAMINO,CAMÍ MALA PUJADA
CAMINO MARJADELLA, DE LA,CAMI MARJADELLA,CAMÍ,CAMINO,CAMÍ MARJADELLA
CAMINO MAS DEL JUTGE, DEL,CAMI MAS DEL JUTGE,CAMÍ,CAMINO,CAMÍ MAS DEL JUTGE
CAMINO MASET NOU, DEL,CAMI MASET NOU,CAMÍ,CAMINO,CAMÍ MASET NOU
CAMINO MOLLO RODAT, DEL,CAMI MOLLO RODAT,CAMÍ,CAMINO,CAMÍ MOLLÓ RODAT
CAMINO MOLLONS, DELS,CAMI MOLLONS,CAMÍ,CAMINO,CAMÍ MOLLONS
CAMINO MORENITO, DEL,CAMI MORENITO,CAMÍ,CAMINO,CAMÍ MORENITO
CAMINO MORREDONDO, DE,CAMI MORREDONDO,CAMÍ,CAMINO,CAMÍ MORREDONDO
CAMINO MOSCA, DE LA,CAMI MOSCA,CAMÍ,CAMINO,CAMÍ MOSCA
CAMINO MOSCATELLS, DE,CAMI MOSCATELLS,CAMÍ,CAMINO,CAMÍ MOSCATELLS
CAMINO MOTOR DE SANT LLUIS, DEL,CAMI MOTOR DE SANT LLUIS,CAMÍ,CAMINO,CAMÍ MOTOR DE SANT LLUÍS
CAMINO MURTERA, DE LA,CAMI MURTERA,CAMÍ,CAMINO,CAMÍ MURTERA
CAMINO NORIA, DE LA,CAMI NORIA,CAMÍ,CAMINO,CAMÍ NÒRIA
CAMINO PANTA, DEL,CAMI PANTA,CAMÍ,CAMINO,CAMÍ PANTÀ
CAMINO PANXETA, DE,CAMI PANXETA,CAMÍ,CAMINO,CAMÍ PANXETA
CAMINO PARDALA, DE LA,CAMI PARDALA,CAMÍ,CAMINO,CAMÍ PARDALA
CAMINO PEDRERA, DE LA,CAMI PEDRERA,CAMÍ,CAMINO,CAMÍ PEDRERA
CAMINO PEDROSO, DE,CAMI PEDROSO,CAMÍ,CAMINO,CAMÍ PEDROSO
CAMINO PENYA DEL GAT, DE LA,CAMI PENYA DEL GAT,CAMÍ,CAMINO,CAMÍ PENYA DEL GAT
CAMINO PICASSENT, DE,CAMI PICASSENT,CAMÍ,CAMINO,CAMÍ PICASSENT
CAMINO PLA DE QUART, DEL,CAMI PLA DE QUART,CAMÍ,CAMINO,CAMÍ PLA DE QUART
CAMINO POCICO, DEL,CAMI POCICO,CAMÍ,CAMINO,CAMÍ POCICO
CAMINO RAFOL, DEL,CAMI RAFOL,CAMÍ,CAMINO,CAMÍ RÀFOL
CAMINO REALON,CAMI REALON,CAMÍ,CAMINO,CAMÍ REALON
CAMINO REVUELTO, DE,CAMI REVUELTO,CAMÍ,CAMINO,CAMÍ REVUELTO
CAMINO ROMERAL,CAMI ROMERAL,CAMÍ,CAMINO,CAMÍ ROMERAL
CAMINO ROSAFINA, DE,CAMI ROSAFINA,CAMÍ,CAMINO,CAMÍ ROSAFINA
CAMINO SANT DOMINGO, DE,CAMI SANT DOMINGO,CAMÍ,CAMINO,CAMÍ SANT DOMINGO
CAMINO SANT FRANCESC, DE,CAMI SANT FRANCESC,CAMÍ,CAMINO,CAMÍ SANT FRANCESC
CAMINO SANTA ANNA, DE,CAMI SANTA ANNA,CAMÍ,CAMINO,CAMÍ SANTA ANNA
CAMINO SANTONJA, DE,CAMI SANTONJA,CAMÍ,CAMINO,CAMÍ SANTONJA
CAMINO SENDA DE L'OLIER, DE LA,CAMI SENDA DE L'OLIER,CAMÍ,CAMINO,CAMÍ SENDA DE L'OLIER
CAMINO SERRA, DE LA,CAMI SERRA,CAMÍ,CAMINO,CAMÍ SERRA
CAMINO TIZON, DE,CAMI TIZON,CAMÍ,CAMINO,CAMÍ TIZÓN
CAMINO TOLL, DEL,CAMI TOLL,CAMÍ,CAMINO,CAMÍ TOLL
CAMINO TRAVESSA DE LA FOIA, DE LA,CAMI TRAVESSA DE LA FOIA,CAMÍ,CAMINO,CAMÍ TRAVESSA DE LA FOIA
CAMINO TRAVESSA DEL MADRONYAL, DE LA,CAMI TRAVESSA DEL MADRONYAL,CAMÍ,CAMINO,CAMÍ TRAVESSA DEL MADRONYAL
CAMINO TRESOR, DEL,CAMI TRESOR,CAMÍ,CAMINO,CAMÍ TRESOR
CAMINO VELL D'ALAQUAS,CAMI VELL D'ALAQUAS,CAMÍ,CAMINO,CAMÍ VELL D'ALAQUÀS
CAMINO VELL DE MONTSERRAT,CAMI VELL DE MONTSERRAT,CAMÍ,CAMINO,CAMÍ VELL DE MONTSERRAT
CAMINO VELL DE VALENCIA,CAMI VELL DE VALENCIA,CAMÍ,CAMINO,CAMÍ VELL DE VALÈNCIA
CAMINO VEREDA, DE LA,CAMI VEREDA,CAMÍ,CAMINO,CAMÍ VEREDA
CAMINO XARCOS SECS,CAMI XARCOS SECS,CAMÍ,CAMINO,CAMÍ XARCOS SECS
CAMINO XITELL, DE,CAMI XITELL,CAMÍ,CAMINO,CAMÍ XITELL
CAMINO XIVA, DE,CAMI XIVA,CAMÍ,CAMINO,CAMÍ XIVA
CR MAS DEL JUTGE,CR MAS DEL JUTGE,CR,CR,CR MAS DEL JUTGE
CR MONSERRAT-REAL DE MONTROY,CR MONTSERRAT-REAL,CR,CR,CR MONTSERRAT-REAL
CR PICANYA,CR PICANYA,CR,CR,CR PICANYA
PD CARRASQUERA,PD CARRASQUERA,PD,PD,PD CARRASQUERA
PG/ ROSALES,PG/ ROSERS,PG/,PG/,PG/ ROSERS
PJ/ SAN JUAN,PG/ SANT JOAN,PJ/,PG/,PG/ SANT JOAN
PL LLIBERTAT,DE LA,PL LLIBERTAT,PZ,PL,PL LLIBERTAT
PL UNION MUSICAL DE TORRENT,PL UNIO MUSICAL DE TORRENT,PL,PL,PL UNIÓ MUSICAL DE TORRENT
PL/ AMERICA,PL/ AMERICA,PL/,PL/,PL/ AMÈRICA
PL/ DOMINICAL,PL/ DOMINICAL,PL/,PL/,PL/ DOMINICAL
PL/ FERNANDO CHULIA,PL/ FERNANDO CHULIA,PL/,PL/,PL/ FERNANDO CHULIÀ
PL/ FUENTES, LAS,PL/ FONTS,PL/,PL/,PL/ FONTS
PL/ HIEDRA, DE LA,PL/ HEURA,PL/,PL/,PL/ HEURA
PL/ LA ERA,PL/ ERA,PL/,PL/,PL/ ERA
PL/ LA TORRENTINA,PL/ LA TORRENTINA,PL/,PL/,PL/ LA TORRENTINA
PL/ MAESTRO GINER,PL/ MESTRE GINER,PL/,PL/,PL/ MESTRE GINER
PL/ OBISPO BENLLOCH,PL/ BISBE BENLLOCH,PL/,PL/,PL/ BISBE BENLLOCH
PL/ PARE TOMAS ROCA,PL/ PARE TOMAS ROCA,PL/,PL/,PL/ PARE TOMÀS ROCA
PL/ PEDRO ITURRALDE OCHOA,PL/ PEDRO ITURRALDE OCHOA,PL/,PL/,PL/ PEDRO ITURRALDE OCHOA
PL/ SAN JAIME,PL/ SANT JAUME,PL/,PL/,PL/ SANT JAUME
PL/ SAN PASCUAL,PL/ SANT PASQUAL,PL/,PL/,PL/ SANT PASQUAL
PL/ SAN ROQUE,PL/ SANT ROC,PL/,PL/,PL/ SANT ROC
PL/ VIRGEN DEL SOCORRO,PL/ MARE DE DEU DELS SOCORS,PL/,PL/,PL/ MARE DE DÉU DELS SOCORS
PTGE/ ENRIQUE RAMBAL,PTGE/ ENRIQUE RAMBAL,PTGE/,PTGE/,PTGE/ ENRIQUE RAMBAL
PZ COLON,PZ COLOM,PZ,PZ,PZ COLOM
PZ CONCORDIA, DE LA,PZ CONCORDIA,PZ,PZ,PZ CONCÒRDIA
PZ CORTS VALENCIANES, DE LES,PZ CORTS VALENCIANES,PZ,PZ,PZ CORTS VALENCIANES
PZ MAYOR,PZ MAJOR,PZ,PZ,PZ MAJOR
PZ MOTA,PZ MOTA,PZ,PZ,PZ MOTA
PZ SANTA LUCIA,PZ SANTA LLUCIA,PZ,PZ,PZ SANTA LLÚCIA
SD FOYETA, LA,SD FOIETA,SD,SD,SD FOIETA
TR ALBAIDA,TR ALBAIDA,TR,TR,TR ALBAIDA
TR ALCUDIA CARLET,TR ALCUDIA,TR,TR,TR ALCÚDIA
TR ALTA,TR ALT,TR,TR,TR ALT
TR BAJA,TR BAIX,TR,TR,TR BAIX
TR BARRACHINA,TR BARRACHINA,TR,TR,TR BARRACHINA
TR CAMPOAMOR,TR CAMPOAMOR,TR,TR,TR CAMPOAMOR
TR DOCTOR BARTUAL,TR DOCTOR BARTUAL,TR,TR,TR DOCTOR BARTUAL
TR DON JUAN ARTAL,TR JUAN ARTAL,TR,TR,TR JUAN ARTAL
TR GUILLEN DE CASTRO,TR GUILLEM DE CASTRO,TR,TR,TR GUILLEM DE CASTRO
TR JAZMIN, DEL,TR GESMILER,TR,TR,TR GESMILER
TR JOAQUIN COSTA,TR JOAQUIM COSTA,TR,TR,TR JOAQUIM COSTA
TR PABLO NERUDA,TR PABLO NERUDA,TR,TR,TR PABLO NERUDA
TR PINTOR PEDRO CAMARA 1,TR PINTOR PEDRO CAMARA 1,TR,TR,TR PINTOR PEDRO CÁMARA 1
TR PINTOR PEDRO CAMARA 3,TR PINTOR PEDRO CAMARA 3,TR,TR,TR PINTOR PEDRO CÁMARA 3
TR ROSENDO MONTORO,TR ROSENDO MONTORO,TR,TR,TR ROSENDO MONTORO
TR SAN GERARDO,TR SANT GERARD,TR,TR,TR SANT GERARD
TULIPA, DE LA,TULIPA,C/,C/,C/ TULIPA
UR CAMPING,UR CAMPING,UR,UR,UR CÀMPING
