Fecha,Temperatura interior,Monóxido de nitrógeno,Dióxido de nitrógeno,Partículas en suspensión < PM10,Óxidos de nitrógeno,Ozono,Tolueno,Benceno,Xileno,Hidrocarburos totales,Hidrocarburos no-metano,Velocidad del viento,Dirección del viento,Temperatura,Humedad relativa,Presión,Radiación solar,Precipitaciones
20171028 18:00,19.7,2.0,39.0,10.0,42.0,54.0,1.0,0.5,0.9,7.6,0.7,1.5,91,20.5,30,946,12,0.0
20171028 17:00,19.7,1.0,13.0,6.0,15.0,81.0,0.5,0.4,0.2,7.3,0.4,2.0,94,21.9,28,946,77,0.0
20171028 16:00,19.7,1.0,9.0,7.0,11.0,85.0,0.4,0.4,0.1,7.2,0.4,1.7,94,22.4,27,946,295,0.0
20171028 15:00,19.6,1.0,8.0,7.0,10.0,85.0,0.5,0.4,0.1,7.2,0.4,1.9,98,22.0,30,946,471,0.0
20171028 14:00,19.5,2.0,9.0,9.0,12.0,80.0,0.6,0.4,0.2,7.1,0.4,0.9,111,21.5,34,947,576,0.0
20171028 13:00,19.7,3.0,11.0,11.0,16.0,72.0,0.7,0.4,0.4,7.1,0.4,0.9,93,19.9,39,948,616,0.0
20171028 12:00,19.7,4.0,15.0,11.0,21.0,62.0,0.8,0.4,0.4,7.3,0.4,1.0,104,18.2,45,949,606,0.0
20171028 11:00,19.6,5.0,14.0,11.0,22.0,54.0,0.8,0.4,0.4,7.4,0.4,1.1,120,15.9,52,949,520,0.0
20171028 10:00,19.6,3.0,12.0,14.0,17.0,54.0,0.8,0.4,0.8,7.4,0.4,1.2,102,14.5,55,950,368,0.0
20171028 09:00,19.7,4.0,15.0,16.0,21.0,50.0,2.2,0.5,1.7,7.4,0.5,0.9,75,13.7,57,950,136,0.0
20171028 07:00,,,,,,,,,,,,,,,,,,,
20171028 06:00,,7.0,33.0,,,25.0,,,,,,,,,,,,0.0
20171028 05:00,,6.0,41.0,,,15.0,,,,,,,,,,,,0.0
20171028 04:00,,4.0,43.0,,,10.0,,,,,,,,,,,,0.0
20171028 03:00,,4.0,42.0,,,18.0,,,,,,,,,,,,0.0
20171028 02:00,,8.0,44.0,,,16.0,,,,,,0.1,,,,,,0.0
20171028 01:00,,3.0,32.0,,,31.0,,,,,0.8,,,,,,,0.0
20171028 00:00,,2.0,15.0,,18.0,58.0,,,,,,,,,,,,0.0
20171027 23:00,,1.0,12.0,,14.0,66.0,,,,,,,,,,,,0.0
20171027 22:00,,1.0,14.0,,16.0,62.0,,,,,,,,,,,,0.0
20171027 21:00,,1.0,15.0,,17.0,57.0,,,,,,,,,,,,0.0
20171027 20:00,,1.0,15.0,,17.0,60.0,,,,,,,,,,,,0.0
20171027 19:00,,1.0,17.0,,19.0,59.0,,,,,,,,,,,,0.0
20171027 18:00,,2.0,16.0,,19.0,60.0,,,,,,,,,,,,0.0
20171027 17:00,,2.0,11.0,,14.0,67.0,,,,,,,,,,,,0.0
20171027 16:00,,2.0,10.0,,13.0,62.0,,,,,,,,,,,,0.0
20171027 15:00,,2.0,9.0,,12.0,62.0,,,,,,,,,,,,0.0
20171027 14:00,,3.0,9.0,,14.0,59.0,,,,,,,,,,,,0.0
20171027 13:00,,3.0,10.0,,15.0,56.0,,,,,,,,,,,,0.0
20171027 12:00,19.7,11.0,28.0,61.0,45.0,46.0,3.3,0.5,2.0,7.4,0.6,1.9,73,24.2,31,952,587,0.0
20171027 11:00,19.7,13.0,30.0,61.0,50.0,44.0,5.2,0.6,2.8,7.6,0.6,1.2,82,21.0,37,952,507,0.0
20171027 10:00,19.9,62.0,62.0,102.0,157.0,17.0,13.7,3.6,11.9,8.7,1.4,0.9,102,17.4,43,953,327,0.0
20171027 09:00,19.5,221.0,99.0,140.0,438.0,8.0,26.6,2.0,19.1,10.5,2.7,0.3,152,15.2,51,952,142,0.0
