DATA_REFERENCIA,NACIONALITAT,SEXE,POBLACIO
2013,"MARROC, EL                    ",Dona,321
2013,"MARROC, EL                    ",Home,404
2013,MAURITÀNIA                    ,Home,1
2013,MÈXIC                         ,Dona,12
2013,MÈXIC                         ,Home,7
2013,MOLDÀVIA                      ,Dona,5
2013,MOLDÀVIA                      ,Home,2
2013,MONGÒLIA                      ,Dona,1
2013,MONTENEGRO                    ,Dona,1
2013,"NEPAL,EL                      ",Dona,2
2013,"NEPAL,EL                      ",Home,2
2013,NICARAGUA                     ,Dona,7
2013,NICARAGUA                     ,Home,3
2013,NIGÈRIA                       ,Dona,10
2013,NIGÈRIA                       ,Home,8
2013,NOVA ZELANDA                  ,Dona,1
2013,"PAÏSOS BAIXOS, ELS            ",Dona,5
2013,"PAÏSOS BAIXOS, ELS            ",Home,5
2013,"PAKISTAN, EL                  ",Dona,20
2013,"PAKISTAN, EL                  ",Home,78
2013,"PANAMÀ, EL                    ",Home,2
2013,"PARAGUAI, EL                  ",Dona,55
2013,"PARAGUAI, EL                  ",Home,25
2013,"PERÚ, EL                      ",Dona,47
2013,"PERÚ, EL                      ",Home,38
2013,POLÒNIA                       ,Dona,7
2013,POLÒNIA                       ,Home,7
2013,PORTUGAL                      ,Dona,13
2013,PORTUGAL                      ,Home,19
2013,"REGNE UNIT, EL                ",Dona,8
2013,"REGNE UNIT, EL                ",Home,10
2013,REPÚBLICA DEM. DEL CONGO      ,Dona,1
2013,"REPÚBLICA DOMINICANA, LA      ",Dona,91
2013,"REPÚBLICA DOMINICANA, LA      ",Home,63
2013,"REPÚBLICA TXECA, LA           ",Dona,2
2013,"REPÚBLICA TXECA, LA           ",Home,1
2013,ROMANIA                       ,Dona,88
2013,ROMANIA                       ,Home,80
2013,RÚSSIA                        ,Dona,26
2013,RÚSSIA                        ,Home,7
2013,"SENEGAL, EL                   ",Dona,23
2013,"SENEGAL, EL                   ",Home,67
2013,SÈRBIA                        ,Dona,1
2013,SÍRIA                         ,Dona,2
2013,SÍRIA                         ,Home,1
2013,SUÈCIA                        ,Dona,2
2013,SUÈCIA                        ,Home,2
2013,TUNÍSIA                       ,Dona,1
2013,TUNÍSIA                       ,Home,1
2013,TURQUIA                       ,Dona,1
2013,TURQUIA                       ,Home,3
2013,UCRAÏNA                       ,Dona,10
2013,UCRAÏNA                       ,Home,9
2013,"URUGUAI, L                    ",Dona,25
2013,"URUGUAI, L                    ",Home,23
2013,"UZBEKISTAN, L                 ",Home,1
2013,VENEÇUELA                     ,Dona,31
2013,VENEÇUELA                     ,Home,28
2013,"VIETNAM, EL                   ",Dona,1
2013,XILE                          ,Dona,14
2013,XILE                          ,Home,7
2013,"XINA, LA                      ",Dona,82
2013,"XINA, LA                      ",Home,94
2014,ALBÀNIA                       ,Home,3
2014,ALEMANYA                      ,Dona,6
2014,ALEMANYA                      ,Home,7
2014,ALGÈRIA                       ,Dona,5
2014,ALGÈRIA                       ,Home,8
2014,ALTRES PAÏSOS D ÀSIA          ,Dona,2
2014,"ARGENTINA, L                  ",Dona,38
2014,"ARGENTINA, L                  ",Home,31
2014,ARMÈNIA                       ,Dona,7
2014,ARMÈNIA                       ,Home,2
2014,AUSTRÀLIA                     ,Dona,1
2014,ÀUSTRIA                       ,Dona,3
2014,ÀUSTRIA                       ,Home,1
2014,BANGLA DESH                   ,Dona,1
2014,BANGLA DESH                   ,Home,2
2014,BÈLGICA                       ,Dona,1
2014,BIELORÚSSIA                   ,Dona,1
2014,BIELORÚSSIA                   ,Home,1
2014,BOLÍVIA                       ,Dona,47
2014,BOLÍVIA                       ,Home,14
2014,"BRASIL, EL                    ",Dona,32
2014,"BRASIL, EL                    ",Home,11
2014,BULGÀRIA                      ,Dona,6
2014,BULGÀRIA                      ,Home,3
2014,"CAMERUN, EL                   ",Dona,2
2014,"CANADÀ, EL                    ",Dona,5
2014,"CANADÀ, EL                    ",Home,1
2014,COLÒMBIA                      ,Dona,44
2014,COLÒMBIA                      ,Home,46
2014,COREA DEL SUD                 ,Dona,1
2014,COREA DEL SUD                 ,Home,2
2014,"COSTA D IVORI, LA             ",Dona,3
2014,COSTA RICA                    ,Dona,2
2014,COSTA RICA                    ,Home,3
2014,CROÀCIA                       ,Dona,1
2014,CROÀCIA                       ,Home,1
2014,CUBA                          ,Dona,25
2014,CUBA                          ,Home,20
2014,DOMINICA                      ,Dona,2
2014,DOMINICA                      ,Home,2
2014,EGIPTE                        ,Home,3
2014,EL SALVADOR                   ,Dona,10
2014,EL SALVADOR                   ,Home,5
2014,"EQUADOR, L                    ",Dona,64
2014,"EQUADOR, L                    ",Home,50
2014,ESPANYA                       ,Dona,2645
2014,ESPANYA                       ,Home,2616
2014,"ESTATS UNITS D AMÈRICA, ELS   ",Dona,9
2014,"ESTATS UNITS D AMÈRICA, ELS   ",Home,7
2014,"FILIPINES, LES                ",Dona,1
2014,FINLÀNDIA                     ,Home,1
2014,FRANÇA                        ,Dona,14
2014,FRANÇA                        ,Home,16
2014,GÀMBIA                        ,Home,4
