DATA_REFERENCIA,MUNICIPI_PROCE_DESTI,PROVINCIA_PROCE_DESTI,TIPUS_MOVIMENT,POBLACIO
2011,CARDONA                       ,BARCELONA,ALTA PER IMMIGRACIÓ           ,3
2011,CASSERRES                     ,BARCELONA,ALTA PER IMMIGRACIÓ           ,3
2011,CASTELLAR DEL VALLÈS          ,BARCELONA,ALTA PER IMMIGRACIÓ           ,75
2011,CASTELLBELL I EL VILAR        ,BARCELONA,ALTA PER IMMIGRACIÓ           ,33
2011,CASTELLBISBAL                 ,BARCELONA,ALTA PER IMMIGRACIÓ           ,17
2011,CASTELLDEFELS                 ,BARCELONA,ALTA PER IMMIGRACIÓ           ,24
2011,CASTELLGALÍ                   ,BARCELONA,ALTA PER IMMIGRACIÓ           ,7
2011,CASTELLTERÇOL                 ,BARCELONA,ALTA PER IMMIGRACIÓ           ,2
2011,CENTELLES                     ,BARCELONA,ALTA PER IMMIGRACIÓ           ,4
2011,CERCS                         ,BARCELONA,ALTA PER IMMIGRACIÓ           ,2
2011,CERDANYOLA DEL VALLÈS         ,BARCELONA,ALTA PER IMMIGRACIÓ           ,97
2011,CERVELLÓ                      ,BARCELONA,ALTA PER IMMIGRACIÓ           ,4
2011,COLLBATÓ                      ,BARCELONA,ALTA PER IMMIGRACIÓ           ,1
2011,CORBERA DE LLOBREGAT          ,BARCELONA,ALTA PER IMMIGRACIÓ           ,8
2011,CORNELLÀ DE LLOBREGAT         ,BARCELONA,ALTA PER IMMIGRACIÓ           ,50
2011,CUBELLES                      ,BARCELONA,ALTA PER IMMIGRACIÓ           ,11
2011,EL MASNOU                     ,BARCELONA,ALTA PER IMMIGRACIÓ           ,9
2011,EL PAPIOL                     ,BARCELONA,ALTA PER IMMIGRACIÓ           ,10
2011,EL PONT DE VILOMARA I ROCAFORT,BARCELONA,ALTA PER IMMIGRACIÓ           ,17
2011,EL PRAT DE LLOBREGAT          ,BARCELONA,ALTA PER IMMIGRACIÓ           ,29
2011,ESPARREGUERA                  ,BARCELONA,ALTA PER IMMIGRACIÓ           ,8
2011,ESPLUGUES DE LLOBREGAT        ,BARCELONA,ALTA PER IMMIGRACIÓ           ,13
2011,"ESQUIROL, L                   ",BARCELONA,ALTA PER IMMIGRACIÓ           ,1
2011,FIGARÓ-MONTMANY               ,BARCELONA,ALTA PER IMMIGRACIÓ           ,2
2011,FOLGUEROLES                   ,BARCELONA,ALTA PER IMMIGRACIÓ           ,1
2011,FONOLLOSA                     ,BARCELONA,ALTA PER IMMIGRACIÓ           ,2
2011,GAVÀ                          ,BARCELONA,ALTA PER IMMIGRACIÓ           ,18
2011,GELIDA                        ,BARCELONA,ALTA PER IMMIGRACIÓ           ,1
2011,GIRONELLA                     ,BARCELONA,ALTA PER IMMIGRACIÓ           ,2
2011,GRANOLLERS                    ,BARCELONA,ALTA PER IMMIGRACIÓ           ,47
2011,GUARDIOLA DE BERGUEDÀ         ,BARCELONA,ALTA PER IMMIGRACIÓ           ,1
2011,IGUALADA                      ,BARCELONA,ALTA PER IMMIGRACIÓ           ,17
2011,LA GARRIGA                    ,BARCELONA,ALTA PER IMMIGRACIÓ           ,4
2011,LA LLAGOSTA                   ,BARCELONA,ALTA PER IMMIGRACIÓ           ,12
2011,LA POBLA DE LILLET            ,BARCELONA,ALTA PER IMMIGRACIÓ           ,1
