CARRERS_CODI,CARRERS_TIPUS_VIA,CARRERS_NOM_OFICIAL,CARRERS_NOM18
1837,CA,KENYA,DE KENYA
1840,CA,AUTONOMIA,DE L  AUTONOMIA
1842,AU,,AUTOPISTA C-58 
1845,CA,ESGLÉSIA,DE L  ESGLÉSIA
1846,CA,ESPÍGOL,DE L  ESPÍGOL
1850,PL,ESTACIÓ DEL NORD,DE L  ESTACIÓ DEL NORD
1851,CA,EUCALIPTUS,DE L  EUCALIPTUS
1855,CA,INFANT MARTÍ,DE L  INFANT MARTÍ
1860,PL,ONZE DE SETEMBRE,DE L  ONZE DE SETEMBRE
1865,AV,LACETÀNIA,DE LACETÀNIA
1870,PL,LAUREÀ BARRAU,DE LAUREÀ BARRAU
1875,CA,LAVOISIER,DE LAVOISIER
1880,CA,LLEÓ,DE LLEÓ
1885,CA,LLEÓ XIII,DE LLEÓ XIII
1890,CA,LEPANT,DE LEPANT
1895,CA,LLEIDA,DE LLEIDA
1900,CA,LETUR,DE LETUR
1901,CA,LÍBIA,DE LÍBIA
1902,CA,LIBRA,DE LIBRA
1905,CA,LINARES,DE LINARES
1915,CA,LINNÉ,DE LINNÉ
1920,CA,LLIRI,DEL LLIRI
1922,PS,LLUÍS MUNCUNILL,DE LLUÍS MUNCUNILL
1925,CA,LOGRONYO,DE LOGRONYO
1935,CA,LUGO,DE LUGO
1940,CA,LLUNA,DE LA LLUNA
1945,PA,LUXEMBURG,DE LUXEMBURG
1946,CA,LLEVANT,DEL LLEVANT
1950,CA,LLIBERTAT,DE LA LLIBERTAT
1960,AV,MADRID,DE MADRID
1965,CA,MAESTRAT,DEL MAESTRAT
1970,PL,MESTRE SERRAT,DEL MESTRE SERRAT
1974,CA,MANYANS,DELS MANYANS
1975,CA,MESTRE TRIAS,DEL MESTRE TRIAS
1976,CA,MITJAIRES,DELS MITJAIRES
1985,CA,MAGALLANES,DE MAGALLANES
1990,PL,MAGNÒLIES,DE LES MAGNÒLIES
1995,CA,MAÓ,DE MAÓ
2000,CA,,MAJOR 
2005,CA,,MAJOR DE SANT PERE 
2010,CA,MÀLAGA,DE MÀLAGA
