VOTACIO,TITOL,ANY_VOTACIO,DISTRICTE,SECCIO,NUM_ELECTORS,NUM_VOTANTS,VOTS_BLANCS,VOTS_NULS,VOTS_CANDIDATURES
G,Eleccions Generals                      ,2008,1,21,1051,750,13,2,735
G,Eleccions Generals                      ,2008,4,21,813,558,3,1,554
G,Eleccions Generals                      ,2008,5,21,1391,1003,16,4,983
G,Eleccions Generals                      ,2008,6,21,786,468,2,3,463
G,Eleccions Generals                      ,2008,1,22,1264,913,11,4,898
G,Eleccions Generals                      ,2008,4,22,1543,1084,11,0,1073
G,Eleccions Generals                      ,2008,5,22,555,376,2,0,374
G,Eleccions Generals                      ,2008,1,23,880,673,13,4,656
G,Eleccions Generals                      ,2008,4,23,1492,1066,12,0,1054
G,Eleccions Generals                      ,2008,5,23,1206,872,13,6,853
G,Eleccions Generals                      ,2008,6,23,964,648,7,5,636
G,Eleccions Generals                      ,2008,4,24,1269,854,15,0,839
G,Eleccions Generals                      ,2008,5,24,1102,755,7,1,747
G,Eleccions Generals                      ,2008,6,24,1791,1216,13,8,1195
G,Eleccions Generals                      ,2008,4,25,939,665,19,10,636
G,Eleccions Generals                      ,2008,5,25,864,634,9,3,622
G,Eleccions Generals                      ,2008,6,25,1382,936,14,5,917
G,Eleccions Generals                      ,2008,4,26,1006,779,21,2,756
G,Eleccions Generals                      ,2008,5,26,1027,771,15,7,749
G,Eleccions Generals                      ,2008,6,26,1222,813,11,5,797
G,Eleccions Generals                      ,2008,6,27,1001,657,10,3,644
G,Eleccions Generals                      ,2008,6,28,1180,833,8,1,824
G,Eleccions Generals                      ,2008,6,29,769,496,8,2,486
G,Eleccions Generals                      ,2008,6,30,1925,1329,22,8,1299
G,Eleccions Generals                      ,2008,6,31,760,466,1,8,457
G,Eleccions Generals                      ,2011,1,1,1028,816,12,7,797
G,Eleccions Generals                      ,2011,2,1,1050,683,12,3,668
G,Eleccions Generals                      ,2011,3,1,1344,907,20,15,872
G,Eleccions Generals                      ,2011,4,1,1042,761,20,4,737
G,Eleccions Generals                      ,2011,5,1,1436,991,12,22,957
G,Eleccions Generals                      ,2011,6,1,841,577,10,10,557
G,Eleccions Generals                      ,2011,1,2,1102,762,13,14,735
G,Eleccions Generals                      ,2011,2,2,517,311,6,5,300
G,Eleccions Generals                      ,2011,3,2,964,695,21,8,666
G,Eleccions Generals                      ,2011,4,2,1108,782,8,8,766
G,Eleccions Generals                      ,2011,5,2,1121,744,16,12,716
G,Eleccions Generals                      ,2011,6,2,1132,738,9,7,722
G,Eleccions Generals                      ,2011,2,3,495,298,2,0,296
G,Eleccions Generals                      ,2011,3,3,1165,745,11,7,727
G,Eleccions Generals                      ,2011,4,3,1208,861,21,8,832
G,Eleccions Generals                      ,2011,5,3,1397,952,8,5,939
G,Eleccions Generals                      ,2011,6,3,1454,934,21,12,901
G,Eleccions Generals                      ,2011,1,4,1340,1002,13,12,977
G,Eleccions Generals                      ,2011,2,4,736,472,9,6,457
G,Eleccions Generals                      ,2011,3,4,882,530,14,6,510
G,Eleccions Generals                      ,2011,4,4,1090,769,12,11,746
G,Eleccions Generals                      ,2011,5,4,1107,796,23,16,757
G,Eleccions Generals                      ,2011,6,4,880,559,10,5,544
G,Eleccions Generals                      ,2011,1,5,957,736,25,3,708
G,Eleccions Generals                      ,2011,2,5,790,515,5,6,504
G,Eleccions Generals                      ,2011,3,5,1418,918,18,21,879
G,Eleccions Generals                      ,2011,4,5,1169,767,20,11,736
G,Eleccions Generals                      ,2011,5,5,764,487,3,4,480
G,Eleccions Generals                      ,2011,6,5,1051,669,12,11,646
G,Eleccions Generals                      ,2011,1,6,1172,885,18,13,854
G,Eleccions Generals                      ,2011,2,6,682,459,11,5,443
G,Eleccions Generals                      ,2011,3,6,1401,972,23,13,936
G,Eleccions Generals                      ,2011,4,6,1361,952,22,16,914
G,Eleccions Generals                      ,2011,5,6,1572,1132,21,14,1097
G,Eleccions Generals                      ,2011,6,6,1121,731,15,17,699
G,Eleccions Generals                      ,2011,1,7,1241,912,15,14,883
G,Eleccions Generals                      ,2011,2,7,306,203,6,2,195
G,Eleccions Generals                      ,2011,3,7,1523,1029,21,10,998
G,Eleccions Generals                      ,2011,4,7,1803,1168,25,13,1130
G,Eleccions Generals                      ,2011,5,7,860,661,11,11,639
G,Eleccions Generals                      ,2011,1,8,1709,1304,19,23,1262
G,Eleccions Generals                      ,2011,2,8,711,462,22,3,437
G,Eleccions Generals                      ,2011,3,8,1207,763,9,3,751
G,Eleccions Generals                      ,2011,4,8,865,596,14,13,569
G,Eleccions Generals                      ,2011,5,8,1397,949,23,18,908
G,Eleccions Generals                      ,2011,6,8,1579,1041,14,13,1014
G,Eleccions Generals                      ,2011,1,9,880,631,7,10,614
G,Eleccions Generals                      ,2011,2,9,572,380,6,8,366
G,Eleccions Generals                      ,2011,3,9,1812,1301,31,27,1243
G,Eleccions Generals                      ,2011,4,9,756,480,8,6,466
G,Eleccions Generals                      ,2011,5,9,1325,973,17,14,942
G,Eleccions Generals                      ,2011,6,9,844,578,8,8,562
G,Eleccions Generals                      ,2011,1,10,940,683,11,7,665
G,Eleccions Generals                      ,2011,2,10,479,321,10,5,306
G,Eleccions Generals                      ,2011,3,10,1545,945,23,11,911
G,Eleccions Generals                      ,2011,4,10,457,279,3,3,273
G,Eleccions Generals                      ,2011,5,10,1458,997,15,6,976
G,Eleccions Generals                      ,2011,6,10,1529,1076,24,10,1042
G,Eleccions Generals                      ,2011,1,11,915,625,5,17,603
G,Eleccions Generals                      ,2011,2,11,836,520,11,8,501
G,Eleccions Generals                      ,2011,3,11,1104,605,21,7,577
G,Eleccions Generals                      ,2011,4,11,566,375,6,6,363
G,Eleccions Generals                      ,2011,5,11,1447,1062,22,19,1021
G,Eleccions Generals                      ,2011,6,11,1306,715,17,2,696
G,Eleccions Generals                      ,2011,1,12,1067,729,15,11,703
G,Eleccions Generals                      ,2011,2,12,623,367,4,6,357
G,Eleccions Generals                      ,2011,3,12,1712,1159,20,14,1125
G,Eleccions Generals                      ,2011,4,12,969,666,19,12,635
G,Eleccions Generals                      ,2011,5,12,581,382,14,4,364
G,Eleccions Generals                      ,2011,6,12,968,621,5,12,604
G,Eleccions Generals                      ,2011,1,13,632,432,10,10,412
G,Eleccions Generals                      ,2011,3,13,429,282,4,4,274
G,Eleccions Generals                      ,2011,4,13,1188,850,14,14,822
G,Eleccions Generals                      ,2011,5,13,1014,634,23,11,600
G,Eleccions Generals                      ,2011,6,13,670,468,5,6,457
G,Eleccions Generals                      ,2011,1,14,1578,1021,25,14,982
G,Eleccions Generals                      ,2011,2,14,1358,894,20,11,863
G,Eleccions Generals                      ,2011,3,14,1103,697,9,6,682
G,Eleccions Generals                      ,2011,4,14,928,739,14,3,722
G,Eleccions Generals                      ,2011,5,14,1560,1110,23,21,1066
G,Eleccions Generals                      ,2011,6,14,682,405,7,4,394
G,Eleccions Generals                      ,2011,1,15,926,662,4,7,651
G,Eleccions Generals                      ,2011,2,15,635,324,4,0,320
G,Eleccions Generals                      ,2011,3,15,879,638,8,7,623
G,Eleccions Generals                      ,2011,4,15,840,608,9,11,588
G,Eleccions Generals                      ,2011,5,15,1514,945,12,14,919
G,Eleccions Generals                      ,2011,1,16,1766,1266,16,15,1235
G,Eleccions Generals                      ,2011,2,16,1175,753,18,9,726
G,Eleccions Generals                      ,2011,3,16,608,403,5,3,395
G,Eleccions Generals                      ,2011,4,16,927,716,7,8,701
G,Eleccions Generals                      ,2011,5,16,1714,1123,26,16,1081
G,Eleccions Generals                      ,2011,6,16,1136,647,18,5,624
G,Eleccions Generals                      ,2011,1,17,1637,1233,20,15,1198
G,Eleccions Generals                      ,2011,2,17,877,526,17,8,501
G,Eleccions Generals                      ,2011,3,17,860,557,15,7,535
G,Eleccions Generals                      ,2011,4,17,1056,807,16,11,780
G,Eleccions Generals                      ,2011,5,17,1265,865,23,15,827
G,Eleccions Generals                      ,2011,1,18,419,306,12,2,292
G,Eleccions Generals                      ,2011,3,18,770,543,11,3,529
G,Eleccions Generals                      ,2011,4,18,1596,1155,28,12,1115
G,Eleccions Generals                      ,2011,5,18,991,698,7,6,685
G,Eleccions Generals                      ,2011,6,18,497,301,6,2,293
G,Eleccions Generals                      ,2011,1,19,1098,817,15,7,795
G,Eleccions Generals                      ,2011,3,19,938,590,9,8,573
G,Eleccions Generals                      ,2011,4,19,893,602,13,4,585
G,Eleccions Generals                      ,2011,5,19,802,543,10,12,521
G,Eleccions Generals                      ,2011,6,19,448,303,9,0,294
G,Eleccions Generals                      ,2011,1,20,955,740,10,11,719
G,Eleccions Generals                      ,2011,3,20,1217,780,9,10,761
G,Eleccions Generals                      ,2011,4,20,533,305,3,2,300
G,Eleccions Generals                      ,2011,5,20,1170,788,9,11,768
G,Eleccions Generals                      ,2011,6,20,450,275,2,2,271
G,Eleccions Generals                      ,2011,1,21,1039,755,14,11,730
G,Eleccions Generals                      ,2011,4,21,789,535,9,8,518
G,Eleccions Generals                      ,2011,5,21,1370,976,19,6,951
G,Eleccions Generals                      ,2011,6,21,694,411,9,6,396
G,Eleccions Generals                      ,2011,1,22,1319,969,21,10,938
G,Eleccions Generals                      ,2011,4,22,1587,1039,22,6,1011
G,Eleccions Generals                      ,2011,5,22,531,352,7,5,340
G,Eleccions Generals                      ,2011,1,23,935,748,12,9,727
G,Eleccions Generals                      ,2011,4,23,1521,1067,20,15,1032
G,Eleccions Generals                      ,2011,5,23,1195,832,16,11,805
G,Eleccions Generals                      ,2011,6,23,947,617,12,10,595
G,Eleccions Generals                      ,2011,1,24,599,462,3,6,453
G,Eleccions Generals                      ,2011,4,24,1442,929,34,21,874
G,Eleccions Generals                      ,2011,5,24,1103,765,14,5,746
G,Eleccions Generals                      ,2011,6,24,1780,1186,30,14,1142
G,Eleccions Generals                      ,2011,4,25,914,621,16,12,593
G,Eleccions Generals                      ,2011,5,25,861,610,15,11,584
G,Eleccions Generals                      ,2011,6,25,1416,910,17,5,888
G,Eleccions Generals                      ,2011,4,26,1024,767,7,6,754
G,Eleccions Generals                      ,2011,5,26,1015,754,12,6,736
G,Eleccions Generals                      ,2011,6,26,1214,779,23,11,745
G,Eleccions Generals                      ,2011,5,27,935,687,20,15,652
G,Eleccions Generals                      ,2011,6,27,972,598,13,6,579
G,Eleccions Generals                      ,2011,5,28,862,632,17,9,606
G,Eleccions Generals                      ,2011,6,28,1181,824,12,7,805
G,Eleccions Generals                      ,2011,5,29,865,618,12,8,598
G,Eleccions Generals                      ,2011,6,29,774,485,13,6,466
G,Eleccions Generals                      ,2011,6,30,544,341,8,5,328
G,Eleccions Generals                      ,2011,6,31,773,455,3,9,443
G,Eleccions Generals                      ,2011,6,32,535,331,5,0,326
G,Eleccions Generals                      ,2011,6,33,974,693,15,11,667
G,Eleccions Generals                      ,2015,1,1,1039,813,8,2,803
G,Eleccions Generals                      ,2015,2,1,1071,730,2,3,725
G,Eleccions Generals                      ,2015,3,1,1317,949,2,1,946
