DISTRICTE,BARRI,TIPUS_VEHICLE,TOTAL
Districte 3,Can Palet                               ,Remolcs,105
Districte 3,Can Palet Ii                            ,Turismes,357
Districte 4,Ca N Aurell                             ,Ciclomotors,408
Districte 5,Sant Pere                               ,Tractors,50
Districte 4,Les Martines                            ,Motocicletes,57
Districte 3,P.I. Can Parellada                      ,Camions,309
Districte 3,Les Fonts                               ,Ciclomotors,56
Districte 1,Vallparadís                             ,Remolcs,32
Districte 4,Ca N Aurell                             ,Tractors,74
Districte 4,Can Palet De Vista Alegre               ,Ciclomotors,52
Districte 3,P.I. Can Parellada                      ,Tractors,168
Districte 4,La Maurina                              ,Ciclomotors,237
Districte 4,Disseminats                             ,Camions,5
Districte 5,Can Boada Del Pi                        ,Motocicletes,64
Districte 5,Disseminats                             ,Remolcs,1
Districte 4,Les Martines                            ,Ciclomotors,41
Districte 1,Antic Poble De Sant Pere                ,Motocicletes,56
Districte 1,Pl. Catalunya - Esc. Industrial         ,Remolcs,23
Districte 5,Can Roca                                ,Remolcs,34
Districte 4,Vista Alegre                            ,Ciclomotors,6
Districte 2,Disseminats                             ,Camions,39
Districte 5,Pla Del Bon Aire - El Garrot            ,Tractors,1
Districte 3,P.I. Santa Eulàlia                      ,Turismes,172
Districte 3,P.I. Santa Eulàlia                      ,Camions,194
Districte 3,P.I. Santa Eulàlia                      ,Motocicletes,6
Districte 6,Font De L Espardenyera                  ,Remolcs,2
Districte 2,Vilardell                               ,Tractors,1
Districte 5,Can Gonteres                            ,Remolcs,6
Districte ,,Autobusos,3
Districte 3,P.I. Santa Margarida                    ,Remolcs,19
Districte 3,P.I. Can Parellada                      ,Autobusos,17
Districte 3,Disseminats                             ,Autobusos,73
Districte 3,Disseminats                             ,Remolcs,3
Districte 6,Disseminats                             ,Tractors,10
Districte 1,Pl. Catalunya - Esc. Industrial         ,Autobusos,2
Districte 5,Els Caus - Els Pinetons                 ,Ciclomotors,1
Districte 6,P.I. Can Petit                          ,Ciclomotors,2
Districte 3,P.I. Can Guitard                        ,Remolcs,1
Districte 5,Poble Nou - Zona Esportiva              ,Turismes,5380
Districte 4,Ca N Aurell                             ,Turismes,7766
Districte 6,Les Arenes - La Grípia - Can Montllor   ,Camions,821
Districte 4,La Cogullada                            ,Turismes,2285
Districte 6,Ègara                                   ,Turismes,1709
Districte 6,Sant Llorenç                            ,Turismes,1521
Districte 6,Sant Pere Nord                          ,Turismes,6307
Districte 6,Sant Pere Nord                          ,Motocicletes,924
Districte 3,Can Palet                               ,Camions,572
Districte 3,Can Parellada                           ,Motocicletes,325
Districte 5,Sant Pere                               ,Camions,587
Districte 1,Centre                                  ,Motocicletes,1707
Districte 5,Can Roca                                ,Turismes,1487
Districte 4,Ca N Aurell                             ,Motocicletes,1306
Districte 5,Can Roca                                ,Tractors,18
Districte 4,Can Palet De Vista Alegre               ,Turismes,803
Districte 2,Ca N Anglada                            ,Camions,678
Districte 3,Can Jofresa                             ,Motocicletes,56
Districte 6,Sant Llorenç                            ,Ciclomotors,126
Districte 1,Centre                                  ,Remolcs,126
Districte 2,Torre-Sana                              ,Camions,308
Districte 3,Segle Xx                                ,Ciclomotors,132
Districte 3,Can Jofresa                             ,Camions,70
Districte 5,Torrent D En Pere Parres                ,Camions,236
Districte 3,Can Jofresa                             ,Remolcs,19
Districte 5,Disseminats                             ,Motocicletes,16
Districte 6,Les Arenes - La Grípia - Can Montllor   ,Ciclomotors,330
Districte 2,Disseminats                             ,Ciclomotors,2
Districte 6,Can Tusell                              ,Motocicletes,104
Districte 5,Torrent D En Pere Parres                ,Remolcs,50
Districte 5,Torrent D En Pere Parres                ,Ciclomotors,116
Districte ,,Remolcs,96
Districte ,,Tractors,127
Districte 3,Guadalhorce                             ,Motocicletes,42
Districte 5,Can Boada Del Pi                        ,Remolcs,10
Districte 4,Can Palet De Vista Alegre               ,Tractors,34
Districte 5,Poble Nou - Zona Esportiva              ,Tractors,77
Districte 6,Can Tusell                              ,Remolcs,13
Districte 5,Can Boada Casc Antic                    ,Remolcs,49
Districte 4,La Cogullada                            ,Tractors,34
Districte 3,Can Jofresa                             ,Autobusos,1
Districte 5,Pla Del Bon Aire - El Garrot            ,Motocicletes,12
Districte 5,Can Roca                                ,Ciclomotors,49
Districte 6,P.I. Nord                               ,Remolcs,4
Districte 6,P.I. Can Petit                          ,Remolcs,21
Districte 3,P.I. Can Guitard                        ,Motocicletes,2
