CODI_CARRER,NOM_CARRER,CODI_POSTAL,NRO_MAX,NRO_MIN
1843,AUTOPISTA C-16                ,,19,19
1845,"ESGLÉSIA, DE L                ",08221,0,22
1845,"ESGLÉSIA, DE L                ",08229,31,40
1846,"ESPÍGOL, DE L                 ",08225,2,18
1850,"ESTACIÓ DEL NORD, DE L        ",08221,0,11
1851,"EUCALIPTUS, DE L              ",08225,1,8
1855,"INFANT MARTÍ, DE L            ",08224,1,187
1855,"INFANT MARTÍ, DE L            ",08229,23,23
1855,"INFANT MARTÍ, DE L            ",,0,0
1860,"ONZE DE SETEMBRE, DE L        ",08222,1,10
1865,"LACETÀNIA, DE                 ",08225,1,334
1875,"LAVOISIER, DE                 ",08224,1,101
1880,"LLEÓ, DE                      ",08224,1,11
1885,"LLEÓ XIII, DE                 ",08222,3,72
1890,"LEPANT, DE                    ",08223,1,209
1890,"LEPANT, DE                    ",08224,212,291
1890,"LEPANT, DE                    ",08229,0,127
1895,"LLEIDA, DE                    ",08225,1,85
1900,"LETUR, DE                     ",08225,1,25
1901,"LÍBIA, DE                     ",08228,1,28
1902,"LIBRA, DE                     ",08228,0,76
1902,"LIBRA, DE                     ",08229,135,135
1905,"LINARES, DE                   ",08225,2,19
1905,"LINARES, DE                   ",08229,58,58
1910,"LINEA, DE LA                  ",08225,2,12
1915,"LINNÉ, DE                     ",08224,1,82
1920,"LLIRI, DEL                    ",08228,1,30
1921,"LLUÍS COMPANYS, DE            ",08225,1,1
1922,"LLUÍS MUNCUNILL, DE           ",08225,1,78
1925,"LOGRONYO, DE                  ",08227,1,28
1935,"LUGO, DE                      ",08227,4,18
1940,"LLUNA, DE LA                  ",08226,1,13
1945,"LUXEMBURG, DE                 ",08228,1,34
1946,"LLEVANT, DEL                  ",08226,1,13
1950,"LLIBERTAT, DE LA              ",08226,2,98
1960,"MADRID, DE                    ",08227,1,268
1965,"MAESTRAT, DEL                 ",08225,0,67
1965,"MAESTRAT, DEL                 ",08226,193,278
1970,"MESTRE SERRAT, DEL            ",08225,3,15
1974,"MANYANS, DELS                 ",08224,1,40
1975,"MESTRE TRIAS, DEL             ",08223,1,189
1975,"MESTRE TRIAS, DEL             ",08229,0,182
1976,"MITJAIRES, DELS               ",08224,1,40
1985,"MAGALLANES, DE                ",08225,0,42
1990,"MAGNÒLIES, DE LES             ",08225,1,1
1990,"MAGNÒLIES, DE LES             ",08229,0,22
1995,"MAÓ, DE                       ",08226,1,58
2000,MAJOR                         ,08221,1,50
2005,MAJOR DE SANT PERE            ,08222,2,94
2010,"MÀLAGA, DE                    ",08226,2,37
2015,"MALTA, DE                     ",08228,2,11
2020,"MALLORCA, DE                  ",08223,1,1
2020,"MALLORCA, DE                  ",08224,2,63
2020,"MALLORCA, DE                  ",08229,269,269
2025,"MANRESA, DE                   ",08225,375,375
2025,"MANRESA, DE                   ",08226,0,281
2030,"MANUEL DE FALLA, DE           ",08225,1,66
2030,"MANUEL DE FALLA, DE           ",08228,451,451
2030,"MANUEL DE FALLA, DE           ",08229,113,113
2031,"MANXA, DE LA                  ",08225,2,10
2035,"MAÑÉ I FLAQUER,  DE           ",08222,3,24
2035,"MAÑÉ I FLAQUER,  DE           ",08229,0,0
2040,"MARAGALL, DE                  ",08221,1,10
2040,"MARAGALL, DE                  ",08229,30,30
2045,"MARE DE DÉU DELS ÀNGELS, DE LA",08221,2,195
2045,"MARE DE DÉU DELS ÀNGELS, DE LA",08821,114,114
2055,"MARCONI, DE                   ",08224,0,333
2060,"MARESME, DEL                  ",08223,1,68
2060,"MARESME, DEL                  ",08229,51,51
2061,"MARGARIDA, DE LA              ",08225,1,9
2065,"MARIA AUXILIADORA, DE         ",08224,0,245
2065,"MARIA AUXILIADORA, DE         ",08229,277,277
2070,"MARIÀ BENLLIURE, DE           ",08225,1,104
2075,"MARIÀ SOLÀ, DE                ",08228,1,29
2080,"MARINEL.LO BOSCH, DE          ",08222,1,119
2080,"MARINEL.LO BOSCH, DE          ",08229,74,74
2085,"MARQUÈS DE COMILLAS, DEL      ",08225,0,183
2086,"MARROC, DEL                   ",08228,17,26
2090,"MART, DE                      ",08224,1,40
2095,"MARTÍ DÍEZ, DE                ",08224,1,126
2095,"MARTÍ DÍEZ, DE                ",08225,23,23
2105,"MARTORELL, DE                 ",08224,3,430
2105,"MARTORELL, DE                 ",08229,0,1
2110,"MAS ADEI, DEL                 ",08221,1,116
2110,"MAS ADEI, DEL                 ",08229,104,104
2115,"MASIA, DE LA                  ",08225,0,26
2120,"MASNOU, DEL                   ",08227,1,39
2125,"MATADEPERA, DE                ",08225,1,445
2125,"MATADEPERA, DE                ",08226,0,999
2125,"MATADEPERA, DE                ",08227,490,491
2125,"MATADEPERA, DE                ",08229,2,180
2126,"MATADEPERA, DE                ",08227,35,106
2130,"MATAGALLS, DEL                ",08227,0,6
2134,"MATIES ROCA, DE               ",08224,5,57
2136,"MAURINA, DE LA                ",08229,0,13
2140,"JOSEP LLIMONA, DE             ",08225,1,99
2155,"MENÉNDEZ Y PELAYO, DE         ",08222,0,62
2155,"MENÉNDEZ Y PELAYO, DE         ",08223,47,249
2155,"MENÉNDEZ Y PELAYO, DE         ",08229,233,233
2155,"MENÉNDEZ Y PELAYO, DE         ",,155,155
2160,"MENORCA, DE                   ",08226,1,57
2161,"MERCURI, DE                   ",08228,1,21
2161,"MERCURI, DE                   ",08229,0,0
2162,"MESTRAL, DEL                  ",08226,1,10
2162,"MESTRAL, DEL                  ",08229,51,72
2163,"MIGJORN, DEL                  ",08226,1,48
2164,"MIGUEL HERNÁNDEZ, DE          ",08222,1,1
2165,"MIQUEL ÀNGEL, DE              ",08225,0,100
2166,"MENTA, DE LA                  ",08225,1,8
2170,"MIQUEL PALOMARES, DE          ",08226,2,56
2175,"MIQUEL SERVET, DE             ",08222,0,70
2180,"MILLARS, DEL                  ",08227,1,32
2181,"MIMOSA, DE LA                 ",08225,6,12
2195,"MINA, DE LA                   ",08221,1,60
2200,"MIÑO, DEL                     ",08223,0,124
2205,"MIQUEL VIVES, DE              ",08222,0,130
2210,"MIRA-SOL, DE                  ",08224,1,24
2215,"FREDERIC MISTRAL, DE          ",08226,1,125
2220,"MOISÈS, DE                    ",08224,2,23
2221,"MOLA, DE LA                   ",08227,2,79
2230,"MÒNACO, DE                    ",08228,0,14
2235,"MONISTROL, DE                 ",08225,1,135
2239,"CAMÍ DELS MONJOS, DEL         ",08227,1,97
2239,"CAMÍ DELS MONJOS, DEL         ",08229,51,51
2240,"CAMÍ DELS MONJOS, DEL         ",08227,1,120
2240,"CAMÍ DELS MONJOS, DEL         ",08229,51,51
2241,"MONTBLANC, DE                 ",08223,1,10
2245,"MUNTANYA, DE LA               ",08228,2,43
2250,"MONTCADA, DE                  ",08221,15,361
2250,"MONTCADA, DE                  ",08222,365,573
2250,"MONTCADA, DE                  ",08223,0,664
2250,"MONTCADA, DE                  ",08227,95,894
2250,"MONTCADA, DE                  ",08229,1,809
2251,"MONTCAU, DEL                  ",08227,5,78
2255,"MONT PERDUT, DEL              ",08227,1,149
2260,"MONTNEGRE, DEL                ",08227,1,23
2270,"MONTSENY, DEL                 ",08224,0,28
2270,"MONTSENY, DEL                 ",,2,2
2275,"MONTSERRAT, DE                ",08221,1,203
2275,"MONTSERRAT, DE                ",08229,34,46
2280,"MONTSERRAT, DE                ",08221,0,300
2282,"MONTSERRAT ALAVEDRA, DE       ",08223,45,45
2282,"MONTSERRAT ALAVEDRA, DE       ",08225,1,51
2285,"MONTURIOL, DE                 ",08225,1,152
2285,"MONTURIOL, DE                 ",08229,149,149
2290,"MONTURIOL, DE                 ",08225,2,18
2291,"MONTURIOL, DE                 ",08225,2,19
2295,"MORELLA, DE                   ",08223,1,115
2305,"MOSSÈN A. RODAMILANS, DE      ",08222,1,313
2305,"MOSSÈN A. RODAMILANS, DE      ",08229,1963,1963
2306,"MORRAL DEL LLOP, DEL          ",08227,31,114
2310,"MOSSÈN J. VERDAGUER, DE       ",08221,1,25
2315,"MOSSÈN JOSEP MONCAU, DE       ",08224,2,56
2315,"MOSSÈN JOSEP MONCAU, DE       ",08229,6,94
2320,"MOSSÈN PERRAMON, DE           ",08228,1,24
2320,"MOSSÈN PERRAMON, DE           ",08229,27,264
2325,"MOSSÈN PURSALS, DE            ",08225,1,80
2330,"MOSSÈN TATCHER, DE            ",08224,185,185
2330,"MOSSÈN TATCHER, DE            ",08226,1,66
2335,"MOZART, DE                    ",08224,4,108
2335,"MOZART, DE                    ",08229,19,19
2335,"MOZART, DE                    ",,104,104
2340,"MURA, DE                      ",08227,0,162
2345,"MÚRCIA, DE                    ",08227,1,54
2350,"MURILLO, DE                   ",08224,6,163
2350,"MURILLO, DE                   ",08229,0,9
2355,"MOSTEROL, DE                  ",08221,1,14
2360,"TREBALL, DEL                  ",08222,1,13
2360,"TREBALL, DEL                  ",08229,243,243
2361,"NALÓN, DEL                    ",08223,2,18
2362,"NARCÍS OLLER, DE              ",08223,2,27
2363,"NARCÍS, DEL                   ",08228,2,15
2370,"NAVAS DE TOLOSA, DE LAS       ",08223,1,158
2370,"NAVAS DE TOLOSA, DE LAS       ",08224,151,210
2370,"NAVAS DE TOLOSA, DE LAS       ",08229,0,18
2375,"NAVIA, DEL                    ",08227,1,13
2376,"NEPTÚ, DE                     ",08228,0,89
2376,"NEPTÚ, DE                     ",09228,4,4
2380,"NERBION, DEL                  ",08227,1,27
2380,"NERBION, DEL                  ",08229,74,74
2381,"NEWTON, DE                    ",08224,2,12
2385,"NICOLAU TALLÓ, DE             ",08224,1,202
2386,"NIGÈRIA, DE                   ",08228,1,22
2390,"NÍJAR, DE                     ",08225,1,9
2391,"NOGUERA, DE LA                ",08225,10,30
2395,"NORD, DEL                     ",08221,53,128
2395,"NORD, DEL                     ",08229,0,0
2400,"NORUEGA, DE                   ",08228,1,8
2405,NOU DE SANT PERE              ,08221,0,65
2410,"MARE DE DÉU DE LA BALMA, DE LA",08226,1,36
2415,"ROVIRA I BRUSI, DE            ",08226,1,9
2420,"M. D.  DE LA FUENCISLA, DE LA ",08222,1,122
2420,"M. D.  DE LA FUENCISLA, DE LA ",08229,28,168
2425,"MARE DE DÉU DE LORDA, DE LA   ",08222,0,29
2430,"MONTSERRAT, DE                ",08227,0,42
2435,"MARE DE DÉU DEL ROSER, DE LA  ",08228,2,6
2440,"NÚRIA, DE                     ",08224,0,298
2440,"NÚRIA, DE                     ",08229,112,220
2445,"BISBE CASTELLTORT, DEL        ",08226,1,31
2450,"BISBE SANAHUJA, DEL           ",08228,1,55
2455,"OBRER, DE L                   ",08224,1,89
2460,"OLESA, D                      ",08224,0,370
2460,"OLESA, D                      ",08227,25,25
2465,"OLIVERA, DE L                 ",08224,2,10
2470,"OLOT, D                       ",08227,1,78
2475,"AZCÁRATE, D                   ",08223,0,45
2476,"OCCITÀNIA, D                  ",08229,0,0
2480,"ORÀ, D                        ",08224,1,52
2485,"ORDAL, DE L                   ",08227,1,158
2485,"ORDAL, DE L                   ",08229,47,63
2490,"OURENSE, D                    ",08227,0,57
2491,"ORIÓ, D                       ",08228,0,22
2495,"PAU MARSAL, DE                ",08222,2,190
2496,"PABLO PICASSO, DE             ",08228,1,3
2500,"PARE MILLÁN, DEL              ",08225,130,205
2500,"PARE MILLÁN, DEL              ",08229,98,98
2501,"PAÏSOS CATALANS, DELS         ",08222,1,1
2505,"PALAUTORDERA, DE              ",08225,1,6
2505,"PALAUTORDERA, DE              ",08229,1,11
2510,"PALÈNCIA, DE                  ",08227,3,31
2515,"LAS PALMAS, DE                ",08227,1,22
2520,"PALLA, DE LA                  ",08221,1,30
2525,"CIUTAT DE PÀMIERS, DE LA      ",08226,1,32
2530,"PAMPLONA, DE                  ",08227,1,60
2530,"PAMPLONA, DE                  ",08229,0,0
2531,"PALET I BARBA, DE             ",08224,1,204
2535,"PANADELLA, DE LA              ",08227,1,100
2550,"PANTÀ, DEL                    ",08221,1,151
2560,"PARDO BAZÁN, DE               ",08225,0,172
2561,"PARAIRES, DELS                ",08224,1,40
2565,"PARE ALEGRE, DEL              ",08223,1,89
2565,"PARE ALEGRE, DEL              ",08224,2,112
2570,"PARE FONT, DEL                ",08223,3,212
2570,"PARE FONT, DEL                ",,75,75
2575,"PARE LLAURADOR, DEL           ",08224,1,275
2575,"PARE LLAURADOR, DEL           ",08229,0,48
2580,"ALCALDE PARELLADA, DE L       ",08222,2,14
2580,"ALCALDE PARELLADA, DE L       ",08229,3,9
2590,"PARRES, DE LES                ",08221,2,32
2595,"PASTEUR, DE                   ",08224,1,264
2600,"PASSEIG, DEL                  ",08221,1,64
2605,"PAU CASALS, DE                ",08227,0,8
2605,"PAU CASALS, DE                ",08229,3,14
2606,"PAU CASALS, DE                ",08228,1,4
2610,"PAU CLARIS, DE                ",08221,1,66
2615,"PEDRELL, DE                   ",08225,0,38
2620,"PERE FIZES, DE                ",08225,0,79
2620,"PERE FIZES, DE                ",08229,71,71
2625,GRAN                          ,08228,1,7
2630,"PENYAL, DEL                   ",08225,2,6
2635,"PEP VENTURA, DE               ",08224,1,12
2640,"PERE COMERMA, DE              ",08223,2,45
2645,"PÉREZ GALDÓS, DE              ",08223,1,93
2650,"PERIODISTA GRANÉ, DEL         ",08226,0,245
2650,"PERIODISTA GRANÉ, DEL         ",08229,12,248
2651,"PERPINYÀ, DE                  ",08226,14,35
2652,"PI, DEL                       ",08225,2,19
2653,"PI,DEL                        ",08225,1,5
2660,"PI I MARGALL, DE              ",08224,0,273
2660,"PI I MARGALL, DE              ",08226,176,176
2660,"PI I MARGALL, DE              ",08229,154,154
2665,"PINEDA, DE LA                 ",08227,1,72
2665,"PINEDA, DE LA                 ",,42,42
2670,"PINTOR BORRASSÀ, DEL          ",08226,101,177
2670,"PINTOR BORRASSÀ, DEL          ",08229,0,0
2675,"PINTOR CASAS, DEL             ",08227,46,70
2675,"PINTOR CASAS, DEL             ",08229,0,0
2680,"PINTOR FORTUNY, DEL           ",08223,1,7
2680,"PINTOR FORTUNY, DEL           ",08224,12,159
2680,"PINTOR FORTUNY, DEL           ",08229,0,0
2685,"PINTOR HUGUET, DEL            ",08226,0,62
2690,"PINTOR MIR, DEL               ",08227,0,114
2695,"PINTOR SOROLLA, DEL           ",08224,1,59
2700,"PINTOR TORRAS, DEL            ",08224,1,237
2700,"PINTOR TORRAS, DEL            ",08229,31,31
2705,"PINTOR VANCELLS, DEL          ",08225,91,211
2710,"PINTOR VIVER, DEL             ",08225,3,51
2710,"PINTOR VIVER, DEL             ",08229,0,57
2715,"CA N ANGLADA, DE              ",08222,1,31
2720,"PIRINEUS, DELS                ",08227,1,130
2721,"PISUERGA, DEL                 ",08223,0,55
2722,"PAULINA PI DE LA SERRA, DE    ",08223,2,26
2725,"PITÀGORES, DE                 ",08224,25,92
2730,"PIUS XI, DE                   ",08222,0,30
2735,"PLA DE L AMETLLERA, DEL       ",08225,0,189
2740,"CREU GRAN, DE LA              ",08221,1,1
2745,"POETESSA CAPARÀ, DE LA        ",08226,0,72
2750,"POMPEU FABRA, DE              ",08226,1,244
2755,"PONENT, DE                    ",08225,44,79
2755,"PONENT, DE                    ",08226,1,43
2760,"PONTS, DE                     ",08227,1,33
2765,"PONTEVEDRA, DE                ",08227,5,70
2770,"PORTAL NOU, DEL               ",08221,2,67
2775,"PORTUGAL, DE                  ",08226,118,200
2775,"PORTUGAL, DE                  ",08228,1,13
2776,"PORTUGAL, DE                  ",08226,1,210
2780,"PRAT DE LA RIBA, DE           ",08222,0,159
2780,"PRAT DE LA RIBA, DE           ",08226,160,260
2780,"PRAT DE LA RIBA, DE           ",08229,53,63
2785,"PREVISIÓ, DE LA               ",08222,1,1
2790,"PRIEGO, DE                    ",08226,1,7
2791,"PRIMER DE MAIG, DEL           ",,0,0
2795,"NÚRIA RIBAS, DE               ",08224,7,22
2795,"NÚRIA RIBAS, DE               ",08229,1,1
2805,"PRÍNCEP DE VIANA, DEL         ",08225,0,32
2810,"PRIOR TÀPIA, DEL              ",08222,1,44
2820,"PROGRÉS, DEL                  ",08224,1,43
2825,"PROVENÇA, DE                  ",08226,1,255
2825,"PROVENÇA, DE                  ",08229,0,349
2830,"PRUDÈNCIA, DE LA              ",08222,2,26
2840,"PUIG NOVELL, DEL              ",08221,0,63
2845,"PUIGMAL, DEL                  ",08227,1,59
2855,"RACÓ, DEL                     ",08221,2,27
2860,"RAGOL, DE                     ",08225,6,6
2865,"FERRAN CANYAMERES, DE         ",08226,1,53
2870,"COMTE BORRELL, DEL            ",08224,1,75
2871,"RAFAEL CAMPALANS, DE          ",08224,1,61
2871,"RAFAEL CAMPALANS, DE          ",,35,35
2872,"RAFAEL BENET, DE              ",08225,1,22
2875,"RAMÓN Y CAJAL, DE             ",08222,0,161
2875,"RAMÓN Y CAJAL, DE             ",08223,142,253
2875,"RAMÓN Y CAJAL, DE             ",08229,240,240
2880,"RAMON LLULL, DE               ",08224,1,171
2885,"RASA, DE LA                   ",08221,1,125
2890,"RASA, DE LA                   ",08221,1,7
2895,"RECTOR HOMS, DEL              ",08221,1,1
2895,"RECTOR HOMS, DEL              ",08222,1,3
2900,"RECTORIA, DE LA               ",08222,1,34
2915,"RELLINARS, DE                 ",08225,0,599
2915,"RELLINARS, DE                 ",08229,1,1
2915,"RELLINARS, DE                 ",,10,10
2920,"RENAIXEMENT, DEL              ",08226,0,101
2920,"RENAIXEMENT, DEL              ",08229,50,50
2925,"REUS, DE                      ",08227,0,107
2935,"REIS CATÒLICS, DELS           ",08227,1,53
2940,"RIBA, DE LA                   ",08221,1,90
2945,"RICARDO CARO, DE              ",08222,1,106
2945,"RICARDO CARO, DE              ",08229,72,72
2950,"WAGNER, DE                    ",08222,0,139
2965,"RIOJA, DE LA                  ",08226,22,22
2965,"RIOJA, DE LA                  ",08227,2,99
2965,"RIOJA, DE LA                  ",08229,2,10
2970,"RIPOLL, DE                    ",08223,0,39
2985,"ROCA I ROCA, DE               ",08225,0,14
2985,"ROCA I ROCA, DE               ",08226,15,232
2986,"ROCAFORT, DE                  ",08227,1,39
2987,"ROC BLANC, DEL                ",08224,32,48
2987,"ROC BLANC, DEL                ",08229,15,15
2990,"ROGER DE LLÚRIA, DE           ",08223,1,231
2995,"ROIG VENTURA, DE              ",08226,85,508
2995,"ROIG VENTURA, DE              ",08229,67,67
3000,"ROMA, DE                      ",08228,1,50
3005,"JOSEP TRUETA, DE              ",08224,1,134
3006,"ROSELLA, DE LA                ",08224,2,2
3006,"ROSELLA, DE LA                ",08225,1,14
3010,"ROSSELLÓ, DEL                 ",08224,0,43
3011,"ROSER, DEL                    ",08225,1,15
3012,"ROURE, DEL                    ",08225,4,18
3013,"ROSSINYOL, DEL                ",08228,49,79
3014,"ROSA MORA, DE                 ",08225,1,1
3015,CARRETERA DE RUBÍ             ,08229,0,222
3020,"RUBÍ, DE                      ",08223,1,299
3020,"RUBÍ, DE                      ",08228,21,461
3020,"RUBÍ, DE                      ",08229,0,144
3020,"RUBÍ, DE                      ",,20,20
3021,"RUDA, DE LA                   ",08225,2,2
3025,"EMILI BADIELLA, D             ",08225,0,315
3030,"ROMANIA, DE                   ",08228,1,19
3035,"RUTE, DE                      ",08225,1,34
3040,"RUTLLA, DE LA                 ",08221,1,77
3045,"SABADELL, DE                  ",08225,1,40
3046,"SABADELL A MATADEPERA, DE     ",08227,6,7
3050,"SAGRAMENT, DEL                ",08225,1,29
3055,"SAGUNT, DE                    ",08225,1,46
3060,"SALAMANCA, DE                 ",08227,1,37
3065,"SAL.LARI, DE                  ",08225,4,53
3065,"SAL.LARI, DE                  ",08226,2,583
3070,"SALMERÓN, DE                  ",08222,0,185
3070,"SALMERÓN, DE                  ",08226,166,293
3075,"SALOU, DE                     ",08227,1,90
3080,"SALUT, DE LA                  ",08225,1,62
3085,"DOCTOR SALVÀ, DEL             ",08224,0,181
3095,"SALVADOR BUSQUETS, DE         ",08222,0,51
3096,"SALVADOR ESPRIU, DE           ",08221,1,5
3097,"SALVADOR SEGUÍ, DE            ",08224,1,24
3100,"FONT DE LA NOGUERA, DE LA     ",08224,1,16
3101,"SALZE, DEL                    ",08225,7,9
3102,"SÀLVIA, DE LA                 ",08228,1,14
3105,"SANT AGUSTÍ, DE               ",08228,1,68
3110,"SANT ANDREU, DE               ",08228,1,35
3115,"SANT BERNAT, DE               ",08228,1,32
3120,"SANT CARLES, DE               ",08228,1,28
3120,"SANT CARLES, DE               ",08229,250,250
3125,"SANT COSME, DE                ",08222,1,557
3130,"SANT CELONI, DE               ",08227,1,35
3135,"SANT CRISPÍ, DE               ",08222,70,291
3135,"SANT CRISPÍ, DE               ",08229,0,0
3140,"SANT CUGAT, DE                ",08226,1,38
3145,"SANT DAMIÀ, DE                ",08222,0,284
3145,"SANT DAMIÀ, DE                ",08229,2,2
3150,"SANT ELOI, DE                 ",08229,0,5
3155,"SANT FELIU DE LLOBREGAT, DE   ",08224,64,64
3155,"SANT FELIU DE LLOBREGAT, DE   ",08225,18,18
3160,"SANT FERRAN, DE               ",08225,1,88
3165,"SANT FERRAN, DE               ",08225,0,4
3170,"SANT HONORAT, DE              ",08222,2,111
3170,"SANT HONORAT, DE              ",08229,82,82
3175,"SANT JORDI, DE                ",08222,0,78
3175,"SANT JORDI, DE                ",08229,1,1
3185,"SANT LLORENÇ DEL MUNT, DE     ",08227,31,100
3185,"SANT LLORENÇ DEL MUNT, DE     ",08229,0,125
3190,"SANT LLUÍS, DE                ",08224,0,89
3195,"SANT MARC, DE                 ",08224,1,141
3195,"SANT MARC, DE                 ",08229,0,0
3200,"SANT MATEU, DE                ",08224,0,131
3205,"SANT MIQUEL, DE               ",08222,0,0
3205,"SANT MIQUEL, DE               ",08224,1,24
3210,"SANT OLEGUER, DE              ",08224,0,20
3215,"SANT PERE, DE                 ",08221,1,61
3220,"SANT RAIMON DE PENYAFORT, DE  ",08224,1,49
3225,"SANT RAMON, DE                ",08226,1,23
3230,"SANT ANTONI, DE               ",08221,5,96
3230,"SANT ANTONI, DE               ",08229,0,2
3235,"SANT ANTONI M. CLARET, DE     ",08222,1,5
3235,"SANT ANTONI M. CLARET, DE     ",08229,107,107
3240,"SANT CRISTÒFOL, DE            ",08221,1,87
3245,"SANT DOMÈNEC, DE              ",08221,1,32
3250,"SANT FRANCESC, DE             ",08221,0,96
3255,"SANT GAIETÀ, DE               ",08221,1,145
3260,"SANT GENÍS, DE                ",08221,2,156
3265,"SANT IGNASI, DE               ",08221,1,30
3265,"SANT IGNASI, DE               ",08229,36,36
3270,"SANT ILDEFONS, DE             ",08221,1,37
3275,"SANT ISIDRE, DE               ",08221,1,106
3280,"SANT JAUME, DE                ",08221,1,65
3285,"SANT JOAN, DE                 ",08221,1,99
3285,"SANT JOAN, DE                 ",08229,0,0
3286,"SANT JOAN, DE                 ",08221,1,6
3290,"SANT JOSEP, DE                ",08221,1,83
3295,"SANT LEOPOLD, DE              ",08221,12,139
3300,"SANT LLORENÇ, DE              ",08221,0,179
3301,"FIÑANA, DE                    ",08224,2,129
3305,"SANT MARIAN, DE               ",08221,1,235
3305,"SANT MARIAN, DE               ",08222,2,2
3305,"SANT MARIAN, DE               ",08229,0,0
3310,"SAN MARINO, DE                ",08228,2,22
3315,"SANT NEBRIDI, DE              ",08222,1,63
3316,"SANT PAU, DE                  ",08221,0,39
3319,"SANT QUIRZE (LF), DE          ",08228,4,6
3320,"SANT QUIRZE, DE               ",08221,1,102
3321,"SANT RAFAEL, DE               ",08228,0,12
3325,"SANT ROC, DE                  ",08221,1,66
3330,"SANT SEBASTIÀ, DE             ",08223,99,285
3330,"SANT SEBASTIÀ, DE             ",08229,0,0
3335,"SANT VALENTÍ, DE              ",08221,1,180
3340,"SANTA CECÍLIA, DE             ",08222,75,206
3340,"SANTA CECÍLIA, DE             ",08229,0,110
3345,"SANTA EULÀLIA, DE             ",08223,1,451
3345,"SANTA EULÀLIA, DE             ",08229,0,168
3350,"SANTA AGNÈS, DE               ",08228,1,6
3355,"SANTA LLÚCIA, DE              ",08222,57,249
3355,"SANTA LLÚCIA, DE              ",08229,0,0
3360,"SANTA MAGDALENA, DE           ",08226,1,80
3365,"SANTA MAGDALENA, DE           ",08226,2,62
3370,"SANTA MARGARIDA, DE           ",08228,30,30
3370,"SANTA MARGARIDA, DE           ",08229,0,83
3375,"SANTA MARGARIDA, DE           ",08228,1,35
3375,"SANTA MARGARIDA, DE           ",08229,0,0
3380,"SANTA M. DE MAZZAREL.LO, DE   ",08224,1,114
3380,"SANTA M. DE MAZZAREL.LO, DE   ",08229,30,42
3385,"SANTA MARTA, DE               ",08222,2,81
3385,"SANTA MARTA, DE               ",08229,87,87
3390,"SANTA TERESA, DE              ",08228,0,16
3395,"SANTANDER, DE                 ",08227,1,28
3400,"SANTIAGO RUSIÑOL, DE          ",08222,0,41
3405,"SANT TOMÀS, DE                ",08222,0,102
3405,"SANT TOMÀS, DE                ",08229,87,87
3406,"POLIOL, DEL                   ",08225,1,5
3407,"SARAGOSSA, DE                 ",08221,1,12
3416,"SARDENYA, DE                  ",08224,2,39
3417,"SATURN, DE                    ",08228,1,92
3417,"SATURN, DE                    ",08229,2,2
3425,"SEGÒVIA, DE                   ",08227,2,25
3440,"SELVA, DE LA                  ",08223,1,45
3441,"SENEGAL, DEL                  ",08228,2,26
3445,"SENTMENAT, DE                 ",08225,1,12
3445,"SENTMENAT, DE                 ",08229,20,20
3450,"SEU D URGELL, DE LA           ",08226,0,43
3455,"SERRANO, DE                   ",08221,0,50
3460,"SEVILLA, DE                   ",08224,370,370
3460,"SEVILLA, DE                   ",08226,1,150
3465,"SICÍLIA, DE                   ",08224,1,149
3470,"SIERRA NEVADA, DE             ",08227,0,204
3475,"SEGLE XX, DEL                 ",08223,1,16
3480,"SIL, DEL                      ",08226,9,9
3480,"SIL, DEL                      ",08227,1,31
3485,"SIMEÓ GARCÍA, DE              ",08228,1,21
3490,"SINDICAT, DEL                 ",08223,1,125
3495,"SITGES, DE                    ",08223,0,20
3500,"SOCIETAT, DE LA               ",08221,0,28
3505,"SÒCRATES, DE                  ",08224,1,26
3510,"SOL, DEL                      ",08224,5,10
3515,"SOLER I DIFFENT, DE           ",08224,1,60
3520,"SOLER I PALET, DE             ",08222,1,25
3525,"SOLSONA, DE                   ",08227,0,204
3525,"SOLSONA, DE                   ",08229,77,78
3530,"SOMETENT CASTELLA, DEL        ",08225,50,203
3530,"SOMETENT CASTELLA, DEL        ",08229,0,0
3535,"SÒRIA, DE                     ",08224,2,19
3541,"SUDAN, DEL                    ",08228,1,16
3545,"SUÈCIA, DE                    ",08228,1,54
3550,"SUÏSSA, DE                    ",08228,1,24
3550,"SUÏSSA, DE                    ",08229,48,48
3555,"SURIS, DE                     ",08221,1,39
3570,"TALAMANCA, DE                 ",08225,3,3
3570,"TALAMANCA, DE                 ",08227,1,28
3575,"PABLO IGLESIAS,DE             ",08224,1,192
3576,"TANZÀNIA, DE                  ",08228,4,42
3580,"TARRAGONA, DE                 ",08226,0,234
3585,"TÀRREGA, DE                   ",08227,2,139
3590,"TEATRE, DEL                   ",08221,1,8
3591,"TEIDE, DEL                    ",08225,1,7
3600,"FREDERIC MOMPOU, DE           ",08226,1,31
3600,"FREDERIC MOMPOU, DE           ",08229,41,41
3601,"TECNOLOGIA, DE LA             ",08223,1,20
3605,"TER, DEL                      ",08223,1,46
3610,"TERQUE, DE                    ",08225,0,146
3610,"TERQUE, DE                    ",08229,140,140
3615,"TEROL, DE                     ",08221,1,16
3616,"TÈXTIL, DEL                   ",08223,20,60
3620,"TIBIDABO, DEL                 ",08227,1,69
3621,"TIL.LA, DE LA                 ",08225,1,10
3625,"TOBELLA PI DE LA SERRA, DE    ",08221,1,17
3630,"TOPETE, DE                    ",08221,1,175
