MES_ANY,TIPUS_VEHICLE,TOTAL
121997,Remolcs,2
91992,Turismes,2
41985,Turismes,1
112002,Motocicletes,9
62013,Ciclomotors,13
92007,Tractors,8
62015,Tractors,12
51986,Ciclomotors,1
42010,Tractors,5
71980,Motocicletes,1
32012,Ciclomotors,16
51992,Ciclomotors,5
21996,Motocicletes,5
111970,Turismes,1
11986,Ciclomotors,2
11997,Motocicletes,3
22013,Remolcs,6
41986,Motocicletes,2
22008,Remolcs,10
122015,Remolcs,10
92000,Remolcs,2
32009,Ciclomotors,21
21988,Motocicletes,5
111995,Camions,5
51988,Motocicletes,5
112007,Remolcs,10
102002,Remolcs,3
111995,Motocicletes,10
52002,Tractors,2
51980,Motocicletes,1
21986,Motocicletes,3
12015,Tractors,4
22001,Remolcs,5
61996,Motocicletes,3
91994,Remolcs,2
102014,Autobusos,1
42012,Ciclomotors,8
12010,Tractors,4
21994,Ciclomotors,5
12006,Tractors,6
92005,Remolcs,6
22014,Ciclomotors,11
41994,Motocicletes,3
52008,Tractors,10
112011,Tractors,3
62009,Ciclomotors,14
51984,Turismes,1
12014,Tractors,4
82014,Remolcs,2
101978,Turismes,1
71986,Ciclomotors,1
111987,Ciclomotors,3
91986,Ciclomotors,2
81981,Motocicletes,1
72001,Tractors,6
121996,Remolcs,1
11995,Ciclomotors,9
82005,Tractors,6
52011,Tractors,4
31998,Tractors,1
82000,Tractors,1
112009,Tractors,3
11978,Tractors,1
42009,Autobusos,1
11990,Autobusos,5
52003,Tractors,7
31988,Camions,1
91995,Tractors,1
62001,Tractors,2
101999,Tractors,2
72016,Autobusos,1
82012,Remolcs,1
12016,Desconegut,1
72014,Motocicletes,143
122011,Turismes,509
32010,Turismes,514
112015,Remolcs,10
42012,Motocicletes,56
122008,Ciclomotors,21
62006,Turismes,464
41997,Turismes,49
42008,Turismes,443
112011,Turismes,408
52012,Turismes,421
12016,Motocicletes,117
11999,Turismes,77
122006,Turismes,484
42014,Turismes,518
102006,Turismes,432
62013,Turismes,453
72014,Turismes,751
42011,Turismes,355
21994,Turismes,20
122013,Motocicletes,77
22015,Turismes,732
12005,Camions,23
31997,Turismes,60
122003,Turismes,323
72004,Turismes,445
92002,Turismes,162
121999,Turismes,141
52005,Turismes,387
112013,Motocicletes,85
122001,Turismes,197
12003,Turismes,176
62016,Camions,153
62014,Camions,87
62005,Motocicletes,56
111988,Turismes,10
22016,Ciclomotors,23
102009,Remolcs,10
42009,Remolcs,11
52014,Camions,112
31995,Turismes,37
12002,Turismes,137
62000,Turismes,178
71999,Motocicletes,15
101991,Turismes,8
122008,Motocicletes,54
42012,Turismes,362
111992,Camions,2
121996,Turismes,47
92006,Camions,54
81997,Turismes,47
82004,Ciclomotors,17
51990,Turismes,10
62005,Turismes,419
122004,Camions,50
61991,Turismes,11
72001,Camions,28
62001,Ciclomotors,26
31990,Turismes,13
52007,Motocicletes,89
71990,Motocicletes,10
102007,Remolcs,14
32007,Motocicletes,67
92014,Motocicletes,127
62000,Camions,24
31995,Remolcs,3
102007,Ciclomotors,30
11976,Turismes,16
72012,Motocicletes,90
61988,Turismes,10
102012,Camions,73
11980,Camions,6
61991,Ciclomotors,4
22006,Tractors,13
81990,Turismes,6
52007,Camions,83
31999,Motocicletes,13
51996,Ciclomotors,4
42011,Remolcs,7
72002,Tractors,7
61998,Ciclomotors,14
11999,Camions,7
11977,Turismes,14
82000,Ciclomotors,22
52009,Motocicletes,73
112010,Motocicletes,68
52002,Ciclomotors,22
51996,Turismes,37
11984,Motocicletes,52
92010,Remolcs,6
62011,Tractors,10
102010,Ciclomotors,21
11981,Motocicletes,36
11998,Turismes,49
82007,Ciclomotors,22
42004,Remolcs,8
92006,Tractors,6
92004,Camions,42
72009,Motocicletes,95
81991,Ciclomotors,9
111994,Ciclomotors,3
21988,Turismes,11
51988,Ciclomotors,6
82011,Tractors,2
51997,Camions,9
12001,Motocicletes,3
121999,Camions,22
121985,Motocicletes,21
71990,Turismes,4
122013,Ciclomotors,20
52006,Tractors,20
52015,Motocicletes,161
122006,Motocicletes,51
122001,Ciclomotors,18
52002,Camions,24
81993,Turismes,8
101993,Turismes,21
111994,Motocicletes,4
102005,Remolcs,8
92003,Camions,21
11983,Ciclomotors,1
32010,Motocicletes,48
72000,Camions,21
72002,Motocicletes,13
62006,Camions,82
112012,Camions,54
121995,Motocicletes,4
122011,Camions,70
71998,Remolcs,5
82001,Camions,19
42004,Camions,38
122009,Motocicletes,63
12006,Camions,43
32009,Motocicletes,48
72012,Camions,62
112002,Remolcs,9
52013,Tractors,10
52015,Remolcs,16
12010,Remolcs,6
22004,Camions,42
42011,Motocicletes,78
22005,Ciclomotors,15
52014,Ciclomotors,25
62003,Remolcs,5
61989,Ciclomotors,6
11977,Camions,1
12003,Ciclomotors,11
81999,Camions,11
41997,Motocicletes,12
102013,Ciclomotors,31
102007,Tractors,8
31972,Turismes,2
11997,Ciclomotors,8
11995,Motocicletes,4
62015,Remolcs,17
82013,Tractors,9
11985,Camions,3
32012,Remolcs,14
62008,Camions,34
92003,Ciclomotors,23
71989,Motocicletes,9
91987,Turismes,6
31986,Motocicletes,4
112007,Tractors,25
121999,Tractors,2
101988,Turismes,5
52009,Tractors,4
102000,Camions,12
51957,Motocicletes,1
91987,Motocicletes,4
91996,Camions,5
12003,Motocicletes,8
101988,Ciclomotors,3
71989,Remolcs,4
21999,Motocicletes,3
111990,Motocicletes,4
92012,Camions,47
31991,Remolcs,5
21994,Motocicletes,5
31992,Camions,2
81997,Motocicletes,5
82003,Tractors,3
122000,Remolcs,5
101993,Remolcs,1
91975,Motocicletes,1
11983,Camions,1
22001,Motocicletes,4
91990,Ciclomotors,6
12005,Remolcs,10
111993,Remolcs,2
42002,Remolcs,5
72011,Tractors,8
121991,Turismes,1
121986,Camions,2
42008,Tractors,6
51986,Motocicletes,6
31995,Motocicletes,11
21999,Ciclomotors,10
31989,Camions,2
81998,Motocicletes,6
41989,Camions,4
101983,Motocicletes,1
122012,Remolcs,9
111997,Remolcs,2
81997,Remolcs,1
52008,Remolcs,7
52003,Ciclomotors,8
71998,Ciclomotors,16
81988,Motocicletes,5
82009,Ciclomotors,6
62010,Ciclomotors,19
122000,Tractors,2
41987,Turismes,3
12010,Ciclomotors,7
112005,Remolcs,8
62002,Remolcs,3
61995,Ciclomotors,6
42012,Tractors,7
61988,Motocicletes,4
82016,Ciclomotors,24
32003,Ciclomotors,7
31979,Turismes,1
81993,Ciclomotors,3
92008,Tractors,7
112003,Motocicletes,9
101990,Motocicletes,7
41991,Motocicletes,2
122016,Remolcs,14
52007,Tractors,11
121990,Ciclomotors,1
112014,Tractors,5
111993,Ciclomotors,4
41994,Ciclomotors,2
122010,Remolcs,6
32016,Tractors,13
101996,Tractors,1
51987,Camions,1
101990,Tractors,2
111990,Tractors,1
101997,Tractors,1
22000,Autobusos,1
122011,Autobusos,3
32011,Autobusos,1
101989,Camions,1
111993,Tractors,1
51995,Camions,4
11994,Camions,1
11993,Camions,1
101995,Autobusos,1
102000,Tractors,4
11991,Tractors,1
61991,Tractors,1
21983,Turismes,1
101986,Turismes,2
82004,Remolcs,1
62012,Tractors,6
111995,Remolcs,1
72013,Autobusos,1
42016,Motocicletes,182
12015,Turismes,622
102004,Turismes,326
102000,Turismes,124
12009,Turismes,260
72001,Ciclomotors,27
62007,Turismes,547
32006,Turismes,514
82006,Turismes,284
112005,Turismes,425
21996,Turismes,43
71999,Turismes,172
102013,Turismes,561
42013,Turismes,435
21998,Turismes,62
62008,Turismes,402
62008,Motocicletes,62
52008,Turismes,432
92007,Turismes,350
102009,Motocicletes,85
112016,Motocicletes,198
112010,Ciclomotors,14
32016,Turismes,948
22013,Turismes,419
22011,Motocicletes,64
102008,Ciclomotors,32
61990,Ciclomotors,13
72003,Turismes,338
92007,Ciclomotors,32
32000,Turismes,164
21990,Ciclomotors,6
92000,Turismes,128
102014,Turismes,748
42003,Turismes,234
62004,Turismes,347
92016,Camions,149
11997,Turismes,36
122012,Camions,60
92007,Camions,47
52016,Motocicletes,214
82012,Motocicletes,80
72005,Ciclomotors,29
42004,Turismes,336
52016,Camions,163
21997,Turismes,31
92008,Turismes,304
22009,Camions,42
91994,Motocicletes,5
112007,Turismes,504
102002,Turismes,206
112010,Tractors,2
111995,Turismes,25
71991,Turismes,14
11982,Motocicletes,30
102011,Camions,74
32014,Turismes,548
62012,Camions,59
122010,Camions,77
12007,Motocicletes,56
11977,Motocicletes,22
102016,Camions,156
122004,Ciclomotors,15
22008,Ciclomotors,31
82000,Turismes,93
51989,Motocicletes,11
31994,Ciclomotors,1
82006,Camions,43
72015,Camions,135
92005,Camions,56
11984,Turismes,42
82016,Camions,88
12015,Camions,98
112007,Motocicletes,57
11980,Turismes,73
41997,Camions,8
62011,Camions,48
122015,Camions,146
112008,Ciclomotors,14
91997,Motocicletes,7
22006,Ciclomotors,25
62010,Tractors,8
21998,Remolcs,3
92006,Remolcs,7
71991,Ciclomotors,10
12000,Remolcs,2
92011,Motocicletes,57
12013,Remolcs,7
22016,Motocicletes,170
42003,Remolcs,11
61990,Camions,4
11990,Camions,5
101994,Camions,4
121972,Motocicletes,1
121985,Turismes,23
91994,Camions,4
122001,Motocicletes,18
32013,Camions,56
31998,Turismes,75
21993,Ciclomotors,6
72000,Motocicletes,20
92007,Motocicletes,62
11998,Camions,8
111989,Remolcs,2
101992,Motocicletes,5
51995,Ciclomotors,4
12013,Motocicletes,66
82004,Tractors,3
61993,Motocicletes,10
42004,Tractors,8
61991,Motocicletes,4
21995,Turismes,19
112007,Camions,87
12004,Camions,25
22010,Motocicletes,47
82007,Tractors,5
122009,Ciclomotors,19
82006,Motocicletes,41
72004,Motocicletes,28
102002,Motocicletes,20
22008,Motocicletes,63
92015,Ciclomotors,39
21976,Turismes,1
32000,Remolcs,8
92016,Ciclomotors,44
12012,Ciclomotors,9
52011,Camions,56
102010,Remolcs,5
52004,Ciclomotors,11
112013,Ciclomotors,23
91993,Ciclomotors,5
22004,Ciclomotors,18
62006,Tractors,10
81995,Turismes,9
112003,Remolcs,2
92013,Tractors,6
12004,Tractors,8
112001,Ciclomotors,21
82016,Tractors,7
32002,Camions,28
92005,Motocicletes,44
102003,Motocicletes,14
111999,Ciclomotors,30
72013,Camions,74
31991,Turismes,10
102016,Tractors,16
62011,Remolcs,8
22004,Motocicletes,14
32013,Remolcs,10
42005,Remolcs,11
52003,Camions,43
41987,Motocicletes,4
31981,Motocicletes,1
11978,Camions,1
22006,Motocicletes,32
121986,Motocicletes,29
61987,Ciclomotors,3
71973,Motocicletes,1
122001,Remolcs,10
122003,Ciclomotors,13
62007,Tractors,8
111987,Turismes,9
101999,Remolcs,3
11994,Ciclomotors,5
21994,Camions,3
51986,Turismes,6
82000,Remolcs,6
71995,Camions,5
92004,Motocicletes,21
71989,Camions,2
22002,Motocicletes,9
71994,Camions,3
82002,Tractors,2
51981,Motocicletes,1
32002,Remolcs,10
62015,Ciclomotors,18
21993,Motocicletes,7
61997,Ciclomotors,7
41995,Motocicletes,9
11990,Ciclomotors,9
92008,Ciclomotors,25
42003,Motocicletes,11
111993,Camions,2
21997,Camions,5
22007,Tractors,12
21986,Camions,1
91990,Motocicletes,4
21987,Camions,3
12002,Motocicletes,7
12002,Camions,14
101993,Ciclomotors,5
22002,Remolcs,2
101972,Motocicletes,1
61995,Remolcs,4
112011,Ciclomotors,11
31986,Turismes,3
51990,Remolcs,2
42000,Camions,16
32013,Ciclomotors,19
71964,Motocicletes,1
22009,Ciclomotors,16
81994,Remolcs,2
92002,Camions,17
22012,Remolcs,8
82015,Tractors,7
61991,Remolcs,2
61993,Camions,7
31993,Motocicletes,4
122006,Remolcs,6
52000,Remolcs,3
122007,Remolcs,9
121997,Ciclomotors,9
51999,Tractors,2
61992,Ciclomotors,4
42004,Ciclomotors,17
52002,Remolcs,2
91998,Ciclomotors,12
101986,Ciclomotors,5
42007,Tractors,13
31988,Ciclomotors,4
71984,Motocicletes,1
102015,Ciclomotors,30
81980,Motocicletes,1
71986,Motocicletes,3
61990,Remolcs,2
32003,Remolcs,10
62001,Remolcs,9
12003,Remolcs,3
52004,Tractors,14
121998,Remolcs,4
101990,Remolcs,1
122012,Ciclomotors,8
31988,Motocicletes,11
61989,Camions,2
81986,Motocicletes,2
22003,Remolcs,11
122006,Tractors,14
111980,Turismes,1
91988,Ciclomotors,2
41992,Ciclomotors,4
62008,Tractors,7
51991,Ciclomotors,5
51993,Remolcs,1
41990,Ciclomotors,3
111994,Tractors,2
92014,Tractors,8
121989,Motocicletes,2
11993,Remolcs,1
102014,Tractors,6
92012,Remolcs,8
72010,Remolcs,15
72003,Tractors,6
102001,Remolcs,1
52015,Tractors,13
111986,Ciclomotors,1
112013,Tractors,11
82016,Remolcs,4
102016,Autobusos,3
32008,Tractors,6
91980,Motocicletes,1
91984,Motocicletes,1
82012,Ciclomotors,12
31986,Ciclomotors,1
91997,Camions,9
22009,Tractors,3
22013,Tractors,7
82015,Remolcs,7
102012,Remolcs,4
61986,Camions,1
92003,Tractors,2
121988,Ciclomotors,1
111989,Ciclomotors,2
22014,Tractors,7
11994,Motocicletes,2
112009,Remolcs,4
91999,Tractors,1
41999,Tractors,2
61987,Tractors,1
32007,Autobusos,6
12012,Autobusos,2
52003,Autobusos,9
51998,Tractors,1
51997,Tractors,1
41997,Tractors,1
41991,Tractors,2
121995,Camions,4
101995,Remolcs,1
12011,Tractors,3
31982,Turismes,1
102003,Remolcs,3
52005,Tractors,4
111999,Tractors,1
81995,Remolcs,1
62016,Turismes,1117
72009,Turismes,577
102015,Turismes,915
122016,Turismes,1592
72005,Turismes,515
112008,Camions,45
82007,Turismes,315
122014,Turismes,777
12016,Turismes,718
102003,Turismes,315
112016,Turismes,1363
11985,Motocicletes,95
122004,Turismes,441
12006,Turismes,301
32016,Remolcs,23
12010,Turismes,269
92013,Turismes,435
82013,Camions,37
12001,Turismes,134
102010,Camions,47
102008,Turismes,369
82011,Turismes,300
101997,Motocicletes,12
72016,Camions,178
22000,Turismes,143
61994,Turismes,40
11980,Ciclomotors,115
112009,Turismes,421
31993,Remolcs,4
72011,Turismes,481
52014,Turismes,606
42015,Turismes,726
92009,Turismes,433
72011,Motocicletes,89
101997,Turismes,68
42002,Turismes,182
122000,Turismes,132
92002,Tractors,2
122015,Turismes,1091
62007,Camions,53
111999,Turismes,158
42000,Turismes,115
32007,Camions,95
22002,Turismes,151
62002,Turismes,208
102005,Turismes,359
51999,Camions,16
112004,Ciclomotors,14
92015,Motocicletes,148
12006,Ciclomotors,18
51998,Turismes,60
32006,Ciclomotors,28
22009,Motocicletes,38
81989,Motocicletes,5
62016,Motocicletes,225
81994,Turismes,29
82016,Motocicletes,129
31996,Turismes,24
21995,Ciclomotors,8
72005,Remolcs,13
61998,Turismes,95
22016,Camions,133
81989,Camions,4
42007,Camions,60
61981,Motocicletes,1
102006,Camions,71
122011,Motocicletes,29
111994,Turismes,27
22007,Ciclomotors,13
72007,Tractors,10
52015,Camions,119
11992,Motocicletes,87
52011,Ciclomotors,24
72000,Remolcs,7
82003,Ciclomotors,12
92005,Ciclomotors,29
31992,Ciclomotors,4
121989,Turismes,6
102013,Camions,93
32005,Motocicletes,19
102008,Tractors,5
62007,Motocicletes,85
11983,Motocicletes,73
92001,Tractors,3
92009,Ciclomotors,22
121991,Motocicletes,3
32011,Ciclomotors,12
82010,Turismes,253
32010,Camions,62
22000,Ciclomotors,34
72008,Motocicletes,106
112003,Camions,45
12011,Motocicletes,47
22015,Motocicletes,108
101997,Camions,11
31989,Motocicletes,9
122003,Tractors,5
122007,Camions,87
72001,Remolcs,10
41999,Ciclomotors,11
81995,Camions,3
121988,Motocicletes,9
91996,Turismes,35
111987,Motocicletes,5
52000,Camions,24
122002,Motocicletes,9
71991,Camions,7
11995,Camions,4
21991,Turismes,6
62003,Camions,30
22015,Camions,94
72007,Camions,79
112004,Camions,49
51991,Remolcs,3
62010,Motocicletes,103
22003,Motocicletes,9
111986,Turismes,1
21996,Camions,6
102002,Camions,29
51999,Ciclomotors,11
92009,Camions,33
112001,Camions,28
71999,Ciclomotors,19
81998,Ciclomotors,8
72016,Tractors,12
112013,Camions,66
102014,Motocicletes,149
41995,Remolcs,3
22005,Motocicletes,29
72011,Camions,59
32014,Motocicletes,101
102005,Ciclomotors,16
62010,Remolcs,14
82011,Camions,52
72006,Remolcs,17
82015,Motocicletes,116
51996,Remolcs,5
42006,Tractors,13
42001,Ciclomotors,19
102005,Motocicletes,45
101994,Turismes,21
82007,Motocicletes,47
101999,Motocicletes,10
42014,Tractors,6
61998,Motocicletes,14
11992,Tractors,7
82013,Motocicletes,63
12004,Remolcs,1
122016,Tractors,12
112016,Remolcs,20
52006,Ciclomotors,29
32008,Camions,53
42009,Motocicletes,49
32013,Tractors,8
21998,Ciclomotors,5
122003,Camions,38
32004,Ciclomotors,17
71996,Camions,6
112011,Motocicletes,32
82015,Camions,62
41989,Turismes,9
11981,Tractors,1
21986,Turismes,1
31987,Camions,1
12009,Remolcs,6
102000,Motocicletes,10
41993,Motocicletes,8
71992,Ciclomotors,5
51993,Camions,1
51997,Motocicletes,8
21998,Camions,11
41997,Ciclomotors,11
121983,Turismes,2
92010,Ciclomotors,21
71985,Turismes,2
92001,Motocicletes,9
81985,Motocicletes,2
41989,Remolcs,1
41991,Remolcs,2
51995,Motocicletes,2
91989,Motocicletes,5
111985,Motocicletes,3
61989,Motocicletes,14
52003,Motocicletes,20
22000,Camions,22
51998,Motocicletes,5
71985,Motocicletes,3
22011,Remolcs,10
122013,Remolcs,3
42008,Remolcs,11
51953,Turismes,1
112003,Tractors,5
52004,Motocicletes,16
122007,Tractors,12
42016,Tractors,16
91988,Motocicletes,5
31997,Remolcs,4
101992,Ciclomotors,5
112005,Tractors,12
31993,Ciclomotors,2
81975,Motocicletes,1
111997,Tractors,3
12002,Ciclomotors,8
62008,Ciclomotors,15
11997,Camions,5
101984,Motocicletes,1
111988,Motocicletes,1
71997,Camions,10
22013,Ciclomotors,15
121992,Remolcs,2
82003,Remolcs,2
81995,Ciclomotors,7
12012,Tractors,5
61984,Turismes,1
11991,Motocicletes,3
91997,Remolcs,1
21982,Motocicletes,1
81987,Camions,1
21997,Remolcs,1
21989,Remolcs,1
32003,Tractors,3
81988,Ciclomotors,2
61985,Motocicletes,4
112012,Remolcs,6
121993,Ciclomotors,5
82012,Tractors,7
121994,Remolcs,1
72014,Ciclomotors,17
112013,Remolcs,11
121984,Motocicletes,1
102009,Ciclomotors,18
111991,Turismes,3
92014,Ciclomotors,31
102013,Remolcs,12
71988,Ciclomotors,1
81987,Ciclomotors,2
31995,Ciclomotors,2
31991,Ciclomotors,3
121994,Ciclomotors,2
121994,Camions,2
12007,Remolcs,3
91987,Camions,2
101993,Camions,3
32000,Tractors,4
92002,Autobusos,1
42001,Autobusos,7
32012,Autobusos,1
62000,Autobusos,1
72000,Tractors,4
91998,Tractors,4
82009,Remolcs,1
121997,Tractors,1
51999,Remolcs,3
61996,Tractors,1
121993,Camions,4
91993,Camions,2
111995,Autobusos,1
42001,Tractors,1
121981,Camions,1
31982,Tractors,1
81994,Tractors,1
22011,Tractors,3
42009,Tractors,5
122012,Autobusos,1
