ï»¿DATA_REFERENCIA,LLOC_NAIXAMENT,NACIONALITAT,NIVELL_ESTUDI,POBLACIO
2016,COREA DEL SUD                 ,COREA DEL SUD                 ,Desconegut                    ,1
2012,FRANÇA                        ,ESPANYA                       ,Titulats d estudis superiors n,1
2015,"REPÚBLICA DOMINICANA, LA      ","REPÚBLICA DOMINICANA, LA      ",Desconegut                    ,27
2011,"SENEGAL, EL                   ",ESPANYA                       ,"Batxiller Elemental, Graduat E",13
2017,"ARGENTINA, L                  ","ARGENTINA, L                  ",Sense estudis                 ,3
2017,HONGRIA                       ,HONGRIA                       ,Diplomat en Escoles Università,2
2014,VENEÇUELA                     ,ITÀLIA                        ,Formació professional de Segon,3
2012,"MARROC, EL                    ","MARROC, EL                    ",Doctorat i Estudis de postgrau,5
2014,"COSTA D IVORI, LA             ","COSTA D IVORI, LA             ",Desconegut                    ,2
2015,ALGÈRIA                       ,ALGÈRIA                       ,Diplomat en Escoles Università,1
2017,ESPANYA                       ,ANDORRA                       ,"Batxiller Elemental, Graduat E",2
2014,"ARGENTINA, L                  ",IRLANDA                       ,"Batxiller Elemental, Graduat E",1
2015,ESPANYA                       ,ESPANYA                       ,Desconegut                    ,1121
2014,LITUÀNIA                      ,LITUÀNIA                      ,"Llicenciat Universitari, Arqui",4
2013,"BRASIL, EL                    ",PORTUGAL                      ,"Batxiller Elemental, Graduat E",3
2016,SÈRBIA                        ,SÈRBIA                        ,Doctorat i Estudis de postgrau,1
2014,LETÒNIA                       ,LETÒNIA                       ,"Batxiller Elemental, Graduat E",2
2017,EGIPTE                        ,ESPANYA                       ,Formació professional Primer G,1
2015,PORTUGAL                      ,ESPANYA                       ,Arquitecte o Enginyer Tècnic  ,1
2011,EL SALVADOR                   ,ESPANYA                       ,Diplomat en Escoles Università,1
2012,"SENEGAL, EL                   ",ESPANYA                       ,"Batxiller Elemental, Graduat E",19
2016,SÍRIA                         ,SÍRIA                         ,"Batxiller Elemental, Graduat E",6
2011,"PARAGUAI, EL                  ",ESPANYA                       ,Batxiller superior. BUP. Batxi,3
2014,ALTRES PAÏSOS D ÀSIA          ,ESPANYA                       ,Doctorat i Estudis de postgrau,1
2011,COLÒMBIA                      ,ITÀLIA                        ,Ensenyament primari incomplert,5
2015,SÍRIA                         ,SÍRIA                         ,Desconegut                    ,1
2017,HAITÍ                         ,ESPANYA                       ,Ensenyament primari incomplert,3
2017,JAMAICA                       ,ESPANYA                       ,"Batxiller Elemental, Graduat E",1
2015,KENYA                         ,KENYA                         ,Diplomat en Escoles Università,1
2012,VENEÇUELA                     ,ESPANYA                       ,No sap llegir ni escriure     ,1
2015,ESPANYA                       ,"GUINEA EQUATORIAL, LA         ",No aplicable per ser més petit,7
2014,"REPÚBLICA DOMINICANA, LA      ",ITÀLIA                        ,Altres titulacions mitjanes (A,1
2014,"MARROC, EL                    ","MARROC, EL                    ",Ensenyament primari incomplert,3972
2013,SÍRIA                         ,SÍRIA                         ,Batxiller superior. BUP. Batxi,2
2011,HONDURES                      ,ESPANYA                       ,Desconegut                    ,1
2016,ALGÈRIA                       ,ESPANYA                       ,"Batxiller Elemental, Graduat E",5
2015,ANDORRA                       ,ANDORRA                       ,Diplomat en Escoles Università,1
2015,"PERÚ, EL                      ",ESPANYA                       ,"Llicenciat Universitari, Arqui",99
2014,FRANÇA                        ,FRANÇA                        ,Desconegut                    ,14
2015,"REGNE UNIT, EL                ",ESPANYA                       ,No aplicable per ser més petit,8
2017,FRANÇA                        ,FRANÇA                        ,Formació professional de Segon,5
2017,ESPANYA                       ,"EQUADOR, L                    ","Batxiller Elemental, Graduat E",4
2015,NIGÈRIA                       ,ESPANYA                       ,Formació professional Primer G,1
2013,GÀMBIA                        ,GÀMBIA                        ,Desconegut                    ,3
2015,SRI LANKA                     ,ESPANYA                       ,No aplicable per ser més petit,1
2016,"REGNE UNIT, EL                ","REGNE UNIT, EL                ",Desconegut                    ,2
2015,"PERÚ, EL                      ","PERÚ, EL                      ",Desconegut                    ,28
2011,ANGOLA                        ,PORTUGAL                      ,Doctorat i Estudis de postgrau,1
2017,NORUEGA                       ,NORUEGA                       ,No aplicable per ser més petit,1
2016,NICARAGUA                     ,ESPANYA                       ,"Llicenciat Universitari, Arqui",2
2012,ESPANYA                       ,"ARGENTINA, L                  ",No aplicable per ser més petit,16
2014,"PERÚ, EL                      ",ESPANYA                       ,Sense estudis                 ,3
2012,IRLANDA                       ,ESPANYA                       ,"Llicenciat Universitari, Arqui",1
2015,COLÒMBIA                      ,SUÏSSA                        ,"Batxiller Elemental, Graduat E",1
2013,"PANAMÀ, EL                    ","PANAMÀ, EL                    ",Formació professional Primer G,1
2017,ALEMANYA                      ,ALEMANYA                      ,Arquitecte o Enginyer Tècnic  ,2
2012,UCRAÏNA                       ,UCRAÏNA                       ,"Llicenciat Universitari, Arqui",22
2015,GÀMBIA                        ,GÀMBIA                        ,Ensenyament primari incomplert,15
2016,COLÒMBIA                      ,ITÀLIA                        ,Desconegut                    ,2
2012,"MARROC, EL                    ","MARROC, EL                    ",Desconegut                    ,1170
2013,ALGÈRIA                       ,ESPANYA                       ,Desconegut                    ,2
2011,ISRAEL                        ,ESPANYA                       ,Doctorat i Estudis de postgrau,1
2016,XIPRE                         ,XIPRE                         ,"Llicenciat Universitari, Arqui",1
2015,ESPANYA                       ,GÀMBIA                        ,No aplicable per ser més petit,7
2014,"PAÏSOS BAIXOS, ELS            ",ESPANYA                       ,Ensenyament primari incomplert,2
2011,ESPANYA                       ,MALÀISIA                      ,No aplicable per ser més petit,1
2012,"SENEGAL, EL                   ",ESPANYA                       ,Ensenyament primari incomplert,20
2012,"GUINEA, LA                    ",ESPANYA                       ,Batxiller superior. BUP. Batxi,1
2012,VENEÇUELA                     ,VENEÇUELA                     ,Desconegut                    ,38
2016,FRANÇA                        ,ESPANYA                       ,Batxiller superior. BUP. Batxi,44
2013,"URUGUAI, L                    ","URUGUAI, L                    ",No sap llegir ni escriure     ,1
2013,ANDORRA                       ,ESPANYA                       ,No aplicable per ser més petit,4
2013,ISRAEL                        ,ALTRES PAÏSOS D ÀSIA          ,Batxiller superior. BUP. Batxi,1
2014,FRANÇA                        ,FRANÇA                        ,Formació professional Primer G,5
2014,MÈXIC                         ,MÈXIC                         ,Batxiller superior. BUP. Batxi,18
2016,CAP VERD                      ,CAP VERD                      ,"Batxiller Elemental, Graduat E",1
2012,VENEÇUELA                     ,VENEÇUELA                     ,Arquitecte o Enginyer Tècnic  ,8
2012,ALGÈRIA                       ,ESPANYA                       ,"Llicenciat Universitari, Arqui",1
2013,ISRAEL                        ,ISRAEL                        ,"Batxiller Elemental, Graduat E",1
2016,NORUEGA                       ,NORUEGA                       ,Altres titulacions mitjanes (A,1
2014,MALI                          ,MALI                          ,Sense estudis                 ,4
2011,ALEMANYA                      ,ITÀLIA                        ,Ensenyament primari incomplert,1
2017,ÀUSTRIA                       ,ÀUSTRIA                       ,Formació professional Primer G,1
2016,"BRASIL, EL                    ",PORTUGAL                      ,Formació professional Primer G,1
2016,ESPANYA                       ,RÚSSIA                        ,Ensenyament primari incomplert,1
2013,CUBA                          ,"PAÏSOS BAIXOS, ELS            ","Batxiller Elemental, Graduat E",1
2013,BANGLA DESH                   ,ESPANYA                       ,"Batxiller Elemental, Graduat E",1
2015,"SENEGAL, EL                   ","SENEGAL, EL                   ",Sense estudis                 ,79
2017,"IRAN, L                       ","IRAN, L                       ",Sense estudis                 ,1
2013,RÚSSIA                        ,ESPANYA                       ,"Llicenciat Universitari, Arqui",5
2015,"SENEGAL, EL                   ",ESPANYA                       ,No aplicable per ser més petit,4
2016,"URUGUAI, L                    ",ESPANYA                       ,Diplomat en Escoles Università,7
2016,FRANÇA                        ,"SENEGAL, EL                   ",Ensenyament primari incomplert,1
2011,ESPANYA                       ,"PAÏSOS BAIXOS, ELS            ",Arquitecte o Enginyer Tècnic  ,1
2017,GUATEMALA                     ,GUATEMALA                     ,Ensenyament primari incomplert,4
2012,ALEMANYA                      ,ALEMANYA                      ,"Batxiller Elemental, Graduat E",16
2014,BÈLGICA                       ,ESPANYA                       ,Ensenyament primari incomplert,2
2014,GUATEMALA                     ,ESPANYA                       ,Sense estudis                 ,1
2012,"URUGUAI, L                    ",ITÀLIA                        ,Batxiller superior. BUP. Batxi,21
2017,COLÒMBIA                      ,ITÀLIA                        ,Batxiller superior. BUP. Batxi,1
2012,MOLDÀVIA                      ,MOLDÀVIA                      ,Diplomat en Escoles Università,2
2014,CUBA                          ,ESPANYA                       ,Sense estudis                 ,9
2014,RÚSSIA                        ,ESPANYA                       ,Batxiller superior. BUP. Batxi,5
2015,"NEPAL,EL                      ","NEPAL,EL                      ",No aplicable per ser més petit,1
2015,ESPANYA                       ,"EQUADOR, L                    ",Sense estudis                 ,1
2012,HONDURES                      ,HONDURES                      ,"Batxiller Elemental, Graduat E",76
2015,"ARGENTINA, L                  ",ESPANYA                       ,Ensenyament primari incomplert,73
2012,GUATEMALA                     ,"PAÏSOS BAIXOS, ELS            ",Batxiller superior. BUP. Batxi,1
2014,BOLÍVIA                       ,BOLÍVIA                       ,"Batxiller Elemental, Graduat E",176
2016,JORDÀNIA                      ,ESPANYA                       ,Sense estudis                 ,1
2013,NIGÈRIA                       ,"PAÏSOS BAIXOS, ELS            ","Llicenciat Universitari, Arqui",1
2011,TAIWAN                        ,ESPANYA                       ,Batxiller superior. BUP. Batxi,1
2017,ESPANYA                       ,ESPANYA                       ,Diplomat en Escoles Università,7869
2011,VENEÇUELA                     ,VENEÇUELA                     ,Ensenyament primari incomplert,43
2013,XILE                          ,ESPANYA                       ,Ensenyament primari incomplert,20
2012,ITÀLIA                        ,ESPANYA                       ,Ensenyament primari incomplert,2
2016,SUÏSSA                        ,ESPANYA                       ,"Llicenciat Universitari, Arqui",12
2012,BOLÍVIA                       ,BOLÍVIA                       ,Sense estudis                 ,13
2011,IRLANDA                       ,ESPANYA                       ,"Llicenciat Universitari, Arqui",1
2016,"PAÏSOS BAIXOS, ELS            ","PAÏSOS BAIXOS, ELS            ",Ensenyament primari incomplert,2
2015,"URUGUAI, L                    ","URUGUAI, L                    ",No aplicable per ser més petit,1
2014,"SENEGAL, EL                   ","SENEGAL, EL                   ",Formació professional Primer G,22
2011,SÈRBIA                        ,SUÏSSA                        ,Batxiller superior. BUP. Batxi,1
2011,GHANA                         ,GHANA                         ,Sense estudis                 ,2
2012,"JAPÓ, EL                      ",COREA DEL SUD                 ,"Llicenciat Universitari, Arqui",1
2012,BÈLGICA                       ,ESPANYA                       ,Formació professional de Segon,5
2011,PORTUGAL                      ,PORTUGAL                      ,No aplicable per ser més petit,4
2014,"ARGENTINA, L                  ",ITÀLIA                        ,Ensenyament primari incomplert,22
2016,"FILIPINES, LES                ",ESPANYA                       ,"Batxiller Elemental, Graduat E",1
2017,ESPANYA                       ,ALEMANYA                      ,No aplicable per ser més petit,1
2017,MALÀISIA                      ,MALÀISIA                      ,"Llicenciat Universitari, Arqui",3
2015,COLÒMBIA                      ,COLÒMBIA                      ,Doctorat i Estudis de postgrau,4
2017,LETÒNIA                       ,LETÒNIA                       ,"Llicenciat Universitari, Arqui",1
2011,BÈLGICA                       ,ESPANYA                       ,Formació professional Primer G,6
2011,ISRAEL                        ,ISRAEL                        ,"Batxiller Elemental, Graduat E",1
2013,ISRAEL                        ,ISRAEL                        ,Ensenyament primari incomplert,2
2014,SUÏSSA                        ,"EQUADOR, L                    ",No aplicable per ser més petit,1
2016,"COSTA D IVORI, LA             ","COSTA D IVORI, LA             ","Batxiller Elemental, Graduat E",3
2011,XILE                          ,ESPANYA                       ,Arquitecte o Enginyer Tècnic  ,1
2014,ESPANYA                       ,"REGNE UNIT, EL                ",Formació professional de Segon,1
2015,ISLÀNDIA                      ,ISLÀNDIA                      ,No aplicable per ser més petit,2
2014,ARMÈNIA                       ,ARMÈNIA                       ,"Batxiller Elemental, Graduat E",10
2012,ANDORRA                       ,ESPANYA                       ,Formació professional de Segon,1
2015,"IRAN, L                       ",ESPANYA                       ,Batxiller superior. BUP. Batxi,2
2016,COLÒMBIA                      ,"PAÏSOS BAIXOS, ELS            ","Llicenciat Universitari, Arqui",1
2012,"REGNE UNIT, EL                ","REGNE UNIT, EL                ",Formació professional de Segon,1
2012,"XINA, LA                      ","XINA, LA                      ",Doctorat i Estudis de postgrau,3
2017,COLÒMBIA                      ,COLÒMBIA                      ,Sense estudis                 ,4
2017,CUBA                          ,VENEÇUELA                     ,"Batxiller Elemental, Graduat E",1
2017,XILE                          ,XILE                          ,"Llicenciat Universitari, Arqui",26
2017,EGIPTE                        ,ESPANYA                       ,No aplicable per ser més petit,1
2014,BOLÍVIA                       ,BOLÍVIA                       ,Ensenyament primari incomplert,119
2016,VENEÇUELA                     ,ITÀLIA                        ,Diplomat en Escoles Università,5
2015,LÍBIA                         ,LÍBIA                         ,Altres titulacions mitjanes (A,1
2014,MÈXIC                         ,ESPANYA                       ,"Batxiller Elemental, Graduat E",14
2015,"CANADÀ, EL                    ",ESPANYA                       ,Formació professional Primer G,1
2015,GRÈCIA                        ,GRÈCIA                        ,Formació professional Primer G,1
2017,"BRASIL, EL                    ",ESPANYA                       ,Ensenyament primari incomplert,26
2013,COLÒMBIA                      ,ESPANYA                       ,No aplicable per ser més petit,17
2017,ALEMANYA                      ,ITÀLIA                        ,Formació professional Primer G,3
2017,GHANA                         ,GHANA                         ,Sense estudis                 ,2
2011,NICARAGUA                     ,NICARAGUA                     ,Doctorat i Estudis de postgrau,1
2016,COREA DEL SUD                 ,ESPANYA                       ,"Batxiller Elemental, Graduat E",2
2012,CUBA                          ,ESPANYA                       ,Formació professional de Segon,7
2011,ESPANYA                       ,"REGNE UNIT, EL                ",Batxiller superior. BUP. Batxi,1
2015,ESLOVÀQUIA                    ,ESLOVÀQUIA                    ,Sense estudis                 ,1
2012,VENEÇUELA                     ,"ESTATS UNITS D AMÈRICA, ELS   ","Batxiller Elemental, Graduat E",2
2012,SUÏSSA                        ,ESPANYA                       ,Arquitecte o Enginyer Tècnic  ,2
2015,"COSTA D IVORI, LA             ","COSTA D IVORI, LA             ",Arquitecte o Enginyer Tècnic  ,1
2016,MALI                          ,MALI                          ,Sense estudis                 ,5
2016,"PERÚ, EL                      ","PERÚ, EL                      ",Formació professional de Segon,7
2017,XILE                          ,ESPANYA                       ,Desconegut                    ,6
2012,ESPANYA                       ,FRANÇA                        ,Formació professional Primer G,1
2017,"GUINEA EQUATORIAL, LA         ","GUINEA EQUATORIAL, LA         ",Batxiller superior. BUP. Batxi,5
2011,ALEMANYA                      ,ESPANYA                       ,Altres titulacions mitjanes (A,1
2016,"REPÚBLICA DOMINICANA, LA      ","REPÚBLICA DOMINICANA, LA      ",Formació professional de Segon,8
2015,ÀUSTRIA                       ,ESPANYA                       ,No sap llegir ni escriure     ,1
2011,"GUINEA EQUATORIAL, LA         ","GUINEA EQUATORIAL, LA         ",No aplicable per ser més petit,2
2017,XILE                          ,XILE                          ,Titulats d estudis superiors n,2
2016,EL SALVADOR                   ,EL SALVADOR                   ,Formació professional de Segon,2
2015,"PAKISTAN, EL                  ","PAKISTAN, EL                  ",No aplicable per ser més petit,17
2016,"SENEGAL, EL                   ",ESPANYA                       ,No sap llegir ni escriure     ,3
2013,MÈXIC                         ,MÈXIC                         ,Formació professional de Segon,3
2017,NIGÈRIA                       ,NIGÈRIA                       ,Desconegut                    ,11
2013,PORTUGAL                      ,PORTUGAL                      ,Altres titulacions mitjanes (A,4
2015,MALI                          ,ESPANYA                       ,Sense estudis                 ,1
2014,BULGÀRIA                      ,BULGÀRIA                      ,Formació professional Primer G,3
2016,"JAPÓ, EL                      ",FRANÇA                        ,"Llicenciat Universitari, Arqui",1
2011,"EQUADOR, L                    ","PAÏSOS BAIXOS, ELS            ",Sense estudis                 ,1
2012,"ARGENTINA, L                  ",ESPANYA                       ,Batxiller superior. BUP. Batxi,101
2014,ALTRES PAÏSOS D ÀSIA          ,ESPANYA                       ,"Llicenciat Universitari, Arqui",1
2016,"MARROC, EL                    ",ESPANYA                       ,Altres titulacions mitjanes (A,10
2012,VENEÇUELA                     ,ITÀLIA                        ,"Llicenciat Universitari, Arqui",4
2011,FINLÀNDIA                     ,ESPANYA                       ,No aplicable per ser més petit,1
2014,SUD-ÀFRICA                    ,ESPANYA                       ,Formació professional de Segon,1
2012,BULGÀRIA                      ,BULGÀRIA                      ,Desconegut                    ,23
2012,ESPANYA                       ,"PERÚ, EL                      ",No aplicable per ser més petit,18
2014,BOLÍVIA                       ,ESPANYA                       ,Altres titulacions mitjanes (A,4
2011,"VIETNAM, EL                   ",ESPANYA                       ,No aplicable per ser més petit,2
2011,TURQUIA                       ,TURQUIA                       ,"Batxiller Elemental, Graduat E",1
2017,MÈXIC                         ,MÈXIC                         ,"Batxiller Elemental, Graduat E",16
2015,BOLÍVIA                       ,BOLÍVIA                       ,Ensenyament primari incomplert,96
2012,RÚSSIA                        ,RÚSSIA                        ,Doctorat i Estudis de postgrau,2
2014,"ESTATS UNITS D AMÈRICA, ELS   ","ESTATS UNITS D AMÈRICA, ELS   ",No aplicable per ser més petit,5
2015,HONDURES                      ,HONDURES                      ,Diplomat en Escoles Università,8
2011,NICARAGUA                     ,ESPANYA                       ,Batxiller superior. BUP. Batxi,2
2013,POLÒNIA                       ,ESPANYA                       ,Batxiller superior. BUP. Batxi,1
2016,AUSTRÀLIA                     ,AUSTRÀLIA                     ,"Llicenciat Universitari, Arqui",1
2015,"MARROC, EL                    ","MARROC, EL                    ",Sense estudis                 ,1123
2016,VENEÇUELA                     ,VENEÇUELA                     ,Diplomat en Escoles Università,21
2011,ANGOLA                        ,ANGOLA                        ,"Batxiller Elemental, Graduat E",2
2016,LITUÀNIA                      ,LITUÀNIA                      ,"Batxiller Elemental, Graduat E",3
2015,"XINA, LA                      ",ESPANYA                       ,Batxiller superior. BUP. Batxi,2
2011,"KAZAKHSTAN, EL                ","KAZAKHSTAN, EL                ",Desconegut                    ,1
2017,VENEÇUELA                     ,COLÒMBIA                      ,"Llicenciat Universitari, Arqui",1
2014,GUATEMALA                     ,ESPANYA                       ,Diplomat en Escoles Università,2
2017,LUXEMBURG                     ,LUXEMBURG                     ,"Llicenciat Universitari, Arqui",1
2016,LITUÀNIA                      ,LITUÀNIA                      ,Diplomat en Escoles Università,2
2015,ROMANIA                       ,ESPANYA                       ,Ensenyament primari incomplert,1
2014,ANGOLA                        ,PORTUGAL                      ,Diplomat en Escoles Università,1
2013,"SENEGAL, EL                   ",ESPANYA                       ,Formació professional de Segon,1
2016,ESPANYA                       ,ARMÈNIA                       ,No aplicable per ser més petit,5
2016,BANGLA DESH                   ,BANGLA DESH                   ,"Batxiller Elemental, Graduat E",2
2011,"BRASIL, EL                    ","BRASIL, EL                    ",Batxiller superior. BUP. Batxi,52
2016,EGIPTE                        ,EGIPTE                        ,"Batxiller Elemental, Graduat E",5
2015,"ARGENTINA, L                  ",ESPANYA                       ,No aplicable per ser més petit,8
2017,"NEPAL,EL                      ","NEPAL,EL                      ",Doctorat i Estudis de postgrau,1
2015,ITÀLIA                        ,ITÀLIA                        ,Formació professional Primer G,4
2011,"URUGUAI, L                    ",POLÒNIA                       ,Desconegut                    ,1
2015,FRANÇA                        ,FRANÇA                        ,Doctorat i Estudis de postgrau,15
2012,BÒSNIA I HERCEGOVINA          ,ESPANYA                       ,"Llicenciat Universitari, Arqui",1
2017,NIGÈRIA                       ,ESPANYA                       ,"Batxiller Elemental, Graduat E",4
2017,SUD-ÀFRICA                    ,ESPANYA                       ,Batxiller superior. BUP. Batxi,1
2013,"ARGENTINA, L                  ",ITÀLIA                        ,"Batxiller Elemental, Graduat E",51
2014,"EQUADOR, L                    ","EQUADOR, L                    ",Diplomat en Escoles Università,20
2012,ESPANYA                       ,BÈLGICA                       ,No aplicable per ser més petit,4
2012,MÈXIC                         ,MÈXIC                         ,Titulats d estudis superiors n,2
2015,BOLÍVIA                       ,ESPANYA                       ,Altres titulacions mitjanes (A,6
2016,DINAMARCA                     ,"MARROC, EL                    ",Sense estudis                 ,1
2017,SUÏSSA                        ,ESPANYA                       ,Diplomat en Escoles Università,8
2013,ALEMANYA                      ,ITÀLIA                        ,Ensenyament primari incomplert,1
2017,"FILIPINES, LES                ","FILIPINES, LES                ",Batxiller superior. BUP. Batxi,4
2013,HONDURES                      ,HONDURES                      ,Altres titulacions mitjanes (A,5
2015,"ESTATS UNITS D AMÈRICA, ELS   ",ITÀLIA                        ,"Llicenciat Universitari, Arqui",1
2011,GUATEMALA                     ,ESPANYA                       ,Formació professional Primer G,1
2017,"EQUADOR, L                    ","ESTATS UNITS D AMÈRICA, ELS   ","Llicenciat Universitari, Arqui",2
2012,BURKINA FASO                  ,BURKINA FASO                  ,Formació professional de Segon,1
2015,NICARAGUA                     ,NICARAGUA                     ,No aplicable per ser més petit,2
2014,"URUGUAI, L                    ",ESPANYA                       ,Batxiller superior. BUP. Batxi,40
2011,"EQUADOR, L                    ","EQUADOR, L                    ",Desconegut                    ,215
2017,"REPÚBLICA TXECA, LA           ",ESPANYA                       ,"Llicenciat Universitari, Arqui",1
2011,BÈLGICA                       ,ESPANYA                       ,Altres titulacions mitjanes (A,2
2016,UCRAÏNA                       ,UCRAÏNA                       ,Batxiller superior. BUP. Batxi,28
2011,GUATEMALA                     ,ESPANYA                       ,Batxiller superior. BUP. Batxi,3
2013,GUATEMALA                     ,GUATEMALA                     ,Formació professional de Segon,2
2015,GÀMBIA                        ,ESPANYA                       ,Batxiller superior. BUP. Batxi,1
2014,COLÒMBIA                      ,IRLANDA                       ,Batxiller superior. BUP. Batxi,1
2017,"XINA, LA                      ","XINA, LA                      ",Desconegut                    ,136
2016,FRANÇA                        ,ESPANYA                       ,Desconegut                    ,7
2015,"ARGENTINA, L                  ","ARGENTINA, L                  ",Desconegut                    ,33
2013,BIELORÚSSIA                   ,RÚSSIA                        ,"Llicenciat Universitari, Arqui",1
2016,MÈXIC                         ,ESPANYA                       ,Formació professional de Segon,8
2011,"PAKISTAN, EL                  ","PAKISTAN, EL                  ",Diplomat en Escoles Università,1
2012,ESPANYA                       ,SUÏSSA                        ,No aplicable per ser més petit,2
2014,ESPANYA                       ,ANDORRA                       ,Batxiller superior. BUP. Batxi,1
2016,EGIPTE                        ,EGIPTE                        ,Diplomat en Escoles Università,2
2012,"PAKISTAN, EL                  ","PAKISTAN, EL                  ",Ensenyament primari incomplert,70
2017,ISLÀNDIA                      ,ISLÀNDIA                      ,Doctorat i Estudis de postgrau,2
2013,"URUGUAI, L                    ",POLÒNIA                       ,Desconegut                    ,1
2012,VENEÇUELA                     ,ALEMANYA                      ,Batxiller superior. BUP. Batxi,1
2017,"SENEGAL, EL                   ","SENEGAL, EL                   ",Desconegut                    ,109
2015,COLÒMBIA                      ,ITÀLIA                        ,"Batxiller Elemental, Graduat E",6
2011,ALGÈRIA                       ,ALGÈRIA                       ,Arquitecte o Enginyer Tècnic  ,1
2014,MALÀISIA                      ,MALÀISIA                      ,Formació professional Primer G,4
2013,"ARÀBIA SAUDITA, L             ","SUDAN, EL                     ",Batxiller superior. BUP. Batxi,1
2017,UCRAÏNA                       ,UCRAÏNA                       ,"Llicenciat Universitari, Arqui",25
2014,CUBA                          ,CUBA                          ,Arquitecte o Enginyer Tècnic  ,4
2017,TUNÍSIA                       ,TUNÍSIA                       ,"Batxiller Elemental, Graduat E",2
2016,"ESTATS UNITS D AMÈRICA, ELS   ",ESPANYA                       ,Batxiller superior. BUP. Batxi,4
2016,ESPANYA                       ,"REGNE UNIT, EL                ",No aplicable per ser més petit,5
2015,ARMÈNIA                       ,ESPANYA                       ,Ensenyament primari incomplert,1
2015,"FILIPINES, LES                ","FILIPINES, LES                ",Batxiller superior. BUP. Batxi,2
2013,"PAKISTAN, EL                  ","PAKISTAN, EL                  ","Llicenciat Universitari, Arqui",6
2017,"TOGO, EL                      ","TOGO, EL                      ","Batxiller Elemental, Graduat E",1
2013,"BRASIL, EL                    ","URUGUAI, L                    ","Batxiller Elemental, Graduat E",1
2014,"URUGUAI, L                    ",FRANÇA                        ,Diplomat en Escoles Università,1
2013,ARMÈNIA                       ,ARMÈNIA                       ,Diplomat en Escoles Università,1
2017,BÈLGICA                       ,BÈLGICA                       ,Batxiller superior. BUP. Batxi,5
2015,"ESTATS UNITS D AMÈRICA, ELS   ",ALEMANYA                      ,Batxiller superior. BUP. Batxi,1
2012,XILE                          ,XILE                          ,No aplicable per ser més petit,14
2015,FRANÇA                        ,"SENEGAL, EL                   ",Ensenyament primari incomplert,1
2014,APÀTRIDES                     ,ESPANYA                       ,Batxiller superior. BUP. Batxi,1
2013,COLÒMBIA                      ,ESPANYA                       ,Ensenyament primari incomplert,111
2011,ITÀLIA                        ,ITÀLIA                        ,Arquitecte o Enginyer Tècnic  ,4
2017,"BRASIL, EL                    ",ESPANYA                       ,Diplomat en Escoles Università,15
2015,SUÏSSA                        ,ESPANYA                       ,Ensenyament primari incomplert,8
2017,"PAÏSOS BAIXOS, ELS            ",ESPANYA                       ,Diplomat en Escoles Università,1
2014,ESPANYA                       ,COLÒMBIA                      ,No aplicable per ser més petit,21
2017,ROMANIA                       ,ROMANIA                       ,"Llicenciat Universitari, Arqui",53
2016,"ARGENTINA, L                  ",ESPANYA                       ,Desconegut                    ,9
2014,ROMANIA                       ,ESPANYA                       ,No aplicable per ser més petit,1
2017,TURQUIA                       ,TURQUIA                       ,Diplomat en Escoles Università,2
2011,MALI                          ,MALI                          ,"Llicenciat Universitari, Arqui",1
2013,MOLDÀVIA                      ,MOLDÀVIA                      ,Arquitecte o Enginyer Tècnic  ,1
2015,ITÀLIA                        ,ITÀLIA                        ,Desconegut                    ,20
2012,"GUINEA EQUATORIAL, LA         ","GUINEA EQUATORIAL, LA         ",Batxiller superior. BUP. Batxi,7
2016,XILE                          ,ESPANYA                       ,Formació professional Primer G,15
2013,"FILIPINES, LES                ",ESPANYA                       ,No aplicable per ser més petit,1
2014,ESPANYA                       ,"MARROC, EL                    ",Desconegut                    ,7
2012,"FILIPINES, LES                ",ESPANYA                       ,"Llicenciat Universitari, Arqui",1
2016,ALTRES PAÏSOS D ÀSIA          ,ALTRES PAÏSOS D ÀSIA          ,Diplomat en Escoles Università,1
2015,"GUINEA EQUATORIAL, LA         ","GUINEA EQUATORIAL, LA         ",Diplomat en Escoles Università,2
2016,"COSTA D IVORI, LA             ",ESPANYA                       ,No aplicable per ser més petit,2
2016,ALTRES PAÏSOS D AMÈRICA       ,"ESTATS UNITS D AMÈRICA, ELS   ",Altres titulacions mitjanes (A,1
2016,"SENEGAL, EL                   ","SENEGAL, EL                   ",Diplomat en Escoles Università,15
2015,RÚSSIA                        ,ESPANYA                       ,Altres titulacions mitjanes (A,2
2017,BÈLGICA                       ,ESPANYA                       ,Formació professional Primer G,5
2017,"URUGUAI, L                    ",ITÀLIA                        ,No aplicable per ser més petit,1
2011,POLÒNIA                       ,POLÒNIA                       ,"Llicenciat Universitari, Arqui",25
2014,ISRAEL                        ,"ESTATS UNITS D AMÈRICA, ELS   ","Batxiller Elemental, Graduat E",1
2015,JORDÀNIA                      ,JORDÀNIA                      ,Desconegut                    ,2
2013,MAURICI                       ,MAURICI                       ,"Batxiller Elemental, Graduat E",1
2013,"SENEGAL, EL                   ","SENEGAL, EL                   ",Ensenyament primari incomplert,390
2017,"JAPÓ, EL                      ","JAPÓ, EL                      ",Desconegut                    ,2
2016,"MARROC, EL                    ",ESPANYA                       ,Formació professional Primer G,67
2015,"PERÚ, EL                      ","PERÚ, EL                      ",Batxiller superior. BUP. Batxi,47
2013,LETÒNIA                       ,LETÒNIA                       ,"Batxiller Elemental, Graduat E",2
2016,"IRAN, L                       ","IRAN, L                       ",Formació professional de Segon,2
