DATA_REFERENCIA,MES,PAIS_PROCEDENCIA,PROVINCIA_PROCEDENCIA,SEXE,POBLACIO
2011,11,"PAÏSOS BAIXOS, ELS            ", ,Dona,1
2011,11,"PAKISTAN, EL                  ", ,Home,4
2011,11,"PARAGUAI, EL                  ", ,Dona,3
2011,11,"PARAGUAI, EL                  ", ,Home,2
2011,11,"PERÚ, EL                      ", ,Dona,1
2011,11,"PERÚ, EL                      ", ,Home,1
2011,11,PORTUGAL                      , ,Dona,2
2011,11,PORTUGAL                      , ,Home,1
2011,11,"REGNE UNIT, EL                ", ,Dona,1
2011,11,"REGNE UNIT, EL                ", ,Home,1
2011,11,"REPÚBLICA DOMINICANA, LA      ", ,Dona,7
2011,11,"REPÚBLICA DOMINICANA, LA      ", ,Home,4
2011,11,ROMANIA                       , ,Dona,3
2011,11,ROMANIA                       , ,Home,4
2011,11,RÚSSIA                        , ,Dona,5
2011,11,RÚSSIA                        , ,Home,2
2011,11,SÈRBIA                        , ,Dona,1
2011,11,TAILÀNDIA                     , ,Dona,1
2011,11,VENEÇUELA                     , ,Dona,1
2011,11,VENEÇUELA                     , ,Home,3
2011,11,XILE                          , ,Dona,1
2011,11,XILE                          , ,Home,2
2011,11,"XINA, LA                      ", ,Dona,2
2011,11,"XINA, LA                      ", ,Home,5
2011,12,ALEMANYA                      , ,Dona,1
2011,12,"ARGENTINA, L                  ", ,Dona,2
2011,12,"ARGENTINA, L                  ", ,Home,1
2011,12,ARMÈNIA                       , ,Dona,3
2011,12,ARMÈNIA                       , ,Home,1
2011,12,BIELORÚSSIA                   , ,Dona,1
2011,12,BOLÍVIA                       , ,Dona,1
2011,12,BOLÍVIA                       , ,Home,2
2011,12,"BRASIL, EL                    ", ,Dona,1
2011,12,"BRASIL, EL                    ", ,Home,2
2011,12,COLÒMBIA                      , ,Dona,1
2011,12,COLÒMBIA                      , ,Home,3
2011,12,CUBA                          , ,Dona,1
2011,12,CUBA                          , ,Home,2
2011,12,"EQUADOR, L                    ", ,Dona,3
2011,12,"EQUADOR, L                    ", ,Home,5
2011,12,ESPANYA                       , ,Dona,266
2011,12,ESPANYA                       , ,Home,315
