CODI_NORMATIVA,TITOL,AMBIT,URL,DESCRIPCIO,DATA_INI_VIGENCIA,DATA_FI_VIGENCIA,WEB
01335,OF núm.3.27 - Taxa per a la utilització de les instal·lacions poliesportives de les escoles públiques,Local,,"<u>Ordenança fiscal per l exercici 2017</u><br> Aprovada definitivament, per l Excm. Ajuntament en Ple, el 21 de desembre de 2016.<br> Publicada en el BOPB el 30 de desembre de 2016.<br> Entrada en vigor l 1 de gener de 2017, mantenint la seva vigència mentre no se n aprovi la seva modificació o derogació.",01/01/2016 0:00:00,31/12/2017 0:00:00,https://aoberta.terrassa.cat/normativa/detallNormativa.jsp?id=01335
01509,OF núm.3.28 - Taxa per a la utilització del servei de subministrament d àpats a domicili,Local,,"<u>Ordenança fiscal per l exercici 2017</u><br> Aprovada definitivament, per l Excm. Ajuntament en Ple, el 21 de desembre de 2016.<br> Publicada en el BOPB el 30 de desembre de 2016.<br> Entrada en vigor l 1 de gener de 2017, mantenint la seva vigència mentre no se n aprovi la seva modificació o derogació.",01/01/2016 0:00:00,31/12/2017 0:00:00,https://aoberta.terrassa.cat/normativa/detallNormativa.jsp?id=01509
01510,OF núm.3.29 -Taxa per a la prestació de serveis del Museu de Terrassa i la utilització extraord. d espais a la Casa Museu Alegre de Sagrera.,Local,,"<u>Ordenança fiscal per l exercici 2017</u><br> Aprovada definitivament, per l Excm. Ajuntament en Ple, el 21 de desembre de 2016.<br> Publicada en el BOPB el 30 de desembre de 2016.<br> Entrada en vigor l 1 de gener de 2017, mantenint la seva vigència mentre no se n aprovi la seva modificació o derogació.",01/01/2017 0:00:00,31/12/2017 0:00:00,https://aoberta.terrassa.cat/normativa/detallNormativa.jsp?id=01510
01511,OF núm.3.30 - Taxa pel servei del cementiri municipal i cremació,Local,,"<u>Ordenança fiscal per l exercici 2017</u><br> Aprovada definitivament, per l Excm. Ajuntament en Ple, el 21 de desembre de 2016.<br> Publicada en el BOPB el 30 de desembre de 2016.<br> Entrada en vigor l 1 de gener de 2017, mantenint la seva vigència mentre no se n aprovi la seva modificació o derogació.",01/01/2017 0:00:00,31/12/2017 0:00:00,https://aoberta.terrassa.cat/normativa/detallNormativa.jsp?id=01511
01512,OF núm.3.31 - Taxa per l atorgament de llicències i autoritzacions administratives per a l exercici d activitats publicitàries,Local,,"<u>Ordenança fiscal per l exercici 2017</u><br> Aprovada definitivament, per l Excm. Ajuntament en Ple, el 21 de desembre de 2016.<br> Publicada en el BOPB el 30 de desembre de 2016.<br> Entrada en vigor l 1 de gener de 2017, mantenint la seva vigència mentre no se n aprovi la seva modificació o derogació.",01/01/2017 0:00:00,31/12/2017 0:00:00,https://aoberta.terrassa.cat/normativa/detallNormativa.jsp?id=01512
01514,OF núm.3.33 - Taxa de serveis de legalització de les activitats i instal·lacions i de serveis ambientals,Local,,"<u>Ordenança fiscal per l exercici 2017</u><br> Aprovada definitivament, per l Excm. Ajuntament en Ple, el 21 de desembre de 2016.<br> Publicada en el BOPB el 30 de desembre de 2016.<br> Entrada en vigor l 1 de gener de 2017, mantenint la seva vigència mentre no se n aprovi la seva modificació o derogació.",01/01/2017 0:00:00,31/12/2017 0:00:00,https://aoberta.terrassa.cat/normativa/detallNormativa.jsp?id=01514
01515,OF núm.3.34 - Taxa per l atorgament de llicències per a la tinença d animals potencialment perillosos,Local,,"<u>Ordenança fiscal per l exercici 2017</u><br> Aprovada definitivament, per l Excm. Ajuntament en Ple, el 21 de desembre de 2016.<br> Publicada en el BOPB el 30 de desembre de 2016.<br> Entrada en vigor l 1 de gener de 2017, mantenint la seva vigència mentre no se n aprovi la seva modificació o derogació.",01/01/2017 0:00:00,31/12/2017 0:00:00,https://aoberta.terrassa.cat/normativa/detallNormativa.jsp?id=01515
01516,OF núm.3.35 - Taxa per a la prestació de diversos serveis de les biblioteques públiques municipals -bct xarxa-,Local,,"<u>Ordenança fiscal per l exercici 2017</u><br> Aprovada definitivament, per l Excm. Ajuntament en Ple, el 21 de desembre de 2016.<br> Publicada en el BOPB el 30 de desembre de 2016.<br> Entrada en vigor l 1 de gener de 2017, mantenint la seva vigència mentre no se n aprovi la seva modificació o derogació.",01/01/2017 0:00:00,31/12/2017 0:00:00,https://aoberta.terrassa.cat/normativa/detallNormativa.jsp?id=01516
01341,OF núm.3.36 - Taxa per a l aprofitament especial del domini públic local a favor d empreses explotadores de serveis d interès general,Local,,"<u>Ordenança fiscal per l exercici 2017</u><br> Aprovada definitivament, per l Excm. Ajuntament en Ple, el 21 de desembre de 2016.<br> Publicada en el BOPB el 30 de desembre de 2016.<br> Entrada en vigor l 1 de gener de 2017, mantenint la seva vigència mentre no se n aprovi la seva modificació o derogació.",01/01/2004 0:00:00,31/12/2017 0:00:00,https://aoberta.terrassa.cat/normativa/detallNormativa.jsp?id=01341
01517,OF núm.3.37 - Taxa sobre la gestió de residus municipals,Local,,"<u>Ordenança fiscal per l exercici 2017</u><br> Aprovada definitivament, per l Excm. Ajuntament en Ple, el 21 de desembre de 2016.<br> Publicada en el BOPB el 30 de desembre de 2016.<br> Entrada en vigor l 1 de gener de 2017, mantenint la seva vigència mentre no se n aprovi la seva modificació o derogació.",01/01/2017 0:00:00,31/12/2017 0:00:00,https://aoberta.terrassa.cat/normativa/detallNormativa.jsp?id=01517
01375,OF núm.3.39 - Taxa per a la utilització privativa o l aprofitament esp. domini públic local a favor de les empreses explot. telef. mòbil,Local,,"Títol complet: Taxa per a la utilització privativa o l aprofitament especial del domini públic local a favor de les empreses explotadores de telefonia mòbil<br><br> <u>Ordenança fiscal per l exercici 2017</u><br> Aprovada definitivament, per l Excm. Ajuntament en Ple, el 21 de desembre de 2016.<br> Publicada en el BOPB el 30 de desembre de 2016.<br> Entrada en vigor l 1 de gener de 2017, mantenint la seva vigència mentre no se n aprovi la seva modificació o derogació.",01/01/2015 0:00:00,31/12/2017 0:00:00,https://aoberta.terrassa.cat/normativa/detallNormativa.jsp?id=01375
02198,Ordenança Bases de convivència democràtica a la ciutat,Local,,Aprovació: 30-10-2014.<br> Publicació: BOP el 21-11-2014 <br> Entrada en vigor: 11-12-2014,11/12/2014 0:00:00,31/12/2099 0:00:00,https://aoberta.terrassa.cat/normativa/detallNormativa.jsp?id=02198
01291,Ordenança d obres i instal·lacions de serveis en domini públic municipal,Local,,"El text recull les modificacions dels articles 23, 51, 52, 53, 54, 55 i 56 de l ordenança aprovada definitivament i publicada al BOP núm. 173 de 19-07-1996<br> La modificació de l ordenança s aprovà definitivament per Decret núm. 9.005/2000 de 25 de setembre, i publicada al BOP núm. 264 de 03-11-2000",19/07/1996 0:00:00,31/12/2099 0:00:00,https://aoberta.terrassa.cat/normativa/detallNormativa.jsp?id=01291
01234,Ordenança d usos i activitats,Local,,Aprovació de l ordenança: 30-11-2010<br> Publicació: BOP de 05-02-2011<br> Entrada en vigor: 16-03-2011</p> <p>Aprovació de modificació (art. 38): 29-09-2011<br> Publicació de la modificació: 30-12-2011<br> Entrada en vigor: 19-01-2012 ,19/01/2012 0:00:00,31/12/2099 0:00:00,https://aoberta.terrassa.cat/normativa/detallNormativa.jsp?id=01234
00521,Ordenança de la venda no sedentària als mercadals de Terrassa,Local,,Publicació: BOP de 17-04-2015<br> Entrada en vigor: 27-05-2015<br>,27/05/2015 0:00:00,31/12/2099 0:00:00,https://aoberta.terrassa.cat/normativa/detallNormativa.jsp?id=00521
02366,"Ordenança de transparència, accés a la informació i bon govern",Local,,Publicació: BOPB de 17 de març de 2017<br> Entrada en vigor: 7 d abril de 2017,07/04/2017 0:00:00,31/12/2099 0:00:00,https://aoberta.terrassa.cat/normativa/detallNormativa.jsp?id=02366
00982,Ordenança general de subvencions,Local,,Aprovada per acord plenari de 30 de març de 2017 (BOP de 3 de maig de 2017),03/05/2017 0:00:00,31/12/2099 0:00:00,https://aoberta.terrassa.cat/normativa/detallNormativa.jsp?id=00982
01294,Ordenança municipal de llicències urbanístiques,Local,,"Aprovada per la Comissió d Urbanisme de Barcelona en data 5 de desembre de 1984 (DOGC de 06-02-1985)<br> - Modificada per acord plenari de 30 de gener de 1997 (BOP núm. 54 de 04-03-1997). Art. 10. <br> - Modificada per acord plenari de 30 d abril de 2009 (BOP núm. 119 de 19-05-2009) Arts 13, 15 i 17<br>",19/05/2009 0:00:00,31/12/2099 0:00:00,https://aoberta.terrassa.cat/normativa/detallNormativa.jsp?id=01294
02255,Ordenança municipal de tinença i protecció dels animals,Local,,Aprovada per acord plenari de 24 de setembre de 2015<br> Publicada en el BOP de 13 d octubre de 2015<br> Entrada en vigor: 30 d octubre de 2015</p> Aquesta ordenança deroga l <b>Ordenança municipal de control i tinença d animals domèstics i altres assimilats</b>,30/10/2015 0:00:00,31/12/2099 0:00:00,https://aoberta.terrassa.cat/normativa/detallNormativa.jsp?id=02255
01268,Ordenança municipal del servei públic de proveïment i sanejament d aigües,Local,,Aprovació de l ordenança: 27-01-1994<br> Publicació: BOP de 14-03-1994</p> <p>Aprovació de modificació (1a): 25-02-1999<br> Publicació de modificació (1a): 08-05-1999</p>  <p>Aprovació de modificació (2a): 28-02-2008<br> Publicació de modificació (2a): BOP núm. 110 de 07-05-2008</p>,26/05/2008 0:00:00,31/12/2099 0:00:00,https://aoberta.terrassa.cat/normativa/detallNormativa.jsp?id=01268
01263,Ordenança municipal per a l aprofitament tèrmic d energia solar,Local,,Aprovació: 24-07-2008<br> Publicació: BOP núm. 215 de 06-09-2008,07/09/2008 0:00:00,31/12/2099 0:00:00,https://aoberta.terrassa.cat/normativa/detallNormativa.jsp?id=01263
01193,Ordenança municipal per a la regulació dels sorolls i les vibracions,Local,,Aprovació: 27-09-1990.<br> Aprovació de modificació: 31-10-2002 (art. 11 derogat per l Ordenança d usos i activitats),01/01/2006 0:00:00,31/12/2099 0:00:00,https://aoberta.terrassa.cat/normativa/detallNormativa.jsp?id=01193
