URTEA;UDAL KODEA;UDALAREN IZENA;KALE KODEA;KALEAREN IZENA;BARRUTIA;SEKZIOA;JAIOTZE HERRIALDEA;JAIOTZE-PROBINTZIA;JAIOTZE-HERRIA;HERRIALDEAREN IZENA;PROBINTZIAREN IZENA;HERRIAREN IZENA;EMAKUME KOPURUA;GIZON KOPURUA;.                                                                                                                                                                                                                                                                                                                                                                                       
2016;030;EIBAR;1102;EGO-GAIN KALEA;001;001;108;048;007;ESPAINIA;BIZKAIA;MUNITIBAR-ARBATZEGI GERRIKAITZ;1;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
2016;030;EIBAR;1102;EGO-GAIN KALEA;001;001;108;048;013;ESPAINIA;BIZKAIA;BARAKALDO;2;4;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2016;030;EIBAR;1102;EGO-GAIN KALEA;001;001;108;048;015;ESPAINIA;BIZKAIA;BASAURI;1;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
2016;030;EIBAR;1102;EGO-GAIN KALEA;001;001;108;048;018;ESPAINIA;BIZKAIA;BERRIATUA;1;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2016;030;EIBAR;1102;EGO-GAIN KALEA;001;001;108;048;019;ESPAINIA;BIZKAIA;BERRIZ;1;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
2016;030;EIBAR;1102;EGO-GAIN KALEA;001;001;108;048;020;ESPAINIA;BIZKAIA;BILBO;0;2;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
2016;030;EIBAR;1102;EGO-GAIN KALEA;001;001;108;048;027;ESPAINIA;BIZKAIA;DURANGO;0;3;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
2016;030;EIBAR;1102;EGO-GAIN KALEA;001;001;108;048;030;ESPAINIA;BIZKAIA;ETXEBARRIA;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
2016;030;EIBAR;1102;EGO-GAIN KALEA;001;001;108;048;034;ESPAINIA;BIZKAIA;ERMUA;2;2;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
2016;030;EIBAR;1102;EGO-GAIN KALEA;001;001;108;048;048;ESPAINIA;BIZKAIA;IBARRANGELU;1;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
2016;030;EIBAR;1102;EGO-GAIN KALEA;001;001;108;048;060;ESPAINIA;BIZKAIA;MARKINA-XEMEIN;2;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
2016;030;EIBAR;1102;EGO-GAIN KALEA;001;001;108;048;073;ESPAINIA;BIZKAIA;ONDARROA;1;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
2016;030;EIBAR;1102;EGO-GAIN KALEA;001;001;108;048;095;ESPAINIA;BIZKAIA;ZALDIBAR;1;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
2016;030;EIBAR;1102;EGO-GAIN KALEA;001;001;108;049;143;ESPAINIA;ZAMORA;PALACIOS DE SANABRIA;1;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2016;030;EIBAR;1102;EGO-GAIN KALEA;001;001;108;049;226;ESPAINIA;ZAMORA;VADILLO DE LA GUAREÑA;1;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
2016;030;EIBAR;1102;EGO-GAIN KALEA;001;001;108;049;999;ESPAINIA;ZAMORA;PLOIESTI;1;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
2016;030;EIBAR;1102;EGO-GAIN KALEA;001;001;110;110;999;FRANTZIA;FRANTZIA;SANINT-LOUIS;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
