Mun;N.Fijo ;D;Po;Par;Su;Nombre                   ;Tc;Cc;Superfic
030;0326162;J;06;459;E ;                         ;CS;01;00000263
030;0326162;J;06;469;A ;                         ;MM;04;00013532
030;0326166;S;04;041;A ;                         ;E ;01;00033597
030;0326166;S;04;041;B ;                         ;MM;01;00003024
030;0326173;S;02;001;A ;                         ;MM;01;00014810
030;0326180;S;06;143;A ;                         ;MM;01;00019104
030;0326180;S;07;083;A ;                         ;MM;04;00010465
030;0326183;T;07;084;A ;                         ;PD;01;00004676
030;0326183;T;07;084;B ;                         ;I ;01;00018772
030;0326183;T;07;084;C ;                         ;PD;01;00001539
030;0326183;T;07;084;D ;                         ;PD;01;00008390
030;0326185;M;06;042;A ;                         ;MM;04;00015355
030;0326185;M;06;193;A ;                         ;E ;01;00002582
030;0326185;M;06;193;B ;                         ;MM;03;00012411
030;0326185;M;07;124;A ;                         ;MM;02;00042945
030;0326185;M;07;124;B ;                         ;C ;02;00023152
030;0326185;M;07;124;C ;                         ;C ;01;00001098
030;0326185;M;07;124;D ;                         ;F ;02;00002319
030;0326185;M;07;124;E ;                         ;C ;01;00002836
030;0326185;M;07;124;G ;                         ;MM;02;00025405
030;0326185;M;07;124;K ;                         ;CS;01;00000359
030;0326185;M;07;342;A ;                         ;MM;01;00030153
030;0326188;N;05;130;A ;                         ;MF;01;00002196
030;0326188;N;05;258;A ;                         ;MF;03;00001108
030;0326188;N;05;258;B ;                         ;MM;02;00017092
030;0326188;N;05;258;C ;                         ;MF;03;00001427
030;0326188;N;05;258;D ;                         ;MF;03;00002250
030;0326188;N;05;259;A ;                         ;MF;02;00003753
030;0326194;F;05;016;A ;                         ;E ;01;00009237
030;0326194;F;05;016;B ;                         ;MF;01;00001638
030;0326194;F;05;016;C ;                         ;C ;01;00001086
030;0326194;F;05;016;D ;                         ;CS;02;00000477
030;0326194;F;05;045;A ;                         ;E ;04;00005536
030;0326194;F;05;280;A ;                         ;PD;04;00000275
030;0326194;F;05;286;A ;                         ;E ;01;00001795
030;0326195;N;05;048;A ;                         ;MM;01;00001946
030;0326195;N;05;069;A ;                         ;MM;01;00019349
030;0326195;N;05;069;B ;                         ;MF;01;00002671
030;0326196;V;03;097;A ;                         ;C ;01;00002001
030;0326196;V;03;127;B ;                         ;PD;01;00005615
030;0326196;V;03;127;C ;                         ;MF;01;00001463
030;0326196;V;03;127;D ;                         ;CS;02;00000564
030;0326196;V;03;127;E ;                         ;C ;01;00005264
030;0326199;W;02;046;A ;                         ;MM;01;00024348
030;0326200;S;06;483;A ;                         ;E ;04;00002667
030;0326201;D;04;087;A ;                         ;PD;04;00000723
030;0326201;D;04;087;B ;                         ;MF;01;00000767
030;0326204;E;05;164;A ;                         ;MF;04;00000309
030;0326205;M;04;080;A ;                         ;C ;01;00000479
030;0326206;U;03;019;A ;                         ;MM;01;00026570
030;0326206;U;03;030;A ;                         ;MF;04;00009904
030;0326206;U;03;030;B ;                         ;MB;04;00002912
030;0326206;U;03;030;C ;                         ;MM;04;00002598
030;0326206;U;03;049;A ;                         ;MM;03;00002554
030;0326206;U;03;082;A ;                         ;MM;01;00033398
030;0326206;U;03;107;A ;                         ;MM;01;00031473
030;0326214;F;01;043;A ;                         ;PD;01;00000560
030;0326214;F;01;043;B ;                         ;MF;01;00025145
030;0326214;F;01;060;A ;                         ;E ;02;00007820
030;0326214;F;01;060;B ;                         ;MF;01;00013929
030;0326214;F;04;032;A ;                         ;MF;01;00005037
030;0326214;F;04;033;A ;                         ;MF;03;00000401
030;0326214;F;04;136;A ;                         ;MF;02;00000818
030;0326214;F;04;136;B ;                         ;C ;01;00000197
030;0326217;G;04;038;A ;                         ;C ;02;00000729
030;0326217;G;04;038;B ;                         ;I ;01;00000285
030;0326217;G;04;038;C ;                         ;MF;01;00001662
030;0326217;G;04;135;A ;                         ;MF;01;00000146
030;0326218;X;02;136;A ;                         ;E ;04;00004234
