NOMPARTIDA,CODIECONOMIC,ECONOMIC,CODIFUNCIONAL,FUNCIONAL,CODIORGANIC,ORGANIC,IMPORT
Edificis i altres constr Cultura i Patrimoni,212.01.0217,Edificis i altres construccions,9330B,Equipaments de serveis,1.7.0.16,Logística,96722.7
Maquinària i instal tècniques Cultura i Patrimoni,213.00.0217,"Maquinària,instal·lacions tècniques i utillatje",9330B,Equipaments de serveis,1.7.0.16,Logística,36516.21
Maquinari i instal tècniques Esports,213.00.0317,"Maquinària,instal·lacions tècniques i utillatje",9330B,Equipaments de serveis,1.7.0.16,Logística,1459.78
Maquinari i instal tècniques Esports,213.00.0417,"Maquinària,instal·lacions tècniques i utillatje",9330B,Equipaments de serveis,1.7.0.16,Logística,7215.93
Maquinària i instal tècniques Cultura i Patrimoni,213.00.0517,"Maquinària,instal·lacions tècniques i utillatje",9330B,Equipaments de serveis,1.7.0.16,Logística,443.81
Elements de transport,214.00.0017,Elements de transport,9330B,Equipaments de serveis,1.7.0.16,Logística,1561.73
Festa Major d'estiu - Infraestructura,226.09.0217,Activitats culturals i esportives,3380A,Cicle Festiu,1.7.0.16,Logística,22239.89
Seguretat Patrimoni Històric i Cultural,227.01.0017,Seguretat,9330B,Equipaments de serveis,1.7.0.16,Logística,7436.63
Edificis i altres constr Esports,212.01.0116,Edificis i altres construccions,9330B,Equipaments de serveis,1.7.0.16,Logística,2231.36
Edificis i altres constr Cultura i Patrimoni,212.01.0216,Edificis i altres construccions,9330B,Equipaments de serveis,1.7.0.16,Logística,9407.42
Maquinària i instal tècniques Cultura i Patrimoni,213.00.0216,"Maquinària,instal·lacions tècniques i utillatje",9330B,Equipaments de serveis,1.7.0.16,Logística,3705.3
Seguretat Patrimoni Històric i Cultural,227.01.0016,Seguretat,9330B,Equipaments de serveis,1.7.0.16,Logística,6308.34
Inv. de rep en edif.i altres constr-IFS Equipament,632.00.0015,Edificis i altres construccions,9330B,Equipaments de serveis,1.7.0.16,Logística,172187.27
Inv. de rep en edif.i altres constr-IFS Equipament,632.00.0016,Edificis i altres construccions,9330F,Inversions financerament sostenibles,1.7.0.16,Logística,100333.06
Inversió nova en mobiliari esportiu,625.00.0016,Mobiliari,3420A,Instal·lacions esportives,1.7.0.16,Logística,43277.13
Inv. de rep en instal.lacions-IFS Equipament,633.00.0016,"Maquinària,instal·lacions i utillatge",9330F,Inversions financerament sostenibles,1.7.0.16,Logística,66679.78
Inversions noves en elements transport Logística,624.00.0015,Elements de Transport,9330B,Equipaments de serveis,1.7.0.16,Logística,23517.51
Inversió nova en mobiliari,625.00.0017,Mobiliari,3330A,Arts escèniques i Música,1.7.0.16,Logística,1790.61
Instal·lacions noves en equipaments - IFS equip,623.00.0017,"Maquinària, instal·lacions tècniques i utillatge",9330F,Inversions financerament sostenibles,1.7.0.16,Logística,10890
Inv. de rep en edif.i altres construccions- IFS ed,632.00.0017,Edificis i altres construccions,9330F,Inversions financerament sostenibles,1.7.0.16,Logística,88975.25
Instal·lacions noves en equipaments,623.00.0017,"Maquinària, instal·lacions tècniques i utillatge",9330B,Equipaments de serveis,1.7.0.16,Logística,14862.79
Festa Major d'estiu - Infraestructura,226.09.0217,Activitats culturals i esportives,9330B,Equipaments de serveis,1.7.0.16,Logística,10982.92
Instal·lacions noves en equipaments - mobiliari,625.00.0017,Mobiliari,9330B,Equipaments de serveis,1.7.0.16,Logística,15053.75
Treballs de neteja lleres públiques,227.00.0017,Neteja,4120A,Pagesia de Gavà,3.4.0.16,Obres i Manteniment,17439.26
"Arrendaments de maquinària, instal·lacions i utill",203.00.0017,"Arrendament maquinària, instal·lacions i utillatge",9330B,Equipaments de serveis,1.7.0.16,Logística,9767.57
Prevenció incendis i neteja zones forestals i mpal,210.00.0017,Infraestructura i béns naturals,1350A,Protecció civil ,3.3.0.16,Medi Ambient i Sostenibilitat,19272.29
Aportació a la Agrupació de Defensa Forestal,482.01.9917,A associacions sense ànim de lucre,1721A,Protecció del Medi Ambient,3.3.0.16,Medi Ambient i Sostenibilitat,81000
Inversió nova en mobiliari - Platges,625.00.0017,Mobiliari,1350A,Protecció civil ,3.3.0.16,Medi Ambient i Sostenibilitat,1855.62
AMB/Conveni mòdul primers auxilis platja,764.00.0017,A Àrees metropolitanes,1350A,Protecció civil ,3.3.0.16,Medi Ambient i Sostenibilitat,18769.4
Medi Ambient,226.99.0016,Altres despeses diverses,1721A,Protecció del Medi Ambient,3.3.0.16,Medi Ambient i Sostenibilitat,12828.63
Formació i activitats Medi Ambient,226.06.0016,"Reunions, conferències i cursos",1721A,Protecció del Medi Ambient,3.3.0.16,Medi Ambient i Sostenibilitat,220
"Manteniment, maquinària, instal. i utillatge (Prot",213.00.0016,"Maquinària,instal·lacions tècniques i utillatje",1350A,Protecció civil ,3.3.0.16,Medi Ambient i Sostenibilitat,5641.37
Prevenció incendis i neteja zones forestals i mpal,210.00.0016,Infraestructura i béns naturals,1350A,Protecció civil ,3.3.0.16,Medi Ambient i Sostenibilitat,3376.24
Aportació a la Xarxa de Custòdia del Territori,480.00.9917,A famílies i institucions sense ànim de lucre,1721A,Protecció del Medi Ambient,3.3.0.16,Medi Ambient i Sostenibilitat,600
Aportació Consorci Protecció i Espais Naturals Del,467.00.0117,A Consorcis,1721A,Protecció del Medi Ambient,3.3.0.16,Medi Ambient i Sostenibilitat,15000
Campanya prevenció i vigilància de platges,227.06.0017,Estudis i treballs tècnics,1350A,Protecció civil ,3.3.0.16,Medi Ambient i Sostenibilitat,136413.94
Estudis i treballs tècnics Platja,227.06.0117,Estudis i treballs tècnics,1350A,Protecció civil ,3.3.0.16,Medi Ambient i Sostenibilitat,2625.64
Medi Ambient,226.99.0017,Altres despeses diverses,1721A,Protecció del Medi Ambient,3.3.0.16,Medi Ambient i Sostenibilitat,41281
"Manteniment, maquinària, instal. i utillatge (Prot",213.00.0017,"Maquinària,instal·lacions tècniques i utillatje",1350A,Protecció civil ,3.3.0.16,Medi Ambient i Sostenibilitat,8445.8
Infografia i maquetació,226.06.0015,"Reunions, conferències i cursos",4911A,Societat de la informació-Premsa escrita,2.8.3.16,Mitjans de Comunicació,1381.9
Lloguer material programes especials,203.00.0017,"Arrendament maquinària, instal·lacions i utillatge",4913A,Societat de la informació-Audiovisual i Internet,2.8.3.16,Mitjans de Comunicació,4489.24
Comunicacions postals i missatgeria,222.01.0017,Postals,4911A,Societat de la informació-Premsa escrita,2.8.3.16,Mitjans de Comunicació,4236.58
Treballs d'impressió de la revista Bruguers,227.06.0117,Estudis i treballs tècnics,4911A,Societat de la informació-Premsa escrita,2.8.3.16,Mitjans de Comunicació,39191.46
Serveis Fotogràfics,227.06.0217,Estudis i treballs tècnics,4911A,Societat de la informació-Premsa escrita,2.8.3.16,Mitjans de Comunicació,21780
Cànons drets propietat intel.lectual,209.00.0017,Cànons,4912A,Societat de la informació-Radiodifusió,2.8.3.16,Mitjans de Comunicació,7100
Manteniment portal Brugues digital,227.06.0316,Estudis i treballs tècnics,4911A,Societat de la informació-Premsa escrita,2.8.3.16,Mitjans de Comunicació,7929.34
"Manteniment, maquinària, instal. i utillatge ràdio",213.00.0017,"Maquinària,instal·lacions tècniques i utillatje",4912A,Societat de la informació-Radiodifusió,2.8.3.16,Mitjans de Comunicació,2963
Reparacions equips tècnics actuals,213.00.0017,"Maquinària,instal·lacions tècniques i utillatje",4913A,Societat de la informació-Audiovisual i Internet,2.8.3.16,Mitjans de Comunicació,823.77
Manteniment equips informàtics,216.00.0017,Equipament per a processos d'informació,4913A,Societat de la informació-Audiovisual i Internet,2.8.3.16,Mitjans de Comunicació,5555
Infografia i maquetació,226.06.0017,"Reunions, conferències i cursos",4911A,Societat de la informació-Premsa escrita,2.8.3.16,Mitjans de Comunicació,18270.04
Portal Web Municipal,641.00.0017,Despeses en aplicacions informàtiques,4913A,Societat de la informació-Audiovisual i Internet,2.8.3.16,Mitjans de Comunicació,39083
Cànons drets propietat intel.lectual,209.00.0016,Cànons,4912A,Societat de la informació-Radiodifusió,2.8.3.16,Mitjans de Comunicació,1984.57
Tributs,225.00.0016,Tributs ,4913A,Societat de la informació-Audiovisual i Internet,2.8.3.16,Mitjans de Comunicació,124.11
Infografia i maquetació,226.06.0016,"Reunions, conferències i cursos",4911A,Societat de la informació-Premsa escrita,2.8.3.16,Mitjans de Comunicació,4557.38
Programes producció externa,226.99.0016,Altres despeses diverses,4913A,Societat de la informació-Audiovisual i Internet,2.8.3.16,Mitjans de Comunicació,4726.74
Despeses diverses,226.99.0216,Altres despeses diverses,4912A,Societat de la informació-Radiodifusió,2.8.3.16,Mitjans de Comunicació,2426.03
Material tècnic,226.99.0116,Altres despeses diverses,4913A,Societat de la informació-Audiovisual i Internet,2.8.3.16,Mitjans de Comunicació,2171.19
Serveis Fotogràfics,227.06.0216,Estudis i treballs tècnics,4911A,Societat de la informació-Premsa escrita,2.8.3.16,Mitjans de Comunicació,7177.52
Tributs mitjans comunicació,225.00.0015,Tributs ,4913A,Societat de la informació-Audiovisual i Internet,2.8.3.16,Mitjans de Comunicació,124
Material tècnic,226.99.0117,Altres despeses diverses,4913A,Societat de la informació-Audiovisual i Internet,2.8.3.16,Mitjans de Comunicació,2911.12
Despeses diverses,226.99.0217,Altres despeses diverses,4912A,Societat de la informació-Radiodifusió,2.8.3.16,Mitjans de Comunicació,2941.39
Manteniment Senyalització via pública,215.00.0017,Mobiliari,1331A,Ordenació del trànsit i de l'estacionament,3.5.3.16,Mobilitat,23010.78
Contractació serveis especials transport públic,223.00.0017,Transports,4411A,Transport col·lectiu,3.5.3.16,Mobilitat,4260.15
Transports (Gavà Bicing),223.01.0017,Transports,4411A,Transport col·lectiu,3.5.3.16,Mobilitat,600
Estudis i treballs tècnics via pública,227.99.0017,Altres treballs realitzats per altres emp.i profes,1331A,Ordenació del trànsit i de l'estacionament,3.5.3.16,Mobilitat,4390.32
Manteniment Senyalització via pública,215.00.0016,Mobiliari,1331A,Ordenació del trànsit i de l'estacionament,3.5.3.16,Mobilitat,10286.5
Transport públic (Gavà Bus),472.00.0017,Subvenc.reduir preu a pagar per consumidors,4411A,Transport col·lectiu,3.5.3.16,Mobilitat,260000
Adequació camins,619.00.0017,Altres inversions de reposició en infraestructures,1532A,Pavimentació vies públiques,3.5.3.16,Mobilitat,73656.84
Manteniment Edifici Corporatiu,212.00.0117,Edificis i altres construccions,9330A,Edificis administratius,3.4.0.16,Obres i Manteniment,54751.17
Aportació al Consorci del Parc Agrari B. Ll.,767.00.0017,A Consorcis,1532A,Pavimentació vies públiques,3.4.0.16,Obres i Manteniment,20000
Manteniment d'equips audiovisuals,216.00.0017,Equipament per a processos d'informació,9330A,Edificis administratius,3.4.0.16,Obres i Manteniment,1826.94
Inversions reposició instal·lacions - IFS,633.00.0017,"Maquinària,instal·lacions i utillatge",9330F,Inversions financerament sostenibles,3.4.0.16,Obres i Manteniment,20986.91
Transf. de capital a PRESEC - RSU,740.00.0017,Aportacións empreses municipals,1621A,Recollida de residus,3.4.0.16,Obres i Manteniment,22451.55
Lloguer instal·lacions via pública,203.00.0017,"Arrendament maquinària, instal·lacions i utillatge",1530A,Adm.Gral d'Obres i Manteniment de la Ciutat,3.4.0.16,Obres i Manteniment,21023.75
Inversions reposició escoles,639.00.0016,Altr.inv.repos.associad.funcion.oper.serveis,3230A,Funcionament centres docents d'Educació,3.4.0.16,Obres i Manteniment,22687.5
Manteniment Edifici Corporatiu,212.00.0116,Edificis i altres construccions,9330A,Edificis administratius,3.4.0.16,Obres i Manteniment,6073.8
AItres inv noves infraest i bens ús gral,609.00.0015,Altres inv.noves infraest. i béns dest. ús general,1533A,Vies públiques - Obra Civil i Instal·lacions,3.4.0.16,Obres i Manteniment,8313.03
Inv rep infraest i bens ús gral - Junts fem barri,619.00.0017,Altres inversions de reposició en infraestructures,1533J,Projectes Junts Fem Barri,3.4.0.16,Obres i Manteniment,137608.34
Instal·lacions edifici corporatiu,633.00.0017,"Maquinària,instal·lacions i utillatge",9330A,Edificis administratius,3.4.0.16,Obres i Manteniment,108728.89
Neteja Edificis Administratius,227.00.0017,Neteja,9330A,Edificis administratius,3.4.0.16,Obres i Manteniment,798.6
Inversions reposició escoles,632.00.0017,Edificis i altres construccions,3230A,Funcionament centres docents d'Educació,3.4.0.16,Obres i Manteniment,144806.75
Subvenció Agrop de Gavà I B. Ll- Fira d'Espàrrecs,489.01.9917,A institucions sense ànim de lucre,4321A,Promoció de la Ciutat - Fira,3.4.0.16,Obres i Manteniment,25000
Bestreta C.Fixa - Manteniment de la Ciutat,226.99.0917,Altres despeses diverses,9330A,Edificis administratius,3.4.0.16,Obres i Manteniment,1723.06
Seguretat edificis corporatius,227.01.0017,Seguretat,9330A,Edificis administratius,3.4.0.16,Obres i Manteniment,69734.72
Treballs tècnics Obres-Manteniment-Medi Ambient,227.06.0017,Estudis i treballs tècnics,1510A,Urbanisme Planificació i Projectes,3.4.0.16,Obres i Manteniment,3971.15
Aportació PRESEC Neteja viaria,443.02.0117,Aportació a empreses mercantils municipals,1630A,Neteja viària,3.4.0.16,Obres i Manteniment,2235501
Aportació PRESEC Ordenació transit,443.02.0117,Aportació a empreses mercantils municipals,1331A,Ordenació del trànsit i de l'estacionament,3.4.0.16,Obres i Manteniment,287627
Aportació PRESEC Vies públiques,443.02.0117,Aportació a empreses mercantils municipals,1533A,Vies públiques - Obra Civil i Instal·lacions,3.4.0.16,Obres i Manteniment,621453
Aportació PRESEC Recollida residus,443.02.0117,Aportació a empreses mercantils municipals,1621A,Recollida de residus,3.4.0.16,Obres i Manteniment,1842783
Aportació PRESEC Enllumenat públic,443.02.0117,Aportació a empreses mercantils municipals,1650A,Enllumenat públic,3.4.0.16,Obres i Manteniment,314720
Aportació PRESEC Manteniment mob urbá,443.02.0117,Aportació a empreses mercantils municipals,1530B,Manteniment vies públiques - mobiliari,3.4.0.16,Obres i Manteniment,286272
Aportació PRESEC Parcs i jardins,443.02.0117,Aportació a empreses mercantils municipals,1710A,Parcs i jardins,3.4.0.16,Obres i Manteniment,1179223
Aportació PRESEC Funcionament centres docents,443.02.0117,Aportació a empreses mercantils municipals,3230A,Funcionament centres docents d'Educació,3.4.0.16,Obres i Manteniment,947676
Aportació PRESEC Biblioteques de Gavà,443.02.0117,Aportació a empreses mercantils municipals,3321A,Biblioteques de Gavà,3.4.0.16,Obres i Manteniment,131131
Aportació PRESEC Patrimoni Històric i Cultural,443.02.0117,Aportació a empreses mercantils municipals,3360A,Patrimoni Històric i Cultural,3.4.0.16,Obres i Manteniment,76849
Aportació PRESEC Promocio cultural,443.02.0117,Aportació a empreses mercantils municipals,3340A,Promoció cultural,3.4.0.16,Obres i Manteniment,212072
Aportació PRESEC Arts escèniques i Música,443.02.0117,Aportació a empreses mercantils municipals,3330A,Arts escèniques i Música,3.4.0.16,Obres i Manteniment,52186
Aportació PRESEC Cicle festiu,443.02.0117,Aportació a empreses mercantils municipals,3380A,Cicle Festiu,3.4.0.16,Obres i Manteniment,389926
Aportació PRESEC Equipaments de serveis,443.02.0117,Aportació a empreses mercantils municipals,9330B,Equipaments de serveis,3.4.0.16,Obres i Manteniment,467817
Aportació PRESEC Urbanisme Planificació i Projecte,443.02.0117,Aportació a empreses mercantils municipals,1510A,Urbanisme Planificació i Projectes,3.4.0.16,Obres i Manteniment,188073
Aportació PRESEC Manteniment instal Via pública,443.02.0117,Aportació a empreses mercantils municipals,1533B,Manteniment d'instal·lacions via pública,3.4.0.16,Obres i Manteniment,267767
Aportació PRESEC AMB Neteja platja,443.02.0217,Aportació a empreses mercantils municipals,1630A,Neteja viària,3.4.0.16,Obres i Manteniment,86587
Aportació PRESEC Clavegueram,443.02.0117,Aportació a empreses mercantils municipals,1600A,Clavegueram,3.4.0.16,Obres i Manteniment,66487
Subvenció Agropecuaria de Gavà i B. Llobregat,489.00.9917,A institucions sense ànim de lucre,4120A,Pagesia de Gavà,3.4.0.16,Obres i Manteniment,2000
Patents i Marques municipals,640.01.0017,Patents i marques,9121A,Òrgans de govern - Programes d'Alcaldia,2.8.0.16,Oficina de l'Alcaldessa,2435.27
Difusió i divulgació programes municipals,226.02.0117,Publicitat i propaganda,9121A,Òrgans de govern - Programes d'Alcaldia,2.8.0.16,Oficina de l'Alcaldessa,90632.99
Promoció i projecció de la Ciutat,226.02.0215,Publicitat i propaganda,9121A,Òrgans de govern - Programes d'Alcaldia,2.8.0.16,Oficina de l'Alcaldessa,86.91
Promoció i projecció de la Ciutat,226.02.0216,Publicitat i propaganda,9121A,Òrgans de govern - Programes d'Alcaldia,2.8.0.16,Oficina de l'Alcaldessa,518.49
Difusió i divulgació programes municipals,226.02.0116,Publicitat i propaganda,9121A,Òrgans de govern - Programes d'Alcaldia,2.8.0.16,Oficina de l'Alcaldessa,15212.27
APR-Rel publiques i representació,226.01.0017,Atencions protocol·làries i representatives,9121A,Òrgans de govern - Programes d'Alcaldia,2.8.0.16,Oficina de l'Alcaldessa,29955.52
APR-Rel publiques i representació,226.01.0016,Atencions protocol·làries i representatives,9121A,Òrgans de govern - Programes d'Alcaldia,2.8.0.16,Oficina de l'Alcaldessa,1023.17
Aportació AIRPORT REGIONS CONFERENCE,490.00.0017,A l'exterior,9121A,Òrgans de govern - Programes d'Alcaldia,2.8.0.16,Oficina de l'Alcaldessa,7226.47
Bestreta C.Fixa - Alcaldia,226.99.0917,Altres despeses diverses,9121A,Òrgans de govern - Programes d'Alcaldia,2.8.0.16,Oficina de l'Alcaldessa,6244.35
Promoció i projecció de la Ciutat,226.02.0217,Publicitat i propaganda,9121A,Òrgans de govern - Programes d'Alcaldia,2.8.0.16,Oficina de l'Alcaldessa,44923.83
Per ajuts al finançament d'inversions,780.00.0015,A famílies e institucions sense ànim de lucre,1521A,Polítiques Municipals d'Habitatge,1.8.0.16,Oficina Local d'Habitatge,88000
Subv IBI titulars hab.cedits borsa XMLS-2016,489.00.0016,A institucions sense ànim de lucre,1521A,Polítiques Municipals d'Habitatge,1.8.0.16,Oficina Local d'Habitatge,4066.69
Processos electorals (AMP),227.05.0017,Processos electorals,9240A,Participació ciutadana,2.9.0.16,Participació Ciutadana,0
Estudis processos participatius,227.06.0016,Estudis i treballs tècnics,9240A,Participació ciutadana,2.9.0.16,Participació Ciutadana,22910.2
Activitats de participació,226.99.0017,Altres despeses diverses,9240A,Participació ciutadana,2.9.0.16,Participació Ciutadana,1271
Dinamització regidories de barri,227.06.0017,Estudis i treballs tècnics,9240A,Participació ciutadana,2.9.0.16,Participació Ciutadana,1149.5
Difusió i divulgació activitats foment Patrimoni C,226.02.0117,Publicitat i propaganda,3360A,Patrimoni Històric i Cultural,1.3.5.16,Patrimoni Cultural i Natural,8603.1
Altres despeses diverses PHC,226.99.0217,Altres despeses diverses,3360A,Patrimoni Històric i Cultural,1.3.5.16,Patrimoni Cultural i Natural,2412.96
Gestio servei Mines de Gavà,227.99.0017,Altres treballs realitzats per altres emp.i profes,3360A,Patrimoni Històric i Cultural,1.3.5.16,Patrimoni Cultural i Natural,45314.66
Exposicions Patrimoni Cultural,226.09.0016,Activitats culturals i esportives,3360A,Patrimoni Històric i Cultural,1.3.5.16,Patrimoni Cultural i Natural,2679.92
Recerca arqueològica Mines,226.99.0315,Altres despeses diverses,3360A,Patrimoni Històric i Cultural,1.3.5.16,Patrimoni Cultural i Natural,17458.96
Aportació al Centre d'Estudis Comarcals Baix Ll.,480.00.0216,A famílies i institucions sense ànim de lucre,3360A,Patrimoni Històric i Cultural,1.3.5.16,Patrimoni Cultural i Natural,1500
Aportació al Centre d'Estudis Comarcals Baix Ll.,480.00.0217,A famílies i institucions sense ànim de lucre,3360A,Patrimoni Històric i Cultural,1.3.5.16,Patrimoni Cultural i Natural,1500
Bestreta C.Fixa - Patrimoni H i C,226.99.0917,Altres despeses diverses,3360A,Patrimoni Històric i Cultural,1.3.5.16,Patrimoni Cultural i Natural,373.18
Exposicions Patrimoni Cultural,226.09.0017,Activitats culturals i esportives,3360A,Patrimoni Històric i Cultural,1.3.5.16,Patrimoni Cultural i Natural,11672.4
Tallers Patrimoni Històric i Cultural (AMP),226.06.0117,"Reunions, conferències i cursos",3360A,Patrimoni Històric i Cultural,1.3.5.16,Patrimoni Cultural i Natural,7516
"Reunions, conferències i cursos",226.06.0017,"Reunions, conferències i cursos",3360A,Patrimoni Històric i Cultural,1.3.5.16,Patrimoni Cultural i Natural,1565.7
Promoció recerca,226.99.0117,Altres despeses diverses,3360A,Patrimoni Històric i Cultural,1.3.5.16,Patrimoni Cultural i Natural,2221.33
Estudis i Treballs tècnics formació ocupacional,227.06.0116,Estudis i treballs tècnics,2410A,Foment de l'Ocupació,2.7.0.16,Promoció Econòmica,15980.41
"Manteniment, maquinària, instal. i utillatge",213.00.0017,"Maquinària,instal·lacions tècniques i utillatje",2410A,Foment de l'Ocupació,2.7.0.16,Promoció Econòmica,2282.24
"Premsa, revistes, llibres i altres publicacions",220.01.0017,"Premsa, revistes, llibres i altres publicacions",2410A,Foment de l'Ocupació,2.7.0.16,Promoció Econòmica,458.5
Difusió i divulgació creació d'empresa,226.02.0117,Publicitat i propaganda,2412A,Foment de l'Ocupació - Creació d'empresa,2.7.0.16,Promoció Econòmica,363
Formació participants Treball als Barris (AMP),226.06.0017,"Reunions, conferències i cursos",2419T,Foment de l'Ocupació -Pl Ocup-Treballs als barris,2.7.0.16,Promoció Econòmica,1366.25
Bestreta C.Fixa - Centre de Suport a l'Empresa,226.99.0917,Altres despeses diverses,2410A,Foment de l'Ocupació,2.7.0.16,Promoció Econòmica,723.01
Estudis i treballs tècnics ISO (AMP),227.06.0217,Estudis i treballs tècnics,2411A,Foment de l'Ocupació - Formació,2.7.0.16,Promoció Econòmica,2279.42
Estudis i treballs tècnics Creació d'empresa,227.06.0117,Estudis i treballs tècnics,2412A,Foment de l'Ocupació - Creació d'empresa,2.7.0.16,Promoció Econòmica,12257.86
Estudis i treballs tècnics d'Ocupació,227.06.0317,Estudis i treballs tècnics,2412A,Foment de l'Ocupació - Creació d'empresa,2.7.0.16,Promoció Econòmica,69361.75
Est i Treballs tècnics taller recerca feina ,227.06.0317,Estudis i treballs tècnics,2411A,Foment de l'Ocupació - Formació,2.7.0.16,Promoció Econòmica,946.7
Estudis i treballs tècnics aterratge empreses,227.06.0317,Estudis i treballs tècnics,2414A,Dinamització empresarial,2.7.0.16,Promoció Econòmica,5841.36
Estudis i Treballs tècnics Ocupació i Creació Emp,227.06.0017,Estudis i treballs tècnics,2410A,Foment de l'Ocupació,2.7.0.16,Promoció Econòmica,11855.83
Estudis i treballs tècnics premis empresa,227.06.0017,Estudis i treballs tècnics,2414A,Dinamització empresarial,2.7.0.16,Promoció Econòmica,1726.97
Conveni empreneduria Delta,462.00.0317,A Ajuntaments,2412A,Foment de l'Ocupació - Creació d'empresa,2.7.0.16,Promoció Econòmica,1500
Conveni ESA-BIC Consell Comarcal,465.01.0217,A Comarques,2414A,Dinamització empresarial,2.7.0.16,Promoció Econòmica,6250
Subv.Associació Innobaix per projecte INNOLAB,467.00.9917,A Consorcis,2412A,Foment de l'Ocupació - Creació d'empresa,2.7.0.16,Promoció Econòmica,5000
Aportació Pacte Industrial AMB,489.00.9917,A institucions sense ànim de lucre,2414A,Dinamització empresarial,2.7.0.16,Promoció Econòmica,1994.12
Assegurances participants Joves per l'Ocupació,224.00.0016,Primes d'Assegurances,2419J,Foment de l'Ocupació -Pl Ocup-Joves per l'ocupació,2.7.0.16,Promoció Econòmica,2412.75
Formació participants Joves per l'Ocupació,226.06.0016,"Reunions, conferències i cursos",2419J,Foment de l'Ocupació -Pl Ocup-Joves per l'ocupació,2.7.0.16,Promoció Econòmica,38843.92
Formació particpants Treball als Barris 2016,226.06.0016,"Reunions, conferències i cursos",2419T,Foment de l'Ocupació -Pl Ocup-Treballs als barris,2.7.0.16,Promoció Econòmica,2612.78
Lloguer equips procés info Promoció Ocupació,206.00.0016,Arrendament equips processos d'informació,2411A,Foment de l'Ocupació - Formació,2.7.0.16,Promoció Econòmica,2722.5
"Premsa, revistes, llibres i altres publicac. ",220.01.0016,"Premsa, revistes, llibres i altres publicacions",2411A,Foment de l'Ocupació - Formació,2.7.0.16,Promoció Econòmica,1178.31
Material informàtic no inventariable,220.02.0016,Material informàtic no inventariable,2411A,Foment de l'Ocupació - Formació,2.7.0.16,Promoció Econòmica,42.2
Assegurances participants formació ,224.00.0016,Primes d'Assegurances,2411A,Foment de l'Ocupació - Formació,2.7.0.16,Promoció Econòmica,643.17
Estudis i treballs tècnics Formació ocupac,227.06.0116,Estudis i treballs tècnics,2411A,Foment de l'Ocupació - Formació,2.7.0.16,Promoció Econòmica,40029
Aportacions INNOBAIX - INNOLAB,480.00.0016,A famílies i institucions sense ànim de lucre,2412A,Foment de l'Ocupació - Creació d'empresa,2.7.0.16,Promoció Econòmica,5000
Aportació Fund.Catalana de l'esplai(Proj.ocup.juv),489.01.0016,A institucions sense ànim de lucre,2419W,Foment de l'Ocupació - Joves i ocupació,2.7.0.16,Promoció Econòmica,3300
Assegurances TiF ,224.00.0016,Primes d'Assegurances,2419A,Foment de l'Ocupació -Plans d'ocupació Generalitat,2.7.0.16,Promoció Econòmica,192.46
Formació participants Fem ocupació Joves,226.06.0016,"Reunions, conferències i cursos",2419F,Foment de l'Ocupació- Fem ocupació per a joves,2.7.0.16,Promoció Econòmica,7656.76
Formació participants TiF,226.06.0016,"Reunions, conferències i cursos",2419A,Foment de l'Ocupació -Plans d'ocupació Generalitat,2.7.0.16,Promoció Econòmica,4970
Estudis i treballs tècnics aterratge empreses,227.06.0316,Estudis i treballs tècnics,2414A,Dinamització empresarial,2.7.0.16,Promoció Econòmica,9431.17
Estudis i treballs tècnics Creació d'empresa,227.06.0116,Estudis i treballs tècnics,2412A,Foment de l'Ocupació - Creació d'empresa,2.7.0.16,Promoció Econòmica,4678.67
Formació participants prog. Joves per l'ocup,226.06.0015,"Reunions, conferències i cursos",2419J,Foment de l'Ocupació -Pl Ocup-Joves per l'ocupació,2.7.0.16,Promoció Econòmica,1753.3
Conveni empreneduria Delta,462.00.0316,A Ajuntaments,2412A,Foment de l'Ocupació - Creació d'empresa,2.7.0.16,Promoció Econòmica,1500
Beques part prog. Joves per l'ocupació,481.01.0016,Beques,2419J,Foment de l'Ocupació -Pl Ocup-Joves per l'ocupació,2.7.0.16,Promoció Econòmica,16731
Aportacions INNOBAIX ,462.00.0214,A Ajuntaments,2412A,Foment de l'Ocupació - Creació d'empresa,2.7.0.16,Promoció Econòmica,0
"Transferència a PRESEC,S.A-Progr.Treball i Formaci",443.02.0016,Aportació a empreses mercantils municipals,2419A,Foment de l'Ocupació -Plans d'ocupació Generalitat,2.7.0.16,Promoció Econòmica,187600
"Transf a PRESEC, S.A. - Treballs als barris",440.00.0016,Subvenció per foment de l'ocupació,2419T,Foment de l'Ocupació -Pl Ocup-Treballs als barris,2.7.0.16,Promoció Econòmica,13850
Subv. empreses - Pla de Xoc a l'Atur - AMB línia C,470.00.0016,Altres subvencions a Empreses privades,2419D,Foment de l'Ocupació -Plans d'ocupació AMB,2.7.0.16,Promoció Econòmica,8797.05
Subv. autònoms - Pla de Xoc a l'Atur - AMB línia B,470.00.0116,Altres subvencions a Empreses privades,2419D,Foment de l'Ocupació -Plans d'ocupació AMB,2.7.0.16,Promoció Econòmica,4313.89
"Transferència a PRESEC,S.A. - Plans RMI 2015",443.02.0015,Aportació a empreses mercantils municipals,2419M,Foment de l'Ocupació- Renda Mínima d'Inserció,2.7.0.16,Promoció Econòmica,15194.56
Formacio P.O. DiBa 2016,227.06.0016,Estudis i treballs tècnics,2419B,Foment de l'Ocupació -Plans d'ocupació Diputació,2.7.0.16,Promoció Econòmica,4050.07
