NOMPARTIDA,CODIECONOMIC,ECONOMIC,CODIFUNCIONAL,FUNCIONAL,CODIORGANIC,ORGANIC,IMPORT
Productivitat laboral fix Obres i Manteniment,150.01.0017,Productivitat,1530A,Adm.Gral d'Obres i Manteniment de la Ciutat,2.2.0.16,Recursos Humans,1472.25
Productivitat laboral fix Cementiris i serveis fun,150.01.0017,Productivitat,1640A,Cementiri,2.2.0.16,Recursos Humans,1472.25
Productivitat laboral fix Serveis Socials,150.01.0017,Productivitat,2310A,Administració General de Serveis Socials,2.2.0.16,Recursos Humans,13439.39
Productivitat laborals fixos foment de l' ocupació,150.01.0017,Productivitat,2410A,Foment de l'Ocupació,2.2.0.16,Recursos Humans,8539.05
Productivitat laboral fix Educació,150.01.0017,Productivitat,3200A,Administració general de educació,2.2.0.16,Recursos Humans,2944.5
Productivitat laboral fix Cultura,150.01.0017,Productivitat,3300A,Administració General de Cultura,2.2.0.16,Recursos Humans,4047.04
Productivitat laboral fix Biblioteques,150.01.0017,Productivitat,3321A,Biblioteques de Gavà,2.2.0.16,Recursos Humans,5594.55
Productivitat laboral fix Patrimoni Històric,150.01.0017,Productivitat,3360A,Patrimoni Històric i Cultural,2.2.0.16,Recursos Humans,7668.54
Productivitat laboral fix Ad. Gral. Esports,150.01.0017,Productivitat,3400A,Administració General d'Esports,2.2.0.16,Recursos Humans,3357.59
Product.laboral fix Ad.Gral-Equipaments serveis,150.01.0017,Productivitat,9330B,Equipaments de serveis,2.2.0.16,Recursos Humans,11012.43
"Productivitat laboral fix Comerç, i Fira",150.01.0017,Productivitat,4300A,Admó. General. Comerç i Fira,2.2.0.16,Recursos Humans,4416.75
Productivitat laboral fixos Premsa,150.01.0017,Productivitat,4911A,Societat de la informació-Premsa escrita,2.2.0.16,Recursos Humans,5889
Productivitat laborals fixos Ràdio,150.01.0017,Productivitat,4912A,Societat de la informació-Radiodifusió,2.2.0.16,Recursos Humans,6860.68
Productivitat laborals fixos Televisió,150.01.0017,Productivitat,4913A,Societat de la informació-Audiovisual i Internet,2.2.0.16,Recursos Humans,4048.68
Product.laborals fix Ad. Gral. Serveis Persona,150.01.0017,Productivitat,9200B,Administració General - Benestar i Acció Social,2.2.0.16,Recursos Humans,10305.75
Productivitat laboral fix Recursos Humans,150.01.0017,Productivitat,9202A,Administració General - Recursos Humans,2.2.0.16,Recursos Humans,1472.25
Productivitat laborals fixos Serveis Generals,150.01.0017,Productivitat,9204A,Administració General - Serveis Generals,2.2.0.16,Recursos Humans,8833.5
Productivitat laborals fixos OAC,150.01.0017,Productivitat,9250A,Ad.Gral. Atenció als ciutadans (OAC),2.2.0.16,Recursos Humans,11778
Productivitat laboral fix Pol Fiscal i Fin,150.01.0017,Productivitat,9310A,Intervenció i Comptabilitat,2.2.0.16,Recursos Humans,7066.8
Productivitat laboral fix Ad. GT i Tresoreria,150.01.0017,Productivitat,9320A,Gestió del sistema tributari,2.2.0.16,Recursos Humans,1472.25
Product. laborals fixos seguretat i ordre públic,150.01.0017,Productivitat,1320A,Policia de Seguretat,2.2.0.16,Recursos Humans,1472.25
Product.labor.fix.protecc.i millora medi ambient,150.01.0017,Productivitat,1720A,Adm.Gral de Medi Ambient,2.2.0.16,Recursos Humans,1472.25
Productivitat laboral fix Polítiques de gènere,150.01.0017,Productivitat,2310B,Administració General Igualtat i Ciutadania,2.2.0.16,Recursos Humans,1472.25
Productivitat laborals fix Alcaldia,150.01.0017,Productivitat,9121A,Òrgans de govern - Programes d'Alcaldia,2.2.0.16,Recursos Humans,4416.75
Productivitat laboral fix Administr. General,150.01.0017,Productivitat,9200A,Administració General ,2.2.0.16,Recursos Humans,1472.25
Product.laboral fix Secretaria i Serveis Jurídics,150.01.0017,Productivitat,9201A,Administració General - Secretaria i serveis juríd,2.2.0.16,Recursos Humans,4416.75
Productiv.laboral fix educació preescolar i pr,150.01.0017,Productivitat,3230A,Funcionament centres docents d'Educació,2.2.0.16,Recursos Humans,8833.5
Productivitat fixos instal·lacions esportives,150.01.0017,Productivitat,3420A,Instal·lacions esportives,2.2.0.16,Recursos Humans,12477.32
Productivitat laboral fix Oficina Local d'Habitatg,150.01.0017,Productivitat,1521A,Polítiques Municipals d'Habitatge,2.2.0.16,Recursos Humans,2944.5
"Product.laborals temp.urban., planif.i projectes",150.02.0017,Productivitat,1510A,Urbanisme Planificació i Projectes,2.2.0.16,Recursos Humans,2944.5
Productivitat laboral temporal Cement.i serv fun,150.02.0017,Productivitat,1640A,Cementiri,2.2.0.16,Recursos Humans,5889
Productivitat laboral temporal Serveis Socials,150.02.0017,Productivitat,2310A,Administració General de Serveis Socials,2.2.0.16,Recursos Humans,14748.4
Productivitat laboral temporal Ad. Gral. Igualtat,150.02.0017,Productivitat,2310B,Administració General Igualtat i Ciutadania,2.2.0.16,Recursos Humans,2944.5
Productivitat laboral temporal Educació,150.02.0017,Productivitat,3200A,Administració general de educació,2.2.0.16,Recursos Humans,2944.5
Productivitat laboral temporal Cultura,150.02.0017,Productivitat,3300A,Administració General de Cultura,2.2.0.16,Recursos Humans,4416.75
Productivitat laboral temporal Biblioteques,150.02.0017,Productivitat,3321A,Biblioteques de Gavà,2.2.0.16,Recursos Humans,5606
Produc.laboral temporal Ad.Gral-Equip.serveis,150.02.0017,Productivitat,9330B,Equipaments de serveis,2.2.0.16,Recursos Humans,4048.69
"Productivitat temporals Comerç, i Fira",150.02.0017,Productivitat,4300A,Admó. General. Comerç i Fira,2.2.0.16,Recursos Humans,1472.25
Productivitat laborals temporals Ràdio,150.02.0017,Productivitat,4912A,Societat de la informació-Radiodifusió,2.2.0.16,Recursos Humans,1472.25
Productivitat laborals temporals Televisió,150.02.0017,Productivitat,4913A,Societat de la informació-Audiovisual i Internet,2.2.0.16,Recursos Humans,1472.25
Product. Labor.temporals Ad.Gral. Serv.Persona,150.02.0017,Productivitat,9200B,Administració General - Benestar i Acció Social,2.2.0.16,Recursos Humans,6036.2
Productiv.laboral temporal Recursos Humans,150.02.0017,Productivitat,9202A,Administració General - Recursos Humans,2.2.0.16,Recursos Humans,1472.25
Productivitat laboral temporal Informàtica i NT,150.02.0017,Productivitat,9203A,Administració General - Informàtica i NT,2.2.0.16,Recursos Humans,2944.5
Product.laborals temporals Serveis Generals,150.02.0017,Productivitat,9204A,Administració General - Serveis Generals,2.2.0.16,Recursos Humans,2928.43
Productivitat laboral temporal Pol Fiscal i Fin,150.02.0017,Productivitat,9310A,Intervenció i Comptabilitat,2.2.0.16,Recursos Humans,1472.25
Productivitat laboral temporal  Ad. Gral. Esports,150.02.0017,Productivitat,3400A,Administració General d'Esports,2.2.0.16,Recursos Humans,1472.25
Productiv.laboral temporal educació preescolar,150.02.0017,Productivitat,3230A,Funcionament centres docents d'Educació,2.2.0.16,Recursos Humans,1472.25
Productivitat temporals instal·lacions esportives,150.02.0017,Productivitat,3420A,Instal·lacions esportives,2.2.0.16,Recursos Humans,5101.29
Gratificac.funcionaris seguretat i ordre públic,151.00.0017,Gratificacions,1320A,Policia de Seguretat,2.2.0.16,Recursos Humans,169305.73
Gratificacions funcionaris Gestió Sistema Trib.,151.00.0017,Gratificacions,9320A,Gestió del sistema tributari,2.2.0.16,Recursos Humans,883.12
Gratificacions funcionaris Mobilitat urbana,151.00.0017,Gratificacions,1330A,Administració Gral de Mobilitat urbana,2.2.0.16,Recursos Humans,2539.14
Gratificacions funcionaris Informàtica i NT,151.00.0017,Gratificacions,9203A,Administració General - Informàtica i NT,2.2.0.16,Recursos Humans,1513.68
Gratificacions per jubilacions,151.01.0017,Gratificacions,9200A,Administració General ,2.2.0.16,Recursos Humans,98651.66
Segur.Social funcionaris seguretat i ordre públic,160.00.0017,Seguretat Social,1320A,Policia de Seguretat,2.2.0.16,Recursos Humans,531711.54
"Seg.S.funcionaris urbanisme, planif.i projectes",160.00.0017,Seguretat Social,1510A,Urbanisme Planificació i Projectes,2.2.0.16,Recursos Humans,95271.86
Segur.Social funcionaris Obres i Manteniment,160.00.0017,Seguretat Social,1530A,Adm.Gral d'Obres i Manteniment de la Ciutat,2.2.0.16,Recursos Humans,35922.35
Seg.Soc.funcion.protec.i millora medi ambient,160.00.0017,Seguretat Social,1720A,Adm.Gral de Medi Ambient,2.2.0.16,Recursos Humans,17673.27
Seguretat Social funcionaris Serveis Socials,160.00.0017,Seguretat Social,2310A,Administració General de Serveis Socials,2.2.0.16,Recursos Humans,6850.13
Seguretat Social funcionaris Ad. Gral. Igualtat i,160.00.0017,Seguretat Social,2310B,Administració General Igualtat i Ciutadania,2.2.0.16,Recursos Humans,5848.5
Seguretat Social funcionaris salut pública,160.00.0017,Seguretat Social,3110A,Adm.Gral de Salut Pública,2.2.0.16,Recursos Humans,30171.1
Seguretat Social funcionris Biblioteques,160.00.0017,Seguretat Social,3321A,Biblioteques de Gavà,2.2.0.16,Recursos Humans,5564.54
Seguretat Social Òrgans de govern,160.00.0017,Seguretat Social,9120A,Òrgans de govern,2.2.0.16,Recursos Humans,85367.43
Seguretat Social funcionaris Adm. General,160.00.0017,Seguretat Social,9200A,Administració General ,2.2.0.16,Recursos Humans,10121.45
Seg.Social funcionaris Ad.Gral. Serveis Persona,160.00.0017,Seguretat Social,9200B,Administració General - Benestar i Acció Social,2.2.0.16,Recursos Humans,12665.24
Seg.Soc.funcionaris Secretaria i Serv.Jurídics,160.00.0017,Seguretat Social,9201A,Administració General - Secretaria i serveis juríd,2.2.0.16,Recursos Humans,49986.15
Seguretat Soc.funcionaris Recursos Humans,160.00.0017,Seguretat Social,9202A,Administració General - Recursos Humans,2.2.0.16,Recursos Humans,39733.63
Seguretat Social funcionaris Informàtica i NT,160.00.0017,Seguretat Social,9203A,Administració General - Informàtica i NT,2.2.0.16,Recursos Humans,43720.24
Seguretat Social funcionaris Serveis Generals,160.00.0017,Seguretat Social,9204A,Administració General - Serveis Generals,2.2.0.16,Recursos Humans,17402.95
Seg. Social funcionaris Participació ciutadana,160.00.0017,Seguretat Social,9240A,Participació ciutadana,2.2.0.16,Recursos Humans,15663.03
Seguretat Social funcionaris OAC,160.00.0017,Seguretat Social,9250A,Ad.Gral. Atenció als ciutadans (OAC),2.2.0.16,Recursos Humans,33816.83
Seguretat Social funcionaris Pol Fiscal i Fin,160.00.0017,Seguretat Social,9310A,Intervenció i Comptabilitat,2.2.0.16,Recursos Humans,32809.12
Segur. Social funcionaris Ad. GT i Tresoreria,160.00.0017,Seguretat Social,9320A,Gestió del sistema tributari,2.2.0.16,Recursos Humans,45883.93
Seguretat Social funcionaris Mobilitat urbana,160.00.0017,Seguretat Social,1330A,Administració Gral de Mobilitat urbana,2.2.0.16,Recursos Humans,16323.98
Seguretat Social funcionaris Alcaldia,160.00.0017,Seguretat Social,9121A,Òrgans de govern - Programes d'Alcaldia,2.2.0.16,Recursos Humans,12265.91
Seg.Soc.funcionaris activit.i discipl.urbanística,160.00.0017,Seguretat Social,1511A,Activitats i disciplina urbanística,2.2.0.16,Recursos Humans,29939.61
Segur. Social funcionaris educació preescolar,160.00.0017,Seguretat Social,3230A,Funcionament centres docents d'Educació,2.2.0.16,Recursos Humans,1920.78
Seguretat Social funcionaris Comerç i Fira,160.00.0017,Seguretat Social,4300A,Admó. General. Comerç i Fira,2.2.0.16,Recursos Humans,5515.22
Segur.Social laboral Secretaria i Serv.Jurídics,160.01.0017,Seguretat Social,9201A,Administració General - Secretaria i serveis juríd,2.2.0.16,Recursos Humans,23903.12
"Seguretat Social laborals Comerç, i Fira",160.01.0017,Seguretat Social,4300A,Admó. General. Comerç i Fira,2.2.0.16,Recursos Humans,31471.82
Seg.Soc.laborals temporals segur.i ordre públic,160.01.0017,Seguretat Social,1320A,Policia de Seguretat,2.2.0.16,Recursos Humans,4842.12
"Seg.S.laborals urbanisme, planif. i projectes",160.01.0017,Seguretat Social,1510A,Urbanisme Planificació i Projectes,2.2.0.16,Recursos Humans,55515.93
Seguretat Social laboral Obres i Manteniment,160.01.0017,Seguretat Social,1530A,Adm.Gral d'Obres i Manteniment de la Ciutat,2.2.0.16,Recursos Humans,13742.69
Seguretat Social laboral Cementiri i serv. Funer,160.01.0017,Seguretat Social,1640A,Cementiri,2.2.0.16,Recursos Humans,34731.49
Seg.Soc.laborals protec.i millora medi ambient,160.01.0017,Seguretat Social,1720A,Adm.Gral de Medi Ambient,2.2.0.16,Recursos Humans,7020.69
Seguretat Social laboral Serveis Socials,160.01.0017,Seguretat Social,2310A,Administració General de Serveis Socials,2.2.0.16,Recursos Humans,121005.91
Seguretat Social laboral Ad. Gral. Igualtat i Ciut,160.01.0017,Seguretat Social,2310B,Administració General Igualtat i Ciutadania,2.2.0.16,Recursos Humans,24733.54
Seguretat Social laboral foment de l' ocupació,160.01.0017,Seguretat Social,2410A,Foment de l'Ocupació,2.2.0.16,Recursos Humans,47360.92
Seguretat Social laboral Educació,160.01.0017,Seguretat Social,3200A,Administració general de educació,2.2.0.16,Recursos Humans,17298.17
Seguretat Social laboral Escola EE,160.01.0017,Seguretat Social,3231A,Educació Especial,2.2.0.16,Recursos Humans,72908.29
Seguretat Social laboral Cultura,160.01.0017,Seguretat Social,3300A,Administració General de Cultura,2.2.0.16,Recursos Humans,39609.75
Seguretat Social laboral Biblioteques,160.01.0017,Seguretat Social,3321A,Biblioteques de Gavà,2.2.0.16,Recursos Humans,43525.3
Seguretat Social Patrimoni Històric,160.01.0017,Seguretat Social,3360A,Patrimoni Històric i Cultural,2.2.0.16,Recursos Humans,33196.48
Seguretat Social laboral Ad. Gral. Esports,160.01.0017,Seguretat Social,3400A,Administració General d'Esports,2.2.0.16,Recursos Humans,22851.23
Seg.Soc.laboral temporal Ad.Gral-Equip.serveis,160.01.0017,Seguretat Social,9330B,Equipaments de serveis,2.2.0.16,Recursos Humans,93372.41
Seguretat Social laboral Premsa,160.01.0017,Seguretat Social,4911A,Societat de la informació-Premsa escrita,2.2.0.16,Recursos Humans,38525.39
Seguretat Social laboral Ràdio,160.01.0017,Seguretat Social,4912A,Societat de la informació-Radiodifusió,2.2.0.16,Recursos Humans,45753.57
Seguretat Social laborals Televisió,160.01.0017,Seguretat Social,4913A,Societat de la informació-Audiovisual i Internet,2.2.0.16,Recursos Humans,28519.5
Seguretat Social laborals Administr.General,160.01.0017,Seguretat Social,9200A,Administració General ,2.2.0.16,Recursos Humans,17819.46
Seg. Soc.laborals Ad.Gral. Serveis a la Persona,160.01.0017,Seguretat Social,9200B,Administració General - Benestar i Acció Social,2.2.0.16,Recursos Humans,75627.57
Seguretat Social laboral Recursos Humans,160.01.0017,Seguretat Social,9202A,Administració General - Recursos Humans,2.2.0.16,Recursos Humans,15882.32
Seguretat Social laboral Informàtica i NT,160.01.0017,Seguretat Social,9203A,Administració General - Informàtica i NT,2.2.0.16,Recursos Humans,17187.71
Seguretat Social laborals Serveis Generals,160.01.0017,Seguretat Social,9204A,Administració General - Serveis Generals,2.2.0.16,Recursos Humans,56584.48
Seguretat Social laborals OAC,160.01.0017,Seguretat Social,9250A,Ad.Gral. Atenció als ciutadans (OAC),2.2.0.16,Recursos Humans,57010.45
Seguretat Social laboral Pol Fiscal i Fin,160.01.0017,Seguretat Social,9310A,Intervenció i Comptabilitat,2.2.0.16,Recursos Humans,46423.94
Seguretat Social laboral Ad. GT i Tresoreria,160.01.0017,Seguretat Social,9320A,Gestió del sistema tributari,2.2.0.16,Recursos Humans,9101.31
Seguretat Social laborals Alcaldia,160.01.0017,Seguretat Social,9121A,Òrgans de govern - Programes d'Alcaldia,2.2.0.16,Recursos Humans,27128.11
Seg.Social laboral educació preescolar i prim.,160.01.0017,Seguretat Social,3230A,Funcionament centres docents d'Educació,2.2.0.16,Recursos Humans,40486.46
Segur. Social laboral instal·lacions esportives,160.01.0017,Seguretat Social,3420A,Instal·lacions esportives,2.2.0.16,Recursos Humans,78521.49
Seg.Soc.laboral temporal Ofic.Local d'Habitatge,160.01.0017,Seguretat Social,1521A,Polítiques Municipals d'Habitatge,2.2.0.16,Recursos Humans,17308.54
Formació i perfeccionament personal,162.00.0017,Formació i perfeccionament del personal,9200A,Administració General ,2.2.0.16,Recursos Humans,14041.11
Acció social (fons social),162.04.0017,Acció social,2210A,Altres prestacions econòmiques a favor d'empleats,2.2.0.16,Recursos Humans,28518.2
Assegurança de vida i accidents,162.05.0017,Assegurances,2210A,Altres prestacions econòmiques a favor d'empleats,2.2.0.16,Recursos Humans,54975.51
Formació i perfeccionament personal,162.00.0017,Formació i perfeccionament del personal,9204A,Administració General - Serveis Generals,2.2.0.16,Recursos Humans,4600
Beques i pràctiques,143.00.0017,Altre personal,9200A,Administració General ,2.2.0.16,Recursos Humans,9040.25
Plans d'Ocupació SOC,141.00.0016,Altre personal,2419A,Foment de l'Ocupació -Plans d'ocupació Generalitat,2.2.0.16,Recursos Humans,38559.75
Seguretat Social Plans d'ocupació SOC,160.00.0016,Seguretat Social,2419A,Foment de l'Ocupació -Plans d'ocupació Generalitat,2.2.0.16,Recursos Humans,13103.92
RB laboral temporal.Prog. Fem ocupació Joves (AMP),141.00.0015,Altre personal,2419F,Foment de l'Ocupació- Fem ocupació per a joves,2.2.0.16,Recursos Humans,12414.8
Seguretat Social laboral Prog.Fem ocup.Joves (AMP),160.01.0015,Seguretat Social,2419F,Foment de l'Ocupació- Fem ocupació per a joves,2.2.0.16,Recursos Humans,2382.53
SS personal laboral Dinamitz. empresarial,160.00.0016,Seguretat Social,2414A,Dinamització empresarial,2.2.0.16,Recursos Humans,15299.58
Retribucions en espècie funcionaris,122.00.0016,Retribucions en espècie,2210A,Altres prestacions econòmiques a favor d'empleats,2.2.0.16,Recursos Humans,9703.8
Retribucions en espècie laborals,132.00.0016,Retribucions en espècie,2210A,Altres prestacions econòmiques a favor d'empleats,2.2.0.16,Recursos Humans,10067.66
Formació i perfeccionament personal,162.00.0016,Formació i perfeccionament del personal,9200A,Administració General ,2.2.0.16,Recursos Humans,18831.84
Acció social (fons social),162.04.0016,Acció social,2210A,Altres prestacions econòmiques a favor d'empleats,2.2.0.16,Recursos Humans,29502.87
R. B. laborals Pla de Xoc a l'Atur - AMB,141.00.0016,Altre personal,2419O,Foment de l'Ocupació-Suport polítiques socials AMB,2.2.0.16,Recursos Humans,105887.41
S. S. laborals Pla de Xoc a l'Atur - AMB,160.00.0016,Seguretat Social,2419O,Foment de l'Ocupació-Suport polítiques socials AMB,2.2.0.16,Recursos Humans,40352.44
R. B. personal laboral temporal P. O. DiBa 2016,141.00.0016,Altre personal,2419B,Foment de l'Ocupació -Plans d'ocupació Diputació,2.2.0.16,Recursos Humans,24335.76
S. S. personal laboral temporal P. O. DiBa 2016,160.00.0016,Seguretat Social,2419B,Foment de l'Ocupació -Plans d'ocupació Diputació,2.2.0.16,Recursos Humans,8954.81
RB laboral - Xarxa Impulsors PGJC 2016,141.00.0016,Altre personal,2419X,Foment de l'Ocupació -Pl Ocup-Garantia Juvenil,2.2.0.16,Recursos Humans,16281.12
SS laboral - Xarxa Impulsors PGJC 2016,160.01.0016,Seguretat Social,2419X,Foment de l'Ocupació -Pl Ocup-Garantia Juvenil,2.2.0.16,Recursos Humans,4307.35
RB laboral temporal Dinamització empresarial,131.00.0016,Laboral temporal,2414A,Dinamització empresarial,2.2.0.16,Recursos Humans,42251.84
R. B. Altre personal temporal Turisme,141.00.0016,Altre personal,4322A,Promoció de la Ciutat - Turisme,2.2.0.16,Recursos Humans,23516.52
S. S. Altre personal temporal Turisme,160.00.0016,Seguretat Social,4322A,Promoció de la Ciutat - Turisme,2.2.0.16,Recursos Humans,8350.57
RB laboral temporal.Prog. Fem ocupació Joves 2016,141.00.0016,Altre personal,2419F,Foment de l'Ocupació- Fem ocupació per a joves,2.2.0.16,Recursos Humans,11085.01
SS laboral temporal.Prog. Fem ocupació Joves 2016,160.00.0016,Seguretat Social,2419F,Foment de l'Ocupació- Fem ocupació per a joves,2.2.0.16,Recursos Humans,5648.62
RB laboral temporal.Prog. joves En pràctiques 2016,141.00.0016,Altre personal,2419E,Foment de l'Ocupació- joves En pràctiques,2.2.0.16,Recursos Humans,72295.63
SS laboral temporal.Prog. joves En pràctiques 2016,160.00.0016,Seguretat Social,2419E,Foment de l'Ocupació- joves En pràctiques,2.2.0.16,Recursos Humans,21484.21
Beques i pràctiques,143.00.0016,Altre personal,9200A,Administració General ,2.2.0.16,Recursos Humans,6137.5
RB laboral temporal Joves per l'ocupació SOC 2016,141.00.0016,Altre personal,2419J,Foment de l'Ocupació -Pl Ocup-Joves per l'ocupació,2.2.0.16,Recursos Humans,29876.91
S.S. Laborals  Joves per l'ocupació SOC 2016,160.00.0016,Seguretat Social,2419J,Foment de l'Ocupació -Pl Ocup-Joves per l'ocupació,2.2.0.16,Recursos Humans,10835.2
RB laborals PO Treballs als Barris ,141.00.0016,Altre personal,2419T,Foment de l'Ocupació -Pl Ocup-Treballs als barris,2.2.0.16,Recursos Humans,44456.09
Seguretat Social PO Treballs als barris,160.00.0016,Seguretat Social,2419T,Foment de l'Ocupació -Pl Ocup-Treballs als barris,2.2.0.16,Recursos Humans,14677.39
RB laboral temporal Joves per l'ocupació SOC 2015,141.00.0115,Altre personal,2419J,Foment de l'Ocupació -Pl Ocup-Joves per l'ocupació,2.2.0.16,Recursos Humans,19823.19
Seguretat Social func. joves l'ocupació SOC 2015,160.00.0115,Seguretat Social,2419J,Foment de l'Ocupació -Pl Ocup-Joves per l'ocupació,2.2.0.16,Recursos Humans,4965.23
RB Funcionaris foment de l'ocupació,120.00.0017,Sous del Grup A1,2410A,Foment de l'Ocupació,2.2.0.16,Recursos Humans,7056.56
RC Funcionaris foment de l'ocupació,121.00.0017,Complement destinació,2410A,Foment de l'Ocupació,2.2.0.16,Recursos Humans,9630.09
Seguretat Social funcionaris foment de l' ocupació,160.00.0017,Seguretat Social,2410A,Foment de l'Ocupació,2.2.0.16,Recursos Humans,5161.36
Product funcionaris foment de l' ocupació,150.00.0017,Productivitat,2410A,Foment de l'Ocupació,2.2.0.16,Recursos Humans,323.08
H.extr.laborals fixos alcaldia,130.01.0017,Hores extraordinaries,9121A,Òrgans de govern - Programes d'Alcaldia,2.2.0.16,Recursos Humans,3204.36
RC laborals fixos educació preescolar i primària,130.02.0017,Altres remuneracions,3230A,Funcionament centres docents d'Educació,2.2.0.16,Recursos Humans,7569.95
RB laboral temporal Patrimoni Hist.i Cultural,131.00.0017,Laboral temporal,3360A,Patrimoni Històric i Cultural,2.2.0.16,Recursos Humans,15542.17
Productiv.laboral temporal Patr.Hist i Cultural,150.02.0017,Productivitat,3360A,Patrimoni Històric i Cultural,2.2.0.16,Recursos Humans,241.28
RB laboral temporal Administració Gnral,131.00.0017,Laboral temporal,9200A,Administració General ,2.2.0.16,Recursos Humans,30613.73
RC laboral temporal Administració Gneral,131.02.0017,Laboral temporal,9200A,Administració General ,2.2.0.16,Recursos Humans,588.78
Productivitat laboral temporal Admon.Gnral,150.02.0017,Productivitat,9200A,Administració General ,2.2.0.16,Recursos Humans,1236.69
Eventuals Urb.Planificació i Projectes,110.00.0017,Retribucions bàsiques,1510A,Urbanisme Planificació i Projectes,2.2.0.16,Recursos Humans,56922.5
Eventuals Alcaldia,110.00.0017,Retribucions bàsiques,9121A,Òrgans de govern - Programes d'Alcaldia,2.2.0.16,Recursos Humans,49835.02
Eventuals  Ad.Gral. Serv. Persona,110.00.0017,Retribucions bàsiques,9200B,Administració General - Benestar i Acció Social,2.2.0.16,Recursos Humans,49377.65
Seguretat Social Eventuals Admon.Serv.Gnrals,160.02.0017,Seguretat Social,9200A,Administració General ,2.2.0.16,Recursos Humans,21268.59
Seguretat Social Eventuals Alcaldia,160.02.0017,Seguretat Social,9121A,Òrgans de govern - Programes d'Alcaldia,2.2.0.16,Recursos Humans,10914.07
Seguretat Social Eventuals Adm.Gral Serv. Persona,160.02.0017,Seguretat Social,9200B,Administració General - Benestar i Acció Social,2.2.0.16,Recursos Humans,10914.07
Seguretat Social Eventuals Urb.Planificació i Proj,160.02.0017,Seguretat Social,1510A,Urbanisme Planificació i Projectes,2.2.0.16,Recursos Humans,10914.07
R. B. personal laboral temporal P. O. DiBa 2017,141.00.0017,Altre personal,2419B,Foment de l'Ocupació -Plans d'ocupació Diputació,2.2.0.16,Recursos Humans,42213.29
RC laboral temporal Serv.Generals,131.02.0017,Laboral temporal,9204A,Administració General - Serveis Generals,2.2.0.16,Recursos Humans,6223.8
S. S. personal laboral temporal P. O. DiBa 2017,160.00.0017,Seguretat Social,2419B,Foment de l'Ocupació -Plans d'ocupació Diputació,2.2.0.16,Recursos Humans,24099.04
RB laboral - Xarxa Impulsors PGJC 2017,141.00.0017,Altre personal,2419X,Foment de l'Ocupació -Pl Ocup-Garantia Juvenil,2.2.0.16,Recursos Humans,6486.94
SS laboral - Xarxa Impulsors PGJC 2017,160.01.0017,Seguretat Social,2419X,Foment de l'Ocupació -Pl Ocup-Garantia Juvenil,2.2.0.16,Recursos Humans,3457.88
Gratificacions funcionaris Participació Ciutadana,151.00.0017,Gratificacions,9240A,Participació ciutadana,2.2.0.16,Recursos Humans,319.81
R. B. personal funcionari interí  P. O. DiBa 2017,120.05.0017,Sous del Grup E,2419B,Foment de l'Ocupació -Plans d'ocupació Diputació,2.2.0.16,Recursos Humans,11423.64
R. C. personal funcionari interí  P. O. DiBa 2017,121.00.0017,Complement destinació,2419B,Foment de l'Ocupació -Plans d'ocupació Diputació,2.2.0.16,Recursos Humans,19387.3
Gratificacions funcionaris Alcaldia,151.00.0017,Gratificacions,9121A,Òrgans de govern - Programes d'Alcaldia,2.2.0.16,Recursos Humans,642.42
