CODI_DIVISIO_TERRITORIAL;CODI_PARTIT;DESCRIPCIO_PARTIT;NRE_VOTS
S-03002;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;7
S-03002;PP      ;PARTIDO POPULAR                         ;41
S-03002;PSC       ;PARTIT DELS SOCIALISTES DE CATALUNYA;148
S-03002;RECORTES 0-EV;RECORTES CERO-ELS VERDS;2
S-03002;unio.cat;UNIÓ DEMOCRÀTICA DE CATALUNYA;6
S-03003;BLANCS;BLANCS;3
S-03003;CatSiqueesPot;CATALUNYA SÍ QUE ES POT;117
S-03003;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;122
S-03003;CUP    ;CANDIDATURA D UNITAT POPULAR            ;29
S-03003;JxSí;JUNTS PEL SÍ;60
S-03003;NULS;NULS;2
S-03003;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;7
S-03003;PP      ;PARTIDO POPULAR                         ;37
S-03003;PSC       ;PARTIT DELS SOCIALISTES DE CATALUNYA;129
S-03003;RECORTES 0-EV;RECORTES CERO-ELS VERDS;5
S-03003;unio.cat;UNIÓ DEMOCRÀTICA DE CATALUNYA;2
S-03004;BLANCS;BLANCS;10
S-03004;CatSiqueesPot;CATALUNYA SÍ QUE ES POT;425
S-03004;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;616
S-03004;CUP    ;CANDIDATURA D UNITAT POPULAR            ;176
S-03004;JxSí;JUNTS PEL SÍ;486
S-03004;NULS;NULS;6
S-03004;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;12
S-03004;PP      ;PARTIDO POPULAR                         ;148
S-03004;PSC       ;PARTIT DELS SOCIALISTES DE CATALUNYA;465
S-03004;RECORTES 0-EV;RECORTES CERO-ELS VERDS;5
S-03004;unio.cat;UNIÓ DEMOCRÀTICA DE CATALUNYA;30
S-03005;BLANCS;BLANCS;8
S-03005;CatSiqueesPot;CATALUNYA SÍ QUE ES POT;245
S-03005;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;256
S-03005;CUP    ;CANDIDATURA D UNITAT POPULAR            ;85
S-03005;JxSí;JUNTS PEL SÍ;181
S-03005;NULS;NULS;3
S-03005;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;9
S-03005;PP      ;PARTIDO POPULAR                         ;53
S-03005;PSC       ;PARTIT DELS SOCIALISTES DE CATALUNYA;208
S-03005;RECORTES 0-EV;RECORTES CERO-ELS VERDS;14
S-03005;unio.cat;UNIÓ DEMOCRÀTICA DE CATALUNYA;14
S-03006;BLANCS;BLANCS;4
S-03006;CatSiqueesPot;CATALUNYA SÍ QUE ES POT;91
S-03006;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;102
S-03006;CUP    ;CANDIDATURA D UNITAT POPULAR            ;48
S-03006;JxSí;JUNTS PEL SÍ;120
S-03006;NULS;NULS;2
S-03006;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;4
S-03006;PP      ;PARTIDO POPULAR                         ;58
S-03006;PSC       ;PARTIT DELS SOCIALISTES DE CATALUNYA;111
S-03006;RECORTES 0-EV;RECORTES CERO-ELS VERDS;5
S-03006;unio.cat;UNIÓ DEMOCRÀTICA DE CATALUNYA;3
S-03007;BLANCS;BLANCS;5
S-03007;CatSiqueesPot;CATALUNYA SÍ QUE ES POT;139
S-03007;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;141
S-03007;CUP    ;CANDIDATURA D UNITAT POPULAR            ;37
S-03007;JxSí;JUNTS PEL SÍ;158
S-03007;NULS;NULS;2
S-03007;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;8
S-03007;PP      ;PARTIDO POPULAR                         ;60
S-03007;PSC       ;PARTIT DELS SOCIALISTES DE CATALUNYA;156
S-03007;RECORTES 0-EV;RECORTES CERO-ELS VERDS;4
S-03007;unio.cat;UNIÓ DEMOCRÀTICA DE CATALUNYA;15
S-03008;BLANCS;BLANCS;5
S-03008;CatSiqueesPot;CATALUNYA SÍ QUE ES POT;142
S-03008;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;202
S-03008;CUP    ;CANDIDATURA D UNITAT POPULAR            ;32
S-03008;JxSí;JUNTS PEL SÍ;132
S-03008;NULS;NULS;5
S-03008;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;13
S-03008;PP      ;PARTIDO POPULAR                         ;71
S-03008;PSC       ;PARTIT DELS SOCIALISTES DE CATALUNYA;236
S-03008;RECORTES 0-EV;RECORTES CERO-ELS VERDS;7
S-03008;unio.cat;UNIÓ DEMOCRÀTICA DE CATALUNYA;9
S-03009;BLANCS;BLANCS;0
S-03009;CatSiqueesPot;CATALUNYA SÍ QUE ES POT;66
S-03009;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;156
S-03009;CUP    ;CANDIDATURA D UNITAT POPULAR            ;16
S-03009;JxSí;JUNTS PEL SÍ;31
S-03009;NULS;NULS;2
S-03009;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;10
S-03009;PP      ;PARTIDO POPULAR                         ;64
S-03009;PSC       ;PARTIT DELS SOCIALISTES DE CATALUNYA;182
