CODI_DIVISIO_TERRITORIAL;CODI_PARTIT;DESCRIPCIO_PARTIT;NRE_VOTS
S-03005;ERC-CATSI;ESQUERRA REPUBLICANA DE CATALUNYA-CATALUNYA SÍ;84
S-03005;NULS;NULS;5
S-03005;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;19
S-03005;PCPC  ;PARTIDO COMUNISTA DEL PUEBLO DE CATALUNYA ;4
S-03005;PP      ;PARTIDO POPULAR                         ;77
S-03005;PSC-PSOE  ;PARTIT DELS SOCIALISTES DE CATALUNYA    ;216
S-03005;RECORTES 0-EV;RECORTES CERO-ELS VERDS;4
S-03006;BLANCS;BLANCS;2
S-03006;CDC;CONVERGÈNCIA DEMOCRÀTICA DE CATALUNYA;21
S-03006;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;51
S-03006;ECP;EN COMÚ PODEM-GUAYEM EL CANVI;177
S-03006;ERC-CATSI;ESQUERRA REPUBLICANA DE CATALUNYA-CATALUNYA SÍ;54
S-03006;NULS;NULS;5
S-03006;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;5
S-03006;PCPC  ;PARTIDO COMUNISTA DEL PUEBLO DE CATALUNYA ;6
S-03006;PP      ;PARTIDO POPULAR                         ;81
S-03006;PSC-PSOE  ;PARTIT DELS SOCIALISTES DE CATALUNYA    ;111
S-03006;RECORTES 0-EV;RECORTES CERO-ELS VERDS;0
S-03007;BLANCS;BLANCS;6
S-03007;CDC;CONVERGÈNCIA DEMOCRÀTICA DE CATALUNYA;24
S-03007;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;67
S-03007;ECP;EN COMÚ PODEM-GUAYEM EL CANVI;225
S-03007;ERC-CATSI;ESQUERRA REPUBLICANA DE CATALUNYA-CATALUNYA SÍ;72
S-03007;NULS;NULS;7
S-03007;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;14
S-03007;PCPC  ;PARTIDO COMUNISTA DEL PUEBLO DE CATALUNYA ;0
S-03007;PP      ;PARTIDO POPULAR                         ;75
S-03007;PSC-PSOE  ;PARTIT DELS SOCIALISTES DE CATALUNYA    ;148
S-03007;RECORTES 0-EV;RECORTES CERO-ELS VERDS;2
S-03008;BLANCS;BLANCS;7
S-03008;CDC;CONVERGÈNCIA DEMOCRÀTICA DE CATALUNYA;15
S-03008;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;120
S-03008;ECP;EN COMÚ PODEM-GUAYEM EL CANVI;235
S-03008;ERC-CATSI;ESQUERRA REPUBLICANA DE CATALUNYA-CATALUNYA SÍ;41
S-03008;NULS;NULS;12
S-03008;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;24
S-03008;PCPC  ;PARTIDO COMUNISTA DEL PUEBLO DE CATALUNYA ;0
S-03008;PP      ;PARTIDO POPULAR                         ;80
S-03008;PSC-PSOE  ;PARTIT DELS SOCIALISTES DE CATALUNYA    ;213
S-03008;RECORTES 0-EV;RECORTES CERO-ELS VERDS;3
S-03009;BLANCS;BLANCS;2
S-03009;CDC;CONVERGÈNCIA DEMOCRÀTICA DE CATALUNYA;4
S-03009;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;73
S-03009;ECP;EN COMÚ PODEM-GUAYEM EL CANVI;131
S-03009;ERC-CATSI;ESQUERRA REPUBLICANA DE CATALUNYA-CATALUNYA SÍ;7
S-03009;NULS;NULS;9
S-03009;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;8
S-03009;PCPC  ;PARTIDO COMUNISTA DEL PUEBLO DE CATALUNYA ;1
S-03009;PP      ;PARTIDO POPULAR                         ;77
S-03009;PSC-PSOE  ;PARTIT DELS SOCIALISTES DE CATALUNYA    ;183
S-03009;RECORTES 0-EV;RECORTES CERO-ELS VERDS;3
S-04001;BLANCS;BLANCS;8
S-04001;CDC;CONVERGÈNCIA DEMOCRÀTICA DE CATALUNYA;14
S-04001;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;99
S-04001;ECP;EN COMÚ PODEM-GUAYEM EL CANVI;215
S-04001;ERC-CATSI;ESQUERRA REPUBLICANA DE CATALUNYA-CATALUNYA SÍ;51
S-04001;NULS;NULS;3
S-04001;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;4
S-04001;PCPC  ;PARTIDO COMUNISTA DEL PUEBLO DE CATALUNYA ;2
S-04001;PP      ;PARTIDO POPULAR                         ;152
S-04001;PSC-PSOE  ;PARTIT DELS SOCIALISTES DE CATALUNYA    ;172
S-04001;RECORTES 0-EV;RECORTES CERO-ELS VERDS;1
S-04002;BLANCS;BLANCS;2
S-04002;CDC;CONVERGÈNCIA DEMOCRÀTICA DE CATALUNYA;13
S-04002;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;63
S-04002;ECP;EN COMÚ PODEM-GUAYEM EL CANVI;105
S-04002;ERC-CATSI;ESQUERRA REPUBLICANA DE CATALUNYA-CATALUNYA SÍ;23
S-04002;NULS;NULS;0
S-04002;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;11
S-04002;PCPC  ;PARTIDO COMUNISTA DEL PUEBLO DE CATALUNYA ;0
S-04002;PP      ;PARTIDO POPULAR                         ;64
S-04002;PSC-PSOE  ;PARTIT DELS SOCIALISTES DE CATALUNYA    ;80
S-04002;RECORTES 0-EV;RECORTES CERO-ELS VERDS;0
S-04003;BLANCS;BLANCS;6
S-04003;CDC;CONVERGÈNCIA DEMOCRÀTICA DE CATALUNYA;24
S-04003;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;94
S-04003;ECP;EN COMÚ PODEM-GUAYEM EL CANVI;285
S-04003;ERC-CATSI;ESQUERRA REPUBLICANA DE CATALUNYA-CATALUNYA SÍ;69
S-04003;NULS;NULS;2
S-04003;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;9
S-04003;PCPC  ;PARTIDO COMUNISTA DEL PUEBLO DE CATALUNYA ;2
S-04003;PP      ;PARTIDO POPULAR                         ;112
S-04003;PSC-PSOE  ;PARTIT DELS SOCIALISTES DE CATALUNYA    ;212
S-04003;RECORTES 0-EV;RECORTES CERO-ELS VERDS;0
S-04004;BLANCS;BLANCS;5
S-04004;CDC;CONVERGÈNCIA DEMOCRÀTICA DE CATALUNYA;10
S-04004;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;61
S-04004;ECP;EN COMÚ PODEM-GUAYEM EL CANVI;152
S-04004;ERC-CATSI;ESQUERRA REPUBLICANA DE CATALUNYA-CATALUNYA SÍ;23
S-04004;NULS;NULS;3
S-04004;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;6
S-04004;PCPC  ;PARTIDO COMUNISTA DEL PUEBLO DE CATALUNYA ;1
S-04004;PP      ;PARTIDO POPULAR                         ;51
S-04004;PSC-PSOE  ;PARTIT DELS SOCIALISTES DE CATALUNYA    ;192
S-04004;RECORTES 0-EV;RECORTES CERO-ELS VERDS;0
S-04005;BLANCS;BLANCS;4
S-04005;CDC;CONVERGÈNCIA DEMOCRÀTICA DE CATALUNYA;4
S-04005;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;48
S-04005;ECP;EN COMÚ PODEM-GUAYEM EL CANVI;101
S-04005;ERC-CATSI;ESQUERRA REPUBLICANA DE CATALUNYA-CATALUNYA SÍ;12
S-04005;NULS;NULS;8
S-04005;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;4
S-04005;PCPC  ;PARTIDO COMUNISTA DEL PUEBLO DE CATALUNYA ;1
S-04005;PP      ;PARTIDO POPULAR                         ;81
S-04005;PSC-PSOE  ;PARTIT DELS SOCIALISTES DE CATALUNYA    ;199
S-04005;RECORTES 0-EV;RECORTES CERO-ELS VERDS;2
S-04006;BLANCS;BLANCS;4
S-04006;CDC;CONVERGÈNCIA DEMOCRÀTICA DE CATALUNYA;1
S-04006;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;79
S-04006;ECP;EN COMÚ PODEM-GUAYEM EL CANVI;163
S-04006;ERC-CATSI;ESQUERRA REPUBLICANA DE CATALUNYA-CATALUNYA SÍ;19
S-04006;NULS;NULS;4
S-04006;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;11
S-04006;PCPC  ;PARTIDO COMUNISTA DEL PUEBLO DE CATALUNYA ;0
S-04006;PP      ;PARTIDO POPULAR                         ;131
S-04006;PSC-PSOE  ;PARTIT DELS SOCIALISTES DE CATALUNYA    ;240
S-04006;RECORTES 0-EV;RECORTES CERO-ELS VERDS;1
S-04007;BLANCS;BLANCS;6
S-04007;CDC;CONVERGÈNCIA DEMOCRÀTICA DE CATALUNYA;15
S-04007;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;52
S-04007;ECP;EN COMÚ PODEM-GUAYEM EL CANVI;185
S-04007;ERC-CATSI;ESQUERRA REPUBLICANA DE CATALUNYA-CATALUNYA SÍ;29
S-04007;NULS;NULS;4
S-04007;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;13
S-04007;PCPC  ;PARTIDO COMUNISTA DEL PUEBLO DE CATALUNYA ;0
S-04007;PP      ;PARTIDO POPULAR                         ;88
S-04007;PSC-PSOE  ;PARTIT DELS SOCIALISTES DE CATALUNYA    ;143
S-04007;RECORTES 0-EV;RECORTES CERO-ELS VERDS;0
S-04008;BLANCS;BLANCS;3
S-04008;CDC;CONVERGÈNCIA DEMOCRÀTICA DE CATALUNYA;19
S-04008;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;79
S-04008;ECP;EN COMÚ PODEM-GUAYEM EL CANVI;297
S-04008;ERC-CATSI;ESQUERRA REPUBLICANA DE CATALUNYA-CATALUNYA SÍ;53
S-04008;NULS;NULS;4
S-04008;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;12
S-04008;PCPC  ;PARTIDO COMUNISTA DEL PUEBLO DE CATALUNYA ;0
S-04008;PP      ;PARTIDO POPULAR                         ;87
S-04008;PSC-PSOE  ;PARTIT DELS SOCIALISTES DE CATALUNYA    ;203
S-04008;RECORTES 0-EV;RECORTES CERO-ELS VERDS;5
S-04009;BLANCS;BLANCS;7
S-04009;CDC;CONVERGÈNCIA DEMOCRÀTICA DE CATALUNYA;8
S-04009;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;56
S-04009;ECP;EN COMÚ PODEM-GUAYEM EL CANVI;162
S-04009;ERC-CATSI;ESQUERRA REPUBLICANA DE CATALUNYA-CATALUNYA SÍ;38
S-04009;NULS;NULS;0
S-04009;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;13
S-04009;PCPC  ;PARTIDO COMUNISTA DEL PUEBLO DE CATALUNYA ;1
S-04009;PP      ;PARTIDO POPULAR                         ;54
S-04009;PSC-PSOE  ;PARTIT DELS SOCIALISTES DE CATALUNYA    ;129
S-04009;RECORTES 0-EV;RECORTES CERO-ELS VERDS;0
S-04010;BLANCS;BLANCS;3
