CODI_DIVISIO_TERRITORIAL;CODI_DIV_TERRITORIAL_ADM;CATEGORIA;IDENTIFICADOR;NOM;UBICAT;DOCUMENT_COMPLEMENTARI;PROTEGIT;TITULARITAT;US_ACTUAL;SUPERFICIE;DESCRIPCIO_LLARGA;DESCRIPCIO_CURTA;IMATGE
;;;NF;FABRICA DE PELL BERTRAND;;;Legal;;;;FABRICA DE PELL BERTRAND;FABRICA DE PELL BERTRAND;
;;;55;Habitatge al carrer Joan Batllori 13;;;Legal;;;;Habitatge al carrer Joan Batllori 13;Habitatge al carrer Joan Batllori 13;
;;;56;Antic escorxador municipal - Actual piscina olímpica;;;Legal;;;;Antic escorxador municipal - Actual piscina olímpica;Antic escorxador municipal - Actual piscina olímpica;
;;;136;Panteó de la família Bertrand;;;Legal;;;;Panteó de la família Bertrand;Panteó de la família Bertrand;
;;;138;Panteó família Molins;;;Legal;;;;Panteó família Molins;Panteó família Molins;
;;;139;Panteó família Ricart;;;Legal;;;;Panteó família Ricart;Panteó família Ricart;
;;;141;Panteó de la família J. Ribas i Cañameras;;;Legal;;;;Panteó de la família J. Ribas i Cañameras;Panteó de la família J. Ribas i Cañameras;
;;;245;Oficines Hispano-Suiza i Antic edifici d Hisenda;;;Legal;;;;Oficines Hispano-Suiza i Antic edifici d Hisenda;Oficines Hispano-Suiza i Antic edifici d Hisenda;
;;;59;Torre del Bisbe;;;Legal;;;;Torre del Bisbe;Torre del Bisbe;
;;;60;Masia ca n Albareda;;;Legal;;;;Masia ca n Albareda;Masia ca n Albareda;
;;;61;Ateneu santfeliuenc;;;Legal;;;;Ateneu santfeliuenc;Ateneu santfeliuenc;
;;;62;Casa unifamiliar de Josefa Serra de Molins (Vidal i Ribas);;;Legal;;;;Casa unifamiliar de Josefa Serra de Molins (Vidal i Ribas);Casa unifamiliar de Josefa Serra de Molins (Vidal i Ribas);
;;;63;Casa unifamiliar de Josefa Serra de Molins;;;Legal;;;;Casa unifamiliar de Josefa Serra de Molins;Casa unifamiliar de Josefa Serra de Molins;
