OBJECTID,Campanya,Provincia,Comarca,Municipi,ID_MUN,Grup,Cultiu,Seca_Regad,HA,Shape__Area,Shape__Length
143,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,3.0925,3.363912688e-06,0.007195676458885
144,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,3.0265,3.292186586e-06,0.013042357134494
145,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,10.1352,1.102429882e-05,0.016296239193115
146,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,3.905,4.247621534e-06,0.020862182201193
147,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,6.0688,6.601117291e-06,0.017127978157116
148,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,0.6862,7.46371323e-07,0.004266161418324
149,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,0.9854,1.071599673e-06,0.006403121634533
150,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,0.7068,7.6885162e-07,0.004352264695012
151,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,2.8101,3.056706333e-06,0.008152826844283
152,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,1.4117,1.534574181e-06,0.005984668182705
153,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,2.4528,2.667231566e-06,0.012526909179163
154,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,0.5263,5.72500367e-07,0.003696888690481
155,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,0.3495,3.8012762e-07,0.002551352209296
156,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,0.6658,7.24254993e-07,0.004203032493018
157,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,0.6049,6.57959206e-07,0.004762002389847
158,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,0.2883,3.13626757e-07,0.002262473992406
159,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,0.0816,8.8740015e-08,0.001650483676683
160,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,5.018,5.458452494e-06,0.01545124876475
161,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,1.9129,2.080888146e-06,0.00794260236029
