codi,Nom_centre,Tipus_de_consum,import,CUPS,Comercialitzadora,Pòlissa,Data_de_baixa,F2010,F2011,F2012,F2013,F2014,F2015,FID
EP23,PASSEIG TER SN DAVANT Nº30,Electricitat Quadres enllumenat,€,ES0031446449168001PC0F,ENDESA ENERGÍA S.A.U.,82013708494,,8227.4,7559.88,8646.79,8498.19,6611.72,5183.96,109
ESP03,CAMP DE FUTBOL,Electricitat dependències,€,ES0031408350889001PL0F,ENDESA ENERGÍA S.A.U.,82027038918,,,,,71.43,4510.42,3308.61,110
EP24,PASSEIG TER S/N DAVANT SAFARE,Electricitat Quadres enllumenat,€,ES0031446450655001PR0F,ENDESA ENERGÍA S.A.U.,82013643591,,2320.92,2430.81,2520.02,2547.43,2156.22,2274.03,111
ESP05,ROCÒDROM CAN TIBA,Electricitat dependències,€,ES0031448275675001ZQ0F,ENDESA ENERGÍA S.A.U.,82018091819,,3032.07,1545.01,2077.06,1983.15,1629.32,1327.11,112
EP25,PASSEIG SANT JOAN S/N,Electricitat Quadres enllumenat,€,ES0031446449246001LG0F,ENDESA ENERGÍA S.A.U.,82013709027,,8800.96,8538.07,8701.98,7962.65,7807.64,8317.59,113
EP26,SANT JOAN 70-19,Electricitat Quadres enllumenat,€,ES0031446461032001JE0F,ENDESA ENERGÍA S.A.U.,82013643849,,4153.74,4415.24,4151.08,4361.07,4555.65,5064.88,114
EP27,PINTOR GUARDIA S/N COSTAT Nº9,Electricitat Quadres enllumenat,€,ES0031446459433001KM0F,ENDESA ENERGÍA S.A.U.,82013709620,,7803.47,9694.26,11263.07,10201.88,10160.88,9942.12,115
EP28,MIRIANA SN DAVANT Nº8,Electricitat Quadres enllumenat,€,ES0031408411383001VV0F,ENDESA ENERGÍA S.A.U.,82013618915,,2488.84,2791.96,2871.9,1866.44,3184.52,2686.08,116
EP29,BORINA S/N,Electricitat Quadres enllumenat,€,ES0031446451871001TZ0F,ENDESA ENERGÍA S.A.U.,82013629239,,2087.29,2352.53,2314.6,2199.58,2156,2384.18,117
REG21,BOCA REG TORRENT DE LA BORINA,Aigua,€,,SOREA,4755791,06/06/2011,0,0,,,,,118
EP30,CAVALLERIA.62 NUM 22,Electricitat Quadres enllumenat,€,ES0031446451792001SL0F,ENDESA ENERGÍA S.A.U.,82013710123,02/10/2015,6505.74,6464.85,7978.47,7603.33,7753.77,3196.23,119
REG22,BOCA REG PINTOR GUÀRDIA,Aigua,€,,SOREA,4755795,06/06/2011,0,0,,,,,120
EP30,CAVALLERIA.62 NUM 22,Electricitat Quadres enllumenat,€,ES0031408466042002KR0F,ENDESA ENERGÍA S.A.U.,82034674625,,,,,,,1224.95,121
REG23,BOCA REG Crta D'OLOT,Aigua,€,,SOREA,4755851,08/06/2011,0,0,,,,,122
EP32,BELLFORT S/N FINAL COST.ET 161,Electricitat Quadres enllumenat,€,ES0031446457836001TX0F,ENDESA ENERGÍA S.A.U.,82013710746,,7565.97,7219.59,8283.37,7777.28,7631.86,7680.95,123
REG24,BOCA REG VIA AUSETANIA,Aigua,€,,SOREA,4755812,08/06/2011,0,0,,,,,124
EP33,AUSETANIA 31-37,Electricitat Quadres enllumenat,€,ES0031446462685001PN0F,ENDESA ENERGÍA S.A.U.,82013644031,,5174.27,5714.24,5617.62,6943.15,7095.89,6474.48,125
REG25,BOCA REG PARC DE L'ERM,Aigua,€,,SOREA,4755814,06/06/2011,0,0,,,,,126
EP34,BARCELONA COSTAT Nº2,Electricitat Quadres enllumenat,€,ES0031446462762001KP0F,ENDESA ENERGÍA S.A.U.,82013629769,,2113.96,2269.08,2471.05,2293.5,2296.03,2492.66,127
REG26,BOCA REG GIRATORI AV ROMA /MONTSENY,Aigua,€,,SOREA,4755816,02/06/2011,0,0,,,,,128
EP35,ROCA S/N ENTL,Electricitat Quadres enllumenat,€,ES0031446463256001VZ0F,ENDESA ENERGÍA S.A.U.,82013630428,,369.07,1841.33,1826.5,1698.79,1928.58,1930.24,129
REG27,BOCA REG PL ESGLESIA,Aigua,€,,SOREA,4755821,02/06/2011,0,0,,,,,130
EP36,C/ RUPIT S/N COSTAT ET 16196,Electricitat Quadres enllumenat,€,ES0031446457159001MS0F,ENDESA ENERGÍA S.A.U.,82013644268,,9341.04,9990.12,9976.94,9831.31,10579.63,10761.26,131
REG28,BOCA REG C/ PAU CAVALLERIA,Aigua,€,,SOREA,4755822,07/06/2011,0,0,,,,,132
EP37,FONT DE TARRÉS POL COROMINA SN,Electricitat Quadres enllumenat,€,ES0031446457733001FG0F,ENDESA ENERGÍA S.A.U.,82013631121,,1615.64,1698.21,1986.15,1777.31,1842.91,1937.9,133
REG29,BOCA REG PSG DEL TER,Aigua,€,,SOREA,4755825,03/06/2011,0,0,,,,,134
EP38,MOSSEN AULET S/N,Electricitat Quadres enllumenat,€,ES0031446459001001YZ0F,ENDESA ENERGÍA S.A.U.,82013644707,,3617.12,6407.04,6743.83,6534.02,6748.03,6809.34,135
REG30,BOCA REG PSG DEL TER,Aigua,€,,SOREA,4755826,03/06/2011,0,0,,,,,136
EP39,C/ PLA DELS ESTUDIANTS 0- AP,Electricitat Quadres enllumenat,€,ES0031446458024001DP0F,ENDESA ENERGÍA S.A.U.,82013631683,,1667.85,2999.03,3462,4294.16,4391.38,3930.63,137
REG31,BOCA REG BAIXA BONET -PL CRIST REI,Aigua,€,,SOREA,4755840,02/06/2011,0,0,,,,,138
EP40,PLA DELS ESTUDIANTS CANTONADA,Electricitat Quadres enllumenat,€,ES0031446458023001BC0F,ENDESA ENERGÍA S.A.U.,82013644901,,1974.64,3571.9,4846.18,5332.64,6502.7,6200.76,139
REG32,BOCA REG C/ BAIXADA BONET,Aigua,€,,SOREA,4755841,06/06/2011,0,0,,,,,140
EP41,FRANCESC PUGUET COST. ET 16259,Electricitat Quadres enllumenat,€,ES0031446455030001SX0F,ENDESA ENERGÍA S.A.U.,82013711281,,7067.54,6638.96,7378.71,6693.78,6316.61,6548.88,141
REG33,BOCA REG PL SERRALLO,Aigua,€,,SOREA,4755805,03/06/2011,0,0,,,,,142
EP42,ANDREU COSTA SN DARRERA ET 162,Electricitat Quadres enllumenat,€,ES0031446455055001KD0F,ENDESA ENERGÍA S.A.U.,82013632313,,2406.72,2702.01,2839.87,2386.84,2746.28,3251.9,143
REG34,BOCA REG CASTELLOT LA SALVA,Aigua,€,,SOREA,4755854,09/06/2011,0,0,,,,,144
EP43,AVDA. PUIGMAL-S/N COSTAT 40,Electricitat Quadres enllumenat,€,ES0031446454945001EH0F,ENDESA ENERGÍA S.A.U.,82014695777,,7984.71,7570.32,8580.86,8150.44,7782.87,7964.67,145
