X,Y,OBJECTID,Data_Avís,mes,Data_Inspe,Dies_fins,Espai,Plaga,Barri,Any_contro
2.288249379291947,41.999993287439544,133,2016-08-02T00:00:00.000Z,agost,2016-08-02T00:00:00.000Z,0,Via pública,Diplòpodes,Cavalleria,2016
2.288249379291947,41.999993287439544,134,2016-08-02T00:00:00.000Z,agost,2016-08-03T00:00:00.000Z,1,Edifici,Vespes,Cavalleria,2016
2.272945362689204,42.001253277311783,135,2016-08-23T00:00:00.000Z,agost,2016-09-06T00:00:00.000Z,14,Edifici,Rates,Gràcia,2016
2.288864333846581,42.003979788014355,136,2016-08-20T00:00:00.000Z,agost,2016-09-06T00:00:00.000Z,17,Edifici,Rates,El Puig,2016
2.291805414789052,42.009255988666311,137,2016-08-03T00:00:00.000Z,agost,2016-08-03T00:00:00.000Z,0,Edifici,Abelles,La Coromina,2016
2.283973794150638,42.001041486165164,138,2016-08-28T00:00:00.000Z,agost,2016-09-06T00:00:00.000Z,9,Edifici,Rates,Dalt Vila,2016
2.279067203396399,42.004731733241947,139,2016-08-28T00:00:00.000Z,agost,2016-09-06T00:00:00.000Z,9,Edifici,Paneroles,Vilamirosa,2016
2.272945362689204,42.001253277311783,140,2016-09-05T00:00:00.000Z,setembre,2016-09-06T00:00:00.000Z,1,Via pública,Mosquits,Gràcia,2016
2.29373360322073,42.001613054857437,141,2016-08-31T00:00:00.000Z,agost,2016-09-06T00:00:00.000Z,6,Edifici,Mosquits,La Salut,2016
2.283686186496929,41.998779363903637,142,2016-09-06T00:00:00.000Z,setembre,2016-09-06T00:00:00.000Z,0,Edifici,Vespes,Baix Vila,2016
2.291805414789052,42.009255988666311,143,2016-09-12T00:00:00.000Z,setembre,2016-09-26T00:00:00.000Z,14,Solar,Diplòpodes,La Coromina,2016
2.285257447021733,42.007417612907787,144,2016-09-06T00:00:00.000Z,setembre,2016-09-26T00:00:00.000Z,20,Edifici,Rates,Erm,2016
2.285257447021733,42.007417612907787,145,2016-09-27T00:00:00.000Z,setembre,2016-09-29T00:00:00.000Z,2,Via pública,Rates,Erm,2016
2.285257447021733,42.007417612907787,146,2016-09-19T00:00:00.000Z,setembre,2016-09-26T00:00:00.000Z,7,Edifici,Rates,Erm,2016
2.288864333846581,42.003979788014355,147,2016-09-25T00:00:00.000Z,setembre,2016-09-25T00:00:00.000Z,0,Via pública,Vespes,El Puig,2016
2.29373360322073,42.001613054857437,148,2016-10-04T00:00:00.000Z,octubre,2016-10-05T00:00:00.000Z,1,Edifici,Mosquits,La Salut,2016
2.283686186496929,41.998779363903637,149,2016-10-26T00:00:00.000Z,octubre,2016-11-14T00:00:00.000Z,19,Edifici,Ratolins,Baix Vila,2016
2.288864333846581,42.003979788014355,150,2016-10-06T00:00:00.000Z,octubre,2016-10-10T00:00:00.000Z,4, ,altres,El Puig,2016
2.283686186496929,41.998779363903637,151,2016-10-29T00:00:00.000Z,octubre,2016-11-14T00:00:00.000Z,16,Via pública,Rates,Baix Vila,2016
2.29373360322073,42.001613054857437,152,2016-11-29T00:00:00.000Z,novembre,2016-12-01T00:00:00.000Z,2,Via pública,altres,La Salut,2016
2.272945362689204,42.001253277311783,153,2016-10-09T00:00:00.000Z,octubre,2016-10-10T00:00:00.000Z,1,Edifici,Rates,Gràcia,2016
2.295785025813488,42.007112923319461,154,2016-12-13T00:00:00.000Z,desembre,2016-12-15T00:00:00.000Z,2,Via pública,Rates,El Verdaguer,2016
