X,Y,OBJECTID,NOM_EXPLOT,BUSTIA,COOR_X,COOR_Y,TIPUS_EXPL,ESPECIE,ESTAT_SUBE
2.302709532306618,42.00831585852729,204,CUADRA GARCIA, ,442259.43,4650934.67,Explotació per a la pràctica eqüestre,Èquids,Activa
2.287145520527091,42.025431897234284,205,DIUMERES,105,440986.44,4652845.68,Explotació per a la pràctica eqüestre,Èquids,Activa
2.287145520527091,42.025431897234284,206,CAN SERRA, ,0,0,Explotació per a la pràctica eqüestre,Èquids,Inactiva
2.28956939338339,41.99212257819088,207,MAS DURAN, ,441156.41,4649145.68,Explotació per a la pràctica eqüestre,Èquids,Activa
2.304844819909815,42.008517948114694,208,CAN CABANYA, ,442436.43,4650955.67,Producció i reproducció,Aus diferents de corral,Activa
2.304844819909815,42.008517948114694,209,CAN CABANYA, ,442436.43,4650955.67,Producció i reproducció,Èquids,Activa
2.304844819909815,42.008517948114694,210,CAN CABANYA, ,442436.43,4650955.67,Producció i reproducció,Cabrum,Inactiva
2.304844819909815,42.008517948114694,211,CAN CABANYA, ,442436.43,4650955.67,Producció i reproducció,Conills,Inactiva
2.259834924061404,42.005534836351913,212,EL PEDRÍS D'ABAIX,405,438706.42,4650655.7,Producció i reproducció,Boví,Activa
2.269677296849218,42.000193838410659,213,CAN GOULA, ,439516.42,4650055.69,Explotació per a la pràctica eqüestre,Èquids,Activa
2.256751763322278,42.01105395730913,214,CAN CARGOL, ,438456.42,4651270.7,Producció i reproducció,Èquids,Activa
2.256751763322278,42.01105395730913,215,CAN CARGOL, ,438456.42,4651270.7,Producció i reproducció,Boví,Inactiva
2.278980417877476,42.021102872212687,216,MAS VILAMUNTÀ, ,440306.44,4652370.69,Explotació per a la pràctica eqüestre,Èquids,Activa
