codi,Nom_centre,Tipus_consum,consum,CUPS,Comercialitzadora,Pòlissa,Data_de_baixa,F2012,F2013,F2014,F2015,F2016,FID
ESC14,NOVA SECCIÓ INSTITUT,Electricitat dependències,kWh,ES0031408514956001KS0F,ENDESA ENERGÍA S.A.U.,416887989,25/02/2015,,17620,43835,4984,0,133
EP30,CAVALLERIA.62 NUM 22,Electricitat Quadres d'enllumenat,kWh,ES0031446451792001SL0F,ENDESA ENERGÍA S.A.U.,409331499,02/10/2015,54821,54294,51640,17176,0,134
ESP01,PAVELLÓ D'ESPORTS,Electricitat dependències,kWh,ES0031446462879001WF0F,ENDESA ENERGÍA S.A.U.,409343176,,112814,105353,100071,104232,106641,135
EP32,BELLFORT S/N FINAL COST.ET 161,Electricitat Quadres d'enllumenat,kWh,ES0031446457836001TX0F,ENDESA ENERGÍA S.A.U.,409332122,,53927,53484,54766,54676,55704,136
ESP02,PISCINA COBERTA,Electricitat dependències,kWh,ES0031448323163002TD0F,ENDESA ENERGÍA S.A.U.,409343597,,882,67,0,0,0,137
EP33,AUSETANIA 31-37,Electricitat Quadres d'enllumenat,kWh,ES0031446462685001PN0F,ENDESA ENERGÍA S.A.U.,409265407,,41335,40938,41172,35619,44490,138
ESP02,PISCINA COBERTA,Electricitat dependències,kWh,ES0031448323163001TP0F,ENDESA ENERGÍA S.A.U.,409343965,,635828,501103,472032,498490,496498,139
EP34,BARCELONA COSTAT Nº2,Electricitat Quadres d'enllumenat,kWh,ES0031446462762001KP0F,ENDESA ENERGÍA S.A.U.,409251145,,20823,20658,20738,20604,20113,140
ESP03,CAMP DE FUTBOL,Electricitat dependències,kWh,ES0031408215610001BG0F,ENDESA ENERGÍA S.A.U.,409233167,,4851,1115,311,698,1241,141
EP35,ROCA S/N ENTL,Electricitat Quadres d'enllumenat,kWh,ES0031446463256001VZ0F,ENDESA ENERGÍA S.A.U.,409251804,,12636,12998,15007,14164,14920,142
ESP03,CAMP DE FUTBOL,Electricitat dependències,kWh,ES0031408350889001PL0F,ENDESA ENERGÍA S.A.U.,422660294,,0,320,18746,14270,31641,143
EP36,C/ RUPIT S/N COSTAT ET 16196,Electricitat Quadres d'enllumenat,kWh,ES0031446457159001MS0F,ENDESA ENERGÍA S.A.U.,409265644,,76023,72467,76225,77145,78254,144
ESP03,CAMP DE FUTBOL,Electricitat dependències,kWh,ES0031446462572001VB0F,ENDESA ENERGÍA S.A.U.,409344580,,35490,38586,47597,53079,44921,145
EP37,FONT DE TARRÉS POL COROMINA SN,Electricitat Quadres d'enllumenat,kWh,ES0031446457733001FG0F,ENDESA ENERGÍA S.A.U.,409252497,,14368,14011,15202,14746,15011,146
ESP05,ROCÒDROM CAN TIBA,Electricitat dependències,kWh,ES0031448275675001ZQ0F,ENDESA ENERGÍA S.A.U.,413713195,,7324,6314,5713,3913,3248,147
EP38,MOSSEN AULET S/N,Electricitat Quadres d'enllumenat,kWh,ES0031446459001001YZ0F,ENDESA ENERGÍA S.A.U.,409266083,,42479,41990,42713,42993,37092,148
ESP06,PISCINA D'ESTIU,Electricitat dependències,kWh,ES0031446454011001DW0F,ENDESA ENERGÍA S.A.U.,409345051,,49764,55540,23371,955,21389,149
EP39,"C/ PLA DELS ESTUDIANTS 0, AP",Electricitat Quadres d'enllumenat,kWh,ES0031446458024001DP0F,ENDESA ENERGÍA S.A.U.,409253059,,27529,33256,36413,34750,35197,150
HAB01,PIS SOCIAL,Electricitat dependències,kWh,ES0031408193249029MT0F,ENDESA ENERGÍA S.A.U.,426100118,,0,1165,1368,1276,1108,151
EP40,PLA DELS ESTUDIANTS CANTONADA,Electricitat Quadres d'enllumenat,kWh,ES0031446458023001BC0F,ENDESA ENERGÍA S.A.U.,409266277,,31070,34023,41145,37203,33431,152
HAB01,PIS SOCIAL,Electricitat dependències,kWh,ES0031408193249030MR0F,ENDESA ENERGÍA S.A.U.,409233603,,313,2677,3384,3222,1675,153
EP41,FRANCESC PUGUET COST. ET 16259,Electricitat Quadres d'enllumenat,kWh,ES0031446455030001SX0F,ENDESA ENERGÍA S.A.U.,409332657,,44767,45033,41932,42731,43434,154
HAB01,PIS SOCIAL,Electricitat dependències,kWh,ES0031408193249003AC0F,ENDESA ENERGÍA S.A.U.,419046211,,0,1093,5927,7554,2495,155
EP42,ANDREU COSTA SN DARRERA ET 162,Electricitat Quadres d'enllumenat,kWh,ES0031446455055001KD0F,ENDESA ENERGÍA S.A.U.,409253689,,22574,18740,21970,24328,21581,156
HAB02,HABITATGE SOCIAL,Electricitat dependències,kWh,ES0031446453777001RG0F,ENDESA ENERGÍA S.A.U.,429991218,,0,0,141,1851,3496,157
EP43,AVDA. PUIGMAL-S/N COSTAT 40,Electricitat Quadres d'enllumenat,kWh,ES0031446454945001EH0F,ENDESA ENERGÍA S.A.U.,410317153,,54368,51675,52905,53661,53257,158
HAB02,HABITATGE SOCIAL,Electricitat dependències,kWh,ES0031446453779001LA0F,ENDESA ENERGÍA S.A.U.,429109485,,0,0,273,1437,1740,159
EP44,MAGI-S/N 25,Electricitat Quadres d'enllumenat,kWh,ES0031446456554001JF0F,ENDESA ENERGÍA S.A.U.,409334087,,53678,47751,42482,40942,45040,160
HAB02,HABITATGE SOCIAL,Electricitat dependències,kWh,ES0031446453778001KS0F,ENDESA ENERGÍA S.A.U.,409237041,,2612,1023,1053,1707,1591,161
