codi,Centre,Tipus_consum,consum,CUPS,Comercialitzadora,Pòlissa,Data_de_baixa,F2010,F2011,F2012,F2013,F2014,F2015,FID
REG40,BOCA DE REG C/PERICAS,Aigua,m3,,SOREA,4755796,08/06/2011,0,0,,,,,84
EQU05,ESCOMESA COMPORTES CAMP DE FUTBOL,Electricitat dependències,Kwh,ES0031408373739001WW0F,ENDESA ENERGÍA S.A.U.,82013610405,,1032,108,481,661,285,463,85
REG45,BOCA DE REG,Aigua,m3,,SOREA,4756662,08/06/2011,421,326,,,,,86
EQU07,TURBINES HIDRAULIQUES,Electricitat dependències,Kwh,ES0031408413499001VV0F,ENDESA ENERGÍA S.A.U.,82013611219,,,1912,0,138,2453,5058,87
REG46,BOCA DE REG PLAÇA PLA DELS ÀLBERS,Aigua,m3,,SOREA,4756782,08/06/2011,0,0,,,,,88
REG47,BOCA DE REG PLAÇA PLA DELS ÀLBERS,Aigua,m3,,SOREA,4756783,08/06/2011,23,0,,,,,89
EQU08,SANT JAUME,Electricitat dependències,Kwh,ES0031446462839001BG0F,ENDESA ENERGÍA S.A.U.,82013646402,,22641,23851,16327,18902,16859,19211,90
REG49,BOCA DE REG PL. PLA DELS ÀLBERS,Aigua,m3,,SOREA,4756908,08/06/2011,19,0,,,,,91
EQU09,CEMENTIRI,Electricitat dependències,Kwh,ES0031446460995001SY0F,ENDESA ENERGÍA S.A.U.,82013615901,,14309,1607,1611,2706,5149,1938,92
REG50,BOCA DE REG PL. PLA DELS ÀLBERS (2),Aigua,m3,,SOREA,4756925,08/06/2011,736,10,,,,,93
EQU10,FONT I ASCENSOR PLAÇA FRA BERNADÍ,Electricitat dependències,Kwh,ES0031408501445001YC0F,ENDESA ENERGÍA S.A.U.,82013700419,,,,2041,6013,8665,8415,94
ADM08,SERVEIS SOCIAL,Aigua,m3,,SOREA,4754805,07/06/2011,128,80,,,,,95
EQU11,CENTRE EL CANAL,Electricitat dependències,Kwh,ES0031446462915001AN0F,ENDESA ENERGÍA S.A.U.,82030397741,,,,,,54546,59166,96
ADM11,BIBLIOTECA MOSSEN BLANCAFORT,Aigua,m3,,SOREA,4751706,07/06/2011,26,10,,,,,97
EQU12,PÀRQUING SUBTERRANI PLAÇA FRA BERNADÍ,Electricitat dependències,Kwh,ES0031448467664001HN0F,ENDESA ENERGÍA S.A.U.,82034683361,,,,,,,0,98
ENT05,EMBARCADOR DEL TER,Aigua,m3,,SOREA,4755839,07/06/2011,351,20,,,,,99
EQU12,PÀRQUING SUBTERRANI PLAÇA FRA BERNADÍ,Electricitat dependències,Kwh,ES0031448408626001VE0F,ENDESA ENERGÍA S.A.U.,82034683429,,,,,,,13148,100
ESC02,ESCOLA GRÀCIA,Aigua,m3,,SOREA,4751729,07/06/2011,1259,75541,,,,,101
ESC01,ESCOLA PUIG-AGUT,Electricitat dependències,Kwh,ES0031446458586001HA0F,ENDESA ENERGÍA S.A.U.,82013720281,,74844,69174,70896,55896,63879,46934,102
ESP01,PAVELLÓ D'ESPORTS,Aigua,m3,,SOREA,4751712,07/06/2011,40426,939,,,,,103
ESC03,ESCOLA POMPEU FABRA,Electricitat dependències,Kwh,ES0031446454055001JA0F,ENDESA ENERGÍA S.A.U.,82013720558,,81731,75776,77946,70115,70675,61806,104
ESP03,CAMP DE FUTBOL,Aigua,m3,,SOREA,4755788,07/06/2011,5009,2866,,,,,105
