X,Y,OBJECTID,Data_incor,Mes,Expedient,Sexe,Edat,Municipi,Franja_eda,Barri
2.285257447021733,42.007417612907787,233,04/05/2015,maig,S,Dona,48,Manlleu,45 a 54 anys,Erm
2.285257447021733,42.007417612907787,234,04/05/2015,maig,S,Dona,49,Manlleu,45 a 54 anys,Erm
2.284636627170748,41.9957537720855,235,05/05/2015,maig,S,Dona,47,Manlleu,45 a 54 anys,Vista Alegre
2.279067203396399,42.004731733241947,236,04/05/2015,maig,S,Dona,55,Manlleu,55 a 64 anys,Vilamirosa
2.272945362689204,42.001253277311783,237,06/05/2015,maig,S,Home,49,Manlleu,45 a 54 anys,Gràcia
2.285257447021733,42.007417612907787,238,07/05/2015,maig,S,Home,45,Manlleu,45 a 54 anys,Erm
2.279067203396399,42.004731733241947,239,07/05/2015,maig,S,Home,34,Manlleu,25 a 34 anys,Vilamirosa
2.288249379291947,41.999993287439544,240,05/05/2015,maig,S,Dona,21,Manlleu,16 a 24 anys,Cavalleria
2.288249379291947,41.999993287439544,241,04/05/2015,maig,S,Home,56,Manlleu,55 a 64 anys,Cavalleria
2.272945362689204,42.001253277311783,242,11/05/2015,maig,S,Dona,49,Manlleu,45 a 54 anys,Gràcia
2.285257447021733,42.007417612907787,243,11/05/2015,maig,S,Dona,26,Manlleu,25 a 34 anys,Erm
2.279067203396399,42.004731733241947,244,07/05/2015,maig,S,Home,21,Manlleu,16 a 24 anys,Vilamirosa
2.279067203396399,42.004731733241947,245,05/05/2015,maig,S,Dona,46,Manlleu,45 a 54 anys,Vilamirosa
2.29735487280312,41.996745153904243,246,14/05/2015,maig,S,Dona,52,Manlleu,45 a 54 anys,disseminats
2.272945362689204,42.001253277311783,247,13/05/2015,maig,S,Dona,17,Manlleu,16 a 24 anys,Gràcia
2.285257447021733,42.007417612907787,248,14/05/2015,maig,S,Home,41,Manlleu,35 a 44 anys,Erm
2.283973794150638,42.001041486165164,249,18/05/2015,maig,S,Dona,44,Manlleu,35 a 44 anys,Dalt Vila
2.285257447021733,42.007417612907787,250,15/05/2015,maig,S,Home,24,Manlleu,16 a 24 anys,Erm
2.285257447021733,42.007417612907787,251,14/05/2015,maig,S,Home,44,Manlleu,35 a 44 anys,Erm
2.272945362689204,42.001253277311783,252,18/05/2015,maig,S,Dona,33,Manlleu,25 a 34 anys,Gràcia
2.288864333846581,42.003979788014355,253,18/05/2015,maig,S,Dona,57,Manlleu,55 a 64 anys,El Puig
2.283973794150638,42.001041486165164,254,20/05/2015,maig,S,Home,33,Manlleu,25 a 34 anys,Dalt Vila
2.285257447021733,42.007417612907787,255,21/05/2015,maig,S,Home,54,Manlleu,45 a 54 anys,Erm
2.279067203396399,42.004731733241947,256,27/05/2015,maig,S,Dona,30,Manlleu,25 a 34 anys,Vilamirosa
2.291805414789052,42.009255988666311,257,20/05/2015,maig,S,Dona,21,Manlleu,16 a 24 anys,La Coromina
2.282097921590838,42.002046867599432,258,01/06/2015,juny,S,Dona,47,Manlleu,45 a 54 anys,Nou
2.283973794150638,42.001041486165164,259,27/05/2015,maig,S,Home,60,Manlleu,55 a 64 anys,Dalt Vila
2.285257447021733,42.007417612907787,260,01/06/2015,juny,S,Home,32,Manlleu,25 a 34 anys,Erm
2.282097921590838,42.002046867599432,261,28/05/2015,maig,S,Home,59,Manlleu,55 a 64 anys,Nou
2.283686186496929,41.998779363903637,262,04/06/2015,juny,S,Home,58,Manlleu,55 a 64 anys,Baix Vila
2.291805414789052,42.009255988666311,263,03/06/2015,juny,S,Home,37,Manlleu,35 a 44 anys,La Coromina
2.285257447021733,42.007417612907787,264,08/06/2015,juny,S,Home,20,Manlleu,16 a 24 anys,Erm
2.285257447021733,42.007417612907787,265,05/06/2015,juny,S,Dona,19,Manlleu,16 a 24 anys,Erm
2.285257447021733,42.007417612907787,266,09/06/2015,juny,S,Home,49,Manlleu,45 a 54 anys,Erm
2.272945362689204,42.001253277311783,267,29/05/2015,maig,S,Home,33,Manlleu,25 a 34 anys,Gràcia
2.272945362689204,42.001253277311783,268,10/06/2015,juny,S,Home,47,Manlleu,45 a 54 anys,Gràcia
2.284636627170748,41.9957537720855,269,10/06/2015,juny,S,Home,17,Manlleu,16 a 24 anys,Vista Alegre
2.288249379291947,41.999993287439544,270,09/06/2015,juny,S,Home,18,Manlleu,16 a 24 anys,Cavalleria
2.279067203396399,42.004731733241947,271,11/06/2015,juny,S,Home,21,Manlleu,16 a 24 anys,Vilamirosa
2.29373360322073,42.001613054857437,272,12/06/2015,juny,S,Home,59,Manlleu,55 a 64 anys,La Salut
2.288249379291947,41.999993287439544,273,11/06/2015,juny,S,Dona,51,Manlleu,45 a 54 anys,Cavalleria
2.285257447021733,42.007417612907787,274,17/06/2015,juny,S,Dona,19,Manlleu,16 a 24 anys,Erm
2.29735487280312,41.996745153904243,275,15/06/2015,juny,S,Home,18,Manlleu,16 a 24 anys,disseminats
2.272945362689204,42.001253277311783,276,18/06/2015,juny,S,Home,18,Manlleu,16 a 24 anys,Gràcia
2.29373360322073,42.001613054857437,277,11/06/2015,juny,S,Dona,22,Manlleu,16 a 24 anys,La Salut
2.288249379291947,41.999993287439544,278,18/06/2015,juny,S,Dona,36,Manlleu,35 a 44 anys,Cavalleria
2.283686186496929,41.998779363903637,279,18/06/2015,juny,S,Dona,60,Manlleu,55 a 64 anys,Baix Vila
2.285257447021733,42.007417612907787,280,19/06/2015,juny,S,Dona,18,Manlleu,16 a 24 anys,Erm
2.285257447021733,42.007417612907787,281,22/06/2015,juny,S,Home,62,Manlleu,55 a 64 anys,Erm
2.285257447021733,42.007417612907787,282,18/06/2015,juny,S,Dona,25,Manlleu,25 a 34 anys,Erm
2.279067203396399,42.004731733241947,283,23/06/2015,juny,S,Dona,20,Manlleu,16 a 24 anys,Vilamirosa
2.288249379291947,41.999993287439544,284,25/06/2015,juny,S,Dona,37,Manlleu,35 a 44 anys,Cavalleria
2.285257447021733,42.007417612907787,285,29/06/2015,juny,S,Home,29,Manlleu,25 a 34 anys,Erm
