NOMBRE,CALLE,TIPO,NÚMERO ACCESOS
"PLAZA INSTITUTO","INSTITUTO","PLAZA","8"
"CALLE ACEBAL Y RATO","ACEBAL Y RATO","CALLE","8"
"CALLE ARRIETA","ARRIETA","CALLE","6"
"CALLE DIECISIETE DE AGOSTO","DIECISIETE DE AGOSTO","CALLE","5"
"CALLE COMPOSITOR FACUNDO DE LA VIÑA","COMPOSITOR FACUNDO DE LA VIÑA","CALLE","13"
"CALLE DECANO PRENDES PANDO","DECANO PRENDES PANDO","CALLE","23"
"CALLE SAN JUAN DE LA CRUZ","SAN JUAN DE LA CRUZ","CALLE","7"
"PLAZA PERIODISTA ARTURO ARIAS","PERIODISTA ARTURO ARIAS","PLAZA","14"
"CALLE BATERIA","BATERIA","CALLE","14"
"CALLE JOSE RAMON GONZALEZ-REGUERAL","JOSE RAMON GONZALEZ-REGUERAL","CALLE","1"
"CALLE DANIEL CERRA","DANIEL CERRA","CALLE","27"
"CALLE FUNDICION","FUNDICION","CALLE","14"
"CALLE PALACIO VALDES","PALACIO VALDES","CALLE","9"
"PLAZA MAYOR","MAYOR","PLAZA","9"
"CALLE ORIENTAL","ORIENTAL","CALLE","21"
"CALLE LANGREO","LANGREO","CALLE","14"
"CALLE ELADIO VERDE","ELADIO VERDE","CALLE","10"
"CALLE BAILEN","BAILEN","CALLE","7"
"CALLE GABRIELA MISTRAL","GABRIELA MISTRAL","CALLE","3"
"CALLE RIBADESELLA","RIBADESELLA","CALLE","11"
"CALLE LUANCO","LUANCO","CALLE","17"
"CALLE JULIO FERNANDEZ","JULIO FERNANDEZ","CALLE","6"
"CALLE FOCES DEL PINO","FOCES DEL PINO","CALLE","4"
"PLAZA INSTITUCION LIBRE DE ENSEÑANZA","INSTITUCION LIBRE DE ENSEÑANZA","PLAZA","7"
"CALLE BOGOTA","BOGOTA","CALLE","8"
"CALLE SAN MATIAS","SAN MATIAS","CALLE","23"
"CALLE BELGICA","BELGICA","CALLE","26"
"CALLE RENDUELES LLANOS","RENDUELES LLANOS","CALLE","7"
"CTRA OBISPO","OBISPO","CTRA","125"
"CALLE JAPON","JAPON","CALLE","19"
"CALLE PUERTO DE PAJARES","PUERTO DE PAJARES","CALLE","8"
"CALLE PUERTO DE CERREDO","PUERTO DE CERREDO","CALLE","12"
"CALLE SOLDADORES","SOLDADORES","CALLE","3"
"CALLE ADOLFO VEGA","ADOLFO VEGA","CALLE","12"
"CALLE BOLIVIA","BOLIVIA","CALLE","12"
"CALLE RIOJA","RIOJA","CALLE","48"
"AVDA GASPAR GARCIA LAVIANA","GASPAR GARCIA LAVIANA","AVDA","24"
"AVDA MANUEL SIRGO","MANUEL SIRGO","AVDA","21"
"GRUP MIL QUINIENTAS VIVIENDAS","MIL QUINIENTAS VIVIENDAS","GRUP","69"
"CALLE JOAQUIN SOLIS","JOAQUIN SOLIS","CALLE","27"
"CALLE RIO NERVION","RIO NERVION","CALLE","29"
"CALLE RIO NARCEA","RIO NARCEA","CALLE","30"
"CALLE SANTO DOMINGO","SANTO DOMINGO","CALLE","21"
"CALLE LEON XIII","LEON XIII","CALLE","34"
"CALLE MATEMATICO PEDRAYES","MATEMATICO PEDRAYES","CALLE","2"
"CALLE RAMON ARECES","RAMON ARECES","CALLE","33"
"CALLE ZORRILLA","ZORRILLA","CALLE","7"
"CALLE ROSA LUXEMBURGO","ROSA LUXEMBURGO","CALLE","16"
"AVDA JARDIN BOTANICO, DEL (SOMIO)","JARDIN BOTANICO, DEL (SOMIO)","AVDA","85"
"CALLE RIGOBERTA MENCHU","RIGOBERTA MENCHU","CALLE","4"
"CALLE PATIO N COMPORTEROS","PATIO N COMPORTEROS","CALLE","7"
"CALLE LUIS BUÑUEL","LUIS BUÑUEL","CALLE","16"
"CALLE C CARBONERAS","C CARBONERAS","CALLE","14"
"CALLE PATIO I EMBARCADORES","PATIO I EMBARCADORES","CALLE","4"
"CALLE Ñ CABALLISTAS","Ñ CABALLISTAS","CALLE","4"
"CALLE MUELLE DE ORIENTE","MUELLE DE ORIENTE","CALLE","4"
"GRUP ELOY YENES","ELOY YENES","GRUP","22"
"CALLE ANTONIO CABANILLES","ANTONIO CABANILLES","CALLE","31"
"CMNO HAYAS (SOMIO)","HAYAS (SOMIO)","CMNO","30"
"PLAZA JUAN ANGEL RUBIO BALLESTEROS","JUAN ANGEL RUBIO BALLESTEROS","PLAZA","4"
"CALLE PUERTO DE SOMIEDO","PUERTO DE SOMIEDO","CALLE","15"
"CALLE DOLORES IBARRURI","DOLORES IBARRURI","CALLE","21"
"CALLE AMERICA","AMERICA","CALLE","12"
"PLAZA CAMPINOS DE BEGOÑA","CAMPINOS DE BEGOÑA","PLAZA","2"
"CALLE ANTONIO MACHADO","ANTONIO MACHADO","CALLE","4"
"CMNO ROBLES (SOMIO)","ROBLES (SOMIO)","CMNO","35"
"CMNO CEREZOS (SOMIO)","CEREZOS (SOMIO)","CMNO","10"
"CALLE CIERVA","CIERVA","CALLE","4"
"CALLE ARZOBISPO VALDES","ARZOBISPO VALDES","CALLE","2"
"CALLE VELAZQUEZ","VELAZQUEZ","CALLE","39"
"CALLE PERIODISTA PACO IGNACIO TAIBO LAVILLA","PERIODISTA PACO IGNACIO TAIBO LAVILLA","CALLE","10"
"CALLE ANGHERA","ANGHERA","CALLE","4"
"CAMIN PONTICA (CABUEÑES)","PONTICA (CABUEÑES)","CAMIN","18"
"CALLE JOSE IGNACIO PRIETO ARRIZUBEITIA","JOSE IGNACIO PRIETO ARRIZUBEITIA","CALLE","4"
"CALLE MUROS DE GALICIA","MUROS DE GALICIA","CALLE","4"
"CALLE EDUARDO VARELA","EDUARDO VARELA","CALLE","3"
"CMNO PALMERAS (SOMIO)","PALMERAS (SOMIO)","CMNO","12"
"CMNO ACACIAS (SOMIO)","ACACIAS (SOMIO)","CMNO","14"
"CAMIN PILETA (CABUEÑES)","PILETA (CABUEÑES)","CAMIN","5"
"CAMIN TEYON (CABUEÑES)","TEYON (CABUEÑES)","CAMIN","14"
"CMNO NARDOS (SOMIO)","NARDOS (SOMIO)","CMNO","26"
"CMNO SAUCOS( SOMIO)","SAUCOS( SOMIO)","CMNO","8"
"CAMIN ACEBAL (CABUEÑES)","ACEBAL (CABUEÑES)","CAMIN","6"
"CMNO NOGALES (SOMIO)","NOGALES (SOMIO)","CMNO","16"
"CALLE DOCTOR JOSE MUÑIZ GONZALEZ","DOCTOR JOSE MUÑIZ GONZALEZ","CALLE","9"
"TRVA GUIA, DE LA (SOMIO)","GUIA, DE LA (SOMIO)","TRVA","7"
"TRVA ARENAS (SOMIO)","ARENAS (SOMIO)","TRVA","9"
"CALLE MURILLO","MURILLO","CALLE","1"
"CMNO PEONIAS (SOMIO)","PEONIAS (SOMIO)","CMNO","4"
"CMNO GERANIOS (SOMIO)","GERANIOS (SOMIO)","CMNO","17"
"CMNO AMAPOLAS (SOMIO)","AMAPOLAS (SOMIO)","CMNO","5"
"CMNO ABLANO (SOMIO)","ABLANO (SOMIO)","CMNO","5"
"CMNO CASCAYAL (SOMIO)","CASCAYAL (SOMIO)","CMNO","12"
"CAMIN RASA (CABUEÑES)","RASA (CABUEÑES)","CAMIN","6"
"CAMIN FELECHALES (CABUEÑES)","FELECHALES (CABUEÑES)","CAMIN","21"
"TRVA LLOREU, DEL (CABUEÑES)","LLOREU, DEL (CABUEÑES)","TRVA","4"
"CMNO SECUOYAS (SOMIO)","SECUOYAS (SOMIO)","CMNO","1"
"CALLE CAMINO DEL FUERTE","CAMINO DEL FUERTE","CALLE","3"
"CAMIN CRUCE (CABUEÑES)","CRUCE (CABUEÑES)","CAMIN","5"
"CAMIN PASADIELLA, DE LA","PASADIELLA, DE LA","CAMIN","8"
"CAMIN SUARIA, DE LA (LAVANDERA)","SUARIA, DE LA (LAVANDERA)","CAMIN","14"
"CALLE PIERRE SIMON LAPLACE","PIERRE SIMON LAPLACE","CALLE","6"
"CAMIN XACONA, DE LA (PORCEYO)","XACONA, DE LA (PORCEYO)","CAMIN","23"
"CALLE LUIS INFIESTA CASTRO","LUIS INFIESTA CASTRO","CALLE","7"
"CAMIN FUENTE (CABUEÑES)","FUENTE (CABUEÑES)","CAMIN","1"
"CALLE LAS ESCUELAS (ARNAO)","LAS ESCUELAS (ARNAO)","CALLE","15"
"TRVA LA CAMPA 3 (ARNAO)","LA CAMPA 3 (ARNAO)","TRVA","4"
"TRVA ARCES 1 (SOMIO)","ARCES 1 (SOMIO)","TRVA","1"
"CALLE CONCEJO DE LENA","CONCEJO DE LENA","CALLE","4"
"CALLE JUAN DE LA COSA","JUAN DE LA COSA","CALLE","11"
"CAMIN CASA LENCIA, DE (JOVE)","CASA LENCIA, DE (JOVE)","CAMIN","13"
"CAMIN TATE, DEL (JOVE)","TATE, DEL (JOVE)","CAMIN","23"
"CAMIN MONTE DE LAS CABAÑAS, DEL (JOVE)","MONTE DE LAS CABAÑAS, DEL (JOVE)","CAMIN","21"
"CMNO ESTAÑO (SOMIO)","ESTAÑO (SOMIO)","CMNO","10"
"CMNO PLAYA DE ESTAÑO","PLAYA DE ESTAÑO","CMNO","8"
"CAMIN SERIN (SOMIO)","SERIN (SOMIO)","CAMIN","9"
"CAMIN NISAL, DE LA  (BERNUECES)","NISAL, DE LA  (BERNUECES)","CAMIN","35"
"CAMIN CABALERO, DEL","CABALERO, DEL","CAMIN","15"
"CTRA ARROES, DE (DEVA)","ARROES, DE (DEVA)","CTRA","4"
"CAMIN SAN MIGUEL, DE (BERNUECES)","SAN MIGUEL, DE (BERNUECES)","CAMIN","43"
"CALLE ARQUITECTO MARIANO MARIN MAGALLAN","ARQUITECTO MARIANO MARIN MAGALLAN","CALLE","5"
"PLAZA CAMPOMANES, DE","CAMPOMANES, DE","PLAZA","4"
"CAMIN FUENTE DE LOS CANALES, DE LA (SANTURIO)","FUENTE DE LOS CANALES, DE LA (SANTURIO)","CAMIN","19"
"CAMIN CUESTONA, DE LA  (BERNUECES)","CUESTONA, DE LA  (BERNUECES)","CAMIN","40"
"CAMIN ARMERIA DE ABAJO, DE LA (DEVA)","ARMERIA DE ABAJO, DE LA (DEVA)","CAMIN","11"
"CALLE ESMERALDA MASEDA","ESMERALDA MASEDA","CALLE","10"
"CALLE PINTORA CONCHA MORI","PINTORA CONCHA MORI","CALLE","17"
"CALLE PITAGORAS","PITAGORAS","CALLE","8"
"CAMIN CERRON, DEL  (BERNUECES)","CERRON, DEL  (BERNUECES)","CAMIN","11"
"CAMIN PRAON, EL  (BERNUECES)","PRAON, EL  (BERNUECES)","CAMIN","9"
"CAMIN SIERRA, DE LA","SIERRA, DE LA","CAMIN","40"
"CAMIN CUESTA DE MARCELO, DE (DEVA)","CUESTA DE MARCELO, DE (DEVA)","CAMIN","1"
"CAMIN RIONDA, DE LA (DEVA)","RIONDA, DE LA (DEVA)","CAMIN","7"
"CAMIN ZARRACINA, DE","ZARRACINA, DE","CAMIN","2"
"AVDA LLOREDA","LLOREDA","AVDA","12"
"CAMIN CASTAÑEU, DEL (JOVE-VERIÑA)","CASTAÑEU, DEL (JOVE-VERIÑA)","CAMIN","5"
"CAMIN QUINTINA, DE LA (SANTURIO)","QUINTINA, DE LA (SANTURIO)","CAMIN","9"
"CALLE FARENHEIT","FARENHEIT","CALLE","9"
"CAMIN ESTAQUERA, DE LA (DEVA)","ESTAQUERA, DE LA (DEVA)","CAMIN","18"
"CALLE RENE DESCARTES","RENE DESCARTES","CALLE","6"
"CALLE TEANO","TEANO","CALLE","10"
"AVDA MAR CANTABRICO","MAR CANTABRICO","AVDA","22"
"CAMIN CASA DE LOS LONJOS, DE (DEVA)","CASA DE LOS LONJOS, DE (DEVA)","CAMIN","3"
"CAMIN CANDASINA, DE LA (JOVE)","CANDASINA, DE LA (JOVE)","CAMIN","14"
"CALLE JULIO VERNE","JULIO VERNE","CALLE","9"
"PLAZA CURULLU, DEL (BERNUECES)","CURULLU, DEL (BERNUECES)","PLAZA","5"
"CAMIN CHUPALIN, DEL (DEVA)","CHUPALIN, DEL (DEVA)","CAMIN","5"
"TRVA QUINTUELES (SOMIO)","QUINTUELES (SOMIO)","TRVA","4"
"CAMIN PACHES, DE LES (DEVA)","PACHES, DE LES (DEVA)","CAMIN","2"
"CAMIN CALDONES A LOS POZOS DE LA ARENA ","CALDONES A LOS POZOS DE LA ARENA ","CAMIN","4"
"CAMIN PERAL, DE LA","PERAL, DE LA","CAMIN","15"
"CAMIN GAMONALES, DE LOS (CALDONES)","GAMONALES, DE LOS (CALDONES)","CAMIN","3"
"CALLE MARIA DE LAS ALAS PUMARIÑO","MARIA DE LAS ALAS PUMARIÑO","CALLE","20"
"CLYON PORTILLONA, DE LA (CALDONES)","PORTILLONA, DE LA (CALDONES)","CLYON","10"
"CAMIN CARBONERO, DE","CARBONERO, DE","CAMIN","35"
"CAMIN MANIN, DE (LAVANDERA)","MANIN, DE (LAVANDERA)","CAMIN","9"
"CAMIN LLOMBA, DE LA (CALDONES)","LLOMBA, DE LA (CALDONES)","CAMIN","39"
"CAMIN CAMINON, DEL (CALDONES)","CAMINON, DEL (CALDONES)","CAMIN","13"
"CAMIN MONTE 2, DEL (CALDONES)","MONTE 2, DEL (CALDONES)","CAMIN","3"
"CAMIN PICU'L SOL, DEL (LAVANDERA)","PICU'L SOL, DEL (LAVANDERA)","CAMIN","4"
"CAMIN RIU, DEL (LAVANDERA)","RIU, DEL (LAVANDERA)","CAMIN","4"
"CAMIN FONTE SANTA, DE LA (CALDONES)","FONTE SANTA, DE LA (CALDONES)","CAMIN","13"
"CAMIN TERCIES, DE LES (LAVANDERA)","TERCIES, DE LES (LAVANDERA)","CAMIN","7"
"CAMIN PEÑONES, DE LOS (LAVANDERA)","PEÑONES, DE LOS (LAVANDERA)","CAMIN","5"
"CAMIN CLARISAS, DE LAS","CLARISAS, DE LAS","CAMIN","1"
"CALLE ESTHER SASTRE","ESTHER SASTRE","CALLE","4"
"CAMIN FONTICAS, DE LAS (LAVANDERA)","FONTICAS, DE LAS (LAVANDERA)","CAMIN","12"
"CAMIN LLOSES, DE LES (CALDONES)","LLOSES, DE LES (CALDONES)","CAMIN","8"
"CAMIN TUNEL, DEL (LAVANDERA)","TUNEL, DEL (LAVANDERA)","CAMIN","3"
"CAMIN CAMPONA, DE LA (LAVANDERA)","CAMPONA, DE LA (LAVANDERA)","CAMIN","4"
"CAMIN PIQUEROS, LOS (LAVANDERA)","PIQUEROS, LOS (LAVANDERA)","CAMIN","6"
"CAMIN PIPA, DE LA (LAVANDERA)","PIPA, DE LA (LAVANDERA)","CAMIN","6"
"CAMIN FONTE DE LA PINGA","FONTE DE LA PINGA","CAMIN","1"
"CAMIN REVUELTA, DE LA (CALDONES)","REVUELTA, DE LA (CALDONES)","CAMIN","6"
"CAMIN IRIES, DE LES (CALDONES)","IRIES, DE LES (CALDONES)","CAMIN","10"
"CALLE CONCEJO DE GRANDAS DE SALIME","CONCEJO DE GRANDAS DE SALIME","CALLE","6"
"CALLE MANUEL HEVIA CARRILES","MANUEL HEVIA CARRILES","CALLE","9"
"CALLE RONDA","RONDA","CALLE","3"
"CAMIN CRUCES, DE LAS (FANO)","CRUCES, DE LAS (FANO)","CAMIN","28"
"CLEYA CAMPINOS, DE LOS (FANO)","CAMPINOS, DE LOS (FANO)","CLEYA","1"
"CAMIN ESCUELA, DE LA (FANO)","ESCUELA, DE LA (FANO)","CAMIN","5"
"CLEYA MONTE, DEL (FANO)","MONTE, DEL (FANO)","CLEYA","1"
"CAMIN FUENTE DE MAROTO, DE LA (GRANDA)","FUENTE DE MAROTO, DE LA (GRANDA)","CAMIN","3"
"CAMIN VILLAR, DE","VILLAR, DE","CAMIN","13"
"CALLE NICOLAS REDONDO URBIETA","NICOLAS REDONDO URBIETA","CALLE","6"
"CAMIN BARCO, DEL (VALDORNON)","BARCO, DEL (VALDORNON)","CAMIN","19"
"CAMIN BARREDO, DE (VALDORNON)","BARREDO, DE (VALDORNON)","CAMIN","6"
"CAMIN BARRUDIN, DEL (VALDORNON)","BARRUDIN, DEL (VALDORNON)","CAMIN","6"
"CAMIN PEON, DE (VALDORNON)","PEON, DE (VALDORNON)","CAMIN","8"
"CAMIN CASTAÑEU, DEL (VALDORNON)","CASTAÑEU, DEL (VALDORNON)","CAMIN","6"
"CAMIN TREBORIA, DE (VALDORNON)","TREBORIA, DE (VALDORNON)","CAMIN","13"
"CAMIN TARNA, DE (VALDORNON)","TARNA, DE (VALDORNON)","CAMIN","20"
"CAMIN PODA, DE LA (VALDORNON)","PODA, DE LA (VALDORNON)","CAMIN","2"
"CALLE MARIA DOLORES MUÑIZ JUNQUERA","MARIA DOLORES MUÑIZ JUNQUERA","CALLE","1"
"CAMIN CUESTA, DE LA (GÜERCES)","CUESTA, DE LA (GÜERCES)","CAMIN","1"
"CLEYA FAYONA, DE LA (GÜERCES)","FAYONA, DE LA (GÜERCES)","CLEYA","6"
"CAMIN BURULLINOS, DE LOS (LEORIO)","BURULLINOS, DE LOS (LEORIO)","CAMIN","13"
"CAMIN CANDELERA, DE LA (LEORIO)","CANDELERA, DE LA (LEORIO)","CAMIN","16"
"CAMIN MONTE, DEL (VERIÑA)","MONTE, DEL (VERIÑA)","CAMIN","7"
"CLEYA MONTE, DEL (VERIÑA)","MONTE, DEL (VERIÑA)","CLEYA","2"
"CAMIN LEORIO, DE","LEORIO, DE","CAMIN","43"
"CAMIN FONTANERU, DEL (GÜERCES)","FONTANERU, DEL (GÜERCES)","CAMIN","5"
"CAMIN FUENTE, DE LA (GÜERCES)","FUENTE, DE LA (GÜERCES)","CAMIN","1"
"CAMIN GUINDALES, DE LOS","GUINDALES, DE LOS","CAMIN","27"
"CAMIN COTARIELLA, DE LA","COTARIELLA, DE LA","CAMIN","10"
"CALLE TECNOLOGIA, DE LA","TECNOLOGIA, DE LA","CALLE","32"
"CAMIN PANICERES, DE (VEGA)","PANICERES, DE (VEGA)","CAMIN","39"
"CAMIN CASA CLAUDIO, DE (PUAO)","CASA CLAUDIO, DE (PUAO)","CAMIN","1"
"CAMIN CIERRU, DEL (PUAO)","CIERRU, DEL (PUAO)","CAMIN","1"
"CAMIN IGLESIA, DE LA (PUAO)","IGLESIA, DE LA (PUAO)","CAMIN","6"
"CAMIN PONDAL, DEL (GRANDA)","PONDAL, DEL (GRANDA)","CAMIN","16"
"CAMIN RIO TURIELLOS, DEL (LEORIO)","RIO TURIELLOS, DEL (LEORIO)","CAMIN","5"
"CLEYA VEGA, DE (LEORIO)","VEGA, DE (LEORIO)","CLEYA","2"
"CALLE PUMARA, LA","PUMARA, LA","CALLE","8"
"CAMIN XACOTU, DEL (GÜERCES)","XACOTU, DEL (GÜERCES)","CAMIN","25"
"CAMIN VEGA A CASTIELLO (VEGA)","VEGA A CASTIELLO (VEGA)","CAMIN","7"
"CAMIN LLOREDA A LA PICOTA, DE (TREMAÑES)","LLOREDA A LA PICOTA, DE (TREMAÑES)","CAMIN","27"
"CAMIN CERVANTES, DE","CERVANTES, DE","CAMIN","11"
"CAMIN PEBIDAL, DEL (GÜERCES)","PEBIDAL, DEL (GÜERCES)","CAMIN","5"
"CLEYA CANTU, DEL (VERIÑA)","CANTU, DEL (VERIÑA)","CLEYA","7"
"CAMIN CEMENTERIU, DEL (JOVE)","CEMENTERIU, DEL (JOVE)","CAMIN","27"
"CAMIN AROLES, DE (VEGA)","AROLES, DE (VEGA)","CAMIN","23"
"CAMIN BELGA, DE LA (VEGA)","BELGA, DE LA (VEGA)","CAMIN","6"
"CAMIN ESTACION, DE LA (VERIÑA)","ESTACION, DE LA (VERIÑA)","CAMIN","29"
"CAMIN CAMARRANES, DE (VEGA)","CAMARRANES, DE (VEGA)","CAMIN","10"
"CAMIN GRANXA, DE LA (VEGA)","GRANXA, DE LA (VEGA)","CAMIN","3"
"CAMIN MATONA, DE LA (PORCEYO)","MATONA, DE LA (PORCEYO)","CAMIN","7"
"CAMIN FANA A TREMAÑES, DE LA (ROCES)","FANA A TREMAÑES, DE LA (ROCES)","CAMIN","7"
"CAMIN POZOS, DE LOS (PORCEYO)","POZOS, DE LOS (PORCEYO)","CAMIN","4"
"CAMIN PRESAS, DE LAS (PORCEYO)","PRESAS, DE LAS (PORCEYO)","CAMIN","9"
"TRVA CANALES, DE LES (PORCEYO)","CANALES, DE LES (PORCEYO)","TRVA","2"
"CAMIN CUESTA'L VALLIN, DE LA (PORCEYO)","CUESTA'L VALLIN, DE LA (PORCEYO)","CAMIN","4"
"CAMIN LIBELULAS, DE LAS (PORCEYO)","LIBELULAS, DE LAS (PORCEYO)","CAMIN","1"
"CAMIN LIN DE MARUCA, DE (PORCEYO)","LIN DE MARUCA, DE (PORCEYO)","CAMIN","4"
"CAMIN ORIELLES, DE LES (PORCEYO)","ORIELLES, DE LES (PORCEYO)","CAMIN","3"
"CAMIN PASARELA, DE LA (PORCEYO)","PASARELA, DE LA (PORCEYO)","CAMIN","2"
"CAMIN ROTELLA, DE LA (PORCEYO)","ROTELLA, DE LA (PORCEYO)","CAMIN","5"
"CAMIN CEMENTERIO, DEL (TREMAÑES)","CEMENTERIO, DEL (TREMAÑES)","CAMIN","22"
"CAMIN CALEYON, DEL (TREMAÑES)","CALEYON, DEL (TREMAÑES)","CAMIN","6"
"CAMIN MARRUCA A LA PERDIZ","MARRUCA A LA PERDIZ","CAMIN","6"
"CAMIN SALERU, DEL (ROCES)","SALERU, DEL (ROCES)","CAMIN","1"
"CAMIN SANTA MARIA, DE (ROCES)","SANTA MARIA, DE (ROCES)","CAMIN","6"
"CALLE PROFESOR POTTER (PADRE DE LA BIOETICA)","PROFESOR POTTER (PADRE DE LA BIOETICA)","CALLE","8"
"CAMIN CAMPINOS, DE LOS (PORCEYO)","CAMPINOS, DE LOS (PORCEYO)","CAMIN","10"
"CAMIN CASARES, DE (PORCEYO)","CASARES, DE (PORCEYO)","CAMIN","7"
"CAMIN CUESTU, DEL (CABUEÑES)","CUESTU, DEL (CABUEÑES)","CAMIN","2"
"CAMIN MORAN, DE (TREMAÑES)","MORAN, DE (TREMAÑES)","CAMIN","12"
"CAMIN PRAU, DEL (ROCES)","PRAU, DEL (ROCES)","CAMIN","2"
"AVDA PECUARIA, DE LA","PECUARIA, DE LA","AVDA","1"
"CALLE ARQUITECTO MIGUEL DIAZ Y NEGRETE","ARQUITECTO MIGUEL DIAZ Y NEGRETE","CALLE","1"
"CALLE PLAYA","PLAYA","CALLE","19"
"CALLE MENENDEZ PELAYO","MENENDEZ PELAYO","CALLE","23"
"CALLE EZCURDIA","EZCURDIA","CALLE","146"
"CALLE CANGA ARGUELLES","CANGA ARGUELLES","CALLE","27"
"CALLE PINZON","PINZON","CALLE","19"
"CALLE ANSELMO CIFUENTES","ANSELMO CIFUENTES","CALLE","10"
"CALLE MARQUES DE URQUIJO","MARQUES DE URQUIJO","CALLE","29"
"CALLE NUESTRA SEÑORA DE LAS MERCEDES","NUESTRA SEÑORA DE LAS MERCEDES","CALLE","11"
"CALLE RAMON GONZALEZ FERNANDEZ","RAMON GONZALEZ FERNANDEZ","CALLE","5"
"CALLE ATENEO OBRERO DE LA CALZADA","ATENEO OBRERO DE LA CALZADA","CALLE","9"
"CALLE ELADIO CARREÑO","ELADIO CARREÑO","CALLE","13"
"CALLE JUAN ALONSO","JUAN ALONSO","CALLE","15"
"CALLE EVARISTO VALLE","EVARISTO VALLE","CALLE","7"
"CALLE ALARCON","ALARCON","CALLE","50"
"CALLE SAN ANTONIO","SAN ANTONIO","CALLE","18"
"CALLE MERCED LA","MERCED LA","CALLE","42"
"CALLE FELIPE V","FELIPE V","CALLE","10"
"CALLE GENERAL SUAREZ VALDES","GENERAL SUAREZ VALDES","CALLE","34"
"CALLE CARLOS PRIETO","CARLOS PRIETO","CALLE","9"
"CALLE LINARES RIVAS","LINARES RIVAS","CALLE","19"
"PLAZA MONTE DE PIEDAD","MONTE DE PIEDAD","PLAZA","1"
"CALLE SANTA ROSA","SANTA ROSA","CALLE","10"
"CALLE PINTOR CARREÑO MIRANDA","PINTOR CARREÑO MIRANDA","CALLE","9"
"CALLE RODRIGUEZ SAN PEDRO","RODRIGUEZ SAN PEDRO","CALLE","28"
"CALLE PEÑALBA","PEÑALBA","CALLE","33"
"CALLE FERNANDO EL SANTO","FERNANDO EL SANTO","CALLE","28"
"PLAZA ARQUITECTO MANUEL DEL BUSTO","ARQUITECTO MANUEL DEL BUSTO","PLAZA","1"
"CALLE ORBON","ORBON","CALLE","12"
"CALLE CEAN BERMUDEZ","CEAN BERMUDEZ","CALLE","50"
"CALLE ZUMALACARREGUI","ZUMALACARREGUI","CALLE","33"
"CALLE ARCIPRESTE DE HITA","ARCIPRESTE DE HITA","CALLE","15"
"CALLE SANTA TERESA DE JESUS","SANTA TERESA DE JESUS","CALLE","13"
"CALLE ASTURIAS","ASTURIAS","CALLE","17"
"CALLE RECOLETAS","RECOLETAS","CALLE","8"
"CALLE MOSTOLES","MOSTOLES","CALLE","29"
"CALLE CARLOS BERTRAND","CARLOS BERTRAND","CALLE","2"
"CALLE HONESTO BATALON","HONESTO BATALON","CALLE","24"
"CALLE VICARIA","VICARIA","CALLE","27"
"CALLE INDEPENDENCIA","INDEPENDENCIA","CALLE","18"
"CALLE FOCES DEL RIO ALLER","FOCES DEL RIO ALLER","CALLE","6"
"CALLE ALVARO DE ALBORNOZ","ALVARO DE ALBORNOZ","CALLE","35"
"CALLE SANTA INES","SANTA INES","CALLE","7"
"CALLE NOREÑA","NOREÑA","CALLE","3"
"CALLE AVILES","AVILES","CALLE","28"
"CALLE BENDICION","BENDICION","CALLE","10"
"CALLE DUQUE DE RIVAS","DUQUE DE RIVAS","CALLE","14"
"CALLE RIO DE ORO","RIO DE ORO","CALLE","42"
"CALLE PEREZ DE AYALA","PEREZ DE AYALA","CALLE","35"
"CALLE LLARANES","LLARANES","CALLE","8"
"CALLE SANTA MARIA","SANTA MARIA","CALLE","27"
"CALLE ENRIQUETA CEÑAL","ENRIQUETA CEÑAL","CALLE","9"
"CALLE VALENCIA","VALENCIA","CALLE","22"
"CALLE MARCELINO GONZALEZ","MARCELINO GONZALEZ","CALLE","37"
"CALLE ALONSO DE OJEDA","ALONSO DE OJEDA","CALLE","25"
"CALLE ZOILA","ZOILA","CALLE","32"
"CALLE LARRA","LARRA","CALLE","13"
"CALLE NIÑO JESUS","NIÑO JESUS","CALLE","16"
"CALLE BOBES","BOBES","CALLE","9"
"CALLE FRANCISCO FERRER Y GUARDIA","FRANCISCO FERRER Y GUARDIA","CALLE","7"
"CALLE PANES","PANES","CALLE","14"
"CALLE FRANCISCO DE PAULA JOVELLANOS","FRANCISCO DE PAULA JOVELLANOS","CALLE","33"
"CALLE RIO SIL","RIO SIL","CALLE","12"
"CALLE ANGELES LOS","ANGELES LOS","CALLE","33"
"CALLE RIO CARES","RIO CARES","CALLE","21"
"CALLE ALCARRIA","ALCARRIA","CALLE","8"
"CALLE NAVA","NAVA","CALLE","12"
"CALLE FERMIN CANELLA","FERMIN CANELLA","CALLE","11"
"CALLE PIO BAROJA","PIO BAROJA","CALLE","7"
"CALLE CORIN TELLADO","CORIN TELLADO","CALLE","29"
"CALLE MARIE CURIE","MARIE CURIE","CALLE","61"
"CMNO ARBEYAL DEL","ARBEYAL DEL","CMNO","9"
"CALLE J VAGONEROS","J VAGONEROS","CALLE","10"
"CALLE TINA MODOTTI","TINA MODOTTI","CALLE","17"
"CMNO MALVAS (SOMIO)","MALVAS (SOMIO)","CMNO","18"
"CALLE ASTURES LOS","ASTURES LOS","CALLE","8"
"CMNO MAGNOLIAS (SOMIO)","MAGNOLIAS (SOMIO)","CMNO","47"
"GRUP VIESQUES","VIESQUES","GRUP","6"
"CALLE B BARRENISTAS","B BARRENISTAS","CALLE","4"
