"AÑO","TITULO","FECHA_ELECCIONES","DISTRITO","SECCION","MESA","PARTIDO","NUM_VOTOS","PORCENTAJE"
1983,"Elecciones Autonómicas","08-MAY-83",1,28,"U","AP",217,
1983,"Elecciones Autonómicas","08-MAY-83",1,28,"U","PCE",56,
1983,"Elecciones Autonómicas","08-MAY-83",1,28,"U","CDS",30,
1983,"Elecciones Autonómicas","08-MAY-83",1,29,"U","Electores",1004,100
1983,"Elecciones Autonómicas","08-MAY-83",1,29,"U","Abstenciones",,
1983,"Elecciones Autonómicas","08-MAY-83",1,29,"U","Votantes",,
1983,"Elecciones Autonómicas","08-MAY-83",1,29,"U","Blancos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,29,"U","Validos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,29,"U","Nulos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,29,"U","PSOE",334,
1983,"Elecciones Autonómicas","08-MAY-83",1,29,"U","AP",248,
1983,"Elecciones Autonómicas","08-MAY-83",1,29,"U","PCE",50,
