DISTRITO,SECCION,MESA,OPCION,VOTOS
01,008,A,EU,0
01,008,A,FA,0
01,008,A,FEJ,0
01,008,A,FN,0
01,008,A,IARV,1
01,008,A,IF,0
01,008,A,IILSEP,0
01,008,A,IUCMLI,24
01,008,A,LCE,1
01,008,A,LV,0
01,008,A,LVGVE,5
01,008,A,MSR,0
01,008,A,PACMA,0
01,008,A,PCPE,1
01,008,A,PFV,0
01,008,A,PH,1
01,008,A,PMMJ,2
01,008,A,POSI,0
01,008,A,PP,122
01,008,A,PRC,0
01,008,A,PSA,0
01,008,A,PSOE,129
01,008,A,SAI,0
01,008,A,SZL,0
01,008,A,UCE,0
01,008,A,UCL,0
01,008,A,UNA,0
01,008,A,UPYD,28
01,008,A,UV,0
01,008,B,AA,0
01,008,B,AE,0
01,008,B,BL,11
01,008,B,CDL,0
01,008,B,CDS,0
01,008,B,CPE,1
01,008,B,DN,0
01,008,B,EU,0
01,008,B,FA,0
01,008,B,FEJ,0
01,008,B,FN,1
01,008,B,IARV,1
01,008,B,IF,0
01,008,B,IILSEP,0
01,008,B,IUCMLI,33
01,008,B,LCE,0
01,008,B,LV,1
01,008,B,LVGVE,4
01,008,B,MSR,0
01,008,B,PACMA,0
01,008,B,PCPE,0
01,008,B,PFV,0
01,008,B,PH,0
01,008,B,PMMJ,0
01,008,B,POSI,0
01,008,B,PP,168
01,008,B,PRC,0
01,008,B,PSA,0
01,008,B,PSOE,132
01,008,B,SAI,0
01,008,B,SZL,0
01,008,B,UCE,0
01,008,B,UCL,0
01,008,B,UNA,0
01,008,B,UPYD,33
01,008,B,UV,0
01,008,C,AA,0
01,008,C,AE,1
01,008,C,BL,6
01,008,C,CDL,0
01,008,C,CDS,1
01,008,C,CPE,0
01,008,C,DN,0
01,008,C,EU,0
01,008,C,FA,0
01,008,C,FEJ,0
01,008,C,FN,0
01,008,C,IARV,1
01,008,C,IF,0
01,008,C,IILSEP,0
01,008,C,IUCMLI,36
01,008,C,LCE,0
01,008,C,LV,4
01,008,C,LVGVE,1
01,008,C,MSR,0
01,008,C,PACMA,0
01,008,C,PCPE,0
01,008,C,PFV,0
01,008,C,PH,0
01,008,C,PMMJ,1
01,008,C,POSI,0
01,008,C,PP,116
01,008,C,PRC,0
01,008,C,PSA,0
01,008,C,PSOE,118
01,008,C,SAI,0
01,008,C,SZL,0
01,008,C,UCE,0
01,008,C,UCL,0
01,008,C,UNA,0
01,008,C,UPYD,33
01,008,C,UV,0
01,009,A,AA,0
01,009,A,AE,1
01,009,A,BL,3
01,009,A,CDL,0
01,009,A,CDS,1
01,009,A,CPE,0
01,009,A,DN,0
01,009,A,EU,0
01,009,A,FA,0
01,009,A,FEJ,1
01,009,A,FN,1
01,009,A,IARV,2
01,009,A,IF,0
01,009,A,IILSEP,0
01,009,A,IUCMLI,37
01,009,A,LCE,0
01,009,A,LV,0
01,009,A,LVGVE,4
01,009,A,MSR,0
01,009,A,PACMA,0
01,009,A,PCPE,0
01,009,A,PFV,0
01,009,A,PH,0
01,009,A,PMMJ,1
01,009,A,POSI,0
01,009,A,PP,90
01,009,A,PRC,0
01,009,A,PSA,0
01,009,A,PSOE,119
01,009,A,SAI,1
01,009,A,SZL,0
01,009,A,UCE,0
01,009,A,UCL,0
01,009,A,UNA,0
01,009,A,UPYD,20
01,009,A,UV,0
01,009,B,AA,0
01,009,B,AE,0
01,009,B,BL,0
01,009,B,CDL,0
01,009,B,CDS,0
01,009,B,CPE,0
01,009,B,DN,0
01,009,B,EU,0
01,009,B,FA,0
01,009,B,FEJ,0
01,009,B,FN,1
01,009,B,IARV,3
01,009,B,IF,0
01,009,B,IILSEP,0
01,009,B,IUCMLI,30
01,009,B,LCE,0
01,009,B,LV,1
01,009,B,LVGVE,2
01,009,B,MSR,0
01,009,B,PACMA,1
01,009,B,PCPE,1
01,009,B,PFV,0
01,009,B,PH,0
01,009,B,PMMJ,0
01,009,B,POSI,0
01,009,B,PP,96
01,009,B,PRC,0
01,009,B,PSA,0
01,009,B,PSOE,145
01,009,B,SAI,1
01,009,B,SZL,0
01,009,B,UCE,0
01,009,B,UCL,0
01,009,B,UNA,0
01,009,B,UPYD,17
01,009,B,UV,0
01,010,A,AA,0
01,010,A,AE,0
01,010,A,BL,22
01,010,A,CDL,0
01,010,A,CDS,0
01,010,A,CPE,0
01,010,A,DN,0
01,010,A,EU,0
01,010,A,FA,0
01,010,A,FEJ,0
01,010,A,FN,0
01,010,A,IARV,0
01,010,A,IF,0
01,010,A,IILSEP,0
01,010,A,IUCMLI,47
01,010,A,LCE,0
01,010,A,LV,0
01,010,A,LVGVE,0
01,010,A,MSR,0
01,010,A,PACMA,0
01,010,A,PCPE,0
01,010,A,PFV,0
01,010,A,PH,0
01,010,A,PMMJ,0
01,010,A,POSI,0
01,010,A,PP,41
01,010,A,PRC,0
01,010,A,PSA,0
01,010,A,PSOE,161
01,010,A,SAI,0
01,010,A,SZL,0
01,010,A,UCE,0
01,010,A,UCL,0
01,010,A,UNA,0
01,010,A,UPYD,17
01,010,A,UV,0
01,010,B,AA,0
01,010,B,AE,0
01,010,B,BL,6
01,010,B,CDL,0
01,010,B,CDS,1
01,010,B,CPE,0
01,010,B,DN,0
01,010,B,EU,0
01,010,B,FA,0
01,010,B,FEJ,0
01,010,B,FN,0
01,010,B,IARV,13
01,010,B,IF,1
01,010,B,IILSEP,4
01,010,B,IUCMLI,69
01,010,B,LCE,0
01,010,B,LV,3
01,010,B,LVGVE,5
01,010,B,MSR,0
01,010,B,PACMA,5
01,010,B,PCPE,0
01,010,B,PFV,0
01,010,B,PH,0
01,010,B,PMMJ,1
01,010,B,POSI,0
01,010,B,PP,48
01,010,B,PRC,0
01,010,B,PSA,0
01,010,B,PSOE,162
01,010,B,SAI,1
01,010,B,SZL,0
01,010,B,UCE,0
01,010,B,UCL,0
01,010,B,UNA,0
01,010,B,UPYD,12
01,010,B,UV,0
01,011,U,AA,0
01,011,U,AE,2
01,011,U,BL,3
01,011,U,CDL,0
01,011,U,CDS,0
01,011,U,CPE,0
01,011,U,DN,0
01,011,U,EU,0
01,011,U,FA,0
01,011,U,FEJ,0
01,011,U,FN,0
01,011,U,IARV,5
01,011,U,IF,1
01,011,U,IILSEP,2
01,011,U,IUCMLI,60
01,011,U,LCE,3
01,011,U,LV,3
01,011,U,LVGVE,4
01,011,U,MSR,0
01,011,U,PACMA,1
01,011,U,PCPE,1
01,011,U,PFV,0
01,011,U,PH,0
01,011,U,PMMJ,1
01,011,U,POSI,0
01,011,U,PP,80
01,011,U,PRC,0
01,011,U,PSA,0
01,011,U,PSOE,245
01,011,U,SAI,0
01,011,U,SZL,0
01,011,U,UCE,0
01,011,U,UCL,0
01,011,U,UNA,0
01,011,U,UPYD,33
01,011,U,UV,0
01,012,A,AA,1
01,012,A,AE,2
01,012,A,BL,5
01,012,A,CDL,0
01,012,A,CDS,0
01,012,A,CPE,0
01,012,A,DN,1
01,012,A,EU,0
01,012,A,FA,0
01,012,A,FEJ,0
01,012,A,FN,0
01,012,A,IARV,3
01,012,A,IF,0
01,012,A,IILSEP,2
01,012,A,IUCMLI,46
01,012,A,LCE,9
01,012,A,LV,1
01,012,A,LVGVE,3
01,012,A,MSR,0
01,012,A,PACMA,1
01,012,A,PCPE,0
01,012,A,PFV,0
01,012,A,PH,0
01,012,A,PMMJ,0
01,012,A,POSI,0
01,012,A,PP,154
01,012,A,PRC,0
01,012,A,PSA,0
01,012,A,PSOE,159
01,012,A,SAI,0
01,012,A,SZL,0
01,012,A,UCE,0
01,012,A,UCL,0
01,012,A,UNA,0
01,012,A,UPYD,25
01,012,A,UV,0
01,012,B,AA,0
01,012,B,AE,1
01,012,B,BL,2
01,012,B,CDL,0
01,012,B,CDS,0
01,012,B,CPE,0
01,012,B,DN,0
01,012,B,EU,0
01,012,B,FA,0
01,012,B,FEJ,0
01,012,B,FN,0
01,012,B,IARV,2
01,012,B,IF,1
01,012,B,IILSEP,1
01,012,B,IUCMLI,38
01,012,B,LCE,0
01,012,B,LV,0
01,012,B,LVGVE,3
01,012,B,MSR,0
01,012,B,PACMA,0
01,012,B,PCPE,1
01,012,B,PFV,1
01,012,B,PH,0
01,012,B,PMMJ,2
01,012,B,POSI,0
01,012,B,PP,118
01,012,B,PRC,0
01,012,B,PSA,0
01,012,B,PSOE,157
01,012,B,SAI,0
01,012,B,SZL,0
01,012,B,UCE,0
01,012,B,UCL,0
01,012,B,UNA,0
01,012,B,UPYD,38
01,012,B,UV,0
01,013,A,AA,0
01,013,A,AE,0
01,013,A,BL,35
01,013,A,CDL,0
01,013,A,CDS,0
01,013,A,CPE,0
01,013,A,DN,0
01,013,A,EU,0
01,013,A,FA,0
01,013,A,FEJ,0
01,013,A,FN,0
01,013,A,IARV,0
01,013,A,IF,0
01,013,A,IILSEP,0
01,013,A,IUCMLI,28
01,013,A,LCE,0
01,013,A,LV,0
01,013,A,LVGVE,0
01,013,A,MSR,0
01,013,A,PACMA,0
01,013,A,PCPE,0
01,013,A,PFV,0
01,013,A,PH,0
01,013,A,PMMJ,0
01,013,A,POSI,0
01,013,A,PP,101
01,013,A,PRC,0
01,013,A,PSA,0
01,013,A,PSOE,140
01,013,A,SAI,0
01,013,A,SZL,0
01,013,A,UCE,0
01,013,A,UCL,0
01,013,A,UNA,0
01,013,A,UPYD,14
01,013,A,UV,0
01,013,B,AA,0
01,013,B,AE,0
01,013,B,BL,1
01,013,B,CDL,0
01,013,B,CDS,2
01,013,B,CPE,0
01,013,B,DN,0
01,013,B,EU,0
01,013,B,FA,0
01,013,B,FEJ,0
01,013,B,FN,0
01,013,B,IARV,0
01,013,B,IF,0
01,013,B,IILSEP,3
01,013,B,IUCMLI,36
01,013,B,LCE,0
01,013,B,LV,0
01,013,B,LVGVE,3
01,013,B,MSR,0
01,013,B,PACMA,0
01,013,B,PCPE,0
01,013,B,PFV,0
01,013,B,PH,0
01,013,B,PMMJ,0
01,013,B,POSI,0
01,013,B,PP,124
01,013,B,PRC,0
01,013,B,PSA,0
01,013,B,PSOE,155
01,013,B,SAI,0
01,013,B,SZL,0
01,013,B,UCE,0
01,013,B,UCL,0
01,013,B,UNA,0
01,013,B,UPYD,23
01,013,B,UV,0
01,014,A,AA,0
01,014,A,AE,0
01,014,A,BL,3
01,014,A,CDL,0
01,014,A,CDS,0
01,014,A,CPE,0
01,014,A,DN,0
01,014,A,EU,0
01,014,A,FA,0
01,014,A,FEJ,0
01,014,A,FN,0
01,014,A,IARV,1
01,014,A,IF,0
01,014,A,IILSEP,0
01,014,A,IUCMLI,42
01,014,A,LCE,0
01,014,A,LV,2
01,014,A,LVGVE,3
01,014,A,MSR,1
01,014,A,PACMA,1
01,014,A,PCPE,0
01,014,A,PFV,0
01,014,A,PH,2
01,014,A,PMMJ,0
01,014,A,POSI,0
01,014,A,PP,101
01,014,A,PRC,0
01,014,A,PSA,0
01,014,A,PSOE,144
01,014,A,SAI,0
01,014,A,SZL,0
01,014,A,UCE,0
01,014,A,UCL,0
01,014,A,UNA,0
01,014,A,UPYD,37
01,014,A,UV,0
01,014,B,AA,0
01,014,B,AE,0
01,014,B,BL,6
01,014,B,CDL,0
01,014,B,CDS,1
01,014,B,CPE,0
01,014,B,DN,0
01,014,B,EU,0
01,014,B,FA,0
01,014,B,FEJ,0
01,014,B,FN,0
01,014,B,IARV,5
01,014,B,IF,0
01,014,B,IILSEP,0
01,014,B,IUCMLI,57
01,014,B,LCE,1
01,014,B,LV,2
01,014,B,LVGVE,6
01,014,B,MSR,0
01,014,B,PACMA,0
01,014,B,PCPE,0
01,014,B,PFV,0
01,014,B,PH,0
01,014,B,PMMJ,2
01,014,B,POSI,0
01,014,B,PP,103
01,014,B,PRC,0
01,014,B,PSA,0
01,014,B,PSOE,141
01,014,B,SAI,0
01,014,B,SZL,0
01,014,B,UCE,0
01,014,B,UCL,0
01,014,B,UNA,1
01,014,B,UPYD,37
01,014,B,UV,0
01,015,A,AA,0
01,015,A,AE,0
01,015,A,BL,5
01,015,A,CDL,0
01,015,A,CDS,1
01,015,A,CPE,0
01,015,A,DN,1
01,015,A,EU,0
01,015,A,FA,0
01,015,A,FEJ,0
01,015,A,FN,0
01,015,A,IARV,0
01,015,A,IF,0
01,015,A,IILSEP,1
01,015,A,IUCMLI,33
01,015,A,LCE,0
01,015,A,LV,2
01,015,A,LVGVE,1
01,015,A,MSR,0
01,015,A,PACMA,0
01,015,A,PCPE,0
01,015,A,PFV,0
01,015,A,PH,0
01,015,A,PMMJ,0
01,015,A,POSI,0
01,015,A,PP,66
01,015,A,PRC,0
01,015,A,PSA,0
01,015,A,PSOE,145
01,015,A,SAI,0
01,015,A,SZL,0
01,015,A,UCE,0
01,015,A,UCL,0
01,015,A,UNA,0
01,015,A,UPYD,13
01,015,A,UV,0
01,015,B,AA,0
01,015,B,AE,0
01,015,B,BL,4
01,015,B,CDL,0
01,015,B,CDS,0
01,015,B,CPE,0
01,015,B,DN,0
01,015,B,EU,0
01,015,B,FA,1
01,015,B,FEJ,4
01,015,B,FN,0
01,015,B,IARV,98
01,015,B,IF,1
01,015,B,IILSEP,1
01,015,B,IUCMLI,0
01,015,B,LCE,1
01,015,B,LV,0
01,015,B,LVGVE,0
01,015,B,MSR,0
01,015,B,PACMA,172
01,015,B,PCPE,19
01,015,B,PFV,0
01,015,B,PH,0
01,015,B,PMMJ,35
01,015,B,POSI,0
01,015,B,PP,0
01,015,B,PRC,0
01,015,B,PSA,0
01,015,B,PSOE,0
01,015,B,SAI,0
01,015,B,SZL,1
01,015,B,UCE,0
01,015,B,UCL,0
01,015,B,UNA,0
01,015,B,UPYD,0
01,015,B,UV,0
01,016,A,AA,0
01,016,A,AE,0
01,016,A,BL,1
01,016,A,CDL,0
01,016,A,CDS,1
01,016,A,CPE,0
01,016,A,DN,0
01,016,A,EU,0
01,016,A,FA,0
01,016,A,FEJ,1
01,016,A,FN,0
01,016,A,IARV,0
01,016,A,IF,1
01,016,A,IILSEP,0
01,016,A,IUCMLI,15
01,016,A,LCE,0
01,016,A,LV,0
01,016,A,LVGVE,0
01,016,A,MSR,0
01,016,A,PACMA,0
01,016,A,PCPE,0
01,016,A,PFV,0
01,016,A,PH,0
01,016,A,PMMJ,3
01,016,A,POSI,1
01,016,A,PP,145
01,016,A,PRC,0
01,016,A,PSA,0
01,016,A,PSOE,115
01,016,A,SAI,0
01,016,A,SZL,0
01,016,A,UCE,0
01,016,A,UCL,0
01,016,A,UNA,0
01,016,A,UPYD,30
01,016,A,UV,0
