uri,geo_long,om_idParcela,geo_lat,om_medidaParcela,rdfs_label,om_tipoParcela
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/a66-tarantula,-6.373011,A66,39.441461,18 m,Tarántula,atraccion
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/a67-pistas-coches-electricos,-6.373094,A67,39.44162,40 m.,Pistas Coches Eléctricos,atraccion
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/a68-noria,-6.373238,A68,39.441879,26 m.,Noria,atraccion
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/a68a-penalti,-6.373376,A68A,39.441661,5 m.,Penalti,atraccion
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/a69-montana-rusa-raton-vacilon,-6.373072,A69,39.442191,20 m.,Montaña Rusa Ratón Vacilón,atraccion
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p001-tombola-el-mano,-6.375512,P001,39.441452,16 m.,"Tómbola ""el Maño""",puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p002-hamburgueseria,-6.375454,P002,39.441348,8 m.,Hamburguesería,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p003-puesto,-6.375407,P003,39.441263,10 m.,Puesto,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p004-caseta-de-tiro,-6.375371,P004,39.441197,5 m.,Caseta De Tiro,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p005-caseta-de-tiro,-6.375328,P005,39.441121,12 m.,Caseta De Tiro,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p006-caseta-de-tiro,-6.375272,P006,39.441021,10 m.,Caseta De Tiro,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p007-burguer,-6.375226,P007,39.440938,8 m.,Burguer,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p008-caseta-de-tiro,-6.375178,P008,39.440853,10 m.,Caseta De Tiro,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p009-carrera-de-camellos,-6.375127,P009,39.440765,10 m.,Carrera De Camellos,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p010-caseta-de-tiro,-6.37507,P010,39.440661,12 m.,Caseta De Tiro,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p011-caseta-de-tiro,-6.375015,P011,39.440562,10 m.,Caseta De Tiro,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p012-caseta-de-tiro,-6.374976,P012,39.440491,6 m.,Caseta De Tiro,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p013-caseta-de-tiro,-6.374944,P013,39.440433,6 m.,Caseta De Tiro,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p014-bocateria,-6.374902,P014,39.440355,10 m.,Bocatería,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p015-caseta-de-tiro,-6.374849,P015,39.440259,12 m.,Caseta De Tiro,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p016-helados,-6.374802,P016,39.440181,5 m.,Helados,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p017-juguetes,-6.374791,P017,39.440142,4 m.,Juguetes,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p018-bingo,-6.374804,P018,39.440098,9 m.,Bingo,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p019-caseta-de-tiro,-6.374633,P019,39.440258,8 m.,Caseta De Tiro,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p020-bocadillos---kebbas,-6.37469,P020,39.440224,8 m.,Bocadillos - Kebbas,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p021-patatas,-6.374674,P021,39.440189,4 m,Patatas,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p022-algodon,-6.374636,P022,39.44019,4 m.,Algodón,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p023-montroy,-6.374571,P023,39.440211,8 m.,Montroy,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p024-hamburgueseria,-6.374485,P024,39.440242,8 m.,Hamburguesería,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p025-perritos-calientes,-6.374394,P025,39.440275,8 m,Perritos Calientes,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p026-montroy,-6.374307,P026,39.440305,8 m.,Montroy,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p027-helados,-6.374247,P027,39.440327,4 m,Helados,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p029-montroy,-6.374036,P029,39.440401,9 m.,Montroy,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p030-hamburgueseria,-6.373945,P030,39.440432,8 m.,Hamburguesería,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p031-hamburgueseria,-6.373869,P031,39.440459,7 m.,Hamburguesería,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p032-hamburgueseria,-6.373794,P032,39.440487,9 m,Hamburguesería,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p033-hamburgueseria,-6.373687,P033,39.440525,10 m.,Hamburguesería,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p034-royal-casino,-6.373585,P034,39.44056,10 m.,Royal Casino,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p035-montroy,-6.373482,P035,39.440595,8 m.,Montroy,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p036-turrones-y-dulces,-6.374394,P036,39.440275,8 m.,Turrones Y Dulces,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p037-juguetes,-6.373386,P037,39.440661,3 m,Juguetes,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p038-golosinas-y-helados,-6.373825,P038,39.440542,9 m.,Golosinas Y Helados,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p039-kebab,-6.373304,P039,39.440858,5 m,Kebab,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p040-helados,-6.373304,P040,39.440803,6 m,Helados,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p041-churreria,-6.373264,P041,39.440753,25 m.,Churrería,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p042-caseta-de-vinos,-6.373179,P042,39.440919,15 m.,Caseta De Vinos,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p043-hamburgueseria,-6.373276,P043,39.441058,12 m.,Hamburguesería,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p044-bunuelos-y-creps,-6.373319,P044,39.441135,6 m.,Buñuelos Y Creps,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p045-caseta-de-tiro,-6.373319,P045,39.441135,6 m.,Caseta De Tiro,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p046-caseta-de-anillas,-6.373369,P046,39.441224,6 m,Caseta De Anillas,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p047-hamburgueseria,-6.373396,P047,39.441272,6 m.,Hamburguesería,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p048-caseta-de-tiro,-6.373427,P048,39.441326,8 m.,Caseta De Tiro,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p049-helados,-6.373522,P049,39.441492,3 m.,Helados,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p050-turrones-y-dulces,-6.37355,P050,39.44154,8 m.,Turrones Y Dulces,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p051-caseta-de-tiro,-6.373603,P051,39.441637,12 m,Caseta De Tiro,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p052-bocateria,-6.373665,P052,39.441743,17 m.,Bocatería,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p053-chocolateria,-6.373757,P053,39.441904,24 m.,Chocolatería,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p054-bazooka,-6.373926,P054,39.441958,9 m.,Bazooka,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p055-bazooka,-6.374043,P055,39.442014,9 m.,Bazooka,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p056-caseta-de-tiro,-6.374227,P056,39.44197,6 m.,Caseta De Tiro,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p057-varios,-6.374296,P057,39.441946,8 m,Varios,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p058-caseta-de-tiro,-6.374396,P058,39.44191,12 m.,Caseta De Tiro,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p059-caseta-de-tiro,-6.374573,P059,39.441848,22  m.,Caseta De Tiro,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p060-caseta-de-tiro,-6.374758,P060,39.441781,10 m.,Caseta De Tiro,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p061-palomitas-y-algodon,-6.374843,P061,39.441751,8 m.,Palomitas Y Algodón,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p062-algodon,-6.374882,P062,39.441739,2 m.,Algodón,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p063-algodon,-6.374981,P063,39.441702,2 m.,Algodón,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p064-caseta-de-tiro,-6.375042,P064,39.44168,8 m.,Caseta De Tiro,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p065-tiro,-6.375111,P065,39.441657,5 m.,Tiro,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p066-caseta-de-tiro,-6.375161,P066,39.441639,5 m.,Caseta De Tiro,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p067-chocolateria,-6.375316,P067,39.441613,20 m.,Chocolatería,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p068-helados,-6.374256,P068,39.441248,2 m.,Helados,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p069-hamburgueseria,-6.373788,P069,39.440794,8 m,Hamburguesería,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p070-hamburgueseria,-6.373754,P070,39.440735,4 m,Hamburguesería,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p071-patatas,-6.373727,P071,39.440687,6 m,Patatas,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p072-burguer,-6.373461,P072,39.440767,7 m.,Burguer,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p073-hamburgueseria,-6.373149,P073,39.441266,11 m.,Hamburguesería,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p074-pizzas,-6.373109,P074,39.441196,8 m.,Pizzas,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p075-bocadillos,-6.373072,P075,39.441128,8 m.,Bocadillos,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p076-chocolateria,-6.372959,P076,39.440989,25 m.,Chocolatería,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p077-bar,-6.372848,P077,39.440787,25 m,Bar,puesto
