uri,rdfs_comment,geo_long,geo_lat,om_situadoEnVia,rdfs_label,enlacesSIG
http://opendata.caceres.es/recurso/transporte/aparcamientos/PlazaMovilidadReducida/177,La plaza de movilidad reducida 177 está situada en el barrio Casa Plata,-6.37297335961,39.4537219982,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/avda-3984,Plaza de movilidad reducida 177,http://sig.caceres.es/serweb/fichasig/fichamovilidadreducida.php?mslink=179; http://sig.caceres.es/fotosOriginales/MOVILIDAD/3984_3_1.JPG
http://opendata.caceres.es/recurso/transporte/aparcamientos/PlazaMovilidadReducida/371,La plaza de movilidad reducida 371 está situada en el barrio Campus Universitario,-6.35800924424,39.482197188,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/avda-3425,Plaza de movilidad reducida 371,http://sig.caceres.es/serweb/fichasig/fichamovilidadreducida.php?mslink=374; http://sig.caceres.es/fotosOriginales/MOVILIDAD/3425_30_1.JPG
http://opendata.caceres.es/recurso/transporte/aparcamientos/PlazaMovilidadReducida/241,La plaza de movilidad reducida 241 está situada en el barrio Barriada Minera,-6.38688929497,39.4482919269,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/calle-298,Plaza de movilidad reducida 241,http://sig.caceres.es/serweb/fichasig/fichamovilidadreducida.php?mslink=243; http://sig.caceres.es/fotosOriginales/MOVILIDAD/298_1_1.JPG
http://opendata.caceres.es/recurso/transporte/aparcamientos/PlazaMovilidadReducida/159,La plaza de movilidad reducida 159 está situada en el barrio Vistahermosa,-6.36337307951,39.4553295599,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/calle-4103,Plaza de movilidad reducida 159,http://sig.caceres.es/serweb/fichasig/fichamovilidadreducida.php?mslink=161; http://sig.caceres.es/fotosOriginales/MOVILIDAD/4103_3_1.JPG
http://opendata.caceres.es/recurso/transporte/aparcamientos/PlazaMovilidadReducida/94,La plaza de movilidad reducida 94 está situada en el barrio Los Fratres,-6.38040855686,39.4631843737,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/calle-3426,Plaza de movilidad reducida 94,http://sig.caceres.es/serweb/fichasig/fichamovilidadreducida.php?mslink=95; http://sig.caceres.es/fotosOriginales/MOVILIDAD/3426_1_1.JPG
http://opendata.caceres.es/recurso/transporte/aparcamientos/PlazaMovilidadReducida/298,La plaza de movilidad reducida 298 está situada en el barrio Macondo,-6.40143772197,39.4699799066,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/calle-3959,Plaza de movilidad reducida 298,http://sig.caceres.es/serweb/fichasig/fichamovilidadreducida.php?mslink=300; http://sig.caceres.es/fotosOriginales/MOVILIDAD/3959_2_1.JPG
http://opendata.caceres.es/recurso/transporte/aparcamientos/PlazaMovilidadReducida/478,La plaza de movilidad reducida 478 está situada en el barrio Cuartel Infanta Isabel,-6.37453419709,39.4813719919,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/calle-3975,Plaza de movilidad reducida 478,http://sig.caceres.es/serweb/fichasig/fichamovilidadreducida.php?mslink=482; http://sig.caceres.es/fotosOriginales/MOVILIDAD/3975_1_1.JPG
http://opendata.caceres.es/recurso/transporte/aparcamientos/PlazaMovilidadReducida/376,La plaza de movilidad reducida 376 está situada en el barrio Campus Universitario,-6.34270774633,39.4796695994,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/avda-3425,Plaza de movilidad reducida 376,http://sig.caceres.es/serweb/fichasig/fichamovilidadreducida.php?mslink=379; http://sig.caceres.es/fotosOriginales/MOVILIDAD/3425_3_1.JPG
http://opendata.caceres.es/recurso/transporte/aparcamientos/PlazaMovilidadReducida/270,La plaza de movilidad reducida 270 está situada en el barrio Estacion,-6.38554802904,39.4613782955,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/avda-4018,Plaza de movilidad reducida 270,http://sig.caceres.es/serweb/fichasig/fichamovilidadreducida.php?mslink=272; http://sig.caceres.es/fotosOriginales/MOVILIDAD/4018_1_1.JPG
http://opendata.caceres.es/recurso/transporte/aparcamientos/PlazaMovilidadReducida/514,La plaza de movilidad reducida 514 está situada en el barrio El Peru,-6.38740717649,39.4651697812,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/avda-4142,Plaza de movilidad reducida 514,http://sig.caceres.es/serweb/fichasig/fichamovilidadreducida.php?mslink=518; http://sig.caceres.es/fotosOriginales/MOVILIDAD/4142_4_1.JPG
http://opendata.caceres.es/recurso/transporte/aparcamientos/PlazaMovilidadReducida/418,La plaza de movilidad reducida 418 está situada en el barrio Ronda,-6.36822091423,39.4912863245,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/calle-4049,Plaza de movilidad reducida 418,http://sig.caceres.es/serweb/fichasig/fichamovilidadreducida.php?mslink=422; http://sig.caceres.es/fotosOriginales/MOVILIDAD/4049_1_1.JPG
http://opendata.caceres.es/recurso/transporte/aparcamientos/PlazaMovilidadReducida/458,La plaza de movilidad reducida 458 está situada en el barrio Nueva Ciudad,-6.35369414443,39.4891790925,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/calle-4171,Plaza de movilidad reducida 458,http://sig.caceres.es/serweb/fichasig/fichamovilidadreducida.php?mslink=462; http://sig.caceres.es/fotosOriginales/MOVILIDAD/4171_1_1.JPG
http://opendata.caceres.es/recurso/transporte/aparcamientos/PlazaMovilidadReducida/416,La plaza de movilidad reducida 416 está situada en el barrio Gredos,-6.36923545287,39.4971052701,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/avda-3903,Plaza de movilidad reducida 416,http://sig.caceres.es/serweb/fichasig/fichamovilidadreducida.php?mslink=420; http://sig.caceres.es/fotosOriginales/MOVILIDAD/3903_1_1.JPG
http://opendata.caceres.es/recurso/transporte/aparcamientos/PlazaMovilidadReducida/476,La plaza de movilidad reducida 476 está situada en el barrio San Jorge,-6.36743321909,39.4818957105,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/calle-3413,Plaza de movilidad reducida 476,http://sig.caceres.es/serweb/fichasig/fichamovilidadreducida.php?mslink=480; http://sig.caceres.es/fotosOriginales/MOVILIDAD/3413_1_1.JPG
http://opendata.caceres.es/recurso/transporte/aparcamientos/PlazaMovilidadReducida/430,La plaza de movilidad reducida 430 está situada en el barrio Ronda,-6.36719988523,39.4901999225,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/calle-4049,Plaza de movilidad reducida 430,http://sig.caceres.es/serweb/fichasig/fichamovilidadreducida.php?mslink=434; http://sig.caceres.es/fotosOriginales/MOVILIDAD/4049_3_1.JPG
