uri,geo_long,geo_lat,owl_sameAs,om_tipoMonumento,rdfs_label,om_tieneEnlaceSIG,schema_address_addressLocality,schema_address_addressCountry
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/18-casa-del-mono-o-de-espadero-pizarro,-6.37094750721,39.4738904381,,Casa,Casa del Mono o de Espadero-Pizarro,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1188,Cáceres,ES
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/19-casa-del-sol-o-de-los-solis,-6.37082465205,39.4734720098,,Casa,Casa del Sol o de los Solis,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1225,Cáceres,ES
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/2-arco-del-cristo,-6.3691529449,39.4735142829,,Arco,Arco del Cristo,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1227,Cáceres,ES
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/20-casa-mudejar,-6.37160182309,39.4735798957,,Casa,Casa Mudejar,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1172,Cáceres,ES
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/21-casa-ovando-espadero,-6.37322381565,39.4732010042,,Casa,Casa Ovando Espadero,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=2108,Cáceres,ES
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/22-casa-ovando-saavedra,-6.37241496084,39.4737938055,,Casa,Casa Ovando-Saavedra,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=2107,Cáceres,ES
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/26-crucero-de-san-blas,-6.36957092087,39.4795851563,,Crucero,Crucero de San Blas,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=10675,Cáceres,ES
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/27-crucero-de-santa-clara,-6.37154486959,39.4718051065,,Crucero,Crucero de Santa Clara,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1975,Cáceres,ES
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/28-crucero-del-espiritu-santo,-6.36772735565,39.460750268,,Crucero,Crucero del Espiritu Santo,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=10674,Cáceres,ES
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/29-cueva-cueva-de-maltravieso,-6.37114885508,39.4576276104,,Cueva,Cueva de Maltravieso,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=2045,Cáceres,ES
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/3-arco-puerta-de-coria,-6.36970775891,39.4752641488,,Arco,Arco Puerta de Coria,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=2104,Cáceres,ES
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/30-cueva-de-santa-ana,-6.37064310422,39.4284056847,,Cueva,Cueva de Santa Ana,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=10676,Cáceres,ES
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/31-cueva-del-conejar,-6.36341137497,39.4551479167,,Cueva,Cueva del Conejar,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=10645,Cáceres,ES
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/32-dolmen-de-la-hijadilla,-6.48828424339,39.3853069777,,Dolmen,Dolmen de la Hijadilla,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=10679,Cáceres,ES
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/37-iglesia-san-juan,-6.37347760228,39.4734426808,,Iglesia,Iglesia San Juan,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1165,Cáceres,ES
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/4-arco-puerta-espiritu-santo,-6.36721685045,39.4628521773,,Puerta,Puerta Puerta Espiritu Santo,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=2003,Cáceres,ES
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/41-escultura-a-la-semana-santa,-6.3738090995,39.4734117463,,Escultura,Escultura a la Semana Santa,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1974,Cáceres,ES
