dc:identifier,dc:modified,ayto:type,ayto:latitude,ayto:longitude,ayto:status,uri
3604,2017-10-31T17:51:54Z,parking,43.463066,-3.798817,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3604.csv
3820,2017-10-31T17:51:52Z,parking,43.463175,-3.79966,0.0,http://datos.santander.es/api/datos/sensores_smart_parking/3820.csv
3655,2017-10-31T17:50:57Z,parking,43.463188,-3.797565,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3655.csv
3772,2017-10-31T17:49:46Z,parking,43.463225,-3.798411,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3772.csv
3682,2017-10-31T17:48:42Z,parking,43.463429,-3.798772,0.0,http://datos.santander.es/api/datos/sensores_smart_parking/3682.csv
3679,2017-10-31T17:47:40Z,parking,43.463411,-3.798966,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3679.csv
3868,2017-10-31T17:47:38Z,parking,43.464571,-3.797591,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3868.csv
3870,2017-10-31T17:47:38Z,parking,43.464594,-3.797452,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3870.csv
3703,2017-10-31T17:46:45Z,parking,43.462696,-3.800757,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3703.csv
3874,2017-10-31T17:46:39Z,parking,43.464443,-3.798983,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3874.csv
3897,2017-10-31T17:46:08Z,parking,43.464076,-3.79857,0.0,http://datos.santander.es/api/datos/sensores_smart_parking/3897.csv
3867,2017-10-31T17:45:10Z,parking,43.464561,-3.797649,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3867.csv
3922,2017-10-31T17:44:58Z,parking,43.463918,-3.799431,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3922.csv
3704,2017-10-31T17:44:35Z,parking,43.462663,-3.800746,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3704.csv
3852,2017-10-31T17:43:39Z,parking,43.464394,-3.798976,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3852.csv
3756,2017-10-31T17:43:34Z,parking,43.463612,-3.798483,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3756.csv
3858,2017-10-31T17:42:13Z,parking,43.464456,-3.798368,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3858.csv
3695,2017-10-31T17:39:10Z,parking,43.463549,-3.797544,0.0,http://datos.santander.es/api/datos/sensores_smart_parking/3695.csv
3914,2017-10-31T17:38:59Z,parking,43.462982,-3.802628,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3914.csv
3880,2017-10-31T17:38:45Z,parking,43.464605,-3.797676,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3880.csv
3786,2017-10-31T17:38:29Z,parking,43.463958,-3.799741,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3786.csv
3698,2017-10-31T17:37:49Z,parking,43.463572,-3.797329,0.0,http://datos.santander.es/api/datos/sensores_smart_parking/3698.csv
3642,2017-10-31T17:37:46Z,parking,43.46322,-3.800171,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3642.csv
3696,2017-10-31T17:33:49Z,parking,43.463554,-3.797485,0.0,http://datos.santander.es/api/datos/sensores_smart_parking/3696.csv
3674,2017-10-31T17:33:05Z,parking,43.463382,-3.799281,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3674.csv
3862,2017-10-31T17:33:03Z,parking,43.464492,-3.798105,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3862.csv
3771,2017-10-31T17:32:05Z,parking,43.463268,-3.798417,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3771.csv
3848,2017-10-31T17:32:03Z,parking,43.464037,-3.797137,0.0,http://datos.santander.es/api/datos/sensores_smart_parking/3848.csv
3715,2017-10-31T17:31:32Z,parking,43.46248,-3.800533,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3715.csv
3770,2017-10-31T17:30:18Z,parking,43.463313,-3.798429,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3770.csv
3685,2017-10-31T17:29:29Z,parking,43.463481,-3.798231,0.0,http://datos.santander.es/api/datos/sensores_smart_parking/3685.csv
