dc:identifier,dc:modified,ayto:medida,ayto:idSensor,ayto:intensidad,ayto:ocupacion,ayto:carga,uri
2007-1a60b383-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,2007,2007,1020,9,42,http://datos.santander.es/api/datos/mediciones/2007-1a60b383-be5c-11e7-97fa-005056a43242.csv
2008-1a650ea5-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,2008,2008,120,2,7,http://datos.santander.es/api/datos/mediciones/2008-1a650ea5-be5c-11e7-97fa-005056a43242.csv
2009-1a66d696-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,2009,2009,660,6,32,http://datos.santander.es/api/datos/mediciones/2009-1a66d696-be5c-11e7-97fa-005056a43242.csv
2010-1a6865ab-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,2010,2010,0,0,0,http://datos.santander.es/api/datos/mediciones/2010-1a6865ab-be5c-11e7-97fa-005056a43242.csv
2011-1a6ac9a0-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,2011,2011,0,0,0,http://datos.santander.es/api/datos/mediciones/2011-1a6ac9a0-be5c-11e7-97fa-005056a43242.csv
2012-1a6ca6d3-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,2012,2012,946,10,38,http://datos.santander.es/api/datos/mediciones/2012-1a6ca6d3-be5c-11e7-97fa-005056a43242.csv
2013-1a6fdd06-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,2013,2013,769,10,33,http://datos.santander.es/api/datos/mediciones/2013-1a6fdd06-be5c-11e7-97fa-005056a43242.csv
2014-1a716999-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,2014,2014,720,3,35,http://datos.santander.es/api/datos/mediciones/2014-1a716999-be5c-11e7-97fa-005056a43242.csv
2015-1a72f5b0-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,2015,2015,720,4,20,http://datos.santander.es/api/datos/mediciones/2015-1a72f5b0-be5c-11e7-97fa-005056a43242.csv
2016-1a74acc7-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,2016,2016,690,11,33,http://datos.santander.es/api/datos/mediciones/2016-1a74acc7-be5c-11e7-97fa-005056a43242.csv
2017-1a768b1d-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,2017,2017,652,10,31,http://datos.santander.es/api/datos/mediciones/2017-1a768b1d-be5c-11e7-97fa-005056a43242.csv
2018-1a7814aa-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,2018,2018,960,28,57,http://datos.santander.es/api/datos/mediciones/2018-1a7814aa-be5c-11e7-97fa-005056a43242.csv
2019-1a7a14fe-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,2019,2019,1118,10,46,http://datos.santander.es/api/datos/mediciones/2019-1a7a14fe-be5c-11e7-97fa-005056a43242.csv
