dc:identifier,dc:modified,ayto:tarjeta,ayto:dia,uri
2016070516015VLA,2017-10-31T01:25:05.099Z,16015VLA,2016-07-04T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070516015vla.csv
2016070516014VLA,2017-10-31T01:25:05.099Z,16014VLA,2016-07-04T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070516014vla.csv
2016070516013VLA,2017-10-31T01:25:05.099Z,16013VLA,2016-07-04T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070516013vla.csv
2016070516012VLA,2017-10-31T01:25:05.099Z,16012VLA,2016-07-04T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070516012vla.csv
2016070516011VLA,2017-10-31T01:25:05.099Z,16011VLA,2016-07-04T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070516011vla.csv
2016070516004VLA,2017-10-31T01:25:05.099Z,16004VLA,2016-07-04T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070516004vla.csv
2016070516003VLA,2017-10-31T01:25:05.099Z,16003VLA,2016-07-04T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070516003vla.csv
2016070516002VLA,2017-10-31T01:25:05.099Z,16002VLA,2016-07-04T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070516002vla.csv
2016070516001VLA,2017-10-31T01:25:05.099Z,16001VLA,2016-07-04T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070516001vla.csv
2016070616EVLA,2017-10-31T01:25:05.098Z,16EVLA,2016-07-05T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070616evla.csv
2016070616103VNA,2017-10-31T01:25:05.098Z,16103VNA,2016-07-05T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070616103vna.csv
2016070616102VNA,2017-10-31T01:25:05.098Z,16102VNA,2016-07-05T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070616102vna.csv
2016070616101VNA,2017-10-31T01:25:05.098Z,16101VNA,2016-07-05T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070616101vna.csv
2016070616072VLA,2017-10-31T01:25:05.098Z,16072VLA,2016-07-05T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070616072vla.csv
2016070616071VLA,2017-10-31T01:25:05.098Z,16071VLA,2016-07-05T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070616071vla.csv
2016070616062VLA,2017-10-31T01:25:05.098Z,16062VLA,2016-07-05T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070616062vla.csv
2016070616061VLA,2017-10-31T01:25:05.098Z,16061VLA,2016-07-05T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070616061vla.csv
2016070616052VLA,2017-10-31T01:25:05.098Z,16052VLA,2016-07-05T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070616052vla.csv
2016070616051VLA,2017-10-31T01:25:05.098Z,16051VLA,2016-07-05T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070616051vla.csv
2016070616031VLA,2017-10-31T01:25:05.098Z,16031VLA,2016-07-05T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070616031vla.csv
2016070616023VLA,2017-10-31T01:25:05.098Z,16023VLA,2016-07-05T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070616023vla.csv
2016070616021VLA,2017-10-31T01:25:05.098Z,16021VLA,2016-07-05T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070616021vla.csv
2016070616020VLA,2017-10-31T01:25:05.098Z,16020VLA,2016-07-05T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070616020vla.csv
2016070616019VLA,2017-10-31T01:25:05.098Z,16019VLA,2016-07-05T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070616019vla.csv
2016070616018VLA,2017-10-31T01:25:05.098Z,16018VLA,2016-07-05T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070616018vla.csv
2016070616017VLA,2017-10-31T01:25:05.098Z,16017VLA,2016-07-05T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070616017vla.csv
2016070616016VLA,2017-10-31T01:25:05.098Z,16016VLA,2016-07-05T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070616016vla.csv
2016070616015VLA,2017-10-31T01:25:05.098Z,16015VLA,2016-07-05T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070616015vla.csv
2016070616014VLA,2017-10-31T01:25:05.098Z,16014VLA,2016-07-05T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070616014vla.csv
2016070616013VLA,2017-10-31T01:25:05.098Z,16013VLA,2016-07-05T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070616013vla.csv
2016070616012VLA,2017-10-31T01:25:05.098Z,16012VLA,2016-07-05T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070616012vla.csv
2016070616011VLA,2017-10-31T01:25:05.098Z,16011VLA,2016-07-05T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070616011vla.csv
2016070616004VLA,2017-10-31T01:25:05.098Z,16004VLA,2016-07-05T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070616004vla.csv
2016070616003VLA,2017-10-31T01:25:05.098Z,16003VLA,2016-07-05T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070616003vla.csv
2016070616002VLA,2017-10-31T01:25:05.098Z,16002VLA,2016-07-05T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070616002vla.csv
2016070616001VLA,2017-10-31T01:25:05.098Z,16001VLA,2016-07-05T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070616001vla.csv
2016070516EVLA,2017-10-31T01:25:05.098Z,16EVLA,2016-07-04T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070516evla.csv
2016070516103VNA,2017-10-31T01:25:05.098Z,16103VNA,2016-07-04T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070516103vna.csv
2016070516102VNA,2017-10-31T01:25:05.098Z,16102VNA,2016-07-04T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070516102vna.csv
2016070516101VNA,2017-10-31T01:25:05.098Z,16101VNA,2016-07-04T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070516101vna.csv
