dc:identifier,dc:modified,ayto:type,ayto:latitude,ayto:longitude,ayto:temperature,ayto:battery,ayto:light,ayto:noise,uri
202,2017-10-31T17:52:15Z,environment,43.46217,-3.80892,15.29,63.0,8.23,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/202.csv
575,2017-10-31T17:52:12Z,environment,43.4559,-3.81214,14.25,71.0,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/575.csv
594,2017-10-31T17:52:04Z,environment,43.45431,-3.81282,16.0,73.0,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/594.csv
428,2017-10-31T17:52:04Z,environment,43.46161,-3.81068,13.67,64.0,51.53,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/428.csv
361,2017-10-31T17:52:03Z,environment,43.46334,-3.8088,14.51,73.0,5.61,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/361.csv
678,2017-10-31T17:52:00Z,environment,43.46069,-3.81765,211.61,73.0,37.05,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/678.csv
340,2017-10-31T17:51:59Z,environment,43.46364,-3.80633,14.06,70.0,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/340.csv
425,2017-10-31T17:51:53Z,environment,43.4613,-3.80908,15.16,86.0,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/425.csv
604,2017-10-31T17:51:50Z,environment,43.45714,-3.81019,13.61,71.0,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/604.csv
230,2017-10-31T17:51:50Z,environment,43.46216,-3.81176,15.03,70.0,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/230.csv
491,2017-10-31T17:51:37Z,environment,43.46453,-3.805,15.09,68.0,124360.72,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/491.csv
204,2017-10-31T17:51:35Z,environment,43.46202,-3.80839,15.54,83.0,27.34,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/204.csv
62,2017-10-31T17:51:33Z,environment,43.4609,-3.80786,13.8,82.0,,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/62.csv
426,2017-10-31T17:51:27Z,environment,43.46133,-3.80936,-38.38,80.0,0.37,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/426.csv
209,2017-10-31T17:51:24Z,environment,43.46328,-3.81343,13.87,72.0,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/209.csv
60,2017-10-31T17:51:21Z,environment,43.46078,-3.80802,14.58,83.0,,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/60.csv
661,2017-10-31T17:51:19Z,environment,43.46039,-3.81873,13.09,59.0,1.35,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/661.csv
482,2017-10-31T17:51:19Z,environment,43.4647,-3.80774,15.03,77.0,6.94,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/482.csv
519,2017-10-31T17:51:17Z,environment,43.46475,-3.80885,13.93,46.0,7.23,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/519.csv
734,2017-10-31T17:51:14Z,environment,43.45802,-3.80995,14.77,69.0,226.6,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/734.csv
228,2017-10-31T17:51:14Z,environment,43.46303,-3.81298,15.54,68.0,174.04,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/228.csv
518,2017-10-31T17:51:05Z,environment,43.46442,-3.80884,-12.9,68.0,0.09,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/518.csv
625,2017-10-31T17:43:39Z,environment,43.4582,-3.80992,-50.0,74.0,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/625.csv
275,2017-10-31T17:43:28Z,environment,43.46258,-3.79933,,71.0,,50.0,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/275.csv
650,2017-10-31T17:43:23Z,environment,43.45839,-3.80971,16.32,74.0,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/650.csv
527,2017-10-31T17:43:02Z,environment,43.46296,-3.80129,,65.0,,50.0,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/527.csv
540,2017-10-31T17:42:59Z,environment,43.46241,-3.80084,16.32,68.0,0.5,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/540.csv
