"NUMERO,C,20","DIRECCION,C,99","NOTA,C,250"
219,"ANTONIO MACHADO, PARQUE","FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
144,OLARIZU PARQUE   (ZONA NORTE),"FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
145,OLARIZU PARQUE (ZONA SUR),"FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
2,ARETXABALETA (TRASERA DEL EDIFICIO Nº19),"FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
153,ARETXABALETA (ZONA DE JUEGOS),"FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
152,ARETXABALETA (JUNTO A LA IGLESIA),"FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
47,ITURRITXU  (PARQUE LINEAL SUR),"FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
223,"MAURICE RAVEL, JARDINES","FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
151,"HEBILLAS , PLAZA","FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
150,TXIRULA,"FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
