940,CERCAS BAJAS,ZERKABARREN KALEA,CALLE
950,"CERVANTES, PASEO DE",CERVANTES IBILBIDEA,PASEO
1230,CHILE,TXILE KALEA,CALLE
1240,CHIQUITA,TXIKITA KALEA,CALLE
4824,CLARA CAMPOAMOR,CLARA CAMPOAMOR KALEA,CALLE
980,COFRADIA DE ARRIAGA,ARRIAGAKO KOFRADIAREN KALEA,CALLE
990,COLA Y GOITI,COLA Y GOITI KALEA,CALLE
3620,COLEGIO DE SAN PRUDENCIO,SAN PRUDENTZIO IKASTETXEKO KALEA,CALLE
1000,COLOMBIA,KOLONBIA KALEA,CALLE
1010,COMANDANTE IZARDUY,IZARDUI KOMANDANTEAREN KALEA,CALLE
4787,COMPOSTELA,KONPOSTELA KALEA,CALLE
1020,CONCEJO,KONTZEJU KALEA,CALLE
4861,CONCEPCION ARENAL PONTE,CONCEPCION ARENAL PONTE KALEA,CALLE
4639,CONCHA ESPINA,CONCHA ESPINA KALEA,CALLE
1030,CONDADO DE TREVIÑO,TREBIÑOKO KONDERRIAREN KALEA,CALLE
1050,"CONDE DE PEÑAFLORIDA, PLAZA DEL",PEÑAFLORIDAKO KONDEAREN PLAZA,PLAZA
1040,CONDE DON VELA,DON BELA KONDEAREN KALEA,CALLE
4692,COPENHAGUE,KOPENHAGE KALEA,CALLE
1080,CORAZONISTAS,KORAZONISTEN KALEA,CALLE
1100,CORONACION DE LA VIRGEN BLANCA,ANDRE MARIA ZURIAREN KOROATZEAREN KALEA,CALLE
1105,CORONELA IBAIBARRIAGA,IBAIBARRIAGA KORONELTSAREN KALEA,CALLE
1110,CORRERIA,HEDEGILE KALEA,CALLE
1120,COSTA RICA,COSTA RICA KALEA,CALLE
1140,CRUZ BLANCA,GURUTZE ZURIKO KALEA,CALLE
1150,CRUZ VERDE,GURUTZE BERDEKO KALEA,CALLE
220,CUADRILLA DE AÑANA,AÑANAKO TALDEAREN KALEA,CALLE
450,CUADRILLA DE AYALA,AIARAKO TALDEAREN KALEA,CALLE
2130,CUADRILLA DE LAGUARDIA-RIOJA ALAVESA,BIASTERI-ARABAR ERRIOXAKO TALDEAREN KALEA,CALLE
3400,CUADRILLA DE SALVATIERRA-AGURAIN,AGURAINGO TALDEAREN KALEA,CALLE
4190,CUADRILLA DE VITORIA-GASTEIZ,GASTEIZKO TALDEAREN KALEA,CALLE
4350,CUADRILLA DE ZUIA,ZUIAKO TALDEAREN KALEA,CALLE
1160,CUATRO CAMINOS,LAUBIDETA KALEA,CALLE
1170,CUBA,KUBA KALEA,CALLE
1180,CUBO,ANTEPARA KALEA,CALLE
1190,CUCHILLERIA,AIZTOGILE KALEA,CALLE
1195,CUENCA DEL DEBA,DEBA ARROAREN KALEA,CALLE
4732,CURITIVA,CURITIBA KALEA,CALLE
4758,DALAI LAMA,DALAI LAMAREN KALEA,CALLE
4595,DAMASO ALONSO,DAMASO ALONSO KALEA,CALLE
1260,"DANTZARI, PLAZA DEL",DANTZARI PLAZA,PLAZA
4727,DECLARACION DE RIO,RIOKO DEKLARAZIOAREN KALEA,CALLE
1275,DIEGO DE BORICA Y RETEGUI,DIEGO BORIKA RETEGI KALEA,CALLE
1280,DIEGO DE ROJAS,DIEGO DE ROJAS KALEA,CALLE
1290,DIEGO MARTINEZ DE ALAVA,DIEGO MARTINEZ DE ALABA KALEA,CALLE
1300,DIPUTACION FORAL DE ALAVA,DIPUTAZIO KALEA,CALLE
1320,DOCE DE OCTUBRE,URRIAREN HAMABIAREN KALEA,CALLE
4869,DOLORES IBARRURI GOMEZ,DOLORES IBARRURI GOMEZ KALEA,CALLE
1330,DOMINGO BELTRAN DE OTAZU,DOMINGO BELTRAN DE OTAZU KALEA,CALLE
1340,DOMINGO MARTINEZ DE ARAGON,DOMINGO MARTINEZ DE ARAGON KALEA,CALLE
4924,DONEASPIDEA,DONEASPIDEA KALEA,CALLE
4553,DONOSTIA-SAN SEBASTIAN,DONOSTIA KALEA,CALLE
4823,DORIS LESSING,DORIS LESSING KALEA,CALLE
4687,DUBLIN,DUBLIN KALEA,CALLE
1351,"DUENDE, PASO DE",DUENDE PASABIDEA,PASAJE
1350,DULZAINA,DULTZAINA KALEA,CALLE
1345,DUQUE DE WELLINGTON,WELLINGTONGO DUKEAREN KALEA,CALLE
