EXPEDIENTE;ASUNTO;Nº INVITADOS;Nº LICITADORES;FECHA ADJUDICACIÓN;PRECIO;EMPRESA
2015/CONSOC0107;SUMINISTRO DE UNA CAFETERA ELECTRONICA PARA EL CENTRO SOCIOCULTURAL DE MAYORES SAN PRUDENCIO;0;0;18/11/2015;3.236,76;GASTEIZ S.L
2015/CONASO0385;ALQUILER DE EQUIPO DE SONIDO E ILUMINACIÓN PARA LA CANCHA DEL POLIDEPORTIVO DE MENDIZORROZA;5;4;18/11/2015;6.776,00;SONORT
2015/CONSOC0108;SUSTITUCION DE LUMINARIAS DE ALUMBRADO EN GIMNASIOS Y SALA DE ENCUENTRO EN EL CENTRO CIVICO LAKUA;3;3;18/11/2015;14.353,19;ALMACENES ELECTRICOS RAMIREZ, S.L.
2015/CONSPE0098;RENOVACIÓN DEL DERECHO DE USO Y SOPORTE DEL SOFTWARE VMWARE PARA EL ENTORNO DE SERVIDORES VIRTUALES;4;3;20/11/2015;11.048,82;ERMESTEL, S.L.
2015/CONASO0373;SERVICIO DE TRANSPORTE DE COMIDAS ENTRE ESCUELAS INFANTILES PARA EL AÑO 2016;1;1;20/11/2015;14.955,60;MARÍA VIRGINIA ORIÑUELA FERNÁNDEZ
2015/CONASP0381;SERVICIOS DE SELECCIÓN Y ENVÍO DE NOTICIAS DE PRENSA ESCRITA;1;1;23/11/2015;18.452,50;ACCESO GROUP, S.L.
2015/CONASO0393;DISEÑO DE CAMPAÑA DE INFORMACION Y SENSIBILIZACION PROYECTO DE DETECCION Y ATENCION A LAS NECESIDADES DE PERSONAS MAYORES DE 75 AÑOS QUE VIVEN SOLAS;3;2;23/11/2015;5.251,40;LA DEBACLE S.L.
2015/CONASO0398;RETIRADA Y REPOSICIÓN DE LA MOQUETA DEL CENTRO CULTURAL OIHANEDER;3;2;23/11/2015;3.394,05;LANKIDE, SERVICIOS EMPRESARIALES, S.L.
2015/CONOOR0115;TRABAJOS DE INSTALACIÓN DE ALUMBRADO ORNAMENTAL DE PINOS NAVIDEÑOS Y BELEN DE LA FLORIDA;3;3;24/11/2015;18.211,20;ELCA MONTAJES ELECTRICOS  S.A.
2015/CONASO0395;MANTENIMIENTO DEL ASCENSOR RAE 120944 DEL POLIDEPORTIVO ARANALDE;1;1;24/11/2015;865,08;ELECTRA VITORIA S.COOP. LTDA.
2015/CONASO0397;MANTENIMIENTO DE CUATRO APARATOS ELEVADORES NUEVOS INSTALADOS EN EL PALACIO EUROPA;1;1;24/11/2015;3.313,75;ELECTRA VITORIA S.COOP. LTDA.
2015/CONSOC0111;SUMINISTRO DE PLANTA PARA REALIZAR REPOSICIONES EN JARDÍN VERTICAL;7;6;30/11/2015;;VIVEROS ESKALMENDI, S.L.
2015/CONOOR0126;TRABAJOS DE ADECUACION DE ALMACENAMIENTO DE PRODUCTOS QUIMICOS A NORMATIVA Y REQUERIMIENTOS DE INDUSTRIA EN PISCINAS EXTERIORES DE MENDIZORROTZA;1;1;01/12/2015;14.577,43;GIROA, S A. SOCIEDAD UNIPERSONAL
2015/CONOOR0127;TRABAJOS VARIOS EN LAS PISCINAS DEL CENTRO CIVICO SALBURUA;1;1;01/12/2015;9.090,97;GIROA, S A. SOCIEDAD UNIPERSONAL
2015/CONASO0406;MANTENIMIENTO DE SEIS APARATOS ELEVADORES NUEVOS EN EL PALACIO VILLASUSO;1;1;01/12/2015;2.835,00;OMEGA URBAN ARABA SERVICE S.L.
2015/CONASO0407;REPARTO DE FOLLETO INFORMATIVO RELATIVO AL PLAN DE NEVADAS;3;3;01/12/2015;3.593,70;MARKETING BERRIA DISTRIBUCIÓN DE PUBLICIDAD
2015/CONSPE0104;RENOVACIÓN DEL MANTENIMIENTO DE LICENCIAS DE SOFTWARE DE DIGITALIZACIÓN MASIVA KOFAX CAPTURE DEL AYUNTAMIENTO DE VITORIA-GASTEIZ;5;4;02/12/2015;5.668,85;INFORMATICA EL CORTE INGLES, S.A.
2015/CONSOC0116;SUMINISTRO DE DOS CAMPANAS EXTRACTORAS Y DOS LAVAVAJILLAS PARA EL PALACIO DE CONGRESOS MUNICIPAL EUROPA;3;3;02/12/2015;2.179,40;BACOMAT ELECTRODOMESTICOS
2015/CONSOC0116;SUMINISTRO DE DOS CAMPANAS EXTRACTORAS Y DOS LAVAVAJILLAS PARA EL PALACIO DE CONGRESOS MUNICIPAL EUROPA;0;0;02/12/2015;2.223,98;ELECTRODOMESTICOS ECHARTE
2015/CONOOR0129;TRABAJOS DE RENOVACION DEL SISTEMA DE CCTV EN EL CENTRO CIVICO ALDABE;3;3;02/12/2015;15.001,58;ELDUR MANTENIMIENTO S.L.L.
2015/CONOOR0114;OBRAS DE REFORMA DE PASOS PEATONALES EN LA CALLE BASOA;6;6;03/12/2015;37.781,37;OBRERA HEMARVA DE LA CONSTRUCCION S.COOP LTDA.
2015/CONOOR0122;"TRABAJOS DEL ""PLAN DE GESTIÓN DEL ARBOLADO DE ZARAMAGA Y EL PILAR. ACTUACIONES 2015-2016"" DE LA CIUDAD DE VITORIA-GASTEIZ";6;3;03/12/2015;26.231,60;VIVEROS ESKALMENDI, S.L.
2015/CONOOR0130;SUSTITUCION DE FALSO TECHO E ILUMINACION DE GIMNASIO EN EL CENTRO CIVICO ALDABE;4;4;03/12/2015;9.062,16;MANPROL GESTION S.L.U.
2015/CONOOR0131;COLOCACION DE RED DE NYLON BAJO LA CUBIERTA DEL POLIDEPORTIVO DEL CEP ERREKABARRI;4;4;03/12/2015;6.897,00;R.S. CERCADOS, S.L.
2015/CONOOR0133;FORMACION RAMPA EN SALIDA DE EMERGENCIA DEL CENTRO MUNICIPAL DE ACOGIDA SOCIAL;6;5;04/12/2015;14.369,72;SOLERAS Y PAVIMENTOS CIJE S.L.
2015/CONSOC0118;ADQUISICIÓN DE UN ELEVADOR DE DOS COLUMNAS PARA EL TALLER MECÁNICO DEL SERVICIO DE POLICÍA LOCAL;3;3;04/12/2015;3.797,16;REDIMAUTO
2015/CONOOR0135;TRABAJOS DE FABRICACION DE VALLAS EN EL CAMPO DE FUTBOL LOS ASTRONOMOS;3;3;04/12/2015;9.711,67;SUCESORES DE AGUIRRE SAU
2015/CONOOR0136;SUSTITUCION DE LA ACOMETIDA DE SANEAMIENTO DE VESTUARIOS EN EL CAMPO DE FUTBOL ADURTZABAL;3;3;04/12/2015;17.059,15;GUINALDURA S.L. EXCAVACIONES
2015/CONOOR0137;REPARACION DE CUBIERTA EN APARTAMENTOS TUTELADOS DE CALLE SAN ANTONIO;4;4;04/12/2015;12.468,21;AKTUA REHABILITACION INTEGRAL S.COOP.
2015/CONASO0403;LABORES DE RECONFIGURACIÓN DE LOS EQUIPO EQUIPOS TRAS LA INSTALACIÓN DEL NUEVO EQUIPAMIENTO DE COMUNICACIONES EN EL EDIFICIO DE SAN MARTIN;1;1;07/12/2015;21.000,00;DERTEN SISTEMAS, S.A.
2015/CONSOC0120;APROBACIÓN DEL GASTO Y ADJUDICACIÓN DE LOS TRABAJOS DE MEJORA DEL SISTEMA DE AYUDA A LA EXPLOTACIÓN DE LA ESTACIÓN DE AUTOBUSES DE VITORIA-GASTEIZ;1;1;09/12/2015;10.539,10;LAFORJA SISTEMAS, S.L.
2015/CONOOR0120;OBRAS DE CONSTRUCCIÓN DE PARADA DE TAXIS EN LA CALLE FRANCIA, FRENTE AL MUSEO ARTIUM;10;9;11/12/2015;16.725,51;OBRERA HEMARVA DE LA CONSTRUCCION S.COOP LTDA.
2015/CONASO0415;MANTENIMIENTO DEL ASCENSOR RAE 120161 EN LAS MURALLAS PREFUNDACIONALES;1;1;11/12/2015;1.134,30;ELECTRA VITORIA S.COOP. LTDA.
2015/CONASO0416;MANTENIMIENTO DEL ASCENSOR RAE 120705 DEL CENTRO SOCIAL DE ADURTZA;1;1;11/12/2015;840,16;THYSSENKRUPP ELEVADORES S.L.U.
2015/CONASP0354;RECOGIDA DE INFORMACIÓN PARA LA EVALUACI ÓN DEL III PLAN JOVEN MUNICIPAL;3;3;14/12/2015;16.500,00;QUOR, S.L.
2015/CONSOC0124;COLOCACIÓN DE LÁMINA SOLAR EN LAS OFICINAS Y SALA DE CONTROL DE LA ESTACIÓN DE AUTOBUSES DE VITORIA-GASTEIZ;3;2;14/12/2015;7.141,42;ROTULOS OKETA
2015/CONASO0394;FORMACIÓN PARA IMPULSAR LA PRESENCIA Y E EL USO DEL EUSKERA EN EL ÁMBITO DEL OCIO Y DEPORTE;3;1;15/12/2015;7.700,00;EBETE HIZKUNTZA-ZERBITZUAK S.COOP.TXIKIA
2015/CONASO0396;DINAMIZACIÓN DE LA PRESENCIA Y USO DEL EUSKERA EN EL ÁMBITO DEL COMERCIO DE VITORIA-GASTEIZ;3;2;15/12/2015;18.900,20;SIADECO S. COOP. L.
2015/CONASO0405;APOYO TECNICO PARA LA DINAMIZACIÓN DEL USO Y PRESENCIA DEL EUSKERA EN EL ÁMBITO DEL OCIO Y EL DEPORTE;3;1;15/12/2015;18.000,00;SIADECO S. COOP. L.
2015/CONASO0411;KAFE BABEL-TRABAJOS DE DISEÑO,ORGANIZA- CIÓN Y DINAMIZACIÓN DEL PROYECTO DE ENC UENTROS INTERCULTURALES;1;1;15/12/2015;15.900,00;KULTUR KABIA ZERBITZUAK, S.L.
2015/CONASO0418;CONTRATO MENOR PARA EL DISEÑO, COORDINA- CION,EJECUCION Y EVALUACIÓN DEL PROYECTO ¿Y TU QUE PINTAS? EN EL MARCO DEL PLAN LOCAL DE INFANCIA Y ADOLESCENCIA;3;1;15/12/2015;13.975,50;QUINTAS FOTÓGRAFOS SL
2015/CONASP0409;ASISTENCIA TÉCNICA PARA EL MANTENIMIENTO PREVENTIVO Y ACTUALIZACIÓN IN SITU DE LOS DESFIBRILADORES INSTALADOS EN LA RED DE ESPACIOS PÚBLICOS MUNICIPALES;1;1;17/12/2015;15.013,68;PHYSIO-CONTROL SPAIN SALES, S.R.L.
2015/CONOOR0128;CONTRATACIÓN DE LOS TRABAJOS DE SEÑALIZACIÓN CARRIL BICI VASCONAVARRO;3;2;17/12/2015;27.255,65;SISCA SEÑALIZACIONES, S.L.(ANTIGUA PINTURAS DÍAZ E HIJOS, S.L.)
2015/CONOOR0134;OBRAS DE CONSTRUCCIÓN DE UN ITINERARIO PEATONAL PARA DISCAPACITADOS INVIDENTES EN LOS ALREDEDORES DEL AYUNTAMIENTO SITO EN EL BARRIO DE SAN MARTÍN;6;5;17/12/2015;14.648,93;BALGORZA  S.A
2015/CONSOC0123;APROBACIÓN DEL GASTO Y ABONO DE FACTURA A LA EMPRESA GAURSA AUTOAK, S.L., POR EL SUMINISTRO DEL VEHÍCULO DE OCASIÓN CON MATRÍCULA 3765 HDV;0;1;17/12/2015;14.800,01;GAURSA AUTOAK, S.L.U.
2015/CONASP0402;"SERVICIO DE AFINACIÓN DE PIANOS PARA LA ESCUELA MUNICIPAL DE MÚSICA ""LUIS ARAMBURU""";3;2;22/12/2015;4.125,00;ENRIQUE ARZAMENDI BALERDI
2015/CONOOR0138;OBRAS DE CONSTRUCCIÓN DE PASOS ELEVADOS EN LA E.L.M. DE MONASTERIOGUREN DEL TÉRMINO MUNICIPAL DE VITORIA-GASTEIZ;3;3;22/12/2015;10.761,57;YARRITU S.A.
2015/CONOOR0140;OBRAS DE URBANIZACION Y MEJORA DE LA ACCESIBILIDAD DE LA PLAZA Y DE LA IGLESIA DE LA E.L.M.DE BERROSTEGUIETA;7;7;22/12/2015;36.349,97;BALGORZA  S.A
2015/CONASO0420;REPARACIÓN DE CHALECOS ANTIBALA EXTERNOS Y AMPLIACIÓN DEL PERIODO DE CADUCIDAD DE DE LOS MISMOS EN CINCO AÑOS;1;1;22/12/2015;8.228,00;FEDUR, S.A.
2015/CONOOR0141;SUMINISTRO E INSTALACION DE PERSIANA MOT ORIZADA;4;4;22/12/2015;4.386,91;AKTUA REHABILITACION INTEGRAL S.COOP.
2015/CONSPE0126;APROBACIÓN DEL GASTO Y ABONO DE FACTURA A LA MERCANTIL GRAMA FORMULARIOS, POR EL SUMINISTRO DE TARJETAS OTA 2016;4;3;22/12/2015;3.539,98;GRAMA FORMULARIOS S.A.
2015/CONASP0408;ASISTENCIA TÉCNICA PARA EL DESARROLLO DE ACTIVIDADES TEÓRICAS DESTINADAS A PROMOVER HÁBITOS DE ALIMENTACIÓN SALUDABLES;3;1;23/12/2015;18.000,00;NUTRIPLAN SC
2015/CONAPR0417;REDACCIÓN DE PROYECTO Y DIRECCIÓN FACULTATIVA DE LAS OBRAS DE DERRIBO DEL INMUEBLE SITO EN LA CALLE NUEVA DENTRO NÚMERO 32 EN VITORIA-GASTEIZ;4;4;23/12/2015;4.981,64;LÓPEZ MUJIKA ARQUITECTOS, S.L.P.
2015/CONOOR0139;OBRAS DE PAVIMENTACIÓN DE UNA CALLE EN LA E.L.M. DE MENDOZA DEL TÉRMINO MUNICIPAL DE VITORIA-GASTEIZ;7;7;23/12/2015;14.535,72;CAMPEZO OBRAS Y SERVICIOS SA
2015/CONSOC0125;SUMINISTRO DE UN DETECTOR DE DROGAS EN SALIVA PARA EL SERVICIO DE POLICÍA LOCAL;1;1;23/12/2015;4.806,48;DRAGER SAFETY HISPANIA S.A.
