EXPEDIENTE;ASUNTO;Nº INVITADOS;Nº LICITADORES;FECHA ADJUDICACIÓN;PRECIO;EMPRESA
2015/CONASO0033;SERVICIO DE CONTROL E INFORMACIÓN EN LOS MERCADOS DE VENTA AMBULANTE DE PZA DE SIMÓN BOLIVAR, PZA SANTA BÁRBARA, LAKUA ARRIAGA, PZA ESPAÑA Y MDO MEDIEVAL. 2015;4;1;11/03/2015;17.768,85;AMAYA DIGITAL, S.L.U.
2015/CONOOR0012;TRABAJOS DE SUSTITUCION DE FALSO TECHO DEL AULA DE PSICOMOTRICIDAD EN EL CP ABENDAÑO;4;4;11/03/2015;3.917,98;CUBIERTAS PEJUAL S.L.
2015/CONASP0087;MANTENIMIENTO DE SISTEMAS DE SEGURIDAD (EQUIPO HISCAN Y ARCO DETECTOR) DEL EDIFICIO DE PLAZA DE ESPAÑA. AÑO 2015;1;1;13/03/2015;4.181,76;TECOSA, TELECOMUNICACIÓN, ELECTRÓNICA Y CONMUTACIÓN, S.A.
2015/CONOOR0013;TRABAJOS DE FORMACION DE RAMPA DE ACCESO AL EDIFICIO EN CEP ADURTZA;5;3;16/03/2015;10.869,73;PAVIAL NORTE S.L.
2015/CONSOC0020;ADQUISICIÓN DEL PRODUCTO R&R PARA UN SISTEMA DE RESERVA Y GESTIÓN DE RECURSOS PARA EL NUEVO EDIFICIO DE LAS OFICINAS DE SAN MARTIN;1;1;23/03/2015;8.087,06;INFO TECHNOLOGY SUPPLY LTD
2015/CONASO0042;DISEÑO E IMPARTICION DEL PROGRAMA FORMATIVO GESTION ENERGETICA DE INSTALACIONES INDUSTRIALES. ACTUACION ENMARCADA EN PROYECTO EMPLEO LOCAL 10;4;3;26/03/2015;19.057,00;F&M ENERGIA SCOOP PEQUEÑA
2015/CONOEX0011;INSTALACIÓN ELÉCTRICA DE BAJA TENSIÓN PRA LA FERIA DE ARTESANÍA DE LAS FIESTAS  PATRONALES DE LA VIRGEN BLANCA. AÑO 201 2015;6;4;26/03/2015;7.150,00;EKOARGI INSTALACIONES ELECTRICAS
2015/CONASP0072;ORGANIZACION DE LA CARRERA DE LA MUJER CIRCUITO RUNNER 2015 EN VITORIA-GASTEIZ;1;1;30/03/2015;11.000,00;MOTORPRESS IBERICA S.A.U.
2015/CONASO0123;ACTUACIÓN DEL ARTISTA CARLOS JEAN EN LA PLAZA DE LOS FUEROS DENTRO DEL PROGRAMA DE LAS FIESTAS DE LA VIRGEN BLANCA EL DÍA 7 DE AGOSTO DE 2015;1;1;30/03/2015;10.890,00;IREGUA PRODUCCIÓN Y CONTRATACIÓN DE ESPECTÁCULOS S.L.
2015/CONSOC0030;SUMINISTRO DE CUBETAS Y TAPAS CON JUNTA HERMÉTICA PARA EL CIAM SAN PRUDENCIO;2;2;01/04/2015;5.082,00;HOTEL-HOGAR SA
2015/CONASO0048;CONTRATACION DE UNA EMPRESA PARA LA IMPARTICION DEL PROGRAMA FORMATIVO DISEÑO CAD CON SIEMENS NX;4;3;07/04/2015;11.180,00;AVANTEK
2015/CONSOC0026;INSTAL. Y PUESTA EN MARCHA DE UN NUEVO SISTEMA INTELIGENTE DE GESTIÓN DE COLAS DE ESPERA PARA LAS NUEVAS OFICINAS DE ATENCIÓN AL CIUDADANO DEL C.C.SALBURUA;1;1;07/04/2015;6.596,44;Q-MATIC SISTEMAS, S.A.
2015/CONOOR0018;TRABAJOS DE REPARACIONES EN ASEOS, VESTUARIOS Y CARPINTERIA EXTERIOR DEL POLIDEPORTIVO DE MENDIZORROTZA;5;5;07/04/2015;48.978,90;ENVIANDE GASTEIZ, S.L.
2015/CONASO0041;"IMPARTICION CURSO DISEÑO TECNICO; HERRAMIENTAS INFORMATICAS. ACTUACION ENMARCADA EN PROYECTO EMPLEO LOCAL 10 EJE 2 COFINANCIADO 50% POR FSE";4;2;08/04/2015;11.840,00;IKER RAMÍREZ DE LA PISCINA MORAZA
2015/CONASO0136;CONTRATO MENOR PROGRAMA PISOS DE ACOGIDA Y ALOJAMIENTO DEL SERVICIO DE INSERCIÓN SOCIAL;1;1;08/04/2015;15.793,92;IPACE, PSICOLOGIA APLICADA, S.L.
2015/CONOOR0015;OBRAS DE ADECUACIÓN DEL ENTORNO DE LA ESTACIÓN DE AUTOBUSES DE LA CALLE LOS HERRAN;4;4;13/04/2015;39.949,95;CAMPEZO OBRAS Y SERVICIOS SA
