Id;CARRER;Nº;Places;Cantonada;Barri;Equipament;SenyVert;SenyHor;Rampa;Bat/Fil
298;SATURN;7;1;;MARIOLA;;SI;SI;NO;FILERA
299;SEGON PASSEIG DE RONDA;61;1;COBRIMENT DE VIES;PRÍNCEP DE VIANA - CLOT;;SI;SI;SI;BATERIA
300;SEGON PASSEIG DE RONDA;23;1;COBRIMENT DE VIES;PRÍNCEP DE VIANA - CLOT;;SI;SI;SI;FILERA
301;SEGOVIA;16;2;;JOC DE LA BOLA;;SI;SI;SI;FILERA
302;SEGRIA;23;1;;JOC DE LA BOLA;;SI;SI;SI;FILERA
303;SERRA DE ALMENARA;1;1;MERCAT DE FLEMING;CAMP D'ESPORTS;;SI;SI;SI;BATERIA
304;SICORIS;45;2;;BORDETA;;SI;SI;NO;BATERIA
305;SICORIS;28;1;;BORDETA;;SI;SI;SI;BATERIA
306;SICORIS;4;1;;BORDETA;;SI;SI;NO;BATERIA
307;SOLSONA;1;1;;BORDETA;;SI;SI;SI;FILERA
308;SOLSONA;15;2;;BORDETA;;SI;NO;SI;FILERA
309;TAMARIT DE LLITERA;6;1;;CAMP D'ESPORTS;;SI;SI;NO;FILERA
310;TAQUIGRAF MARTÍ;16;1;;PRÍNCEP DE VIANA - CLOT;;SI;SI;SI;BATERIA
311;TAQUIGRAF MARTÍ;9;1;;XALETS - HUMBERT TORRES;;SI;SI;SI;BATERIA
312;TAQUIGRAF MARTÍ;2;1;PL. CONSTITUCIÓ;PRÍNCEP DE VIANA - CLOT;;SI;SI;SI;BATERIA
313;TEMPLERS;1;1;;INSTITUTS - TEMPLERS;;SI;SI;SI;FILERA
314;TEMPLERS;21;1;;INSTITUTS - TEMPLERS;;SI;SI;SI;FILERA
315;TON SIRERA;2;1;;INSTITUTS - TEMPLERS;;SI;SI;NO;BATERIA
316;TON SIRERA;8;1;;INSTITUTS - TEMPLERS;IES SAMUEL GILI I GAYA;SI;SI;SI;FILERA
317;TORRES DE SANUI;42;1;;UNIVERSITAT;;SI;SI;SI;FILERA
318;TORRES DE SANUI;2;1;;UNIVERSITAT;;SI;SI;SI;FILERA
319;TRINITARIS;1;1;;CAPPONT;;SI;SI;SI;FILERA
320;UNIO;2;1;;INSTITUTS - TEMPLERS;;SI;SI;SI;FILERA
321;UNIVERSITAT;2;1;;CENTRE HISTÒRIC;;SI;SI;SI;FILERA
322;VALLADOLID;;1;PIUS XII;MARIOLA;;SI;SI;SI;FILERA
323;VALLADOLID;;1;ROSSINYOL;MARIOLA;;SI;SI;SI;FILERA
324;VALLS D'ANDORRA;81;1;;BALÀFIA;;SI;SI;SI;FILERA
325;VALLS D'ANDORRA;14;1;;BALÀFIA;;SI;SI;SI;FILERA
326;VENUS;27;1;;MARIOLA;;SI;SI;SI;FILERA
327;VENUS;3;1;;MARIOLA;;SI;SI;SI;BATERIA
328;VENUS;17;1;;MARIOLA;;SI;SI;SI;FILERA
329;VERGE DE NURIA;1;1;;BALÀFIA;;SI;SI;SI;FILERA
330;VERGE DEL BLAU;6;1;;BALÀFIA;;SI;SI;SI;FILERA
331;VERGE DELS DESEMPARATS;21;1;;BALÀFIA;;SI;SI;SI;FILERA
332;VIDAL I CODINA;5;1;;BALÀFIA;;SI;SI;SI;FILERA
333;VIDAL I CODINA;2;1;PARQUING CAP;BALÀFIA;CAP BALÀFIA - PARDINYES;NO;SI;SI;BATERIA
334;XAVIER PUIG I ANDREU;6;1;;PARDINYES;;SI;SI;SI;FILERA
336;ONZE DE SETEMBRE;74;1;;MARIOLA;;SI;SI;NO;BATERIA
337;IGNASI BASTÚS;;1;CENTRE;BORDETA;;SI;SI;SI;FILERA
338;SABADELL;13;1;;BALÀFIA;COL·LEGI MIRASAN;SI;SI;NO;FILERA
339;JORDI SOLÉ TURA;;2;;SECÀ DE SANT PERE;PAVELLÓ SECÀ;NO;SI;NO;BATERIA
340;BORGES BLANQUES;7;2;;BORDETA;;SI;SI;SI;FILERA
341;BOQUÉ;;1;DAVANT COL·LEGI;BORDETA;IES MARIA RÚBIES;SI;SI;SI;FILERA
342;ONZE DE SETEMBRE;10;4;;BALÀFIA;CAP ONZE DE SETEMBRE;SI;SI;NO;FILERA
343;PRAT DE LA RIBA;91;1;;PRÍNCEP DE VIANA - CLOT;;SI;SI;SI;FILERA
344;ALCALDE COSTA;;1;DAVANT 36;INSTITUTS - TEMPLERS;;SI;SI;NO;BATERIA
345;TARRAGONA;14;1;;PARDINYES;;SI;SI;SI;FILERA
346;MIQUEL CORTIADA;;1;ENGINYER CELLERS;PARDINYES;;SI;SI;NO;FILERA
347;PICABAIX;;1;SANT PERE;SECÀ DE SANT PERE;;SI;SI;SI;FILERA
348;VALLCALENT;28;1;;UNIVERSITAT;;SI;SI;NO;FILERA
349;XAVIER PUIG I ANDREU;28;1;;PARDINYES;;SI;SI;NO;FILERA
350;NOSTRA SRA. DELS ÀNGELS;3;1;;MAGRANERS;;SI;SI;NO;FILERA
351;PI I MARGALL;44;1;;PRÍNCEP DE VIANA - CLOT;;SI;SI;NO;FILERA
352;TORTOSA;19;1;;PARDINYES;;SI;SI;SI;FILERA
353;QUATRE PILANS;;1;AGUSTINS DURAN I SANTPERE;CAPPONT;;SI;SI;NO;FILERA
354;XAVIER PUIG I ANDREU;7;1;;PARDINYES;ESCOLA LA MITJANA;SI;SI;SI;FILERA
355;RIU EBRE;7;1;;CAPPONT;;SI;SI;SI;BATERIA
356;MAGNOLIES;3;1;;BALÀFIA;;SI;SI;SI;FILERA
357;COMTES D'URGELL;;1;GIRONA;PARDINYES;;SI;SI;SI;FILERA
358;FERRARA;;1;SANT HILARI;PRÍNCEP DE VIANA - CLOT;;SI;SI;NO;FILERA
359;TRANSFORMADOR;;1;MOSSÈN SALVADOR;MAGRANERS;;SI;SI;NO;FILERA
360;BONAIRE;;;BISBE GALINDO;CENTRE HISTÒRIC;;SI;SI;SI;FILERA
;;;;;;;;;;
