"Concepte";"Nom";"Tipologia";"Superficie";"Usuaris";"Gener [kWh]";"Febrer [kWh]";"Març [kWh]";"Abril [kWh]";"Maig [kWh]";"Juny [kWh]";"Juliol [kWh]";"Agost [kWh]";"Setembre [kWh]";"Octubre [kWh]";"Novembre [kWh]";"Desembre [kWh]";"Gener[€]";"Febrer[€]";"Març[€]";"Abril[€]";"Maig[€]";"Juny[€]";"Juliol[€]";"Agost[€]";"Setembre[€]";"Octubre[€]";"Novembre[€]";"Desembre[€]"
"Electricitat";"MERCAT LLEÓ";"oficina";"1.829";"";"23.145";"21.435";"23.931";"28.241";"35.402";"52.048";"59.790";"59.549";"55.496";"46.983";"25.795";"28.481";"4.571";"4.240";"4.723";"4.935";"5.880";"8.384";"9.361";"9.235";"8.637";"7.470";"4.574";"4.890"
"Electricitat";"OFICINA PLA DE BARRIS";"oficina";"";"";"365";"531";"689";"529";"491";"271";"186";"167";"152";"135";"122";"231";"97";"121";"151";"125";"120";"58";"33";"57";"65";"64";"60";"79"
"Electricitat";"PUNT DE BENVINGUDA";"oficina";"54";"";"886";"701";"684";"567";"539";"594";"652";"608";"556";"578";"555";"734";"183";"148";"148";"129";"125";"99";"88";"116";"129";"133";"126";"157"
"Electricitat";"SALA FIDEL AGUILAR";"oficina";"227";"";"4.165";"3.677";"3.281";"2.444";"2.422";"2.654";"3.171";"3.402";"2.971";"3.048";"3.724";"5.640";"675";"600";"576";"479";"489";"512";"585";"612";"550";"560";"620";"844"
"Electricitat";"OFICINA DE TURISME";"oficina";"176";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Electricitat";"VIVERS HORTES SANTA EUGÈNIA";"altres";"352";"";"3.074";"2.840";"1.904";"904";"796";"717";"676";"866";"618";"1.320";"1.250";"2.055";"552";"513";"428";"223";"208";"192";"187";"224";"175";"296";"277";"430"
"Electricitat";"REPETIDOR TORRE ALFONS XII";"altres";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"38";"37";"43";"41";"43";"20";"12";"26";"41";"43";"41";"22"
"Electricitat";"REPETIDOR TV PUIGVISTÓS";"altres";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Electricitat";"ASCENSOR PUJADA SANT MARTÍ";"altres";"";"";"387";"362";"432";"424";"432";"386";"286";"295";"294";"345";"399";"407";"106";"98";"115";"106";"83";"83";"90";"92";"93";"103";"108";"112"
"Electricitat";"BRIGADES OBRES";"altres";"302";"";"17.113";"15.666";"13.275";"8.683";"7.671";"6.045";"5.939";"5.911";"6.126";"6.716";"10.909";"14.844";"2.385";"2.201";"1.963";"1.487";"1.381";"1.210";"1.214";"1.216";"1.219";"1.317";"1.708";"2.155"
"Electricitat";"MAGATZEM REIS MAGS";"altres";"";"";"-456";"258";"243";"78";"82";"78";"82";"81";"79";"81";"80";"80";"-38";"74";"73";"37";"40";"47";"50";"49";"48";"50";"49";"49"
"Electricitat";"CASTELL MONTJUÏC";"cultural";"";"";"28";"16";"34";"60";"214";"224";"17";"16";"126";"161";"96";"89";"54";"47";"64";"52";"80";"81";"46";"46";"64";"72";"58";"58"
"Electricitat";"CEMENTIRI";"altres";"75";"";"1.883";"1.906";"1.428";"279";"421";"630";"616";"558";"362";"85";"794";"1.924";"340";"333";"259";"74";"63";"34";"72";"116";"87";"46";"157";"337"
"Electricitat";"CEMENTIRI DE SANTA EUGÈNIA";"altres";"";"";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"18";"17";"19";"19";"20";"20";"19";"20";"18";"19";"19";"20"
"Electricitat";"CIRC FIRES";"altres";"";"";"22";"15";"15";"5";"6";"5";"6";"5";"6";"23";"22";"23";"68";"65";"73";"68";"72";"68";"72";"70";"70";"73";"72";"74"
"Electricitat";"COMPORTES MARFÀ";"bombeig";"";"";"169";"154";"171";"171";"176";"175";"181";"187";"173";"179";"171";"170";"57";"53";"60";"59";"60";"48";"48";"58";"59";"61";"58";"59"
"Electricitat";"DIPÒSIT ZONA SANT DANIEL";"altres";"";"";"148";"93";"304";"322";"-28";"-112";"214";"312";"299";"308";"139";"118";"38";"28";"63";"66";"3";"-11";"46";"63";"63";"66";"37";"34"
"Electricitat";"ESTACIÓ CONTAMINAC.ATMOSFERICA";"altres";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Electricitat";"FONT DEL FERRO";"altres";"";"";"7";"6";"13";"13";"17";"17";"21";"23";"13";"12";"6";"5";"16";"15";"18";"17";"18";"17";"20";"20";"18";"18";"16";"17"
"Electricitat";"FONT PAÏSOS CATALANS";"altres";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"79";"155";"254";"232";"263";"255";"263";"164";"135";"135";"130";"134";"144";"162"
"Electricitat";"GRUP DE PRESSIÓ DE GERMANS SÀBAT";"bombeig";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Electricitat";"JARDINS DELS ALEMANYS";"altres";"";"";"192";"163";"47";"70";"172";"168";"172";"175";"167";"175";"167";"-9";"74";"65";"51";"52";"61";"63";"73";"74";"72";"75";"71";"46"
"Electricitat";"MOTORS JARDINS DEVESA";"altres";"";"";"24";"-5";"-3";"17";"15";"0";"2";"17";"16";"-1";"0";"11";"45";"41";"46";"48";"50";"42";"45";"49";"48";"46";"46";"48"
"Electricitat";"CASETA JARDINERS PEDRET";"altres";"15";"";"434";"426";"259";"228";"80";"54";"55";"55";"46";"46";"226";"254";"107";"103";"81";"75";"32";"24";"48";"48";"46";"47";"74";"80"
"Electricitat";"PARC CENTRAL";"altres";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"68";"62";"69";"63";"58";"56";"58";"59";"8";"0";"0";"0"
"Electricitat";"PARC DEL MIGDIA";"altres";"";"";"5.127";"4.835";"5.550";"6.028";"6.930";"6.947";"7.389";"7.147";"6.588";"6.915";"5.168";"4.189";"871";"810";"806";"897";"1.147";"1.149";"1.214";"1.169";"1.095";"1.155";"874";"684"
"Electricitat";"REG JARDÍ DEL DOCTOR FIGUERAS";"altres";"";"";"0";"0";"0";"7";"111";"91";"1";"0";"2";"2";"2";"2";"22";"20";"24";"25";"42";"38";"25";"26";"24";"25";"25";"26"
"Electricitat";"REG MAS MASÓ";"altres";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"29";"26";"32";"31";"32";"31";"32";"32";"31";"32";"31";"32"
"Electricitat";"REG UNIVERSITAT ÀLIGUES";"altres";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Electricitat";"REIXA SÈQUIA MONAR MARISTES";"altres";"";"";"590";"492";"538";"469";"483";"437";"454";"433";"407";"377";"412";"512";"120";"100";"110";"98";"101";"49";"59";"92";"88";"85";"90";"106"
"Electricitat";"WC VARIS";"altres";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Electricitat";"WC CARME";"altres";"";"";"268";"212";"138";"-4";"-343";"-195";"18";"22";"28";"23";"12";"14";"63";"49";"30";"14";"-26";"-6";"23";"24";"25";"25";"22";"23"
"Electricitat";"WC CARPES DEVESA";"altres";"";"";"10";"10";"11";"8";"4";"12";"11";"9";"36";"269";"645";"693";"59";"57";"67";"61";"29";"30";"29";"30";"32";"71";"129";"138"
"Electricitat";"WC DOMENY";"altres";"";"";"212";"192";"212";"-362";"-374";"-4";"9";"10";"9";"10";"9";"10";"50";"45";"50";"-43";"-45";"16";"18";"18";"17";"18";"17";"18"
"Electricitat";"WC PLAÇA INDEPENDÈNCIA";"altres";"";"";"83";"135";"197";"72";"20";"21";"24";"27";"28";"58";"74";"30";"38";"46";"59";"34";"23";"29";"33";"33";"32";"38";"39";"16"
"Electricitat";"WC PERE CALDERS";"altres";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Electricitat";"WC PLAÇA SANTA EUGÈNIA";"altres";"14";"";"1.245";"896";"960";"243";"225";"113";"113";"9";"5";"357";"345";"866";"230";"166";"177";"63";"61";"-9";"-12";"26";"26";"82";"80";"164"
"Electricitat";"EBAR CAMPDORÀ";"bombeig";"";"";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"21";"21";"24";"23";"24";"23";"24";"25";"24";"24";"24";"24"
"Electricitat";"EBAR CREUETA";"bombeig";"";"";"21";"19";"10";"3";"6";"42";"69";"71";"75";"75";"77";"85";"57";"54";"59";"56";"59";"62";"69";"70";"69";"70";"68";"72"
"Electricitat";"EBAR PARADOR GÜELL";"bombeig";"";"";"52";"15";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"38";"30";"32";"30";"30";"30";"32";"31";"31";"31";"31";"31"
"Electricitat";"EBAR MARFÀ";"bombeig";"";"";"91";"86";"96";"691";"782";"-372";"-621";"-23";"92";"99";"96";"104";"41";"40";"45";"104";"115";"-9";"-34";"32";"44";"46";"44";"46"
"Electricitat";"EBAR NESTLE";"altres";"";"";"49";"152";"419";"-166";"-171";"51";"61";"91";"88";"78";"76";"66";"159";"128";"105";"4";"4";"35";"37";"46";"44";"43";"42";"42"
"Electricitat";"POU MONTSERRAT";"altres";"";"";"1.909";"825";"927";"886";"1.069";"1.943";"2.141";"3.083";"2.346";"423";"279";"223";"409";"209";"235";"224";"260";"413";"452";"626";"489";"138";"110";"102"
"Electricitat";"SEPARADOR HIDROCARBURS DOMENY";"bombeig";"";"";"8";"7";"8";"8";"11";"13";"14";"14";"14";"14";"14";"14";"10";"9";"10";"9";"10";"10";"10";"11";"10";"11";"10";"11"
"Electricitat";"AUDITORI";"cultural";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Electricitat";"BIBLIOTECA TAIALÀ";"cultural";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Electricitat";"PATRONAT CALL GIRONA";"cultural";"";"";"20.451";"17.239";"13.727";"7.969";"7.068";"6.029";"6.597";"6.708";"5.648";"5.927";"8.924";"15.638";"2.759";"2.318";"1.952";"1.332";"1.263";"1.141";"1.241";"1.252";"1.103";"1.118";"1.406";"2.247"
"Electricitat";"BIBLIOTECA ANTÒNIA ADROHER";"cultural";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Electricitat";"CINEMA TRUFFAUT - RÀDIO";"cultural";"";"";"2.908";"6.357";"7.729";"4.849";"939";"169";"2.438";"5.520";"4.624";"1.833";"1.729";"1.236";"591";"999";"1.185";"828";"361";"244";"520";"914";"812";"480";"458";"372"
"Electricitat";"GUINGUETA FONTAJAU";"cultural";"";"";"0";"0";"0";"0";"0";"0";"27";"55";"56";"142";"152";"98";"0";"0";"0";"0";"0";"0";"260";"99";"50";"64";"64";"58"
"Electricitat";"PLAÇA JURATS";"cultural";"15";"";"4.129";"3.231";"1.928";"1.214";"731";"267";"762";"621";"270";"539";"2.034";"3.517";"608";"497";"379";"297";"188";"103";"262";"252";"143";"153";"417";"684"
"Electricitat";"MAS ABELLA";"cultural";"100";"";"812";"706";"639";"135";"341";"821";"840";"911";"857";"893";"801";"792";"318";"288";"302";"156";"118";"202";"208";"220";"209";"217";"199";"199"
"Electricitat";"LA MARFÀ";"oficina";"";"";"19.693";"18.717";"19.288";"14.654";"16.190";"18.598";"20.789";"18.376";"18.866";"18.739";"19.454";"19.681";"3.661";"3.457";"3.663";"3.111";"3.357";"3.672";"3.990";"3.667";"3.704";"3.735";"3.755";"3.761"
"Electricitat";"FUNDACIÓ RAFEL MASÓ";"cultural";"";"";"271";"330";"220";"152";"249";"348";"331";"359";"407";"364";"430";"756";"112";"118";"107";"92";"120";"119";"115";"120";"127";"121";"132";"192"
"Electricitat";"CENTRE CULTURAL LA MERCÈ";"cultural";"3.039";"";"12.338";"16.342";"12.162";"9.127";"8.688";"9.547";"6.995";"2.605";"5.070";"7.676";"9.387";"10.078";"2.234";"2.783";"2.280";"1.741";"1.645";"1.773";"1.470";"940";"1.225";"1.531";"1.789";"1.937"
"Electricitat";"MUSEU D'HISTÒRIA";"cultural";"";"";"29.348";"25.495";"23.527";"15.262";"12.667";"12.439";"14.007";"13.458";"13.322";"13.566";"18.746";"25.570";"4.046";"3.465";"3.299";"2.249";"1.916";"1.927";"2.155";"2.070";"2.064";"2.135";"2.714";"3.668"
"Electricitat";"CAPELLA DE SANT NICOLAU";"cultural";"";"";"611";"550";"10.857";"11.568";"3.130";"1.351";"602";"546";"811";"1.033";"4.017";"4.648";"143";"129";"1.794";"1.907";"202";"-139";"112";"129";"179";"215";"665";"778"
"Electricitat";"TEATRE MUNICIPAL";"cultural";"800";"";"38.185";"43.900";"45.879";"27.711";"24.704";"27.780";"24.883";"19.147";"19.087";"26.605";"37.972";"46.016";"5.837";"6.347";"6.674";"4.615";"4.450";"5.311";"4.779";"4.461";"4.101";"4.990";"5.767";"6.864"
"Electricitat";"CEE FONT DE L'ABELLA";"educacio";"2.317";"";"6.931";"6.508";"6.153";"5.355";"5.619";"4.360";"2.973";"2.960";"4.526";"6.104";"6.395";"6.727";"1.265";"1.184";"1.192";"1.090";"1.155";"870";"641";"698";"883";"1.105";"1.118";"1.193"
"Electricitat";"CEE PALAU";"educacio";"1.451";"";"5.857";"5.689";"6.118";"4.515";"5.633";"174";"5.401";"950";"3.860";"5.053";"5.433";"4.568";"966";"924";"1.007";"848";"1.002";"333";"903";"366";"724";"865";"864";"783"
"Electricitat";"ESCOLA ANNEXA-JOAN PUIGBERT";"educacio";"4.330";"";"8.647";"8.894";"8.973";"6.560";"7.447";"5.930";"3.438";"2.516";"5.935";"7.679";"8.153";"8.173";"1.446";"1.442";"1.493";"1.221";"1.346";"1.150";"841";"737";"1.153";"1.380";"1.408";"1.418"
"Electricitat";"ESCOLA BALANDRAU";"educacio";"300";"";"10.432";"9.007";"7.042";"3.878";"2.752";"1.762";"485";"338";"1.096";"2.502";"4.630";"9.079";"1.603";"1.400";"1.190";"818";"703";"576";"426";"412";"500";"679";"940";"1.651"
"Electricitat";"ESCOLA CARME AUGUET";"educacio";"2.216";"";"4.875";"4.808";"5.095";"4.738";"4.847";"3.731";"4.222";"693";"4.022";"5.508";"6.110";"5.718";"948";"922";"974";"919";"938";"786";"847";"376";"820";"1.056";"1.119";"1.064"
"Electricitat";"ESCOLA CASSIA COSTAL";"educacio";"2.950";"";"5.740";"8.790";"8.551";"4.053";"9.551";"7.353";"3.792";"3.131";"5.422";"7.498";"8.247";"8.585";"1.836";"1.594";"1.522";"900";"1.515";"1.283";"907";"821";"1.092";"1.365";"1.455";"1.515"
"Electricitat";"ESCOLA DALMAU CARLES";"educacio";"2.802";"";"7.662";"7.551";"7.967";"6.088";"7.023";"5.659";"2.617";"1.757";"5.968";"7.349";"8.393";"7.735";"1.386";"1.297";"1.389";"1.171";"1.305";"1.133";"750";"645";"1.169";"1.350";"1.436";"1.372"
"Electricitat";"ESCOLA DOMENY";"educacio";"2.926";"";"7.784";"7.489";"7.804";"6.026";"6.339";"5.194";"4.075";"1.766";"5.063";"6.686";"7.627";"7.888";"1.346";"1.282";"1.372";"1.189";"1.253";"1.105";"978";"671";"1.082";"1.295";"1.353";"1.392"
"Electricitat";"ESCOLA EIXIMENIS";"educacio";"1.357";"";"2.659";"2.507";"3.402";"3.363";"3.629";"3.338";"2.237";"2.652";"4.470";"3.432";"324";"1.305";"459";"430";"561";"532";"357";"351";"361";"434";"760";"589";"75";"229"
"Electricitat";"ESCOLA FONT DE LA POLVORA";"educacio";"1.859";"";"2.983";"3.314";"2.929";"2.691";"1.551";"381";"1.743";"2.618";"2.566";"2.481";"2.686";"2.715";"639";"653";"642";"620";"498";"291";"392";"508";"513";"497";"505";"516"
"Electricitat";"ESCOLA JOAN BRUGUERA";"educacio";"2.102";"";"7.520";"8.605";"8.229";"7.070";"7.776";"6.893";"4.600";"3.884";"5.150";"8.245";"8.103";"7.958";"1.290";"1.392";"1.402";"1.287";"1.420";"1.278";"984";"882";"1.022";"1.444";"1.383";"1.368"
"Electricitat";"ESCOLA MARE DE DEU DEL MONT";"educacio";"2.013";"";"3.655";"3.261";"3.414";"3.025";"3.108";"1.701";"611";"1.296";"3.910";"3.706";"3.565";"4.084";"795";"723";"790";"739";"770";"592";"467";"577";"975";"964";"884";"950"
"Electricitat";"ESCOLA MONTFALGARS";"educacio";"2.654";"";"6.776";"7.606";"7.405";"6.348";"6.717";"5.383";"2.768";"1.833";"4.335";"7.288";"7.104";"6.810";"1.305";"1.376";"1.429";"1.292";"1.290";"1.088";"729";"617";"946";"1.333";"1.286";"1.279"
"Electricitat";"ESCOLA MIGDIA";"educacio";"2.775";"";"7.223";"7.589";"7.468";"6.513";"7.141";"6.337";"4.011";"3.832";"6.163";"8.158";"7.915";"8.123";"1.331";"1.297";"1.316";"1.202";"1.226";"1.105";"882";"866";"1.196";"1.453";"1.367";"1.402"
"Electricitat";"ESCOLA MONTJUÏC";"educacio";"1.518";"";"4.576";"3.871";"2.785";"1.827";"2.751";"2.119";"612";"1.268";"2.360";"2.512";"3.152";"2.559";"768";"676";"537";"433";"555";"468";"285";"364";"498";"523";"592";"526"
"Electricitat";"ESCOLA MARTA MATA";"educacio";"3.294";"";"9.568";"8.882";"9.383";"7.950";"8.337";"7.206";"4.582";"2.726";"7.176";"8.261";"8.913";"8.533";"1.529";"1.419";"1.527";"1.379";"1.443";"1.260";"864";"652";"1.190";"1.337";"1.382";"1.354"
"Electricitat";"ESCOLA EL BOSC DE LA PABORDIA";"educacio";"1.150";"";"13.616";"12.653";"12.411";"5.299";"3.589";"2.324";"254";"245";"2.441";"3.591";"8.457";"14.416";"2.069";"1.959";"1.942";"1.161";"972";"802";"545";"544";"819";"980";"1.487";"2.209"
"Electricitat";"ESCOLA PERICOT";"educacio";"1.050";"";"9.202";"6.712";"6.685";"6.072";"6.184";"5.631";"5.488";"5.967";"6.403";"6.548";"8.491";"7.922";"1.537";"1.243";"1.293";"1.223";"1.253";"1.088";"933";"984";"1.056";"1.106";"1.305";"1.242"
"Electricitat";"ESCOLA PERICOT BARRACONS";"educacio";"";"";"14.227";"14.193";"13.461";"6.779";"4.809";"2.979";"868";"573";"2.898";"3.792";"8.274";"13.895";"2.195";"2.156";"2.106";"1.348";"1.111";"860";"612";"575";"859";"982";"1.468";"2.150"
"Electricitat";"ESCOLA PLA DE GIRONA";"educacio";"2.777";"";"9.305";"8.816";"9.359";"7.727";"8.844";"6.791";"1.614";"1.412";"7.536";"9.971";"10.144";"8.746";"1.685";"1.588";"1.712";"1.540";"1.725";"1.424";"696";"673";"1.531";"1.846";"1.802";"1.619"
"Electricitat";"ESCOLA STA. EUGÈNIA";"educacio";"1.299";"";"2.599";"2.464";"2.738";"1.823";"1.853";"1.513";"1.529";"1.219";"1.133";"2.489";"2.451";"2.829";"498";"456";"505";"202";"199";"283";"303";"277";"265";"470";"461";"522"
"Electricitat";"ESCOLA TAIALÀ";"educacio";"5.217";"";"13.228";"12.445";"13.269";"10.291";"11.129";"8.484";"4.014";"2.507";"8.707";"10.857";"12.375";"11.865";"2.048";"1.934";"2.028";"1.682";"1.793";"1.468";"910";"746";"1.496";"1.782";"1.912";"1.919"
"Electricitat";"ESCOLA VERD";"educacio";"2.309";"";"5.579";"5.323";"5.665";"4.612";"4.028";"1.939";"2.258";"3.366";"4.082";"4.799";"5.039";"5.509";"1.054";"990";"1.071";"925";"837";"481";"566";"786";"871";"979";"992";"1.051"
"Electricitat";"ESCOLA VILA-ROJA";"educacio";"1.369";"";"2.623";"2.751";"2.606";"2.331";"2.535";"2.323";"2.193";"1.995";"2.022";"2.414";"2.479";"2.267";"789";"764";"803";"747";"778";"753";"767";"739";"724";"788";"776";"755"
"Electricitat";"ESCOLA BRESSOL LA BALDUFA";"educacio";"744";"";"3.790";"3.479";"3.065";"2.754";"3.002";"2.641";"1.738";"1.173";"2.164";"2.978";"3.105";"3.177";"653";"585";"564";"511";"553";"510";"412";"340";"455";"555";"563";"579"
"Electricitat";"ESCOLA BRESSOL LA DEVESA";"educacio";"730";"";"5.439";"4.787";"4.368";"2.300";"2.354";"2.242";"1.917";"792";"2.176";"2.408";"3.421";"6.266";"1.026";"925";"915";"669";"691";"672";"647";"499";"668";"699";"800";"1.149"
"Electricitat";"ESCOLA BRESSOL GARBÍ";"educacio";"630";"";"1.598";"1.551";"1.534";"1.056";"1.138";"1.399";"1.039";"781";"1.087";"1.199";"1.416";"1.496";"355";"344";"355";"270";"294";"318";"258";"221";"276";"310";"345";"354"
"Electricitat";"ESCOLA BRESSOL L'OLIVERA";"educacio";"907";"18.000";"7.225";"6.778";"6.227";"3.774";"2.813";"3.141";"3.938";"946";"4.677";"5.654";"10.378";"11.832";"1.236";"1.164";"1.197";"836";"660";"708";"813";"435";"891";"1.009";"1.496";"1.673"
"Electricitat";"ESCOLA BRESSOL EL TREN";"educacio";"710";"";"1.451";"1.536";"1.512";"1.106";"1.173";"1.367";"947";"319";"1.340";"1.650";"1.352";"1.545";"329";"327";"338";"257";"263";"305";"225";"113";"293";"353";"295";"368"
"Electricitat";"CAMP DE FUTBOL DE CAN GIBERT";"esportiu";"";"";"3.382";"2.931";"2.696";"1.729";"1.774";"1.446";"756";"2.011";"2.649";"3.710";"4.220";"3.383";"1.100";"990";"1.012";"792";"818";"742";"654";"859";"869";"862";"1.010";"833"
"Electricitat";"CAMP DE FUTBOL DE FONTAJAU";"esportiu";"";"";"6.131";"5.943";"5.283";"3.775";"3.708";"2.840";"2.844";"3.004";"4.027";"5.069";"5.979";"7.010";"1.420";"1.108";"1.540";"1.059";"840";"685";"669";"637";"844";"1.084";"1.423";"1.602"
"Electricitat";"CAMP DE FUTBOL GERMANS SÀBAT";"esportiu";"";"";"5.239";"4.745";"4.175";"3.159";"3.001";"3.070";"3.479";"4.214";"5.063";"5.255";"5.426";"5.325";"1.251";"1.147";"1.077";"874";"845";"837";"894";"1.007";"1.094";"1.178";"1.276";"1.310"
"Electricitat";"CAMP DE FUTBOL DE MONTILIVI";"esportiu";"";"";"27.669";"24.935";"23.656";"17.999";"20.301";"12.851";"13.653";"18.616";"17.053";"18.357";"19.890";"22.744";"5.500";"5.002";"5.091";"4.158";"4.524";"3.586";"3.721";"4.360";"4.075";"4.520";"4.472";"4.753"
"Electricitat";"CAMP DE FUTBOL DE PONT MAJOR";"esportiu";"";"";"1.887";"14.633";"6.201";"6.001";"6.189";"3.648";"3.147";"3.544";"6.676";"6.923";"5.072";"169";"1.034";"2.851";"1.262";"1.221";"1.265";"938";"828";"944";"1.399";"1.471";"1.150";"38"
"Electricitat";"CAMP DE FUTBOL TORRES DE PALAU";"esportiu";"";"";"7.228";"6.454";"5.805";"3.139";"2.790";"1.935";"2.160";"3.241";"4.731";"5.568";"6.757";"6.589";"1.466";"1.330";"1.265";"826";"795";"683";"731";"862";"1.053";"1.215";"1.438";"1.403"
"Electricitat";"CAMP DE FUTBOL DE VILAROJA";"esportiu";"";"";"3.429";"3.375";"3.458";"2.389";"1.744";"1.255";"789";"841";"1.325";"2.620";"3.098";"2.859";"812";"777";"815";"643";"552";"408";"272";"335";"463";"660";"773";"779"
"Electricitat";"PAVELLÓ  DE FONTAJAU";"esportiu";"17.439";"";"36.865";"33.244";"30.754";"22.816";"21.053";"17.363";"20.201";"20.569";"20.384";"24.603";"27.709";"49.519";"6.987";"6.322";"6.215";"5.079";"5.042";"4.575";"5.011";"5.037";"4.908";"5.512";"5.966";"10.231"
"Electricitat";"PAVELLÓ MONTFALGARS";"esportiu";"";"";"2.770";"2.554";"2.653";"2.139";"1.947";"1.697";"1.356";"1.745";"2.245";"2.681";"2.723";"3.043";"637";"586";"625";"550";"539";"501";"472";"516";"562";"633";"639";"695"
"Electricitat";"PAVELLÓ DE PALAU";"esportiu";"180";"";"5.674";"5.874";"5.789";"4.367";"3.763";"3.240";"1.734";"2.018";"4.173";"5.837";"6.217";"6.188";"1.106";"1.138";"1.167";"905";"819";"741";"552";"592";"870";"1.128";"1.202";"1.205"
"Electricitat";"PAVELLÓ DE PONT MAJOR";"esportiu";"";"";"2.811";"2.670";"3.113";"2.714";"2.347";"1.956";"1.124";"779";"2.273";"2.807";"2.614";"2.703";"553";"524";"596";"514";"473";"375";"282";"239";"407";"483";"473";"482"
"Electricitat";"PAVELLÓ DE SANTA EUGÈNIA";"esportiu";"2.472";"40.064";"5.022";"4.783";"4.803";"3.543";"3.521";"1.957";"2.209";"2.890";"4.183";"4.542";"5.312";"4.902";"1.016";"968";"1.038";"791";"805";"613";"659";"723";"888";"952";"1.088";"1.034"
"Electricitat";"PAVELLÓ DE VILA-ROJA";"esportiu";"2.424";"";"4.637";"4.068";"3.192";"3.089";"3.192";"2.269";"2.056";"1.866";"1.574";"2.425";"3.311";"3.464";"1.049";"959";"860";"833";"860";"625";"574";"581";"534";"641";"724";"753"
"Electricitat";"PISTES ESPORTIVES";"esportiu";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Electricitat";"PISTA DE BOTXES";"esportiu";"";"";"1.019";"802";"802";"668";"582";"87";"65";"132";"1.183";"1.663";"1.621";"1.099";"267";"228";"246";"158";"111";"59";"56";"59";"190";"267";"260";"189"
"Electricitat";"PISTA ESPORTIVA FONTAJAU";"esportiu";"";"";"952";"766";"725";"457";"378";"724";"832";"1.054";"998";"477";"-1.025";"407";"195";"156";"149";"115";"3";"118";"132";"159";"167";"152";"35";"109"
"Electricitat";"PISTA ESPORTIVA FONT DE LA PÓLVORA";"esportiu";"";"";"2.699";"5.480";"616";"590";"616";"590";"616";"610";"596";"610";"1.379";"2.631";"494";"962";"123";"84";"106";"133";"141";"142";"140";"145";"267";"467"
"Electricitat";"PISTA ESPORTIVA TORRE GIRONELLA";"esportiu";"";"";"7";"12";"38";"96";"119";"38";"10";"76";"46";"385";"303";"240";"50";"14";"20";"24";"24";"23";"13";"28";"21";"55";"52";"45"
"Electricitat";"PISCINA CAN GIBERT DEL PLA";"piscina";"1.372";"";"35.665";"32.917";"35.379";"33.538";"33.992";"35.828";"43.571";"40.940";"26.270";"36.866";"33.722";"33.811";"4.898";"4.547";"4.904";"4.506";"4.616";"5.070";"5.926";"5.646";"3.914";"5.160";"4.651";"4.612"
"Electricitat";"PISCINA DE PALAU";"piscina";"3.935";"";"25.427";"23.705";"23.331";"20.892";"21.632";"18.924";"19.603";"11.253";"22.639";"24.061";"25.107";"26.424";"4.064";"3.795";"3.880";"3.520";"3.657";"2.810";"2.881";"1.928";"3.198";"3.394";"3.555";"4.289"
"Electricitat";"ZONA ESPORTIVA DEVESA";"esportiu";"284";"";"14.084";"10.468";"11.860";"9.711";"16.163";"19.364";"23.682";"23.608";"20.080";"16.363";"13.838";"11.429";"1.933";"1.521";"1.719";"1.438";"2.152";"2.511";"3.015";"3.021";"2.605";"2.222";"1.961";"1.710"
