"Nom_Sector";"Codi_Carrer";"Tipus_Via";"Nexe";"Nom_carrer";"Nom_complert";"Num_Inf";"Lletra_Inf";"Accessori_inf";"Num_Sup";"Lletra_sup";"Accessori_sup"
"Sant Narcís";"0349";"CARRER";"de l'";"Illa de Mallorca";"Carrer de l'Illa de Mallorca";"2";"";"N";"2";"";"N"
"Sant Narcís";"0349";"CARRER";"de l'";"Illa de Mallorca";"Carrer de l'Illa de Mallorca";"4";"";"N";"6";"";"N"
"Sant Narcís";"0349";"CARRER";"de l'";"Illa de Mallorca";"Carrer de l'Illa de Mallorca";"8";"";"N";"8";"";"N"
"Sant Narcís";"0349";"CARRER";"de l'";"Illa de Mallorca";"Carrer de l'Illa de Mallorca";"1";"";"N";"5";"";"N"
"Sant Narcís";"0349";"CARRER";"de l'";"Illa de Mallorca";"Carrer de l'Illa de Mallorca";"7";"";"N";"7";"";"N"
"Sant Narcís";"0382";"CARRER";"de";"Mestre Dalmau i Carles";"Carrer de Mestre Dalmau i Carles";"2";"";"S";"10";"";"S"
"Sant Narcís";"0382";"CARRER";"de";"Mestre Dalmau i Carles";"Carrer de Mestre Dalmau i Carles";"12";"";"N";"26";"";"S"
"Sant Narcís";"0382";"CARRER";"de";"Mestre Dalmau i Carles";"Carrer de Mestre Dalmau i Carles";"11";"";"N";"23";"";"N"
"Sant Narcís";"0382";"CARRER";"de";"Mestre Dalmau i Carles";"Carrer de Mestre Dalmau i Carles";"1";"";"N";"9";"";"N"
"Sant Narcís";"0382";"CARRER";"de";"Mestre Dalmau i Carles";"Carrer de Mestre Dalmau i Carles";"28";"";"N";"30";"";"N"
"Sant Narcís";"0382";"CARRER";"de";"Mestre Dalmau i Carles";"Carrer de Mestre Dalmau i Carles";"25";"";"N";"25";"";"N"
"Sant Narcís";"0393";"CARRER";"de";"Miquel Santaló";"Carrer de Miquel Santaló";"1";"";"N";"1";"";"N"
"Sant Narcís";"0393";"CARRER";"de";"Miquel Santaló";"Carrer de Miquel Santaló";"2";"";"N";"2";"";"N"
"Sant Narcís";"0422";"CARRER";"de";"Narcís Xifra i Masmitjà";"Carrer de Narcís Xifra i Masmitjà";"2";"";"N";"24";"";"N"
"Sant Narcís";"0422";"CARRER";"de";"Narcís Xifra i Masmitjà";"Carrer de Narcís Xifra i Masmitjà";"26";"";"N";"38";"";"N"
"Sant Narcís";"0422";"CARRER";"de";"Narcís Xifra i Masmitjà";"Carrer de Narcís Xifra i Masmitjà";"40";"";"N";"42";"";"N"
"Sant Narcís";"0422";"CARRER";"de";"Narcís Xifra i Masmitjà";"Carrer de Narcís Xifra i Masmitjà";"29";"";"N";"39";"";"N"
"Sant Narcís";"0422";"CARRER";"de";"Narcís Xifra i Masmitjà";"Carrer de Narcís Xifra i Masmitjà";"25";"";"N";"27";"";"N"
"Sant Narcís";"0422";"CARRER";"de";"Narcís Xifra i Masmitjà";"Carrer de Narcís Xifra i Masmitjà";"15";"";"N";"23";"";"N"
"Sant Narcís";"0422";"CARRER";"de";"Narcís Xifra i Masmitjà";"Carrer de Narcís Xifra i Masmitjà";"7";"";"N";"13";"";"N"
"Sant Narcís";"0422";"CARRER";"de";"Narcís Xifra i Masmitjà";"Carrer de Narcís Xifra i Masmitjà";"1";"";"N";"5";"";"N"
"Sant Narcís";"0422";"CARRER";"de";"Narcís Xifra i Masmitjà";"Carrer de Narcís Xifra i Masmitjà";"41";"";"N";"43";"";"N"
"Sant Narcís";"0434";"PASSEIG";"d'";"Olot";"Passeig d'Olot";"3";"";"N";"7";"";"N"
"Sant Narcís";"0434";"PASSEIG";"d'";"Olot";"Passeig d'Olot";"9";"";"N";"11";"";"N"
"Sant Narcís";"0434";"PASSEIG";"d'";"Olot";"Passeig d'Olot";"13";"";"N";"15";"";"N"
"Sant Narcís";"0434";"PASSEIG";"d'";"Olot";"Passeig d'Olot";"21";"";"N";"27";"";"S"
"Sant Narcís";"0434";"PASSEIG";"d'";"Olot";"Passeig d'Olot";"29";"";"N";"31";"";"N"
"Sant Narcís";"0434";"PASSEIG";"d'";"Olot";"Passeig d'Olot";"17";"";"N";"19";"";"N"
"Sant Narcís";"0545";"CARRER";"de";"Roma";"Carrer de Roma";"1";"";"N";"5";"";"N"
"Sant Narcís";"0545";"CARRER";"de";"Roma";"Carrer de Roma";"2";"";"N";"4";"";"N"
"Sant Narcís";"0585";"AVINGUDA";"de";"Sant Narcís";"Avinguda de Sant Narcís";"38";"";"N";"42";"";"N"
