"Entitat";"Programa";"Economica";"Descripcio";"Credits inicials";"Modificacions de credit";"Credits totals consignats"
"Fundació Auditori Palau de Congressos";"4391";"22103";"SEGURETAT - SERVEIS ACTES DE TERCERS";"0,00";"20.062,76";"20.062,76"
"Fundació Auditori Palau de Congressos";"4391";"22707";"SERVEIS  PERSONAL TÈCNIC - SERVEIS ACTES DE TERCERS";"0,00";"88.619,34";"88.619,34"
"Fundació Auditori Palau de Congressos";"4391";"22700";".";"0,00";"0,00";"0,00"
"Fundació Auditori Palau de Congressos";"4392";"22700";"CONGRES ICCA";"0,00";"0,00";"0,00"
"Fundació Auditori Palau de Congressos";"4392";"22606";"CONVENCIÓ INFINITC";"0,00";"0,00";"0,00"
"Fundació Auditori Palau de Congressos";"9200";"13000";"RETRIBUCIONS PERSONAL";"294.000,00";"-160.814,68";"133.185,32"
"Fundació Auditori Palau de Congressos";"9200";"16000";"SEGURETAT SOCIAL.";"97.000,00";"-54.472,33";"42.527,67"
"Fundació Auditori Palau de Congressos";"9200";"13002";"ALTRES REMUNERACIONS PAGA 2012";"0,00";"18.710,65";"18.710,65"
"Fundació Auditori Palau de Congressos";"9200";"16209";"BEQUES I AJUTS";"0,00";"4.025,00";"4.025,00"
"Fundació Auditori Palau de Congressos";"9200";"21202";"MANTENIMENT EQUIPAMENT TÈCNIC";"15.000,00";"-15.000,00";"0,00"
"Fundació Auditori Palau de Congressos";"9200";"620";"INVERSIO PER AL FUNCIONAMENT";"0,00";"9.482,00";"9.482,00"
"Fundació Auditori Palau de Congressos";"9200";"62500";"MOBILIARI";"0,00";"318,00";"318,00"
"Fundació Auditori Palau de Congressos";"9200";"62600";"EQUIPS PER A PROCESSOS D'INFORMACIÓ.";"0,00";"200,00";"200,00"
"Fundació Auditori Palau de Congressos";"9200";"83000";"PAGUES AVANÇADES";"0,00";"0,00";"0,00"
"Fundació Auditori Palau de Congressos";"9200";"91000";"Amortització de préstecs a curt termini - Ajuntament de Giro";"0,00";"365.000,00";"365.000,00"
"Fundació Auditori Palau de Congressos";"9201";"21200";"CONTRACTES MANTENIMENT EDIFICI I INSTAL·LACIONS";"0,00";"62.085,34";"62.085,34"
"Fundació Auditori Palau de Congressos";"9201";"22104";"FUNCIONAMENT";"30.000,00";"-4.857,73";"25.142,27"
"Fundació Auditori Palau de Congressos";"9201";"22100";"LLUM";"115.000,00";"-4.718,70";"110.281,30"
"Fundació Auditori Palau de Congressos";"9201";"21201";"DESPESES DE MANTENIMENT";"0,00";"35.709,77";"35.709,77"
"Fundació Auditori Palau de Congressos";"9201";"21202";"MANTENIMENT EQUIPAMENT TÈCNIC";"0,00";"16.174,17";"16.174,17"
"Fundació Auditori Palau de Congressos";"9201";"22102";"NETEJA";"65.000,00";"-5.980,89";"59.019,11"
"Fundació Auditori Palau de Congressos";"9201";"22103";"SEGURETAT";"45.000,00";"9.785,22";"54.785,22"
"Fundació Auditori Palau de Congressos";"9201";"22101";"TELEFON";"0,00";"0,00";"0,00"
"Fundació Auditori Palau de Congressos";"9201";"22703";"PUBLICITAT LA VANGUARDIA - CONVENI";"0,00";"0,00";"0,00"
"Fundació Auditori Palau de Congressos";"9201";"20200";"LLOGUER EDIFICI";"90.000,00";"0,00";"90.000,00"
"Fundació Auditori Palau de Congressos";"9201";"212";"MANTENIMENT INSTAL·LACIONS";"90.000,00";"-90.000,00";"0,00"
"Fundació Auditori Palau de Congressos";"9201";"225";"TAXES, IMPOSTOS I ALTRES - ADMINISTRACIONS";"1.500,00";"0,00";"1.500,00"
"Fundació Auditori Palau de Congressos";"9201";"35900";"COMISSIONS BANCÀRIES";"0,00";"50,03";"50,03"
"Fundació Auditori Palau de Congressos";"9202";"13000";"RETRIBUCIONS PERSONAL CONVENI AJUNTAMENT";"0,00";"33.289,52";"33.289,52"
"Fundació Auditori Palau de Congressos";"9202";"16000";"SEGURETAT SOCIAL. PERSONAL CONVENI AJUNTAMENT";"0,00";"10.478,74";"10.478,74"
"Fundació Rafael Masó";"330";"130";"RETRIBUCIONS PERSONAL";"101.050,70";"6.613,63";"107.664,33"
"Fundació Rafael Masó";"330";"160";"QUOTES SEGURETAT SOCIAL";"27.686,27";"-5.000,00";"22.686,27"
"Fundació Rafael Masó";"330";"212";"MANTENIMENT";"4.000,00";"-1.572,44";"2.427,56"
"Fundació Rafael Masó";"330";"220";"MATERIAL D'OFICINA.";"300,00";"0,00";"300,00"
"Fundació Rafael Masó";"330";"221";"SUBMINISTRAMENTS.";"8.500,00";"0,00";"8.500,00"
"Fundació Rafael Masó";"330";"224";"PRIMES D'ASSEGURANCES";"1.200,00";"125,00";"1.325,00"
"Fundació Rafael Masó";"330";"22500";"AJUST IVA  SOPORTAT NO DEDUIBLE";"0,00";"8.771,29";"8.771,29"
"Fundació Rafael Masó";"330";"226";"DESPESES DIVERSES.";"1.702,00";"995,38";"2.697,38"
"Fundació Rafael Masó";"330";"22698";"CONVENI CASA PASTORS";"0,00";"0,00";"0,00"
"Fundació Rafael Masó";"330";"22699";"EXPOSICIONS TEMPORALS I ACTIVITATS ASSOCIADES";"20.400,00";"8.000,00";"28.400,00"
"Fundació Rafael Masó";"330";"227";"TREBALLS ALTRES EMPRESES";"6.483,03";"-661,57";"5.821,46"
"Fundació Rafael Masó";"330";"22797";"ACTIVITATS SERVEI EDUCATIU";"9.526,00";"-1.300,00";"8.226,00"
"Fundació Rafael Masó";"330";"22798";"CONVENI FUNDACIÓ MUSEU DEL CINEMA";"7.900,00";"0,00";"7.900,00"
"Fundació Rafael Masó";"330";"22799";"ASSESSORAMENT I GESTIÓ";"1.500,00";"500,00";"2.000,00"
"Fundació Rafael Masó";"330";"230";"DIETES";"1.000,00";"800,00";"1.800,00"
"Fundació Rafael Masó";"330";"240";"PUBLICACIONS I DIFUSIO";"28.000,00";"-9.271,29";"18.728,71"
"Fundació Rafael Masó";"330";"359";"ALTRES DESPESES FINANCERES.";"290,00";"0,00";"290,00"
