"X";"Y";"Nom";"Tipus";"lon";"lat"
"484658,1";"4647014,7";"Carrer de Josep Maria Gironella i Pous";"Eixos viaris";"2,81482215";"41,97497216"
"485568,0";"4647212,8";"Carrer de Josep Morató i Grau";"Eixos viaris";"2,82580093";"41,97677267"
"483727,4";"4649286,7";"Carrer de Josep Maria Prat i Roca";"Eixos viaris";"2,80352214";"41,99541657"
"485107,2";"4647177,4";"Plaça de Josep Pallach i Carolà";"Eixos viaris";"2,82023742";"41,97644886"
"485250,5";"4647946,2";"Plaça de Josep Pla";"Eixos viaris";"2,82194417";"41,98337767"
"484505,6";"4649066,9";"Avinguda de Josep Tarradellas i Joan";"Eixos viaris";"2,81292135";"41,99345080"
"485166,0";"4646751,1";"Carrer de Josep Tharrats";"Eixos viaris";"2,82096031";"41,97261314"
"484479,2";"4647764,4";"Carrer de Josep Viader i Moliner";"Eixos viaris";"2,81264183";"41,98172365"
"485026,1";"4647462,5";"Carrer de Juli Garreta";"Eixos viaris";"2,81925248";"41,97901422"
"485575,0";"4647597,8";"Carrer de Julià de Bolívar";"Eixos viaris";"2,82587598";"41,98024037"
"485709,2";"4647037,5";"Carrer de Julià de Chia";"Eixos viaris";"2,82750710";"41,97519908"
"485601,6";"4648489,0";"Plaça dels Jurats";"Eixos viaris";"2,82616797";"41,98827477"
"485416,3";"4645865,4";"Carrer de l'Albera";"Eixos viaris";"2,82399965";"41,96463789"
"484669,3";"4649109,3";"Avinguda de l'Amical Mauthausen";"Eixos viaris";"2,81490027";"41,99384130"
"486404,6";"4649318,8";"Carrer de Laureà Dalmau i Pla";"Eixos viaris";"2,83584297";"41,99575555"
"484509,5";"4646757,2";"Carrer de Lepant";"Eixos viaris";"2,81303050";"41,97265454"
"485626,0";"4648318,5";"Plaça dels Lledoners";"Eixos viaris";"2,82647397";"41,98673509"
"485594,7";"4647998,7";"Carrer de la Llebre";"Eixos viaris";"2,82609550";"41,98385238"
"484424,9";"4646824,3";"Carrer de Lleida";"Eixos viaris";"2,81200282";"41,97325631"
"485423,5";"4647977,5";"Rambla de la Llibertat";"Eixos viaris";"2,82403177";"41,98366010"
"484866,6";"4646416,7";"Carrer del Riu Llierca";"Eixos viaris";"2,81734808";"41,96959020"
"486982,7";"4646972,7";"Plaça del Llimoner";"Eixos viaris";"2,84287363";"41,97463570"
"485272,7";"4646575,5";"Plaça de Lluís Companys";"Eixos viaris";"2,82224408";"41,97102995"
"485023,0";"4646039,5";"Avinguda de Lluís Pericot";"Eixos viaris";"2,81925250";"41,96619768"
