"Codi";"Nom";"Tipus";"Adreça";"Web";"utm_x_etrs89";"utm_y_etrs89";"lon";"lat";""
"PP14";"Ping pong al carrer Sant Pau";"PING PONG AL CARRER";"C. Llierca";"http://www.girona.cat/visorgis/esports/index.html";"484.863,63";"4.646.448,39";"2,81731105";"41,96987835"
"PP2";"Ping pong al carrer Fontajau";"PING PONG AL CARRER";"Av. de Fontajau";"http://www.girona.cat/visorgis/esports/index.html";"484.718,18";"4.648.851,99";"2,81549859";"41,99151854"
"PP3";"Ping pong al carrer Sant Ponç";"PING PONG AL CARRER";"C. Pep Colomer i Martí";"http://www.girona.cat/visorgis/esports/index.html";"485.148,66";"4.649.236,98";"2,82068027";"41,99499432"
"PP4";"Ping pong al carrer Pont Major";"PING PONG AL CARRER";"C. Illa Gomera";"http://www.girona.cat/visorgis/esports/index.html";"485.397,30";"4.650.876,67";"2,82364584";"42,00976984"
"PP5";"Ping pong al carrer Montjuïc";"PING PONG AL CARRER";"Rd. Fort Roig";"http://www.girona.cat/visorgis/esports/index.html";"486.151,00";"4.649.207,00";"2,83279090";"41,99475141"
"PP6";"Ping pong al carrer Devesa";"PING PONG AL CARRER";"Pg. de la Devesa";"http://www.girona.cat/visorgis/esports/index.html";"484.547,18";"4.648.265,79";"2,81344950";"41,98623731"
"PP7";"Ping pong Parc de Domeny";"PING PONG AL CARRER";"C. Roberto Bolaño";"http://www.girona.cat/visorgis/esports/index.html";"483.553,53";"4.648.628,12";"2,80143972";"41,98948659"
"PP8";"Ping pong al carrer Can Gibert del Pla";"PING PONG AL CARRER";"Pl. Pere Calders";"http://www.girona.cat/visorgis/esports/index.html";"483.996,00";"4.646.801,00";"2,80683765";"41,97304058"
"PP9";"Ping pong al carrer Sant Narcís";"PING PONG AL CARRER";"Pl. Assumpció";"http://www.girona.cat/visorgis/esports/index.html";"484.367,89";"4.647.053,84";"2,81130876";"41,97531770"
"PS1";"Pista de Skate i Pool";"PISTA SKATE I POOL";"C. Roberto Bolaño";"http://www.girona.cat/visorgis/esports/index.html";"484.150,37";"4.648.666,18";"2,80864608";"41,98984109"
"RO1";"Rocòdrom Parc de Domeny";"ROCÒDROM";"C. Roberto Bolaño";"http://www.girona.cat/visorgis/esports/index.html";"484.004,46";"4.648.632,45";"2,80688439";"41,98953191"
"SM1";"Sala de musculació";"SALA DE MUSCULACIÓ";"C. Taga, 9";"http://www.girona.cat/visorgis/esports/index.html";"483.818,30";"4.646.681,35";"2,80469257";"41,97195614"
"TP1";"Pista de tennis platja";"PISTA TENNIS PLATJA";"Pg. Devesa, 38";"http://www.girona.cat/visorgis/esports/index.html";"484.534,72";"4.648.278,96";"2,81329222";"41,98635414"
"VP1";"Voleibol Platja";"VOLEIBOL PLATJA";"Pg. Devesa, 38";"http://www.girona.cat/visorgis/esports/index.html";"484.552,67";"4.648.285,01";"2,81350934";"41,98641754"
"PEC1";"Pista Coberta Escola Migdia";"PISTA ESCOLAR COBERTA";"C. Migdia, 107-113";"http://www2.girona.cat/ca/esports_eq_pistesescolars ";"485.068,00";"4.646.551,00";"2,81978258";"41,97080995"
"PEC2";"Pista Coberta Escola Pla de Girona";"PISTA ESCOLAR COBERTA";"Av. Pericot, 16-18";"http://www2.girona.cat/ca/esports_eq_pistesescolars ";"485.378,00";"4.646.583,00";"2,82352322";"41,97110398"
