"Id_obra";"Numero_expedient";"Descripcio";"Tipus_obra";"Tipus_llicencia";"Tipus_local";"Nom_interessat";"Nom_carrer";"Numero";"Lletra";" Accessori";"Codi_edifici";"Data_resolucio";"Data_inici_obra";"Data_final_obra";"Data_caducitat";"Data_renuncia";"utm_x_etrs89";"umt_y_etrs89";"lon";"lat"
"20160038";"2016000007";"ACTUACIONS A JARDINS I SOLARS: Substitució o reparació de paviments.";"Comunicat";"";"Habitatge";"COMUNITAT PROPIETARIS ROSSELLÓ 28";"ROSSELLO, C.";"28";"";"N";"5314";"13/01/2016";"";"";"";"";"484242";"4646415";"2,80981711";"41,96956896"
"20160041";"2016000007";"OBRES INTERIOR HABITATGES: Repicar, enguixar i pintar parets i sostres.";"Comunicat";"";"Habitatge";"PERSONA FÍSICA";"RIERA BULLIDORS, C.";"16";"";"N";"8343";"15/01/2016";"";"";"";"";"484034";"4648878";"2,80723988";"41,99174815"
"20160042";"2016000007";"OBRES INTERIOR HABITATGES: Modernització o reforma de la cuina d'un habitatge.";"Comunicat";"";"Habitatge";"PERSONA FÍSICA";"MONTJOVI, C.";"4";"";"N";"6495";"18/01/2016";"";"";"";"";"486300";"4649248";"2,83458892";"41,99512328"
"20160043";"2016000007";"ACTUACIONS PARCIALS FAÇANES I CELOBERTS: Reparació de façanes PB i P1.";"Comunicat";"";"Habitatge";"PERSONA FÍSICA";"BARRANC, C.";"9";"";"N";"981";"18/01/2016";"";"";"";"";"486999";"4646701";"2,84308481";"41,97219517"
"20160044";"2016000007";"ACTUACIONS PARCIALS FAÇANES I CELOBERTS: Reposició d'elements alterats.";"Comunicat";"";"Habitatge";"PERSONA FÍSICA";"LLIBERTAT, RBLA.";"32";"";"N";"13140";"15/01/2016";"";"";"";"";"485447";"4647999";"2,82432095";"41,98385869"
"20160045";"2016000007";"OBRES INTERIOR HABITATGES: Substitució d'elements de fusteria o serralleria.";"Comunicat";"";"Habitatge";"PERSONA FÍSICA";"SANTA EUGENIA, C.";"46";"";"N";"4249";"15/01/2016";"";"";"";"";"484665";"4647663";"2,81488971";"41,98081762"
"20160046";"2016000007";"OBRES INTERIOR LOCALS EXISTENTS: Obres i actuacions a l'interior de locals.";"Comunicat";"";"Habitatge";"PERSONA FÍSICA";"BERNAT BACIA, C.";"1";"";"N";"1191";"15/01/2016";"";"";"";"";"485137";"4647604";"2,82058873";"41,98029527"
"20160047";"2016000007";"OBRES INTERIOR HABITATGES: Modernització o reforma de la cuina d'un habitatge.";"Comunicat";"";"Habitatge";"PERSONA FÍSICA";"BILBAO, C.";"9";"";"N";"4894";"15/01/2016";"";"";"";"";"484255";"4646379";"2,80997497";"41,96924498"
"20160049";"2016000007";"OBRES INTERIOR HABITATGES: Modernització o reforma del bany o rentador.";"Comunicat";"";"Habitatge";"PERSONA FÍSICA";"MAS BARRIL, C.";"2";"";"N";"9455";"15/01/2016";"";"";"";"";"485466";"4645592";"2,82460979";"41,96217999"
"20160050";"2016000007";"OBRES INTERIOR HABITATGES: Substitució o reparació de paviments.";"Comunicat";"";"Habitatge";"PERSONA FÍSICA";"PUIGNEULOS, C.";"14";"";"N";"5335";"20/01/2016";"";"";"";"";"484005";"4646729";"2,80694824";"41,97239228"
"20160053";"2016000007";"ACTUACIONS PARCIALS FAÇANES I CELOBERTS: Reposició d'elements alterats.";"Comunicat";"";"Habitatge";"CTAT PROP C. RUTLLA, 174-176";"RUTLLA, C.";"174";"";"N";"10352";"20/01/2016";"";"";"";"";"485192";"4646650";"2,82127666";"41,97170395"
"20160054";"2016000007";"ACTUACIONS PARCIALS FAÇANES I CELOBERTS: Reposició d'elements alterats.";"Comunicat";"";"Habitatge";"CTAT PROP C. MIGDIA 47-49";"MIGDIA, C.";"47";"";"N";"1686";"20/01/2016";"";"";"";"";"485144";"4646917";"2,82069059";"41,97410783"
"20160055";"2016000007";"ACTUACIONS PARCIALS FAÇANES I CELOBERTS: Reposició d'elements alterats.";"Comunicat";"";"Habitatge";"COMUNITAT DE PROPIETARIS SANTA EUGÈNIA, 93";"SANTA EUGENIA, C.";"93";"";"N";"4737";"22/01/2016";"";"";"";"";"484130";"4647330";"2,80844070";"41,97780781"
"20160058";"2016000007";"ACTUACIONS PARCIALS FAÇANES I CELOBERTS: Reparació terrasses i balcons.";"Comunicat";"";"Habitatge";"CTAT. PROP. C. BISBE SIVILLA, 4";"BISBE SIVILLA, C.";"4";"";"N";"4240";"20/01/2016";"";"";"";"";"484663";"4647560";"2,81486826";"41,97988989"
"20160059";"2016000007";"OBRES INTERIOR LOCALS EXISTENTS: Obres i actuacions a l'interior de locals.";"Comunicat";"";"Habitatge";"CAFE FEDERAL GIRONASL";"FORÇA, C.";"9";"";"N";"5991";"19/01/2016";"";"";"";"";"485516";"4648202";"2,82514889";"41,98568831"
"20160062";"2016000007";"OBRES DE MILORA A L'INTERIOR DE VESTÍBULS I ESCALES COMUNITÀRIES.";"Comunicat";"";"Habitatge";"CTAT PROP PASSEIG D'OLOT 26";"OLOT, PG.";"26";"";"N";"4759";"22/01/2016";"";"";"";"";"484155";"4647194";"2,80874612";"41,97658341"
"20160063";"2016000007";"ACTUACIONS PARCIALS FAÇANES I CELOBERTS: Reposició d'elements alterats.";"Comunicat";"";"Habitatge";"EMPRESA SERVEIS STUC S.L.";"GAVARRES, C.";"16";"";"N";"4801";"22/01/2016";"";"";"";"";"483992";"4647259";"2,80677691";"41,97716555"
"20160064";"2016000007";"REPARACIÓ PARCIAL DE COBERTES: Pavimentació i/o impermeabilització de terrats.";"Comunicat";"";"Habitatge";"CTAT.PROP.PL POETA MARQUINA 9 / C FRANCESC SOLDEVI";"FERRAN SOLDEVILA, C.";"4";"";"N";"1119";"20/01/2016";"";"";"";"";"484886";"4647599";"2,81755906";"41,98024546"
"20160070";"2016000007";"REPARACIÓ PARCIAL DE COBERTES: Neteja i substitució de teules trencades.";"Comunicat";"";"Habitatge";"CTAT.PROP.CARRER ROSSELÓ, 30";"ROSSELLO, C.";"30";"";"N";"5315";"22/01/2016";"";"";"";"";"484252";"4646441";"2,80993710";"41,96980334"
"20160071";"2016000007";"OBRES INTERIOR HABITATGES: Modernització o reforma del bany o rentador.";"Comunicat";"";"Habitatge";"PERSONA FÍSICA";"CRISTOFOR GROBER, C.";"4";"";"N";"3700";"02/02/2016";"";"";"";"";"485184";"4647908";"2,82114841";"41,98303418"
"20160072";"2016000007";"OBRES INTERIOR HABITATGES: Modernització o reforma del bany o rentador.";"Comunicat";"";"Habitatge";"PERSONA FÍSICA";"FERRAN PUIG, RDA.";"32";"";"N";"3963";"22/01/2016";"";"";"";"";"484924";"4648088";"2,81800521";"41,98465044"
"20160073";"2016000007";"REPARACIÓ PARCIAL DE COBERTES: Pavimentació i/o impermeabilització de terrats.";"Comunicat";"";"Habitatge";"GIRONA-DIAGONAL S.L.";"MERCADERS, C.";"24";"";"N";"5735";"02/02/2016";"";"";"";"";"485498";"4648038";"2,82493564";"41,98421089"
"20160074";"2016000007";"ACTUACIONS PARCIALS FAÇANES I CELOBERTS: Reparació fusteries exteriors o reixes.";"Comunicat";"";"Habitatge";"PERSONA FÍSICA";"LLUIS PERICOT, AV.";"39";"";"N";"8735";"22/01/2016";"";"";"";"";"485412";"4646237";"2,82394215";"41,96798830"
"20160079";"2016000007";"OBRES INTERIOR HABITATGES: Actuació en instal·lacions existents interiors.";"Comunicat";"";"Habitatge";"COMUNITAT DE PROPIETARIS PL. MARIA AUXILIADORA, 4";"MARIA AUXILIADORA, PL.";"4";"";"N";"6879";"22/01/2016";"";"";"";"";"485351";"4650338";"2,82310375";"42,00492342"
"20160080";"2016000007";"OBRES INTERIOR HABITATGES: Modernització o reforma del bany o rentador.";"Comunicat";"";"Habitatge";"PERSONA FÍSICA";"BAILEN, C.";"4";"";"N";"1120";"22/01/2016";"";"";"";"";"484938";"4647590";"2,81818698";"41,98016540"
"20160081";"2016000007";"OBRES INTERIOR HABITATGES: Modernització o reforma del bany o rentador.";"Comunicat";"";"Habitatge";"PERSONA FÍSICA";"FONTAJAU, C.";"5";"";"N";"7332";"22/01/2016";"";"";"";"";"484877";"4648866";"2,81741782";"41,99165671"
"20160082";"2016000007";"OBRES INTERIOR HABITATGES: Modernització o reforma del bany o rentador.";"Comunicat";"";"Habitatge";"PERSONA FÍSICA";"TORRASSA, PDA.";"60";"";"N";"6985";"22/01/2016";"";"";"";"";"485910";"4648552";"2,82989685";"41,98884778"
