"Identificador";"Codiedif";"Id_façana";"Ldia";"Lnit";"Ltarda";"Lden";"Coord_X";"Coord_Y";" lon";"lat	"
"181";"7345";"03227345";"59,2";"46,8";"54,5";"58,6";"484874,56479999999";"4648988,44390000030";"2,81737846";"41,99275546"
"182";"7344";"03227344";"59,4";"46,6";"54,6";"58,7";"484871,24589999998";"4648997,57290000003";"2,81734200";"41,99283646"
"183";"7342";"03227342";"57,3";"44,4";"52,4";"56,5";"484866,54470000003";"4649008,43840000033";"2,81728135";"41,99293544"
"184";"7341";"03227341";"57,2";"44,3";"52,4";"56,5";"484864,65940000000";"4649013,38389999978";"2,81725708";"41,99298043"
"185";"7340";"03227340";"57,5";"44,6";"52,7";"56,8";"484860,92420000001";"4649024,13760000002";"2,81720850";"41,99307943"
"186";"7340";"05417340";"58,3";"45,5";"53,5";"57,6";"484854,79170000000";"4649032,76889999956";"2,81713586";"41,99315137"
"187";"6419";"08236419";"59,5";"46,2";"54,6";"58,7";"485851,90370000002";"4649566,88530000020";"2,82916015";"41,99797945"
"188";"7358";"05417358";"58,9";"46,1";"54,1";"58,2";"484842,09680000000";"4649033,19230000023";"2,81699095";"41,99316014"
"189";"7357";"05417357";"58,7";"45,8";"53,8";"57,9";"484836,46759999997";"4649033,33829999994";"2,81691851";"41,99316003"
"190";"7356";"05417356";"58,6";"45,6";"53,8";"57,8";"484830,88079999998";"4649033,48330000043";"2,81684607";"41,99315991"
"191";"7355";"05417355";"58,7";"45,6";"53,8";"57,9";"484825,26340000000";"4649033,62880000006";"2,81678570";"41,99315982"
"192";"7354";"05417354";"58,8";"45,7";"54,0";"58,0";"484819,60119999998";"4649033,77570000011";"2,81671326";"41,99315970"
"193";"7353";"05417353";"59,3";"46,2";"54,4";"58,5";"484813,92489999998";"4649033,92279999983";"2,81664082";"41,99315958"
"194";"7352";"05417352";"59,4";"46,5";"54,6";"58,7";"484808,19429999997";"4649034,06250000000";"2,81658043";"41,99316849"
"195";"7350";"00177350";"57,8";"45,1";"53,0";"57,1";"484813,93020000000";"4648983,91380000021";"2,81664211";"41,99270925"
"196";"7337";"05417337";"59,1";"46,5";"54,3";"58,4";"484808,75520000001";"4649046,45629999973";"2,81658012";"41,99327657"
"197";"11611";"054111611";"58,3";"45,8";"53,6";"57,7";"484814,89870000002";"4649046,32730000000";"2,81665256";"41,99327669"
"198";"11612";"054111612";"58,0";"45,6";"53,2";"57,4";"484820,58970000001";"4649046,20770000014";"2,81672500";"41,99327681"
"199";"11613";"054111613";"57,5";"45,0";"52,7";"56,8";"484829,58830000000";"4649046,01860000007";"2,81683366";"41,99327698"
"200";"11619";"05417339";"58,1";"45,9";"53,4";"57,5";"484846,79280000000";"4649045,71650000010";"2,81703893";"41,99326830"
"201";"11621";"032211621";"59,1";"46,7";"54,3";"58,5";"484853,86859999999";"4649065,65479999967";"2,81712293";"41,99344857"
"202";"11622";"032211622";"58,8";"46,7";"54,2";"58,2";"484850,60249999998";"4649071,89560000040";"2,81708656";"41,99350255"
"203";"7339";"03227339";"58,9";"46,4";"54,0";"58,2";"484846,62719999999";"4649077,70179999992";"2,81703811";"41,99355651"
"204";"6453";"08226453";"50,9";"38,2";"46,2";"50,2";"485917,25130000000";"4649491,46410000045";"2,82995885";"41,99730514"
"205";"11614";"032211614";"59,0";"46,3";"54,2";"58,3";"484836,31329999998";"4649087,44859999977";"2,81691712";"41,99364639"
"206";"11615";"032211615";"59,2";"46,6";"54,3";"58,5";"484830,32010000001";"4649091,19350000005";"2,81684457";"41,99368230"
