"Orgànica";"Programa";"Econòmica";"Descripció";"Crèdits inicials";"Modificacions de crèdit";"Crèdits extraordinaris";"Suplements de crèdit";"Ampliacions de crèdit";"Transferències positives";"Trasferències negatives";"Romanents incorporats";"Baixes per anul·lació";"Crèdits totals consignats";"Despeses autoritzades";"Saldo de crèdits disponibles";"% de realització del pressupost"
"100";"92225";"48002";"FUNDACIÓ JOAN BRUGUERA";"5.000,00";"5.000,00";"0,00";"0,00";"0,00";"0,00";"0,00";"5.000,00";"0,00";"10.000,00";"0,00";"10.000,00";"0,00"
"100";"92225";"46700";"CONSORCI NORMALITZACIÓ LINGÜÍSTICA";"90.000,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"90.000,00";"79.666,20";"10.333,80";"88,52"
"100";"92900";"50000";"FONS DE CONTINGENCIA";"85.000,00";"-84.367,27";"0,00";"0,00";"0,00";"0,00";"84.367,27";"0,00";"0,00";"632,73";"0,00";"632,73";"0,00"
"101";"92000";"12005";"RETR.BAS.P.FUNCIONARI AP PORTERIA MAJOR";"7.755,37";"0,07";"0,00";"0,00";"0,00";"0,07";"0,00";"0,00";"0,00";"7.755,44";"7.755,44";"0,00";"100,00"
"101";"92000";"12006";"TRIENNIS P FUNCIONARI PORTERIA MAJOR";"761,86";"99,31";"0,00";"0,00";"0,00";"100,00";"0,69";"0,00";"0,00";"861,17";"857,43";"3,74";"99,57"
"101";"92000";"12009";"ALTRES RETR.BAS.P.FUNCIONARI PORTERIA MAJOR";"2.153,72";"0,02";"0,00";"0,00";"0,00";"0,02";"0,00";"0,00";"0,00";"2.153,74";"2.153,74";"0,00";"100,00"
"101";"92000";"12100";"COMP.DESTINACIÓ FUNCIONARIS PORTERIA MAJOR";"3.424,26";"0,06";"0,00";"0,00";"0,00";"0,06";"0,00";"0,00";"0,00";"3.424,32";"3.424,32";"0,00";"100,00"
"101";"92000";"12101";"COMP.ESPECÍFIC FUNCIONARIS PORTERIA MAJOR";"6.090,42";"0,06";"0,00";"0,00";"0,00";"0,06";"0,00";"0,00";"0,00";"6.090,48";"6.090,48";"0,00";"100,00"
"101";"92000";"13000";"RETR.BAS.P.LABORAL PORTERIA MAJOR";"277.523,79";"-42.229,14";"0,00";"0,00";"0,00";"0,00";"42.229,14";"0,00";"0,00";"235.294,65";"235.294,65";"0,00";"100,00"
"101";"92000";"13100";"RETR.P.LABORAL TEMPORAL PORTERIA MAJOR";"17.927,22";"-5.733,86";"0,00";"0,00";"0,00";"0,00";"5.733,86";"0,00";"0,00";"12.193,36";"12.134,60";"58,76";"99,52"
"101";"92000";"15000";"PRODUCTIVITAT PORTERIA MAJOR";"15.023,95";"-973,57";"0,00";"0,00";"0,00";"0,00";"973,57";"0,00";"0,00";"14.050,38";"12.305,48";"1.744,90";"87,58"
"101";"92000";"15100";"GRATIFICACIONS PERSONAL PORTERIA MAJOR";"4.048,15";"3.100,00";"0,00";"0,00";"0,00";"3.100,00";"0,00";"0,00";"0,00";"7.148,15";"6.098,64";"1.049,51";"85,32"
"101";"92000";"15300";"COMPLEMENT DEDICACIÓ ESPECIAL PORTERIA MAJOR";"20.220,52";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"20.220,52";"17.779,39";"2.441,13";"87,93"
"101";"92000";"16000";"QUOTES SOCIALS PORTERIA MAJOR";"82.825,10";"18.181,22";"0,00";"0,00";"0,00";"23.873,51";"5.692,29";"0,00";"0,00";"101.006,32";"101.006,32";"0,00";"100,00"
"102";"92400";"12004";"RETR.P.FUNCIONARI C2 OFICINA INFORMACIÓ CIUTADANA";"0,00";"1.000,00";"0,00";"0,00";"0,00";"1.000,00";"0,00";"0,00";"0,00";"1.000,00";"515,62";"484,38";"51,56"
"102";"92400";"12005";"SOU BASE PERSONAL FUNCIONARI C2";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"102";"92400";"12009";"ALTRES RETRIBUCIONS PERSONAL FUNCIONARI OIAC";"0,00";"89,82";"0,00";"0,00";"0,00";"89,82";"0,00";"0,00";"0,00";"89,82";"89,82";"0,00";"100,00"
"102";"92400";"12100";"COMPLEMENT DE DESTÍ PERSONAL FUNCIONARI OIAC";"0,00";"259,20";"0,00";"0,00";"0,00";"259,20";"0,00";"0,00";"0,00";"259,20";"259,20";"0,00";"100,00"
"102";"92400";"12101";"COMPLEMENT ESPECÍFIC PERSONAL FUNCIONARI OIAC";"0,00";"291,52";"0,00";"0,00";"0,00";"291,52";"0,00";"0,00";"0,00";"291,52";"291,52";"0,00";"100,00"
"102";"92400";"13000";"RETR.BAS.P.LABORAL INFORMACIÓ CIUTADANA";"383.385,99";"17.161,06";"0,00";"0,00";"0,00";"18.000,00";"838,94";"0,00";"0,00";"400.547,05";"400.393,61";"153,44";"99,96"
"102";"92400";"15000";"PRODUCTIVITAT INFORMACIÓ CIUTADANA";"30.954,18";"114,16";"0,00";"0,00";"0,00";"2.560,09";"2.445,93";"0,00";"0,00";"31.068,34";"31.068,34";"0,00";"100,00"
"102";"92400";"15100";"GRATIFICACIONS.";"0,00";"1.731,00";"0,00";"0,00";"0,00";"1.835,34";"104,34";"0,00";"0,00";"1.731,00";"1.587,12";"143,88";"91,69"
"102";"92400";"15300";"COMPLEMENT DE DEDICACIÓ ESPECIAL INFORMACIÓ CIUTADANA";"57.042,54";"-1.309,08";"0,00";"0,00";"0,00";"190,92";"1.500,00";"0,00";"0,00";"55.733,46";"55.733,46";"0,00";"100,00"
"102";"92400";"16000";"SEGURETAT SOCIAL OIAC";"148.139,49";"5.111,94";"0,00";"0,00";"0,00";"6.947,28";"1.835,34";"0,00";"0,00";"153.251,43";"153.251,43";"0,00";"100,00"
"102";"92400";"22199";"ALTRES SUBMINISTRAMENTS OFICINA INFORMACIÓ";"7.500,00";"-291,21";"0,00";"0,00";"0,00";"0,00";"2.156,35";"1.865,14";"0,00";"7.208,79";"3.632,31";"3.576,48";"50,39"
"102";"92400";"22612";"AJUNTAMENT MES A PROP";"12.000,00";"-3.243,78";"0,00";"0,00";"0,00";"0,00";"11.315,61";"8.071,83";"0,00";"8.756,22";"71,83";"8.684,39";"0,82"
"102";"92400";"22613";"FINESTRETA ÚNICA";"5.500,00";"780,49";"0,00";"0,00";"0,00";"0,00";"3.219,51";"4.000,00";"0,00";"6.280,49";"4.114,12";"2.166,37";"65,51"
"102";"92400";"62300";"INVERSIONS OIAC";"0,00";"15.812,47";"0,00";"0,00";"0,00";"15.812,47";"0,00";"0,00";"0,00";"15.812,47";"15.812,47";"0,00";"100,00"
"110";"92210";"12001";"RETR.BAS.P.FUNCIONARI A2 DEFENSOR CIUTADÀ";"13.035,59";"0,01";"0,00";"0,00";"0,00";"0,01";"0,00";"0,00";"0,00";"13.035,60";"13.035,60";"0,00";"100,00"
"110";"92210";"12003";"RETR.BAS.P.FUNCIONARI C1 DEFENSOR CIUTADÀ";"9.983,69";"-643,28";"0,00";"0,00";"0,00";"0,00";"643,28";"0,00";"0,00";"9.340,41";"9.208,15";"132,26";"98,58"
"110";"92210";"12006";"TRIENNIS P FUNCIONARI DEFENSOR CIUTADÀ";"7.279,74";"209,75";"0,00";"0,00";"0,00";"209,75";"0,00";"0,00";"0,00";"7.489,49";"7.489,49";"0,00";"100,00"
"110";"92210";"12009";"ALTRES RETR.BAS.P.FUNCIONARI DEFENSOR CIUTADÀ";"4.996,07";"-100,00";"0,00";"0,00";"0,00";"0,00";"100,00";"0,00";"0,00";"4.896,07";"4.840,11";"55,96";"98,86"
"110";"92210";"12100";"COMP. DESTINACIÓ FUNCIONARIS DEFENSOR CIUTADÀ";"10.794,07";"-494,70";"0,00";"0,00";"0,00";"55,30";"550,00";"0,00";"0,00";"10.299,37";"10.299,37";"0,00";"100,00"
"110";"92210";"12101";"COMP. ESPECÍFIC FUNCIONARIS DEFENSOR CIUTADÀ";"9.304,65";"1.850,00";"0,00";"0,00";"0,00";"1.850,00";"0,00";"0,00";"0,00";"11.154,65";"11.038,74";"115,91";"98,96"
"110";"92210";"15000";"PRODUCTIVITAT OFICINA DEFENSOR CIUTADÀ";"1.877,99";"0,01";"0,00";"0,00";"0,00";"0,01";"0,00";"0,00";"0,00";"1.878,00";"1.878,00";"0,00";"100,00"
"110";"92210";"15100";"GRATIFICACIONS OFICINA DEFENSOR CIUTADÀ";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"110";"92210";"15300";"COMPLEMENT DE DEDICACIÓ ESPECIAL OFICINA DEFENSOR CIUTADÀ";"9.877,68";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"9.877,68";"9.294,90";"582,78";"94,10"
"110";"92210";"16000";"QUOTES SOCIALS OFICINA DEFENSOR CIUTADÀ";"20.869,67";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"20.869,67";"16.267,14";"4.602,53";"77,95"
"110";"92211";"22614";"OFICINA DEL DEFENSOR DE LA CIUTADANIA";"3.240,00";"7,26";"0,00";"0,00";"0,00";"0,00";"0,00";"7,26";"0,00";"3.247,26";"2.864,56";"382,70";"88,21"
"110";"92211";"62500";"INVERSIÓ OFICINA DEFENSOR CIUTADANIA";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"120";"13300";"60926";"ADEQUACIÓ ESPAI ZONA APARCAMENT AUDITORI";"0,00";"620,36";"0,00";"0,00";"0,00";"0,00";"0,00";"620,36";"0,00";"620,36";"0,00";"620,36";"0,00"
"120";"33000";"22600";"PLA CULTURA ALS BARRIS";"75.000,00";"-52.668,24";"0,00";"0,00";"0,00";"911,91";"70.000,00";"0,00";"0,00";"22.331,76";"0,00";"22.331,76";"0,00"
"120";"33000";"22608";"SERVEIS PER USOS D'EQUIPAMENTS I INSTAL.LACIONS- LA MERCÈ";"0,00";"15.362,34";"0,00";"0,00";"0,00";"2.263,27";"0,00";"1.589,51";"0,00";"15.362,34";"11.378,41";"3.983,93";"74,07"
"120";"33000";"22199";"ALTRES SUBMINISTRAMENTS EQUIPAMENTS CULTURA";"4.264,50";"11.844,68";"0,00";"0,00";"0,00";"14.671,85";"3.804,54";"977,37";"0,00";"16.109,18";"15.553,48";"555,70";"96,55"
"120";"33000";"22009";"MATERIAL OFICINA CULTURA";"1.000,00";"374,29";"0,00";"0,00";"0,00";"77,53";"222,22";"518,98";"0,00";"1.374,29";"1.153,14";"221,15";"83,91"
"120";"33000";"12000";"RETR.BAS.P.FUNCIONAR A1 CULTURA";"14.824,09";"0,13";"0,00";"0,00";"0,00";"0,13";"0,00";"0,00";"0,00";"14.824,22";"14.824,22";"0,00";"100,00"
"120";"33000";"12001";"RETR.BAS.P.FUNCIONARI A2 CULTURA";"13.035,59";"-418,99";"0,00";"0,00";"0,00";"0,00";"418,99";"0,00";"0,00";"12.616,60";"12.615,92";"0,68";"99,99"
"120";"33000";"12006";"TRIENNIS P FUNCIONARI CULTURA";"9.856,77";"418,86";"0,00";"0,00";"0,00";"418,86";"0,00";"0,00";"0,00";"10.275,63";"10.275,63";"0,00";"100,00"
"120";"33000";"12009";"ALTRES RETR.BAS.P.FUNCIONARI CULTURA";"9.232,75";"-6,82";"0,00";"0,00";"0,00";"0,00";"6,82";"0,00";"0,00";"9.225,93";"9.225,93";"0,00";"100,00"
