FID,TIPO,CVIA,DIRECCION,CVIA_1,TEXTO,UTM_X,UTM_Y,GRAD_X,GRAD_Y
119.0,PLÁSTICA,40933,CTRA TAHODIO 2A,40933,CARRETERA TAHODIO,378007.212015,3151483.59721,-16.246303558,28.4842828361
120.0,PLÁSTICA,40933,CTRA TAHODIO 2D,40933,CARRETERA TAHODIO,377977.532507,3151524.22623,-16.246611018,28.4846467138
121.0,PLÁSTICA,41035,CALLE JUAN SILVESTRE 19,41035,CALLE JUAN SILVESTRE,378887.634798,3151754.70621,-16.2373392313,28.486811612
122.0,PLÁSTICA,41035,CALLE JUAN SILVESTRE 12,41035,CALLE JUAN SILVESTRE,378880.58128,3151790.32317,-16.2374150276,28.4871323829
123.0,PLÁSTICA,41051,CALLE REVERENDO ONESIMO BETANCORT 6,41035,CALLE JUAN SILVESTRE,378851.45537,3151884.63706,-16.2377224629,28.487980814
124.0,PLÁSTICA,41712,CTRA LOMO LAS BODEGAS 13,41712,CARRETERA LOMO LAS BODEGAS,387095.507033,3160115.52532,-16.1543201094,28.5630032817
125.0,PLÁSTICA,42143,CSRIO LOMO PERERA 28,42143,CASERIO LOMO PERERA,378010.502358,3157774.20542,-16.2469375692,28.5410525815
126.0,PLÁSTICA,42286,CMNO DE TABORNO 37,42286,CAMINO DE TABORNO,376310.203564,3159551.32255,-16.264505613,28.5569292466
127.0,PLÁSTICA,42286,CMNO DE TABORNO 39,42286,CAMINO DE TABORNO,376297.475841,3159514.84324,-16.2646317703,28.5565988323
128.0,PLÁSTICA,10491,CMNO LA LOMITA 56,42286,CAMINO DE TABORNO,376267.295865,3159429.30902,-16.2649310156,28.5558240668
129.0,PLÁSTICA,42286,CMNO DE TABORNO 35,42294,PLAZA DE TABORNO,376315.13248,3159591.23847,-16.2644595386,28.5572899312
130.0,PLÁSTICA,46396,CALLE RIO MISSISSIPPI 8,46396,CALLE RIO MISSISSIPPI,381062.607977,3152873.37064,-16.2152384843,28.4971075122
131.0,PLÁSTICA,46407,CALLE RIO ORINOCO 12,46407,CALLE RIO ORINOCO,381094.819049,3152738.66366,-16.2148955061,28.4958947767
132.0,PLÁSTICA,46407,CALLE RIO ORINOCO 9,46407,CALLE RIO ORINOCO,380949.95557,3152663.58814,-16.2163675838,28.4952040147
133.0,PLÁSTICA,46446,CALLE RIO MISSOURI 4,46446,CALLE RIO MISSOURI,380865.450969,3152767.2896,-16.21724157,28.4961321506
134.0,PLÁSTICA,46446,CALLE RIO MISSOURI 1,46446,CALLE RIO MISSOURI,380832.957666,3152789.48481,-16.2175758036,28.4963294803
135.0,PLÁSTICA,46512,CALLE LACIO 21,46512,CALLE LACIO,379819.836587,3152452.07553,-16.2278900643,28.4931914023
136.0,PLÁSTICA,46512,CALLE LACIO 26,46512,CALLE LACIO,379832.219814,3152510.58794,-16.227769679,28.493720594
137.0,PLÁSTICA,10855,CALLE CERDEÑA 13,46512,CALLE LACIO,379828.407102,3152371.3467,-16.2277940837,28.4924636505
138.0,PLÁSTICA,46535,CALLE CALABRIA 23,46535,CALLE CALABRIA,379797.681755,3152453.52164,-16.2281165304,28.4932024082
139.0,PLÁSTICA,46527,CALLE TOSCANA 35,46535,CALLE CALABRIA,379809.242243,3152540.93869,-16.2280075701,28.4939923759
140.0,PLÁSTICA,46543,CALLE UMBRIA 14,46543,CALLE UMBRIA,379790.287048,3152510.34579,-16.2281980054,28.4937145388
141.0,PLÁSTICA,46937,CALLE HECTOR 7,46937,CALLE HECTOR,378191.604331,3151416.20192,-16.2444130014,28.4836918785
142.0,PLÁSTICA,46937,CALLE HECTOR 19,46937,CALLE HECTOR,378165.478658,3151440.13733,-16.2446823869,28.4839054413
143.0,PLÁSTICA,47353,CTRA LAS GAVIOTAS 1,47353,CARRETERA LAS GAVIOTAS,384997.487431,3154680.12373,-16.1752217622,28.513766425
144.0,PLÁSTICA,47353,CTRA LAS GAVIOTAS 1,47353,CARRETERA LAS GAVIOTAS,384984.840096,3154708.83479,-16.1753538573,28.5140244162
145.0,PLÁSTICA,47353,CTRA LAS GAVIOTAS 1,47353,CARRETERA LAS GAVIOTAS,384950.594423,3154683.77134,-16.1757012487,28.5137951984
