FID,DIRECCION,UTM_X,UTM_Y,GRAD_X,GRAD_Y
123.0,CALLE ALVAREZ DE LUGO 41,376850.0164,3149684.4385,-16.2579309786,28.4679374892
124.0,CALLE ALVAREZ DE LUGO 45,376843.7618,3149653.8331,-16.2579915826,28.4676607001
125.0,CALLE PRINCESA DACIL 16,375606.5402,3149788.8809,-16.2706413488,28.4687619746
126.0,AVENIDA ANGEL ROMERO 13,375326.83,3149097.5335,-16.2734231183,28.4624962299
127.0,CALLE COMODORO ROLIN 4,376015.1908,3149301.8391,-16.2664155341,28.4644056094
128.0,CALLE LEOCADIO MACHADO 7,375383.5334,3149485.2971,-16.2728859974,28.4660010023
129.0,CALLE LOS MOLINOS 44,377108.3186,3148910.5655,-16.2552105037,28.4609780386
130.0,CALLE GUANCHE ZEBENZUI 40,375750.0208,3149769.7589,-16.269173971,28.4686030914
131.0,PLAZA DE LA VICTORIA 11,376671.4609,3148637.4636,-16.2596424433,28.4584721906
132.0,CALLE HELIODORO RODRIGUEZ LOPEZ 7,376426.8257,3148944.1142,-16.2621734586,28.461216401
133.0,CALLE HELIODORO RODRIGUEZ LOPEZ 7,376425.6742,3148939.2132,-16.2621846922,28.4611720629
134.0,CALLE TOME CANO 5,376430.6177,3148748.9748,-16.2621138127,28.4594557266
135.0,CALLE GONGORA 2,376771.1626,3148808.936,-16.2586426535,28.4600290679
136.0,AVENIDA BENITO PEREZ ARMAS 1,376245.9978,3148678.2417,-16.2639915137,28.4587998914
137.0,AVENIDA BENITO PEREZ ARMAS 1,376249.3348,3148674.3022,-16.2639570143,28.4587646561
138.0,CALLE AZORIN 11,376019.4564,3148609.5582,-16.266297498,28.4581585434
139.0,CALLE NUÑEZ DE BALBOA 19,376682.5495,3148713.153,-16.259537308,28.4591562982
140.0,CALLE NUÑEZ DE BALBOA 3,376691.2312,3148735.1916,-16.2594510104,28.4593560064
141.0,CALLE LEPANTO 2,376841.5444,3148759.7722,-16.257918672,28.4595920372
142.0,AVENIDA BENITO PEREZ ARMAS 2,376338.0745,3148608.9049,-16.2630438146,28.4581828957
143.0,CALLE LEGAZPI 6,376484.5953,3148762.0854,-16.2615640106,28.4595791562
144.0,CALLE FRAGATA DANMARK 6,376338.8508,3148674.1452,-16.2630428867,28.4587717298
145.0,CALLE QUEVEDO 5,376860.8302,3148974.6899,-16.2577446922,28.4615333843
