FID,CODCALLE,TEXTO,GRUPO,CAPACIDAD,PTO_REC,UTM_X,UTM_Y,GRAD_X,GRAD_Y
2182.0,21804,CALLE JUNONIA,1.0,800.0,R2319,375484.645578,3150336.69752,-16.2719454313,28.4736940777
2183.0,40821,CTRA LOS CAMPITOS,1.0,800.0,R2320,376059.781178,3150412.5151,-16.2660796629,28.4744331054
2184.0,31876,CALLE ANTONIO VANDEWALLE Y PINTO,1.0,800.0,R2321,374631.940647,3149438.71717,-16.2805564505,28.4655085949
2185.0,51447,CALLE CRUZ DE LA GALLEGA,4.0,800.0,R2322,370922.97554,3145334.95028,-16.3179738203,28.4281130448
2186.0,52443,CALLE CENTENILLO,1.0,800.0,R2323,369472.180673,3145701.6136,-16.3328257214,28.4312777143
2187.0,52981,CALLE TARAJAL,1.0,800.0,R2324,372315.005057,3146710.26685,-16.3039153503,28.4406612681
2188.0,10777,CALLE TRASERA 2 CONTINENTE,3.0,800.0,R2325,372595.043165,3145324.43167,-16.3009032215,28.4281823191
2189.0,51641,CALLE SAN MAURICIO,1.0,800.0,R2326,371264.384803,3145728.86796,-16.3145324595,28.4317015943
2190.0,40781,CALLE LA ASOMADITA,1.0,800.0,R2327,370903.645553,3147213.61921,-16.3183813286,28.4450648481
2191.0,21963,CALLE GUIA DE ISORA,2.0,240.0,R2328,375409.613917,3150342.76992,-16.2727123941,28.4737417079
2192.0,30022,CALLE BENAVIDES,2.0,240.0,R2329,376740.162854,3149777.67788,-16.259062845,28.4687685459
2193.0,30896,CALLE FEBLES CAMPOS,2.0,240.0,R2330,376190.83117,3149786.30903,-16.2646739141,28.4687943846
2194.0,10035,CALLE LAURA GROTE DE LA PUERTA,2.0,240.0,R2331,374387.49473,3147091.94199,-16.282797097,28.4443067719
2195.0,10041,CALLE LA MARINA,1.0,240.0,R2332,377847.66366,3149633.80594,-16.2477370084,28.4675744093
2196.0,10691,CALLE CRUZ VERDE,2.0,240.0,R2333,377689.317377,3149394.39628,-16.2493287212,28.4653990049
2197.0,31002,CALLE JUAN DE MIRANDA,1.0,240.0,R2334,376136.874735,3149425.2525,-16.2651861358,28.4655309151
2198.0,43065,CTRA DE HOYA FRIA,1.0,240.0,R2335,374367.319295,3146734.25716,-16.2829641379,28.4410769242
2199.0,30931,CALLE SOR CARMEN IRIARTE,1.0,240.0,R2336,376147.778818,3149769.20983,-16.2651117548,28.468635984
2200.0,82515,CALLE RUBEN MARICHAL LOPEZ,1.0,240.0,R2337,377085.069387,3151155.33015,-16.2556874578,28.4812337247
2201.0,10636,CALLE CANDELARIA,1.0,240.0,R2338,377716.263829,3149377.50798,-16.2490517411,28.4652491234
2202.0,59176,CALLE CIGARRILLOS,2.0,800.0,R2339,371135.748067,3145239.46308,-16.315791064,28.4272723488
2203.0,10035,CALLE LAURA GROTE DE LA PUERTA,1.0,240.0,R2340,374170.039899,3146890.32769,-16.284995368,28.4424663684
2204.0,30304,AVDA ISLAS CANARIAS,1.0,240.0,R2341,376064.872152,3149563.96396,-16.2659363716,28.4667758705
2205.0,47353,CTRA LAS GAVIOTAS,4.0,800.0,R2342,385065.249887,3154702.89214,-16.1745316875,28.5139778904
2206.0,10522,CTRA EL BAILADERO,3.0,800.0,R2343,376491.606579,3157112.92235,-16.2623890113,28.5349414679
2207.0,10512,CMNO LA PANADERITA,1.0,240.0,R2344,378950.746126,3157134.38624,-16.2372610785,28.5353664552
2208.0,10512,CMNO LA PANADERITA,1.0,240.0,R2345,378878.708677,3157070.22301,-16.2379904731,28.5347807065
2209.0,10130,CTRA PICO DEL INGLES,1.0,240.0,R2346,375898.176997,3157118.42592,-16.2684538785,28.5349346248
