"CODI_CAPA","CAPA_GENERICA","NOM_CAPA","ED50_COORD_X","ED50_COORD_Y","ETRS89_COORD_X","ETRS89_COORD_Y","LONGITUD","LATITUD","EQUIPAMENT","DISTRICTE","BARRI","NOM_DISTRICTE","NOM_BARRI","ADRECA","TELEFON"
"K015","Transports i serveis relacionats","Autobusos nocturns",433469395,4586827176,433377437,4586626198,"2.202649","41.428437","NITBUS -N8--",10,73,"Sant Martí","la Verneda i la Pau",,
"K015","Transports i serveis relacionats","Autobusos nocturns",433471488,4582743979,433379528,4582543039,"2.203124","41.391662","NITBUS -N6-N8--",10,67,"Sant Martí","la Vila Olímpica del Poblenou",,
"K015","Transports i serveis relacionats","Autobusos nocturns",426422091,"4582167.88",426330196,4581966947,"2.118883","41.385858","NITBUS -N12--",4,20,"Les Corts","la Maternitat i Sant Ramon",,
"K015","Transports i serveis relacionats","Autobusos nocturns",430377853,4583676276,430285922,4583475328,"2.166016","41.399796","NITBUS -N6--",2,7,"Eixample","la Dreta de l'Eixample",,
"K015","Transports i serveis relacionats","Autobusos nocturns",430638998,4582468304,430547065,4582267367,"2.169279","41.388939","NITBUS -N4-N5-N6-N7--",2,7,"Eixample","la Dreta de l'Eixample",,
"K015","Transports i serveis relacionats","Autobusos nocturns",431094198,4590479719,431002263,4590278708,"2.173809","41.461134","NITBUS -N3--",8,55,"Nou Barris","Ciutat Meridiana",,
"K014","Transports i serveis relacionats","Autobusos diürns",432107499,4591025503,432015555,4590824487,"2.185879","41.466136","BUS -83--",8,56,"Nou Barris","Vallbona",,
"K014","Transports i serveis relacionats","Autobusos diürns",431211805,4590783597,431119869,4590582583,"2.175182","41.463881","BUS -104--",,,,,,
"K015","Transports i serveis relacionats","Autobusos nocturns",432123063,4584948686,432031117,4584747726,"2.186749","41.411406","NITBUS -N3--",10,64,"Sant Martí","el Camp de l'Arpa del Clot",,
"K015","Transports i serveis relacionats","Autobusos nocturns",430137034,4582964421,430045105,"4582763.48","2.163218","41.393364","NITBUS -N4-N6--",2,7,"Eixample","la Dreta de l'Eixample",,
"K014","Transports i serveis relacionats","Autobusos diürns","431049.36",4587333072,430957424,"4587132.09","2.173631","41.432789","BUS -32-47-50-51--",8,45,"Nou Barris","Porta",,
"K015","Transports i serveis relacionats","Autobusos nocturns","431049.36",4587333072,430957424,"4587132.09","2.173631","41.432789","NITBUS -N1-N6--",8,45,"Nou Barris","Porta",,
"K014","Transports i serveis relacionats","Autobusos diürns","427170.82",4584114626,427078919,4583913675,"2.127603","41.40346","BUS -75-H4--",5,25,"Sarrià-Sant Gervasi","Sant Gervasi - la Bonanova",,
"K014","Transports i serveis relacionats","Autobusos diürns",426302987,4584182195,426211094,4583981244,"2.117213","41.403989","BUS -60-66-130-V7--",5,23,"Sarrià-Sant Gervasi","Sarrià",,
"K014","Transports i serveis relacionats","Autobusos diürns",428847219,4582547378,428755302,4582346441,"2.147841","41.389495","BUS -54-66--",2,9,"Eixample","la Nova Esquerra de l'Eixample",,
"K015","Transports i serveis relacionats","Autobusos nocturns",431900233,"4581596.55",431808288,4581395621,"2.184461","41.381196","NITBUS -N8--",1,3,"Ciutat Vella","la Barceloneta",,
"K014","Transports i serveis relacionats","Autobusos diürns",426079004,4582377109,425987113,4582176175,"2.114755","41.387711","BUS -33--",4,21,"Les Corts","Pedralbes",,
"K014","Transports i serveis relacionats","Autobusos diürns",426475179,4583994634,426383284,4583793685,"2.119296","41.402316","BUS -66-130--",5,23,"Sarrià-Sant Gervasi","Sarrià",,
"K015","Transports i serveis relacionats","Autobusos nocturns",427570001,"4575915.61",427478094,4575714735,"2.133358","41.329651","NITBUS -N1--",3,12,"Sants-Montjuïc","la Marina del Prat Vermell",,
"K014","Transports i serveis relacionats","Autobusos diürns",430986646,4590349678,430894712,4590148668,"2.172536","41.459953","BUS -62-76-83--",8,55,"Nou Barris","Ciutat Meridiana",,
"K014","Transports i serveis relacionats","Autobusos diürns",432852485,4582946045,432760531,4582745103,"2.195698","41.39343","BUS -36--",10,67,"Sant Martí","la Vila Olímpica del Poblenou",,
"K014","Transports i serveis relacionats","Autobusos diürns",433249012,4583113257,433157055,4582912314,"2.200422","41.394969","BUS -26-92--",10,68,"Sant Martí","el Poblenou",,
"K014","Transports i serveis relacionats","Autobusos diürns",427145729,4582095354,427053828,4581894422,"2.127546","41.385271","BUS -59-70-75-V3--",4,19,"Les Corts","les Corts",,
"K015","Transports i serveis relacionats","Autobusos nocturns",425460116,"4582256.42","425368.23",4582055487,"2.107368","41.386567","NITBUS -N12--",4,21,"Les Corts","Pedralbes",,
