"Tipus ens","Nom ens","Règim jurídic d'aplicació",Escala,Subescala,Categoria,Grup,Subgrup,Temporalitat,Gènere,Nombre
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL LABORAL ESTRUCTURAL",,,,"Personal de conveni",C2,"Interí i temporal",D,0
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL LABORAL ESTRUCTURAL",,,,"Personal de conveni",E,"Interí i temporal",H,0
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL LABORAL ESTRUCTURAL",,,,"Personal de conveni",E,"Interí i temporal",D,0
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL LABORAL CONJUNTURAL",,,,Llicenciatura,A1,"Interí i temporal",H,0
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL LABORAL CONJUNTURAL",,,,Llicenciatura,A1,"Interí i temporal",D,0
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL LABORAL CONJUNTURAL",,,,Diplomatura,A2,"Interí i temporal",H,0
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL LABORAL CONJUNTURAL",,,,Diplomatura,A2,"Interí i temporal",D,2
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL LABORAL CONJUNTURAL",,,,"Batxillerat - FP2",C1,"Interí i temporal",H,0
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL LABORAL CONJUNTURAL",,,,"Batxillerat - FP2",C1,"Interí i temporal",D,0
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL LABORAL CONJUNTURAL",,,,"Graduat escolar - FP1",C2,"Interí i temporal",H,0
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL LABORAL CONJUNTURAL",,,,"Graduat escolar - FP1",C2,"Interí i temporal",D,0
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL LABORAL CONJUNTURAL",,,,"Certificat d'escolaritat",E,"Interí i temporal",H,0
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL LABORAL CONJUNTURAL",,,,"Certificat d'escolaritat",E,"Interí i temporal",D,0
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL LABORAL CONJUNTURAL",,,,Altres,,"Interí i temporal",H,0
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL LABORAL CONJUNTURAL",,,,Altres,,"Interí i temporal",D,0
"Organismes Autònoms Locals ","INSTITUT BARCELONA ESPORTS",DIRECTIUS,,,,Directius,,Fix,H,0
"Organismes Autònoms Locals ","INSTITUT BARCELONA ESPORTS",DIRECTIUS,,,,Directius,,Fix,D,1
"Organismes Autònoms Locals ","INSTITUT BARCELONA ESPORTS","PERSONAL EVENTUAL",,,,"De confiança o d'assessorament",A1,Fix,H,0
"Organismes Autònoms Locals ","INSTITUT BARCELONA ESPORTS","PERSONAL EVENTUAL",,,,"De confiança o d'assessorament",A1,Fix,D,0
"Organismes Autònoms Locals ","INSTITUT BARCELONA ESPORTS","PERSONAL EVENTUAL",,,,"De confiança o d'assessorament",A2,Fix,H,0
"Organismes Autònoms Locals ","INSTITUT BARCELONA ESPORTS","PERSONAL EVENTUAL",,,,"De confiança o d'assessorament",A2,Fix,D,0
"Organismes Autònoms Locals ","INSTITUT BARCELONA ESPORTS","PERSONAL EVENTUAL",,,,"De confiança o d'assessorament",C1,Fix,H,0
"Organismes Autònoms Locals ","INSTITUT BARCELONA ESPORTS","PERSONAL EVENTUAL",,,,"De confiança o d'assessorament",C1,Fix,D,0
"Organismes Autònoms Locals ","INSTITUT BARCELONA ESPORTS","PERSONAL EVENTUAL",,,,"De confiança o d'assessorament",C2,Fix,H,0
"Organismes Autònoms Locals ","INSTITUT BARCELONA ESPORTS","PERSONAL EVENTUAL",,,,"De confiança o d'assessorament",C2,Fix,D,0
"Organismes Autònoms Locals ","INSTITUT BARCELONA ESPORTS","PERSONAL FUNCIONARI","Escala d'administració general","Subsecala tècnica",,"Tècnic/a superior",A1,Fix,H,9
"Organismes Autònoms Locals ","INSTITUT BARCELONA ESPORTS","PERSONAL FUNCIONARI","Escala d'administració general","Subsecala tècnica",,"Tècnic/a superior",A1,Fix,D,6
"Organismes Autònoms Locals ","INSTITUT BARCELONA ESPORTS","PERSONAL FUNCIONARI","Escala d'administració general","Subsecala tècnica",,"Tècnic/a superior",A1,"Interí i temporal",H,0
"Organismes Autònoms Locals ","INSTITUT BARCELONA ESPORTS","PERSONAL FUNCIONARI","Escala d'administració general","Subsecala tècnica",,"Tècnic/a superior",A1,"Interí i temporal",D,0
"Organismes Autònoms Locals ","INSTITUT BARCELONA ESPORTS","PERSONAL FUNCIONARI","Escala d'administració general","Subsecala de gestió",,"Tècnic/a mitjà/na",A2,Fix,H,1
"Organismes Autònoms Locals ","INSTITUT BARCELONA ESPORTS","PERSONAL FUNCIONARI","Escala d'administració general","Subsecala de gestió",,"Tècnic/a mitjà/na",A2,Fix,D,5
"Organismes Autònoms Locals ","INSTITUT BARCELONA ESPORTS","PERSONAL FUNCIONARI","Escala d'administració general","Subsecala de gestió",,"Tècnic/a mitjà/na",A2,"Interí i temporal",H,0
