Gis_X;Gis_Y;Fecha de Alta;Distrito;Barrio;Calle;Nº Finca;Tipo de Reserva;Línea / Batería;Número de Plazas;Texto Cajetines;LONGITUD;LATITUD
440538,24;4473770,24;38468;01  CENTRO;01-02 EMBAJADORES;MAGDALENA, CALLE, DE LA;23;CargayDescarga;Batería;5; LABORABLES DE 9 A 14 H.EXCEPTO CARGA Y DESCARGA MAXIMO 30 MINUTOSRESTO HORARIO REGULACION SER;-3.7008341;40.4124293
440625,49;4473757,89;42929;01  CENTRO;01-02 EMBAJADORES;MAGDALENA, CALLE, DE LA;38;CargayDescarga;Línea;1;RESERVA COMPARTIDA LABORABLES DE 9 A 14 H.EXCEPTO CARGA Y DESCARGA MAXIMO 30 MINUTOS RESTO HORARIO REGULACION SER;-3.6998046;40.4123243
440781,91;4473118,44;40127;01  CENTRO;01-02 EMBAJADORES;MALLORCA, CALLE, DE;13;CargayDescarga;Línea;3;;-3.6979016;40.406575
440476,52;4473103,65;38924;01  CENTRO;01-02 EMBAJADORES;MIGUEL SERVET, CALLE, DE;15;CargayDescarga;Línea;3;LAB. DE 8 A 15 H.EXCEPTO CARGA Y DESCARGA;-3.7014991;40.40642
440164,74;4473230,8;37796;01  CENTRO;01-02 EMBAJADORES;MIRA EL SOL, CALLE, DE;5;CargayDescarga;Línea;2;LAB. DE 8 A 15 H.EXCEPTO CARGA Y DESCARGA;-3.7051852;40.407543
440044,9;4473185,85;36286;01  CENTRO;01-02 EMBAJADORES;MIRA EL SOL, CALLE, DE;17;CargayDescarga;Línea;2;LAB. DE 8 A 15 H.EXCEPTO CARGA Y DESCARGA;-3.7065932;40.4071295
439996,69;4473150,18;38926;01  CENTRO;01-02 EMBAJADORES;MIRA EL SOL, CALLE, DE;21;CargayDescarga;Batería;6;LAB. DE 8 A 14 H. Y DE 16,30 A 19 H.EXCEPTO CARGA Y DESCARGADOMINGOS Y FESTIVOS DE 7 A 16 H.;-3.707158;40.4068047
440461,9;4473656,89;38322;01  CENTRO;01-02 EMBAJADORES;OLIVAR, CALLE, DEL;12;CargayDescarga;Línea;2;LABORABLES DE 8 A 15 H.EXCEPTO CARGA Y DESCARGA;-3.7017231;40.4114028
440467,94;4473532,34;38322;01  CENTRO;01-02 EMBAJADORES;OLIVAR, CALLE, DEL;34;CargayDescarga;Línea;2;LABORABLES DE 8 A 15 H. EXCEPTO CARGA Y DESCARGA;-3.7016403;40.4102812
440477,93;4473667,98;38108;01  CENTRO;01-02 EMBAJADORES;OLMO, CALLE, DEL;2;CargayDescarga;Línea;1;;-3.7015353;40.4115038
439649,7;4473182,9;42831;01  CENTRO;01-02 EMBAJADORES;PUERTA DE TOLEDO, GLORIETA, DE LA;1;CargayDescarga;Línea;;;-3.7112502;40.4070743
439979,01;4473398,92;38926;01  CENTRO;01-02 EMBAJADORES;RIBERA DE CURTIDORES, CALLE, DE LA;4;CargayDescarga;Línea;3;RESERVA COMPARTIDA ------------------------------------------ LABORABLES DE 8 A 15 H. EXCEPTO CARGA Y DESCARGA MÁXIMO 30 MINUTOS RESTO DE HORARIO REGULACIÓN SER ---------------------------------------------------------------------- DOMINGOS Y FESTIVOS DE 7 A 16 H.;-3.7073898;40.4090442
439989,06;4473430,01;38926;01  CENTRO;01-02 EMBAJADORES;RIBERA DE CURTIDORES, CALLE, DE LA;11;CargayDescarga;Línea;3; LABORABLES DE 8 A 18 H.EXCEPTO CARGA Y DESCARGA MAXIMO 30 MINUTOSRESTO HORARIO REGULACION SER-----------------------------------------DOMINGOS Y FESTIVOS DE 7 A 16 H.;-3.7072743;40.409325
439977,62;4473309,92;41197;01  CENTRO;01-02 EMBAJADORES;RIBERA DE CURTIDORES, CALLE, DE LA;12;CargayDescarga;Línea;7; LABORABLES DE 8 A 15 H.EXCEPTO CARGA Y DESCARGA MAXIMO 30 MINUTOS RESTO HORARIO REGULACION SER-----------------------------------------DOMINGOS Y FESTIVOS DE 7 A 16 H.;-3.7073978;40.4082423
439976,6;4473284,53;38926;01  CENTRO;01-02 EMBAJADORES;RIBERA DE CURTIDORES, CALLE, DE LA;12;CargayDescarga;Línea;3; LABORABLES DE 8 A 15 H.EXCEPTO CARGA Y DESCARGA MAXIMO 30 MINUTOS RESTO HORARIO REGULACION SER-----------------------------------------DOMINGOS Y FESTIVOS DE 7 A 16 H.;-3.7074074;40.4080135
439988,71;4473388,24;38322;01  CENTRO;01-02 EMBAJADORES;RIBERA DE CURTIDORES, CALLE, DE LA;15;CargayDescarga;Línea;2; LABORABLES DE 8 A 18 H.EXCEPTO CARGA Y DESCARGA MAXIMO 30 MINUTOSRESTO HORARIO REGULACION SER-----------------------------------------DOMINGOS Y FESTIVOS DE 7 A 16 H.;-3.7072745;40.4089487
