



 IDEXPEDIENTE;NOMBRE;CONTENT-URL;IDORGANISMO;NOMBRE-ORGANISMO;IDTIPO;DESCRIPCION-TIPO;PRESUPUESTO;CPVs
10397569;"Servicio de atención a personas en situación de vulnerabilidad residencial en el Distrito de Puente de Vallecas";"https://sede.madrid.es/sites/v/index.jsp?vgnextchannel=8afd814231ede410VgnVCM1000000b205a0aRCRD&vgnextoid=b267259e19b9c510VgnVCM2000001f4a900aRCRD";"001213";"Distrito de Puente Vallecas";"2";"Servicios";"999.658,80";"85311000-2,Servicios de asistencia social con alojamiento;";
10393194;"Programa ASPA";"https://sede.madrid.es/sites/v/index.jsp?vgnextchannel=8afd814231ede410VgnVCM1000000b205a0aRCRD&vgnextoid=ef13be985c78c510VgnVCM1000001d4a900aRCRD";"001085";"Familia, Servicios Sociales y Participación Ciudadana";"2";"Servicios";"11.086.915,70";"85312000-9,Servicios de asistencia social sin alojamiento;";
10390664;"Programa de convivencia social en el Distrito de Villaverde.";"https://sede.madrid.es/sites/v/index.jsp?vgnextchannel=8afd814231ede410VgnVCM1000000b205a0aRCRD&vgnextoid=33c91e31c328c510VgnVCM1000001d4a900aRCRD";"001217";"Distrito de Villaverde";"2";"Servicios";"506.390,90";"85312000-9,Servicios de asistencia social sin alojamiento;";
10387101;"Programa de atención a socios, organización y desarrollo de las actividades de animación sociocultural y de las actividades recreativas, artísticas, culturales y de ejercicio físico en los centros municipales de mayores del Distrito de Ciudad Lineal años 2018-2019";"https://sede.madrid.es/sites/v/index.jsp?vgnextchannel=8afd814231ede410VgnVCM1000000b205a0aRCRD&vgnextoid=00b2afb6e477c510VgnVCM2000001f4a900aRCRD";"001215";"Distrito de Ciudad Lineal";"2";"Servicios";"1.118.277,84";"85311100-3,Servicios de bienestar social proporcionados a ancianos;";
10386771;"Contrato mixto de suministro y servicios de arrendamiento y mantenimiento del software asociado MLC instalado en el mainframe y el mantenimiento del software ZOTC propiedad de IAM";"https://sede.madrid.es/sites/v/index.jsp?vgnextchannel=8afd814231ede410VgnVCM1000000b205a0aRCRD&vgnextoid=abb82821e277c510VgnVCM1000001d4a900aRCRD";"501025";"Informática del Ayuntamiento de Madrid";"1";"Suministros";"1.270.644,48";"72267100-0,Mantenimiento de software de tecnología de la información;48621000-7,Paquetes de software de sistema operativo de unidad central;";
10383350;"Apoyo a la gestión de la atención personalizada a través de los canales de atención a la ciudadanía de Línea Madrid";"https://sede.madrid.es/sites/v/index.jsp?vgnextchannel=8afd814231ede410VgnVCM1000000b205a0aRCRD&vgnextoid=e0362b01a436c510VgnVCM2000001f4a900aRCRD";"001021";"perfil.organismo.001021";"2";"Servicios";"78.664.871,34";"79511000-9,Servicios de operador telefónico;79510000-2,Servicios de contestación de llamadas telefónicas;79512000-6,Centro de llamadas;72400000-4,Servicios de Internet;";
10382688;"Suministro de licencias MicroStrategy.";"https://sede.madrid.es/sites/v/index.jsp?vgnextchannel=8afd814231ede410VgnVCM1000000b205a0aRCRD&vgnextoid=cbdfd1183926c510VgnVCM2000001f4a900aRCRD";"501025";"Informática del Ayuntamiento de Madrid";"1";"Suministros";"413.040,46";"48482000-0,Paquetes de software de inteligencia empresarial;";
10379280;"Suministro e instalación, en su caso, del mobiliario general, electrodomésticos y mobiliario de cocina/lavandería, necesario para el adecuado funcionamiento de distintos Centros de Atención a las Emergencias Sociales del Samur Social y Centro de Atención a Personas sin Hogar de titularidad municipal";"https://sede.madrid.es/sites/v/index.jsp?vgnextchannel=8afd814231ede410VgnVCM1000000b205a0aRCRD&vgnextoid=ca66c1faee95c510VgnVCM1000001d4a900aRCRD";"001085";"Familia, Servicios Sociales y Participación Ciudadana";"1";"Suministros";"209.990,00";"39156000-0,Mobiliario de recepción y sala de espera;39100000-3,Mobiliario;39141000-2,Muebles y equipo de cocina;39710000-2,Aparatos electrodomésticos;39130000-2,Muebles de oficina;39143110-0,Camas y ropa de cama y pasamanería especializada;";
10379195;"Arrendamiento, sin opción a compra e incluyendo el mantenimiento, del material deportivo para los centros deportivos municipales del Distrito de Arganzuela.";"https://sede.madrid.es/sites/v/index.jsp?vgnextchannel=8afd814231ede410VgnVCM1000000b205a0aRCRD&vgnextoid=0ca5c4ad42d5c510VgnVCM2000001f4a900aRCRD";"001202";"Distrito de Arganzuela";"1";"Suministros";"767.278,79";"37400000-2,Artículos y material deportivo;";
10372693;"Adquisición y mantenimiento del sistema de tratamiento de emergencias de la Dirección General de la Policía Municipal de Madrid";"https://sede.madrid.es/sites/v/index.jsp?vgnextchannel=8afd814231ede410VgnVCM1000000b205a0aRCRD&vgnextoid=a47927d6fb34c510VgnVCM1000001d4a900aRCRD";"001019";"Área de Gobierno de Seguridad y Emergencias";"2";"Servicios";"2.884.200,00";"72500000-0,Servicios informáticos;72422000-4,Servicios de desarrollo de aplicaciones servidor en Internet o intranet;72421000-7,Servicios de desarrollo de aplicaciones cliente en Internet o intranet;72230000-6,Servicios de desarrollo de software personalizado;";
10371235;"Servicio de mantenimiento del parque microinformático municipal.";"https://sede.madrid.es/sites/v/index.jsp?vgnextchannel=8afd814231ede410VgnVCM1000000b205a0aRCRD&vgnextoid=9c3473e6bbe3c510VgnVCM2000001f4a900aRCRD";"501025";"Informática del Ayuntamiento de Madrid";"2";"Servicios";"6.371.434,50";"50312000-5,Mantenimiento y reparación de equipo informático;";
10369989;"Gestión de siete Centros Juveniles";"https://sede.madrid.es/sites/v/index.jsp?vgnextchannel=8afd814231ede410VgnVCM1000000b205a0aRCRD&vgnextoid=a11082f802a3c510VgnVCM2000001f4a900aRCRD";"001085";"Familia, Servicios Sociales y Participación Ciudadana";"2";"Servicios";"3.343.680,00";"85311300-5,Servicios de bienestar social proporcionados a niños y jóvenes;";
10369168;"Gestión integral de los servicios complementarios de las Instalaciones Deportivas Municipales adscritas al Distrito de Fuencarral-El Pardo, en dos lotes.";"https://sede.madrid.es/sites/v/index.jsp?vgnextchannel=8afd814231ede410VgnVCM1000000b205a0aRCRD&vgnextoid=cff0d206a193c510VgnVCM2000001f4a900aRCRD";"001208";"Distrito de Fuencarral-El Pardo";"2";"Servicios";"1.225.868,96";"44613800-8,Contenedores para residuos;50750000-7,Servicios de mantenimiento de ascensores;50610000-4,Servicios de reparación y mantenimiento de equipos de seguridad;50800000-3,Servicios varios de reparación y mantenimiento;45212290-5,Reparación y mantenimiento de instalaciones deportivas;50700000-2,Servicios de reparación y mantenimiento de equipos de edificios;77310000-6,Servicios de plantación y mantenimiento de zonas verdes;";
10365850;"Animación sociocultural en los Centros Municipales de Mayores del Distrito de Latina";"https://sede.madrid.es/sites/v/index.jsp?vgnextchannel=8afd814231ede410VgnVCM1000000b205a0aRCRD&vgnextoid=1e665675aaf2c510VgnVCM1000001d4a900aRCRD";"001210";"Distrito de Latina";"2";"Servicios";"947.960,48";"85320000-8,Servicios sociales;";
