Identificador;DISTRITO;UBICACION;CENTRO;TIPO_VIAL;PARTICULA;NOMBRE_VIA;NUMERO_VIA;COORDENADAX;COORDENADAY;Longitud;Latitud
CONT_ROP_USA_84;MORATALAZ;Calle Arroyo Belincoso 11;Biblioteca P˙blica Municipal Miguel Delibes;Calle;de;Arroyo Belincoso;11;4.445.993.798;4.473.448.295;-3.6529477;40.409806
CONT_ROP_USA_85;MORATALAZ;Calle Arroyo de la Media Legua 72;Punto Limpio Fijo;Calle;de;Arroyo de la Media Legua;72;4.447.433.527;4.473.976.824;-3.6512965;40.414572
CONT_ROP_USA_86;MORATALAZ;Calle Alcalde Garrido Juaristi 17;"Centro Deportivo Municipal ""La Elipa""";Calle;de;Alcalde Garrido Juaristi;17;4.444.953.396;4.473.901.976;-3.6542128;40.413880
CONT_ROP_USA_87;MORATALAZ;Calle Camino de los Vinateros 104;"Colegio Publico ""Manuel Sainz De VicuÒa""";Calle;de;Camino de los Vinateros;104;4.448.531.994;4.473.403.041;-3.6499503;40.409418
CONT_ROP_USA_88;MORATALAZ;Calle CaÒÛn del RÌo Lobos 6;"InstalaciÛn Deportiva B·sica ""Lili ¡Ålvarez""";Calle;del;CaÒÛn del RÌo Lobos;6;4.466.124.152;4.473.024.072;-3.6291886;40.406118
CONT_ROP_USA_89;CIUDAD LINEAL;Avenida Daroca 104;Punto Limpio Fijo;Avenida;de;Daroca;104;4.464.922.861;4.474.351.567;-3.6307143;40.418065
CONT_ROP_USA_90;CIUDAD LINEAL;Calle Santa Felicidad 39;"Centro Cultural ""La Elipa""";Calle;de;Santa Felicidad;39;4.448.350.298;4.475.065.263;-3.6503066;40.424389
CONT_ROP_USA_91;CIUDAD LINEAL;Calle Jose Luis Arrese 81;"Centro Sociocultural ""Ciudad Lineal""";Calle;de;Jose Luis Arrese;81;4.447.241.098;4.474.896.999;-3.6516004;40.422868
CONT_ROP_USA_92;CIUDAD LINEAL;Calle Nuestra SeÒora del Villar 6;"Centro de Mayores ""Islas Filipinas""";Calle;de;Nuestra SeÒora del Villar;6;4.447.113.798;4.474.966.936;-3.6517597;40.423489
CONT_ROP_USA_93;CIUDAD LINEAL;Calle Ascao 4;"Centro de Mayores ""Ascao""";Calle;de;Ascao;4;4.456.014.189;4.475.623.166;-3.6413250;40.429466
CONT_ROP_USA_94;CIUDAD LINEAL;Calle Francisco Rioja 14;"Centro Deportivo Municipal ""Pueblo Nuevo""";Calle;de;Francisco Rioja;14;4.458.572.861;4.475.662.567;-3.6383104;40.429834
CONT_ROP_USA_95;CIUDAD LINEAL;Calle Hermanos Garcia Noblejas 14;"Centro Cultural ""Principe de Asturias""";Calle;de;Hermanos Garcia Noblejas;14;4.459.493.955;4.476.382.871;-3.6372871;40.436326
CONT_ROP_USA_96;CIUDAD LINEAL;Calle Hermanos Garcia Noblejas 160;"Centro De Mayores ""Luis Vives"" (Servicios Sociales)";Calle;de;Hermanos Garcia Noblejas;160;4.466.952.861;4.474.981.567;-3.6283744;40.423753
CONT_ROP_USA_97;CIUDAD LINEAL;Calle JosÈ del Hierro 5;"Centro Deportivo Municipal ""La ConcepciÛn""";Calle;de;JosÈ del Hierro;5;444.998.294;4.476.490.061;-3.6485085;40.437237
CONT_ROP_USA_98;CIUDAD LINEAL;Calle Arturo Soria 330;"Colegio P˙blico ""JoaquÌn Turina""";Calle;de;Arturo Soria;330;4.435.426.733;4481316.54;-3.6661039;40.480614
CONT_ROP_USA_99;HORTALEZA;Calle Tomas Redondo 8;Punto Limpio Fijo;Calle;de;Tomas Redondo;8;4.467.871.263;4.480.107.768;-3.6277195;40.469937
CONT_ROP_USA_100;HORTALEZA;Calle El Provencio 20;"Centro Deportivo Municipal ""Luis Aragones""";Calle;de;El Provencio;20;4.467.169.776;4.479.596.728;-3.6285140;40.465329
CONT_ROP_USA_101;HORTALEZA;Calle Javier de Quinto 12;"Centro Servicio Sociales ""ConcepciÛn Arenal""";Calle;de;Javier de Quinto;12;4.455.879.861;4.479.752.222;-3.6418438;40.466661
CONT_ROP_USA_102;HORTALEZA;Calle Mar de Antillas 10;"Centro Mayores ""Huerta Salud I""";Calle;de;Mar de Antillas;10;4.452.503.237;4.480.715.284;-3.6459019;40.475314
CONT_ROP_USA_103;HORTALEZA;Calle Santa Susana 2;"Centro Mayores ""Huerta Salud II""";Calle;de;Santa Susana;2;4.451.865.902;4.480.802.559;-3.6466644;40.476094
CONT_ROP_USA_104;HORTALEZA;Calle Santa Virgilia 15;"Centro Cultural ""Hortaleza""";Calle;de;Santa Virgilia;15;4.455.819.348;4480881.3;-3.6420114;40.476831
CONT_ROP_USA_105;HORTALEZA;Calle CarriÛn de los Condes;"Centro Juvenil ""Santiago ApÛstol""";Calle;de;CarriÛn de los Condes;73;4.442.206.336;4.480.800.537;-3.6580598;40.476011
CONT_ROP_USA_106;HORTALEZA;Calle VÈlez Rubio 1;"Centro Servicios Sociales ""El Querol""";Calle;de;VÈlez Rubio;1;4.437.811.748;4.480.882.846;-3.6632458;40.476720
CONT_ROP_USA_107;HORTALEZA;Carretera EstaciÛn Hortaleza 11;"Centro Deportivo Municipal ""Hortaleza""";Carretera;de;EstaciÛn Hortaleza;11;4.446.736.011;4.481.111.445;-3.6527430;40.478843
CONT_ROP_USA_108;HORTALEZA;Calle Princesa de …boli 21;"Centro Cultural ""Sanchinarro""";Calle;de la;Princesa de …boli;21;4.444.583.881;4.482.367.245;-3.6553895;40.490144
CONT_ROP_USA_109;HORTALEZA;Calle Ana de Austria 32;"Escuela Infantil Municipal ""Ana de Austria""";Calle;de;Ana de Austria;32;4.444.522.861;4.482.942.567;-3.6555107;40.495323
CONT_ROP_USA_110;HORTALEZA;Calle Luis Buitrago 15;"InstalaciÛn Deportiva B·sica ""Luis Buitrago""";Calle;de;Luis Buitrago;15;4.447.944.122;4480556.18;-3.6512673;40.473852
CONT_ROP_USA_111;HORTALEZA;Avenida Niceto Alcal· Zamora 48;"Colegio P˙blico ""Cortes de C·diz""";Avenida;de;Niceto Alcal· Zamora;48;4.444.492.778;4.483.327.653;-3.6555798;40.498791
